simplified	HR	example_HR
啊	modalna čestica slaganja ili potvrde	Dobro, onda krenimo sada.
阿姨	teta; dadilja; starija žena	Teta radi u velikoj trgovini.
矮	nizak	Ovaj stol je malo nizak.
爱好	hobi; zanimanje	Moj hobi je slušanje glazbe.
安静	tih; miran	U knjižnici je vrlo tiho.
把	držati; uhvatiti; čestica za objekt	Molim vas, zatvorite vrata.
搬	seliti se; premjestiti	Sutra se selimo.
班	razred; skupina	U našem razredu ima dvadeset učenika.
办法	metoda; način	Ova metoda je vrlo dobra.
办公室	ured	Ravnatelj je u uredu.
半	pola; polu-	Čekao sam pola sata.
帮忙	pomoći; pružiti pomoć	Možeš li pomoći?
包	zamotati; držati; torba	Kupila je novu torbu.
饱	sit; najesti se	Već sam sit.
北方	sjever; sjeverni dio	Zima na sjeveru vrlo je hladna.
被	pasivna čestica; od	Moj bicikl posudio je prijatelj.
鼻子	nos	Nos mu je malo crven.
比较	usporediti; prilično	Danas je prilično vruće.
比赛	utakmica; natjecanje	Ova utakmica je vrlo važna.
笔记本	bilježnica	Stavio sam bilježnicu na stol.
必须	morati; nužno	Moraš pažljivo ponoviti gradivo.
变化	promjena; mijenjati se	Ovaj grad se mnogo promijenio.
别人	drugi ljudi	Ne uzimaj tuđe stvari.
冰箱	hladnjak	Voće je u hladnjaku.
不但…而且…	ne samo... nego i...	On nije samo pametan nego i marljiv.
菜单	jelovnik	Molim vas, dajte mi jelovnik.
参加	sudjelovati; pridružiti se	Želim sudjelovati na ovom sastanku.
草	trava	Štene trči po travi.
层	kat; sloj	Ova zgrada ima tri kata.
差	razlikovati se; nedostajati; loš	Danas je vrijeme loše.
超市	velika trgovina	Idem u veliku trgovinu kupiti kruh.
衬衫	košulja; bluza	Ova košulja je vrlo čista.
城市	grad	Peking je velik grad.
成绩	ocjene; rezultati	Njegove ocjene iz matematike vrlo su dobre.
迟到	zakasniti	Ne kasni na nastavu.
除了	osim; pored	Osim kave, želim i čaj.
船	brod; čamac	U taj grad idemo brodom.
春	proljeće	U proljeće ima mnogo cvijeća.
词典	rječnik	Ovaj rječnik je vrlo koristan.
聪明	pametan; inteligentan	Ovo dijete je vrlo pametno.
打扫	čistiti; mesti	Vikendom čistim sobu.
打算	planirati; namjeravati	Kakve planove imaš za sutra?
带	donijeti; ponijeti	Molim vas, ponesite putovnicu.
担心	brinuti se; zabrinut	Ne brini, pomoći ću ti.
蛋糕	torta; kolač	Ova torta je vrlo slatka.
当然	naravno	Naravno da možeš.
地	priložna čestica	On se sretno nasmiješio.
灯	svjetiljka; svjetlo	Molim vas, upalite svjetlo.
地方	mjesto; područje	Ovo mjesto je vrlo mirno.
地铁	podzemna željeznica	Svaki dan idem na posao podzemnom željeznicom.
地图	karta	Tražim školu na karti.
电梯	lift	Lift je lijevo.
电子邮件	elektronička pošta	Šaljem učitelju elektroničku poštu.
东	istok	Sunce izlazi na istoku.
冬	zima	Zimi volim piti vrući čaj.
动物	životinja	Panda je poznata životinja u Kini.
短	kratak	Ove hlače su prekratke.
段	odlomak; dio	Molim vas, pročitajte ovaj odlomak.
锻炼	vježbati; trenirati	Vježbam svako jutro.
多么	kako; koliko	Kako je dobra okolina ovdje!
饿	gladan; ogladnjeti	Gladan sam i želim jesti kruh.
耳朵	uho	Uho me malo boli.
发	poslati; izdati	Navečer šaljem elektroničku poštu.
发烧	imati temperaturu	Ima temperaturu i ne može ići u školu.
发现	otkriti; pronaći	Otkrio sam da je ova metoda dobra.
方便	praktičan; zgodan	Praktično je ići podzemnom željeznicom.
放	staviti; pustiti	Molim vas, stavite knjigu na stol.
放心	biti miran; ne brinuti se	Ne brini, stići ću na vrijeme.
分	podijeliti; raspodijeliti	Molim vas, podijelite tortu svima.
复习	ponavljati; ponavljanje	Moram ponoviti gradivo prije ispita.
附近	u blizini; okolica	U blizini je restoran.
干净	čist	Ova soba je vrlo čista.
感冒	prehladiti se; prehlada	Prehlađen sam i želim se odmoriti.
感兴趣	zanimati se	Jako me zanima kineski.
刚才	maloprije; upravo sad	Tko te maloprije nazvao?
个子	stas; visina	On je visok.
根据	prema; na temelju	Prema karti, škola je na istoku.
跟	s; slijediti	Idem u park s prijateljem.
更	još više; više	Danas je još hladnije nego jučer.
公斤	kilogram	Ove jabuke teže jedan kilogram.
公园	park	Djeca se igraju u parku.
故事	priča	Djed mi priča priču.
刮风	puhati vjetar	Danas puše vjetar; nemoj voziti bicikl.
关	zatvoriti; isključiti	Molim vas, zatvorite vrata.
关系	odnos; veza	Moj odnos s kolegom je dobar.
关心	brinuti se za; zanimati se	Mama se mnogo brine za moje zdravlje.
关于	o; u vezi s	Ova knjiga je o kineskoj kulturi.
国家	država; zemlja	Kina je vrlo velika zemlja.
过	čestica doživljene radnje	Bio sam u Pekingu.
过去	prošlost; prije	Prije ovdje nije bilo podzemne željeznice.
还是	ili; ipak	Piješ li čaj ili kavu?
害怕	bojati se	Ne bojim se ispita.
黑板	ploča	Učitelj piše znakove na ploči.
后来	kasnije; poslije	Kasnije smo otišli u park.
护照	putovnica	Molim vas, ponesite putovnicu.
96:花	trošiti; koštati	Kupnja telefona koštala je dvije tisuće juana.
97:花	cvijet	Na stolu je cvijet.
画	crtati; slika	Moja mlađa sestra voli crtati pande.
坏	loš; pokvaren	Moje računalo se pokvarilo.
欢迎	dočekati; dobro došao	Dobro došao u moj dom.
环境	okolina; sredina	Okolina ove škole vrlo je dobra.
还	vratiti	Molim vas, vratite mi knjigu sutra.
换	zamijeniti; promijeniti	Želim zamijeniti košulju.
黄河	Žuta rijeka	Žuta rijeka je vrlo duga.
回答	odgovoriti; odgovor	Molim vas, odgovorite na moje pitanje.
会议	sastanak; konferencija	Sastanak počinje u devet sati.
或者	ili; možda	Možeš uzeti podzemnu željeznicu ili autobus.
几乎	gotovo; skoro	On vježba gotovo svaki dan.
机会	prilika; šansa	Ovo je dobra prilika.
极	iznimno; vrlo	Ona je iznimno sretna.
季节	godišnje doba	Jesen je moje omiljeno godišnje doba.
记得	sjećati se	Sjećaš li se ponijeti kreditnu karticu?
检查	provjeriti; pregledati	Liječnik me pregledava.
简单	jednostavan	Ova rečenica je vrlo jednostavna.
健康	zdravlje; zdrav	Tjelovježba je dobra za zdravlje.
