source_headword	FR	example_FR
rock (music)	le rock	J'aime la musique rock.
role	le rôle	Son rôle est important.
roof	le toit	Le toit a besoin de réparations.
round	rond	La table est ronde.
route	l'itinéraire	Cet itinéraire est plus court.
rubbish	les déchets	Mets les déchets dehors.
rude	grossier	Ce commentaire était grossier.
runner	le coureur	Le coureur a l'air fatigué.
running	la course à pied	La course à pied me garde en forme.
sadly	malheureusement	Malheureusement, nous avons raté le train.
safe	sûr	Cette rue semble sûre.
sail	naviguer	Nous naviguons samedi.
sailing	la voile	La voile est populaire ici.
salary	le salaire	Son salaire est plus élevé maintenant.
sale	les soldes	Les soldes commencent demain.
sauce	la sauce	Ajoute de la sauce au riz.
save	sauvegarder	Sauvegarde ton travail maintenant.
scared	effrayé	L'enfant a peur.
scary	effrayant	Cette histoire est effrayante.
scene	la scène	La scène finale était drôle.
schedule	l'horaire	Consulte l'horaire aujourd'hui.
score	le score	Quel est le score?
screen	l'écran	Nettoie l'écran avec soin.
search	chercher	Cherche des photos sur le web.
season	la saison	L'été est une saison chargée.
seat	le siège	Prends ce siège, s'il te plaît.
second1 (next after the first)	deuxièmement	Deuxièmement, lave-toi les mains.
secondly	deuxièmement	Deuxièmement, vérifie ta réponse.
secret	secret	Garde ce secret en sécurité.
secretary	le/la secrétaire	La secrétaire a appelé aujourd'hui.
seem	sembler	Tu sembles fatigué.
sense	le sens	Ce plan a du sens.
separate	séparé	Garde les papiers séparés.
series	la série	Cette série est populaire.
serious	sérieux	Ce problème est sérieux.
serve	servir	Ils servent le déjeuner à midi.
service	le service	Le service était rapide.
several	plusieurs	Plusieurs étudiants sont arrivés tôt.
shake	secouer	Secoue d'abord la bouteille.
shall modal	et si... ?	Et si on commençait maintenant?
shape	la forme	Dessine une forme carrée.
sheet	le drap	Mets le drap sur le lit.
ship	le navire	Le navire est parti aujourd'hui.
shoulder	l'épaule	J'ai mal à l'épaule.
shout	crier	Ne crie pas en classe.
shut	fermer	Ferme la fenêtre, s'il te plaît.
side	le côté	Assieds-toi de ce côté.
sign	le panneau	Lis le panneau attentivement.
silver	l'argent	L'argent est un métal brillant.
simple	simple	Cet exercice est simple.
since	depuis	J'attends depuis midi.
singing	le chant	Chanter m'aide à me détendre.
single	simple	J'ai acheté un billet simple.
sir	monsieur	Monsieur, votre sac est prêt.
site	le site	Ce site est sûr.
size	la taille	De quelle taille as-tu besoin?
ski	skier	Nous skions en hiver.
skiing	le ski	Le ski est amusant en hiver.
skin	la peau	Sa peau est sèche.
sky	le ciel	Le ciel est clair.
slowly	lentement	Marche lentement sur la glace.
smartphone	le smartphone	Mon smartphone est neuf.
smell	sentir	La soupe sent bon.
