hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
2002:哎呀	哎呀	哎呀	अरे; ओह	अरे, मैं चाबी घर पर भूल गया।	আরে; ওহ	আরে, আমি চাবিটা বাড়িতে ফেলে এসেছি।	naku; ay	Naku, naiwan ko ang susi sa bahay.
2005:安	安	安	शांत; सुरक्षित	बच्चे के सो जाने के बाद घर अचानक शांत हो गया।	শান্ত; নিরাপদ	শিশুটি ঘুমিয়ে পড়ার পর ঘরটা হঠাৎ শান্ত হয়ে গেল।	tahimik; payapa	Pagkatulog ng bata, biglang tumahimik ang bahay.
2006:安全带	安全带	安全带	सीट बेल्ट	गाड़ी चलाने से पहले कृपया सीट बेल्ट बांध लें।	সিট বেল্ট	গাড়ি চালানোর আগে দয়া করে সিট বেল্ট বাঁধুন।	sinturong pangkaligtasan	Pakisuot ang sinturong pangkaligtasan bago magmaneho.
2013:半夜	半夜	半夜	आधी रात; देर रात	आधी रात को किसी ने उसे फोन किया।	মধ্যরাত; গভীর রাত	মধ্যরাতে কেউ তাকে ফোন করেছিল।	hatinggabi	May tumawag sa kanya nang hatinggabi.
2020:宝	宝	宝	खज़ाना; प्यारा बच्चा	यह पुराना जेड हमारे घर का खज़ाना है।	ধন; আদরের জন	এই পুরোনো জেড পাথরটি আমাদের পরিবারের ধন।	yaman; mahal sa buhay	Ang lumang jade na ito ang yaman ng pamilya.
2021:保	保	保	बचाना; सुरक्षित रखना	हमें इस जंगल के टुकड़े को बचाए रखना है।	রক্ষা করা; ধরে রাখা	আমাদের এই বনভূমিটা রক্ষা করতে হবে।	protektahan; panatilihin	Kailangan nating protektahan ang bahaging ito ng kagubatan.
2022:保安	保安	保安	सुरक्षा गार्ड; सुरक्षा	दरवाजे पर सुरक्षा गार्ड ने मेरा पहचान-पत्र जांचा।	নিরাপত্তারক্ষী; নিরাপত্তা	দরজার নিরাপত্তারক্ষী আমার পরিচয়পত্র পরীক্ষা করলেন।	guwardiya; seguridad	Sinuri ng guwardiya sa pasukan ang aking ID.
2029:保质期	保质期	保质期	समाप्ति अवधि; शेल्फ लाइफ	दूध खरीदने से पहले समाप्ति तिथि देखनी चाहिए।	মেয়াদ; সংরক্ষণকাল	দুধ কেনার আগে মেয়াদ দেখে নিতে হয়।	petsa ng bisa; shelf life	Tingnan muna ang petsa ng bisa bago bumili ng gatas.
2034:暴雨	暴雨	暴雨	मूसलाधार बारिश	मूसलाधार बारिश के बाद सड़क पर बहुत पानी जमा हो गया।	মুষলধারে বৃষ্টি	মুষলধারে বৃষ্টির পর রাস্তায় অনেক পানি জমেছে।	malakas na ulan	Pagkatapos ng malakas na ulan, maraming tubig ang naipon sa daan.
2037:背后	背后	背后	पीछे; पृष्ठभूमि	सफलता के पीछे बहुत मेहनत होती है।	পেছনে; পটভূমি	সাফল্যের পেছনে অনেক পরিশ্রম থাকে।	sa likod; pinagmulan	Maraming pagsisikap ang nasa likod ng tagumpay.
2041:本地	本地	本地	स्थानीय	यह दुकान मुख्य रूप से स्थानीय फल बेचती है।	স্থানীয়	এই দোকান মূলত স্থানীয় ফল বিক্রি করে।	lokal	Pangunahing nagbebenta ng lokal na prutas ang tindahang ito.
2046:比分	比分	比分	स्कोर	मैच खत्म होने पर स्कोर तीन-दो था।	স্কোর	খেলা শেষ হলে স্কোর ছিল তিন-দুই।	iskor	Sa pagtatapos ng laban, tatlo sa dalawa ang iskor.
2049:必	必	必	ज़रूर; अनिवार्य रूप से	महत्वपूर्ण दस्तावेज़ पर व्यक्ति को स्वयं हस्ताक्षर करने होंगे।	অবশ্যই; অনিবার্যভাবে	গুরুত্বপূর্ণ নথিতে ব্যক্তিকে নিজে স্বাক্ষর করতে হবে।	dapat; tiyak	Ang mahalagang dokumento ay kailangang personal na pirmahan.
2052:闭幕式	闭幕式	闭幕式	समापन समारोह	खेलकूद प्रतियोगिता का समापन समारोह शाम को होगा।	সমাপনী অনুষ্ঠান	ক্রীড়া প্রতিযোগিতার সমাপনী অনুষ্ঠান রাতে হবে।	seremonya ng pagsasara	Gaganapin sa gabi ang seremonya ng pagsasara ng palaro.
2054:必需	必需	必需	आवश्यक होना	पानी और भोजन यात्रा में आवश्यक चीज़ें हैं।	আবশ্যক হওয়া; প্রয়োজনীয়	পানি আর খাবার ভ্রমণের জন্য আবশ্যক জিনিস।	mahalaga; kinakailangan	Mahalaga ang tubig at pagkain sa paglalakbay.
2057:变动	变动	变动	बदलाव	इस महीने की कार्य-व्यवस्था में बदलाव है।	পরিবর্তন	এই মাসের কাজের সময়সূচিতে পরিবর্তন আছে।	pagbabago	May pagbabago sa iskedyul ng trabaho ngayong buwan.
2059:便利店	便利店	便利店	सुविधा स्टोर	नीचे की सुविधा स्टोर चौबीस घंटे खुली रहती है।	সুবিধা দোকান	নিচের সুবিধা দোকানটি চব্বিশ ঘণ্টা খোলা থাকে।	tindahang laging bukas	Bukas nang dalawampu't apat na oras ang tindahang laging bukas sa ibaba.
2067:饼	饼	饼	रोटी जैसा केक; पैनकेक	मां ने सुबह मेरे लिए अंडे का पैनकेक बनाया।	পিঠা; প্যানকেক	মা সকালে আমার জন্য ডিমের প্যানকেক বানিয়েছেন।	pancake; tinapay na bilog	Ipinagluto ako ni Nanay ng pancake na may itlog kaninang umaga.
2068:病房	病房	病房	अस्पताल का वार्ड	नर्स मरीज को वार्ड में ले गई।	হাসপাতালের ওয়ার্ড	নার্স রোগীকে ওয়ার্ডে নিয়ে গেলেন।	ward sa ospital	Dinala ng nars ang pasyente sa ward.
2069:病情	病情	病情	बीमारी की हालत	डॉक्टर ने कहा कि उसकी हालत सुधर गई है।	রোগের অবস্থা	ডাক্তার বললেন তার রোগের অবস্থা উন্নত হয়েছে।	kalagayan ng sakit	Sabi ng doktor, bumuti na ang kalagayan ng kanyang sakit.
2070:拨打	拨打	拨打	नंबर मिलाना; कॉल करना	आग लगने पर आपातकालीन नंबर पर कॉल करें।	নম্বর ডায়াল করা; ফোন করা	আগুন লাগলে জরুরি নম্বরে ফোন করুন।	tumawag; i-dial	Kapag may sunog, tumawag sa emergency number.
2073:不利	不利	不利	प्रतिकूल; नुकसानदेह	तेज़ हवा प्रतियोगिता के लिए प्रतिकूल है।	প্রতিকূল; ক্ষতিকর	জোর বাতাস প্রতিযোগিতার জন্য প্রতিকূল।	hindi paborable	Hindi paborable sa paligsahan ang malakas na hangin.
2074:不幸	不幸	不幸	दुर्भाग्यपूर्ण; दुर्भाग्य	उसके बचपन में एक दुर्भाग्यपूर्ण दौर था।	দুর্ভাগ্যজনক; দুর্ভাগ্য	তার শৈশবে এক দুর্ভাগ্যজনক সময় ছিল।	malas; kapus-palad	May kapus-palad siyang karanasan noong bata pa siya.
