source_headword	KK	example_KK
ability	қабілет	Оның жүзу қабілеті анық.
able	қабілетті	Ол көмектесуге қабілетті.
abroad	шетелде	Ол шетелде оқиды.
accept	қабылдау	Өтініш, шақыруды қабылдаңыз.
accident	жазатайым оқиға	Кеше шағын жазатайым оқиға болды.
according to	бойынша	Есеп бойынша жоспар дайын.
achieve	жету	Ол мақсатына жетеді.
act	әрекет ету; ойнау	Ол тез әрекет етті.
active	белсенді	Ол өте белсенді.
actually	шын мәнінде	Шын мәнінде жауап осы.
advantage	артықшылық	Бұл ереженің артықшылығы бар.
adventure	шытырман оқиға	Олар жаңа шытырман оқиға бастады.
advertise	жарнамалау	Олар жаңа дүкенді жарнамалайды.
advertisement	жарнама	Бұл жарнама түрлі түсті.
advertising	жарнама ісі	Жарнама ісі қымбат.
affect	әсер ету	Ауа райы сапарға әсер етеді.
against	қарсы	Олар шешімге қарсы тұрды.
ah	а	А, енді түсіндім.
airline	әуе компаниясы	Бұл әуе компаниясы арзан.
alive	тірі	Өсімдік әлі тірі.
all right	бәрі дұрыс	Бәрі дұрыс.
allow	рұқсат ету	Олар итке ішке кіруге рұқсат етті.
almost	дерлік	Жұмыс дерлік бітті.
alone	жалғыз	Ол үйде жалғыз.
along	бойымен	Ол өзен бойымен жүрді.
already	қазірдің өзінде	Тамақ қазірдің өзінде дайын.
alternative	балама жол	Басқа балама жол бар.
although	дегенмен	Жаңбыр жауса да, біз бардық.
among	арасында	Балалар ағаштардың арасында ойнады.
amount	мөлшер	Судың мөлшері аз.
ancient	ежелгі	Бұл ежелгі ғибадатхана.
ankle	тобық	Оның тобығы ауырып тұр.
anybody	біреу	Мұнда біреу бар ма?
any more	енді	Мен енді күтпеймін.
anyway	бәрібір	Бәрібір, бастайық.
anywhere	кез келген жерде	Сіз кез келген жерде отыра аласыз.
app	қолданба	Бұл қолданба пайдалы.
appear	пайда болу	Жұлдыз сахнада пайда болды.
appearance	сыртқы көрініс	Оның сыртқы көрінісі өзгерді.
apply	өтініш беру; қолдану	Бұл жұмысқа өтініш беріңіз.
architect	сәулетші	Сәулетші жаңа үй сызды.
architecture	сәулет	Қаланың сәулеті әдемі.
argue	дауласу	Олар ақша туралы дауласты.
argument	дау	Бұл дау күшті.
army	әскер	Әскер ауылды қорғады.
arrange	реттеу	Орындықтарды реттеңіз.
arrangement	реттеу	Бұл реттеу жақсы.
asleep	ұйықтап жатқан	Сәби ұйықтап жатыр.
assistant	көмекші	Көмекші файлды әкелді.
athlete	спортшы	Бұл спортшы тез жүгіреді.
attack	шабуыл; шабуыл жасау	Шабуыл түнде басталды.
attend	қатысу	Ол жиналысқа қатысады.
attention	назар	Өтініш, назар аударыңыз.
attractive	тартымды	Сурет өте тартымды.
audience	көрермендер	Көрермендер қол соқты.
author	автор	Автор кітапқа қол қойды.
available	қолжетімді	Бөлме қазір қолжетімді.
average	орташа	Орташа баға төмен.
avoid	аулақ болу	Кептелістен аулақ болыңыз.
award	марапат	Ол марапат алды.
awful	өте жаман	Тамақ өте жаман болды.
background	фон	Суреттің фоны көк.
badly	жаман	Ол емтиханда жаман нәтиже көрсетті.
bar	бар; кедергі	Олар барда кездесті.
baseball	бейсбол	Бейсбол Америкада танымал.
based	негізделген	Әңгіме шындыққа негізделген.
basketball	баскетбол	Олар баскетбол ойнайды.
bean	бұршақ	Бұл бұршақ жасыл.
bear (animal)	аю	Аю орманда өмір сүреді.
beat	ұру; жеңу	Олар қарсы команданы жеңді.
beef	сиыр еті	Ол сиыр етін жемейді.
behave	өзін ұстау	Балалар өзін жақсы ұстайды.
behaviour	мінез-құлық	Оның мінез-құлқы достық.
belong	тиесілі болу	Бұл кітап маған тиесілі.
belt	белдік	Ол қара белдік тақты.
benefit	пайда	Жаттығудың үлкен пайдасы бар.
billion	миллиард	Компания миллиард теңге тұрады.
bin	қоқыс жәшігі	Қағазды қоқыс жәшігіне тастаңыз.
