simplified	HU	example_HU
哎	hé; jaj	Hé, mi szél hozott ide?
唉	jaj; sóhaj	Jaj, megint elkéstem.
爱护	gondoskodni; óvni	Óvnunk kell a környezetet.
爱惜	megbecsülni	Kérlek, becsüld meg a saját idődet.
爱心	szeretet; együttérzés	Nagyon gondoskodó ember.
安慰	vigasztalni	A barátom megvigasztalt.
安装	felszerelni; telepíteni	A munkás felszereli a légkondicionálót.
岸	part	A hajó lassan közeledik a parthoz.
暗	sötét	A szobában nagyon sötét van.
熬夜	későig fennmaradni	A későig fennmaradás árt az egészségnek.
把握	bizonyosság; esély	Nem vagyok biztos benne, hogy ezt jól meg tudom csinálni.
摆	elrendezni	Kérlek, rendezd el szépen a székeket.
办理	intézni	A bankba megyek ügyeket intézni.
傍晚	alkonyat; kora este	Este elmegyünk sétálni.
包裹	csomag	Kaptam egy csomagot.
包含	tartalmaz	Az ár tartalmazza a reggelit.
包括	magában foglal; tartalmaz	A díj tartalmazza az ebédet.
薄	vékony	Ez a könyv nagyon vékony.
保持	megtartani; fenntartani	Kérem, maradjanak csendben.
保存	megőrizni; menteni	Kérlek, mentsd el ezt a fájlt.
保留	fenntartani; megtartani	Kérlek, tarts fenn nekem egy helyet.
保险	biztosítás	Utasbiztosítást vettem.
宝贝	kincs; drágaság	Ez az én kincsem.
宝贵	értékes; becses	Az idő nagyon értékes.
报到	bejelentkezni; regisztrálni	Az új diákok ma jönnek beiratkozni az iskolába.
报道	tudósítás; beszámolni	A hírek beszámoltak erről az ügyről.
报告	jelentés; beszámoló	Éppen beszámolót tart.
报社	újság szerkesztősége	Egy újság szerkesztőségében dolgozik.
抱怨	panaszkodni	Mindig arra panaszkodik, hogy túl sok a munka.
悲观	pesszimista	Ne légy túl pesszimista.
背	hát	Háttal ül az ajtónak.
背景	háttér	Kérlek, röviden mutasd be a hátteredet.
被子	paplan	A paplan nagyon meleg.
本科	alapképzés; egyetemista	Alapképzésben tanuló hallgató.
本领	képesség; készség	Új készséget tanult.
本质	lényeg	A probléma lényege nagyon egyszerű.
彼此	egymás	Tisztelnünk kell egymást.
比例	arány	A férfiak és nők aránya nagyjából azonos.
必然	elkerülhetetlen	A kemény munka elkerülhetetlenül eredményt hoz.
必要	szükséges	Nincs szükség aggodalomra.
毕竟	végül is	Végül is még gyerek.
避免	elkerülni	Kérlek, kerüld el a késést.
编辑	szerkeszteni; szerkesztő	Ő felel ennek a cikknek a szerkesztéséért.
