source_headword	JA	example_JA
crawl	這う	赤ちゃんはカーペットの上を這い始めた。
creator	クリエイター	クリエイターは皆の支援に感謝した。
credibility	信頼性	証人は尋問中に信頼性を失った。
credible	信頼できる	報告書は信頼できる証拠を提示した。
creep	忍び寄る	霧が谷に忍び寄り始めた。
critique	批評	教授は詳細な批評を行った。
crown	王冠	女王は銀の王冠を被っていた。
crude	雑な	その絵は雑だったが明確だった。
crush	押しつぶす	重い岩はパイプを押しつぶすことがある。
crystal	水晶	水晶が朝の光を反射した。
cult	カルト	そのカルトはメンバーを孤立させた。
cultivate	栽培する	農民はこの地域で米を栽培している。
curiosity	好奇心	好奇心が彼女を科学へと導いた。
custody	親権	子供は父親の親権の下に留まった。
cutting	切り抜き	新聞は彼に関する切り抜きを掲載した。
cynical	冷笑的な	彼の冷笑的な発言がチームを動揺させた。
dam	ダム	ダムは川の水をせき止めている。
damaging	有害な	その有害な記事はキャンペーンに悪影響を与えた。
dawn	夜明け	私たちは夜明けに村を出発した。
debris	がれき	嵐のがれきが道路を塞いだ。
debut	デビュー	彼女のデビューは全国的な注目を集めた。
decision-making	意思決定	良い意思決定には明確な情報が必要である。
decisive	決定的な	彼女の決定的な行動が更なる被害を防いだ。
declaration	宣言	大臣は正式な宣言を読み上げた。
dedicated	献身的な	献身的な看護師は徹夜で働いた。
dedication	献身	彼の献身は若い選手たちを奮い立たせた。
deed	行い	その勇敢な行いは2つの命を救った。
deem	みなす	裁判所はその契約を無効とみなすかもしれない。
default	デフォルト	今のところはデフォルト設定を使用してください。
defect	欠陥	検査官は重大な欠陥を発見した。
defensive	防御的な	彼の防御的な口調は皆を驚かせた。
deficiency	不足	鉄分の不足は健康に影響を及ぼす可能性がある。
deficit	赤字	予算の赤字が役人たちを悩ませた。
defy	逆らう	抗議者たちは禁止令に逆らうことを選んだ。
delegate	代表者	各代表者は投票カードを受け取った。
delegation	代表団	代表団は正午前に到着した。
delicate	繊細な	その繊細なガラスは簡単に割れた。
demon	悪魔	その物語は古代の悪魔について説明している。
denial	否定	彼の否定は被害者を怒らせた。
denounce	非難する	指導者たちは学校での暴力を非難している。
dense	密集した	鬱蒼とした森が日光を遮った。
density	密度	都心部は人口密度が高い。
dependence	依存	その国の石油への依存は低下した。
depict	描く	その壁画は村の生活を描いている。
deploy	配置する	軍は追加のスタッフを配置する予定だ。
deployment	配置	部隊の配置は月曜日に始まった。
deprive	奪う	睡眠不足は学生から集中力を奪うことがある。
deputy	代理	代理人が合意書に署名した。
descend	降りる	道は急に下り始めた。
descent	降下	飛行機は降下を開始した。
designate	指定する	市は新しい公園を指定する。
desirable	望ましい	教室では良い照明が望ましい。
desktop	デスクトップ	ファイルは私のデスクトップにある。
destructive	破壊的な	その嵐は破壊的な力を持っていた。
detain	拘束する	警察は容疑者を一晩拘束することがある。
detection	発見	早期発見はがん治療を改善する。
detention	拘置	学生たちは拘置条件に抗議した。
deteriorate	悪化する	彼の健康は悪化し始めた。
devastate	壊滅させる	地震は沿岸の町を壊滅させる可能性がある。
devil	悪魔	その子供は微笑んでいる悪魔を描いた。
devise	考案する	エンジニアはより安全な輸送システムを考案する。
diagnose	診断する	医師は血液検査でその病気を診断する。
diagnosis	診断	その診断は彼女の症状を説明した。
dictate	指示する	契約が支払い条件を決定づける。
dictator	独裁者	独裁者がメディアを統制した。
differentiate	区別する	事実と意見を区別できますか？
dignity	尊厳	誰もが職場で尊厳を持つ権利がある。
dilemma	ジレンマ	マネージャーは深刻なジレンマに直面した。
dimension	側面	その問題には政治的な側面がある。
diminish	減少する	痛みはゆっくりと和らぐはずだ。
dip	下がる	気温が氷点下まで下がるかもしれない。
diplomat	外交官	その外交官は外国の指導者たちと会談した。
diplomatic	外交的な	外交交渉は夜通し続いた。
directory	ディレクトリ	彼の番号をディレクトリで検索してください。
disastrous	悲惨な	その悲惨な洪水はいくつかの橋を破壊した。
discard	捨てる	役立つ記録を捨てないでください。
discharge	退院させる	病院は明日彼を退院させる。
disclose	公開する	役人たちは数字の公開を拒否した。
disclosure	暴露	その暴露は取締役会に衝撃を与えた。
discourse	談話	公の談話はより丁寧になった。
discretion	裁量	敏感なケースにはあなたの裁量を用いてください。
discrimination	差別	法律は雇用における差別を禁じている。
dismissal	解雇	彼の解雇は世間の怒りを買った。
displace	立ち退かせる	その戦争は何千人もの人々を立ち退かせるかもしれない。
disposal	処分	廃棄物の処分は依然として地域の問題である。
dispose	処分する	企業は化学物質を安全に処分しなければならない。
dispute	紛争	その紛争は数ヶ月続いた。
disrupt	妨げる	騒音は集中を妨げる可能性がある。
disruption	混乱	ストライキは大きな混乱を引き起こした。
dissolve	溶ける	砂糖は熱いお茶に溶ける。
distinction	区別	それらの区別は重要である。
distinctive	独特な	彼女は独特な声をしている。
distort	歪曲する	鏡はあなたの反射を歪ませることがある。
distress	苦痛	その電話は深刻な苦痛を引き起こした。
disturbing	衝撃的な	そのドキュメンタリーは衝撃的なシーンを映し出した。
divert	迂回させる	警察は交通を迂回させなければならなかった。
divine	神聖な	その礼拝堂には神聖な雰囲気がある。
doctrine	教義	その党は古い教義を拒否した。
documentation	文書	立ち上げ前に文書を完成させてください。
domain	ドメイン	そのウェブサイトは安全なドメインを使用している。
dominance	支配	そのチームの支配は10年続いた。
donor	提供者 / ドナー	ドナーは今日献血をした。
dose	服用量 / 1回分	朝食後に1回分を服用してください。
drain	排出する / 流れ出る	水は川に流れ出る。
drift	漂う	煙が道路を漂い始めた。
driving	推進する / 主要な	雨が遅延の主要な要因だった。
drown	溺死させる / 溺れる	流れに溺れる可能性がある場所では絶対に泳がないでください。
dual	二重の / デュアル	その装置には二重の機能がある。
dub	呼ぶ / 名付ける	批評家たちはその都市を文化の首都と呼んでいる。
dumb	ばかげた / 愚かな	それはばかげた間違いだった。
duo	コンビ / デュオ	そのお笑いコンビはヨーロッパをツアーした。
eager	熱望して / 熱心な	生徒たちは始めるのを熱望していた。
earnings	収益 / 利益	会社の収益は急激に増加した。
ease	容易さ / 和らげる	新しい道路は交通渋滞を和らげるだろう。
echo	響く / 反響する	彼女の声がホールに響き渡った。
ecological	生態学的な / 環境の	環境への影響は依然として不確実である。
educator	教育者	その教育者は新しいコースを設計した。
effectiveness	有効性	その研究はワクチンの有効性を測定した。
efficiency	効率	より優れたソフトウェアが効率を向上させた。
ego	自我 / エゴ	彼のエゴは職場で問題を引き起こした。
elaborate	念入りな / 精巧な	その精巧な衣装には何週間もかかった。
electoral	選挙の	選挙制度は昨年変更された。
elevate	高める / 持ち上げる	その賞は彼女の知名度を高めるだろう。
eligible	資格のある	居住者のみが割引を受ける資格がある。
elite	エリート / 精鋭	エリートは私立の学校で訓練を受けた。
embark	乗り出す / 始める	彼らは長い旅に出発するだろう。
embarrassment	恥ずかしさ / 当惑	彼は恥ずかしさを隠すために笑った。
embassy	大使館	大使館は新しい渡航勧告を発表した。
embed	埋め込む / 従軍する	そのジャーナリストは部隊に従軍するだろう。
embody	体現する / 具体化する	その彫像は勇気を体現しているようだ。
emergence	出現 / 発生	電話の出現は日常生活を変えた。
empirical	経験的な / 実証的な	その論文は実証的な証拠に依存している。
empower	権限を与える / 力づける	教育は地域社会に力を与えることができる。
enact	制定する / 成立させる	議会はその改革を成立させるために投票した。
encompass	包含する / 網羅する	そのコースは現代史を網羅するだろう。
encouragement	励まし	彼女の励ましが彼が続ける助けとなった。
encouraging	元気づける / 有望な	初期の結​​果は有望に見える。
endeavour	努力 / 試み	その救助は困難な試みだった。
endless	終わりのない / 無限の	砂漠は果てしなく続くように見えた。
endorse	支持する / 承認する	組合はその候補者を支持することを拒否した。
endorsement	支持 / 承認	彼の支持が彼女の選挙運動を後押しした。
endure	耐える / 持ちこたえる	植物は厳しい冬に耐えることができる。
enforce	施行する / 守らせる	警察は制限速度を施行している。
enforcement	施行 / 執行	取り締まりの強化により不法投棄が減少した。
engagement	参加 / 関与	今学期は学生の参加度が高まった。
engaging	魅力的な / 引きつける	その講演者は魅力的な話をした。
enquire	尋ねる / 問い合わせる	フロントでお問い合わせください。
enrich	豊かにする	旅行はあなたの理解を深めることができる。
enrol	登録する / 入学する	学生は9月までに登録しなければならない。
ensue	続いて起こる / 結果として起こる	発表後に混乱が生じる可能性がある。
enterprise	企業 / 事業	その企業は地元のアーティストを雇用している。
enthusiast	愛好家 / 熱狂的なファン	自転車愛好家なら誰でもこのルートを知っている。
entitle	権利を与える	そのチケットで入場できる権利が得られる。
entity	実体 / 事業体	その会社は独立した法人である。
epidemic	流行 / 伝染病	その伝染病はいくつかの地域に広がった。
equality	平等	その運動は平等のために戦った。
equation	方程式	その方程式には2つの未知数が含まれている。
erect	建てる / 建設する	作業員たちは新しいフェンスを建てるだろう。
escalate	エスカレートする / 悪化する	紛争は急速に悪化する可能性がある。
essence	本質 / 真髄	その詩は子供時代の本質を捉えている。
establishment	機関 / 支配層	支配層はその改革に反対した。
eternal	永遠の	彼らは永遠の友情を誓った。
evacuate	避難させる / 立ち退かせる	消防士は住民が安全に避難するのを助けた。
evoke	呼び起こす / 喚起する	その歌は強い記憶を呼び起こすことがある。
evolutionary	進化の	その化石は進化の変化を示している。
exaggerate	誇張する	自分の経験を誇張しないでください。
excellence	優秀さ / 卓越	その学校は学業の優秀さを表彰している。
exceptional	例外的な / 非常に優れた	彼女は並外れたスキルを見せた。
excess	過剰 / 超過	余分な水が地下室を浸水させた。
exclusion	除外 / 排除	社会的排除は若者に悪影響を及ぼす。
exclusive	排他的な / 独占的な	そのクラブは独占的なアクセスを提供している。
exclusively	排他的に / 独占的に	この部屋はスタッフ専用です。
execute	実行する	チームは慎重に計画を実行するだろう。
execution	実行 / 遂行	その戦略の実行には数か月かかった。
exert	行使する / 発揮する	もっと圧力をかけなければならない。
exile	亡命 / 追放	その作家は亡命生活を送った。
expenditure	支出 / 経費	公共支出は昨年増加した。
experimental	実験的な	その治療法はまだ実験段階である。
expire	期限が切れる	私のパスポートはもうすぐ期限が切れる。
explicit	明白な / 露骨な	指示は明確だった。
explicitly	明白に	規則は喫煙を明確に禁じている。
exploitation	搾取 / 開発	その報告書は労働者の搾取を暴露した。
explosive	爆発性の / 爆発的な	爆発物は安全に撤去された。
extremist	過激派	過激派グループは支持を失った。
facilitate	促進する / 容易にする	そのアプリはリモート学習を促進するだろう。
faction	派閥 / 派	ある派閥がリーダーに反対した。
faculty	教授陣 / 学部	教授陣はその提案を承認した。
fade	色あせる / 薄れる	その塗料は日光で色あせるだろう。
fairness	公平さ	どんな競技においても公平さは重要である。
fatal	致命的な	その事故は致命傷を引き起こした。
fate	運命	誰も彼の運命を知らなかった。
favourable	好意的な / 有利な	その評価は好意的なものだった。
feat	偉業 / 功績	あの峰を登りきったことは偉業だった。
feminist	フェミニストの	フェミニスト運動は公共の議論を変えた。
fibre	繊維	このパンには食物繊維が多く含まれている。
fierce	激しい / 猛烈な	激しい嵐が屋根に損傷を与えた。
film-maker	映画製作者 / 映画監督	映画製作者はその後質問に答えた。
filter	フィルター	そのフィルターは空気中のほこりを取り除く。
fine	罰金	その会社は罰金を支払った。
firearm	銃器	警察官は盗まれた銃器を回収した。
fit	フィット	新しい靴はぴったりフィットしています。
fixture	備え付けの物	そのランプは常設の設備です。
flaw	欠陥	その設計には重大な欠陥が一つあります。
flawed	欠陥のある	その欠陥のある研究は誤った結果を出しました。
flee	逃げる	家族は戦闘から逃れなければなりませんでした。
fleet	航空機材	その航空会社は保有機材を更新しました。
flesh	肉	棘が彼の肉に刺さりました。
flexibility	柔軟性	リモートワークはより多くの柔軟性を提供します。
flourish	繁栄する	小規模ビジネスはここで繁栄することができます。
fluid	水分	運動後は水分をたっぷり摂りましょう。
footage	映像	映像は衝突の瞬間を映していました。
foreigner	外国人	用紙には外国人かどうかを尋ねる項目があります。
forge	築く	彼らは新たな同盟を築こうとしました。
formula	公式	その公式が問題を解決しました。
formulate	策定する	科学者たちは新しい理論を策定します。
forth	前へ	川はボートを前方へ運びました。
forthcoming	今度の	今度の報告書がすべてを説明するでしょう。
foster	育む	そのプログラムは自立を育むのに役立ちます。
fragile	壊れやすい	その壊れやすい花瓶は慎重に扱う必要があります。
franchise	フランチャイズ	そのレストランは世界的なフランチャイズになりました。
frankly	率直に言って	率直に言って、もっと時間が必要です。
frustrated	苛立っている	労働者たちは遅れに苛立ちを感じました。
frustrating	苛立たしい	接続が遅いのは苛立たしいことでした。
frustration	フラストレーション	会議中にフラストレーションが高まりました。
functional	機能的な	古いキッチンはまだ機能しています。
fundraising	資金調達	資金調達は来週始まります。
funeral	葬儀	葬儀は金曜日に行われました。
gallon	ガロン	そのタンクは1ガロン入ります。
gambling	ギャンブル	ギャンブルは法律で制限されています。
gathering	集会	その集会は平和裏に終わりました。
gaze	視線	彼女は少しの間、彼の視線を受け止めました。
gear	用具	登る前に安全用具を詰めてください。
generic	一般的な	ジェネリック版の方が安価です。
genocide	ジェノサイド	ジェノサイドは深い国家的トラウマを残しました。
glance	ちらりと見ること	彼はすばやくちらりと見ました。
glimpse	垣間見ること	海がちらりと見えました。
glorious	素晴らしい	チームは栄光の勝利を味わいました。
glory	栄光	彼女はオリンピックの栄光を夢見ていました。
governance	ガバナンス	優れたガバナンスには透明性が必要です。
grace	潔さ	彼女は潔く敗北を受け入れました。
grasp	理解する	彼はその概念を理解できませんでした。
grave (for dead person)	墓	墓は花で覆われていました。
grave (serious)	深刻な	状況は依然として深刻です。
gravity	重力	重力は物体を地球に向かって引っ張ります。
grid	グリッド	その地図はシンプルなグリッドを使用しています。
grief	深い悲しみ	深い悲しみが彼の家族全体を変えました。
grin	にっこり笑うこと	少年は満面の笑みを浮かべました。
grind	挽く	労働者たちは毎朝豆を挽きます。
