simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
白天	දිවා කාලය; දවල්	දවල්ට මම පාසලේ ඉගෙන ගන්නවා.	பகல்; பகல் நேரம்	பகலில் நான் பள்ளியில் படிக்கிறேன்.	పగలు; పగటి సమయం	పగటిపూట నేను పాఠశాలలో చదువుతాను.	ಹಗಲು; ಹಗಲು ಸಮಯ	ಹಗಲು ನಾನು ಶಾಲೆಯಲ್ಲಿ ಓದುತ್ತೇನೆ.	പകൽ; പകൽ സമയം	പകൽ ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു.	күндіз; күндізгі уақыт	Күндіз мектепте оқимын.	დღე; დღისით	დღისით სკოლაში ვსწავლობ.	ցերեկ; օրվա ընթացքում	Ցերեկը դպրոցում եմ սովորում։
边	පැත්ත; අද්දර	පොත මේසය අසල තියෙනවා.	பக்கம்; ஓரம்	புத்தகம் மேசையின் பக்கத்தில் இருக்கிறது.	పక్క; అంచు	పుస్తకం బల్ల పక్కన ఉంది.	ಬದಿ; ಅಂಚು	ಪುಸ್ತಕ ಮೇಜಿನ ಪಕ್ಕದಲ್ಲಿದೆ.	വശം; അരിക്	പുസ്തകം മേശയുടെ അരികിലാണ്.	жақ; шет	Кітап үстелдің жанында тұр.	მხარე; კიდე	წიგნი მაგიდის გვერდით არის.	կողմ; եզր	Գիրքը սեղանի կողքին է։
病	රෝගය; අසනීප වීම	ඔහු අසනීපයි.	நோய்; உடம்பு சரியில்லாத நிலை	அவர் உடம்பு சரியில்லை.	వ్యాధి; అనారోగ్యం	అతను అనారోగ్యంగా ఉన్నాడు.	ರೋಗ; ಅಸ್ವಸ್ಥತೆ	ಅವನು ಅಸ್ವಸ್ಥನಾಗಿದ್ದಾನೆ.	രോഗം; അസുഖം	അവന് അസുഖമാണ്.	ауру; ауыру	Ол ауырып тұр.	ავადმყოფობა; ავად ყოფნა	ის ავად არის.	հիվանդություն; հիվանդ լինել	Նա հիվանդ է։
不要	එපා; නොකැමති වීම	කෝපි වැඩියෙන් බොන්න එපා.	வேண்டாம்; விரும்பாதிரு	அதிக காபி குடிக்காதே.	వద్దు; కోరుకోకపోవడం	చాలా కాఫీ తాగొద్దు.	ಬೇಡ; ಬಯಸದೆ ಇರು	ತುಂಬಾ ಕಾಫಿ ಕುಡಿಯಬೇಡ.	വേണ്ട; ആഗ്രഹിക്കാതിരിക്കുക	കാപ്പി അധികം കുടിക്കരുത്.	болмайды; қаламау	Кофені тым көп ішпе.	არ; არ გინდოდეს	ყავა ძალიან ბევრი არ დალიო.	մի; չցանկանալ	Շատ սուրճ մի խմիր։
唱	ගායනා කිරීම	මගේ නංගි චීන ගීත ගායනා කරන්න කැමතියි.	பாடுதல்	என் தங்கை சீனப் பாடல்கள் பாட விரும்புகிறாள்.	పాడటం	నా చెల్లి చైనీస్ పాటలు పాడడం ఇష్టపడుతుంది.	ಹಾಡುವುದು	ನನ್ನ ತಂಗಿಗೆ ಚೀನೀ ಹಾಡುಗಳನ್ನು ಹಾಡುವುದು ಇಷ್ಟ.	പാടുക	എന്റെ ചെറുസഹോദരി ചൈനീസ് പാട്ടുകൾ പാടാൻ ഇഷ്ടപ്പെടുന്നു.	ән айту	Қарындасым қытай әндерін айтқанды ұнатады.	სიმღერა	ჩემს უმცროს დას ჩინური სიმღერების სიმღერა უყვარს.	երգել	Քույրս սիրում է չինարեն երգեր երգել։
车	කාර් එක; වාහනය	දොර අසල කාර් එකක් තියෙනවා.	கார்; வாகனம்	கதவின் அருகில் ஒரு கார் இருக்கிறது.	కారు; వాహనం	తలుపు దగ్గర ఒక కారు ఉంది.	ಕಾರು; ವಾಹನ	ಬಾಗಿಲಿನ ಬಳಿ ಕಾರಿದೆ.	കാർ; വാഹനം	വാതിലിന് സമീപം ഒരു കാർ ഉണ്ട്.	көлік; машина	Есіктің жанында көлік тұр.	მანქანა; სატრანსპორტო საშუალება	კართან მანქანა დგას.	մեքենա; տրանսպորտային միջոց	Դռան մոտ մեքենա կա։
大学	විශ්වවිද්‍යාලය	මගේ අයියා විශ්වවිද්‍යාලයේ ඉගෙන ගන්නවා.	பல்கலைக்கழகம்	என் அண்ணன் பல்கலைக்கழகத்தில் படிக்கிறார்.	విశ్వవిద్యాలయం	నా అన్నయ్య విశ్వవిద్యాలయంలో చదువుతున్నాడు.	ವಿಶ್ವವಿದ್ಯಾಲಯ	ನನ್ನ ಅಣ್ಣ ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಓದುತ್ತಾನೆ.	സർവകലാശാല	എന്റെ ചേട്ടൻ സർവകലാശാലയിൽ പഠിക്കുന്നു.	университет	Ағам университетте оқиды.	უნივერსიტეტი	ჩემი უფროსი ძმა უნივერსიტეტში სწავლობს.	համալսարան	Ավագ եղբայրս համալսարանում է սովորում։
大学生	විශ්වවිද්‍යාල ශිෂ්‍යයා	ඇය විශ්වවිද්‍යාල ශිෂ්‍යාවක්.	பல்கலைக்கழக மாணவர்	அவள் பல்கலைக்கழக மாணவி.	విశ్వవిద్యాలయ విద్యార్థి	ఆమె విశ్వవిద్యాలయ విద్యార్థిని.	ವಿಶ್ವವಿದ್ಯಾಲಯ ವಿದ್ಯಾರ್ಥಿ	ಅವಳು ವಿಶ್ವವಿದ್ಯಾಲಯ ವಿದ್ಯಾರ್ಥಿನಿ.	സർവകലാശാല വിദ്യാർത്ഥി	അവൾ സർവകലാശാല വിദ്യാർത്ഥിനിയാണ്.	университет студенті	Ол университет студенті.	უნივერსიტეტის სტუდენტი	ის უნივერსიტეტის სტუდენტია.	համալսարանի ուսանող	Նա համալսարանի ուսանողուհի է։
第	අනුක්‍රමික අංක පූර්වපදය	මේ පළමු පාඩමයි.	வரிசை எண்ணுக்கான முன்னொட்டு	இது முதல் பாடம்.	క్రమసంఖ్య ఉపసర్గ	ఇది మొదటి పాఠం.	ಕ್ರಮಸಂಖ್ಯೆಯ ಪೂರ್ವಪ್ರತ್ಯಯ	ಇದು ಮೊದಲ ಪಾಠ.	ക്രമസംഖ്യാ ഉപസർഗം	ഇത് ആദ്യ പാഠമാണ്.	реттік сан префиксі	Бұл бірінші сабақ.	რიგობითი რიცხვის პრეფიქსი	ეს პირველი გაკვეთილია.	դասական համարի նախածանց	Սա առաջին դասն է։
店	කඩය	මේ කඩය කුඩායි.	கடை	இந்த கடை சிறியது.	దుకాణం	ఈ దుకాణం చిన్నది.	ಅಂಗಡಿ	ಈ ಅಂಗಡಿ ಚಿಕ್ಕದು.	കട	ഈ കട ചെറിയതാണ്.	дүкен	Бұл дүкен кішкентай.	მაღაზია	ეს მაღაზია პატარაა.	խանութ	Այս խանութը փոքր է։
