source_headword	DE	example_DE
abolish	abschaffen	Das Gesetz wird die alte Gebühr abschaffen.
abortion	die Abtreibung	Die Abtreibung bleibt ein sensibles medizinisches Thema.
absence	die Abwesenheit	Ihre Abwesenheit verzögerte die endgültige Entscheidung.
absent	abwesend	Zwei Mitglieder waren im Unterricht abwesend.
absurd	absurd	Die Behauptung klang für alle absurd.
abundance	der Überfluss	Das Tal hat einen Überfluss an Wasser.
abuse	der Missbrauch	Der Bericht beschrieb Missbrauch am Arbeitsplatz.
academy	die Akademie	Die Akademie bildet junge Musiker aus.
accelerate	beschleunigen	Die neuen Mittel werden die Forschung beschleunigen.
acceptance	die Akzeptanz	Seine Akzeptanz der Kritik hat mich beeindruckt.
accessible	zugänglich	Das Museum ist für Rollstuhlfahrer zugänglich.
accomplishment	die Leistung	Das Buch zu beenden war eine echte Leistung.
accordance	die Übereinstimmung	Die Arbeit wurde in Übereinstimmung mit der Richtlinie erledigt.
accordingly	dementsprechend	Die Beweislage änderte sich und wir handelten dementsprechend.
accountability	die Verantwortlichkeit	Die Richtlinie erhöht die Verantwortlichkeit der Manager.
accountable	verantwortlich	Manager sind für die Sicherheit verantwortlich.
accumulate	ansammeln	Staub kann sich hinter dem Bildschirm ansammeln.
accumulation	die Ansammlung	Die Ansammlung von Daten dauerte Monate.
accusation	die Beschuldigung	Die Beschuldigung schockierte den Ausschuss.
accused	der Angeklagte	Der Angeklagte erschien vor Gericht.
acquisition	der Erwerb	Der Erwerb vergrößerte das Unternehmen schnell.
acre	der Morgen	Der Bauernhof umfasst einen Morgen.
activation	die Aktivierung	Die Aktivierung der Karte dauert Minuten.
activist	der Aktivist	Der Aktivist sprach auf der Kundgebung.
acute	akut	Sie spürte nach dem Laufen einen akuten Schmerz.
adaptation	die Adaption	Die Adaption veränderte das Ende des Romans.
adhere	einhalten	Das Personal muss die Sicherheitsregeln einhalten.
adjacent	angrenzend	Das Hotel ist angrenzend an den Bahnhof.
adjustment	die Anpassung	Eine kleine Anpassung behob das Problem.
administer	verabreichen	Krankenschwestern verabreichen den Impfstoff sorgfältig.
administrative	administrativ	Das administrative Personal bearbeitet die Formulare.
administrator	der Administrator	Der Administrator hat mein Passwort zurückgesetzt.
admission	der Eintritt	Der Eintritt ins Museum ist frei.
adolescent	der Jugendliche	Der Jugendliche brauchte zusätzliche Unterstützung.
adoption	die Adoption	Die Adoption gab dem Kind ein stabiles Zuhause.
adverse	nachteilig	Das Medikament verursachte nachteilige Wirkungen.
advocate	der Fürsprecher	Der Fürsprecher verteidigte die Rechte der Mieter.
aesthetic	ästhetisch	Das Zimmer hat einen ruhigen ästhetischen Stil.
affection	die Zuneigung	Sie zeigte Zuneigung für ihre Familie.
aftermath	die Nachwirkungen	Die Nachwirkungen des Sturms waren schwierig.
