source_headword	FI	example_FI
abolish	lakkauttaa	Laki lakkauttaa vanhan maksun.
abortion	abortti	Abortti pysyy herkkänä lääketieteellisenä kysymyksenä.
absence	poissaolo	Hänen poissaolonsa viivytti lopullista päätöstä.
absent	poissaoleva	Kaksi jäsentä oli poissaolevia tunnilta.
absurd	absurdi	Väite kuulosti kaikkien mielestä absurdilta.
abundance	runsaus	Laaksossa on runsaasti vettä.
abuse	väärinkäyttö	Raportti kuvaili työpaikan väärinkäyttöä.
academy	akatemia	Akatemia kouluttaa nuoria muusikoita.
accelerate	kiihdyttää	Uusi rahoitus kiihdyttää tutkimusta.
acceptance	hyväksyntä	Hänen hyväksyntänsä kritiikille teki minuun vaikutuksen.
accessible	saavutettava	Museo on saavutettava pyörätuolin käyttäjille.
accomplishment	saavutus	Kirjan lopettaminen oli todellinen saavutus.
accordance	mukaisuus	Työ tehtiin käytännön mukaisesti.
accordingly	vastaavasti	Todisteet muuttuivat, ja me toimimme vastaavasti.
accountability	vastuuvelvollisuus	Käytäntö lisää johtajien vastuuvelvollisuutta.
accountable	vastuuvelvollinen	Johtajat ovat vastuuvelvollisia turvallisuudesta.
accumulate	kertyä	Pölyä voi kertyä näytön taakse.
accumulation	kertyminen	Tiedon kertyminen vei kuukausia.
accusation	syytös	Syytös järkytti komiteaa.
accused	syytetty	Syytetty ilmestyi oikeuteen.
acquisition	yrityskauppa	Yrityskauppa laajensi yritystä nopeasti.
acre	eekkeri	Maatila kattaa yhden eekkerin.
activation	aktivointi	Kortin aktivointi vie minuutteja.
activist	aktivisti	Aktivisti puhui mielenosoituksessa.
acute	akuutti	Hän tunsi akuuttia kipua juoksemisen jälkeen.
adaptation	sovitus	Sovitus muutti romaanin loppua.
adhere	noudattaa	Henkilökunnan on noudatettava turvallisuussääntöjä.
adjacent	viereinen	Hotelli on aseman viereinen.
adjustment	säätö	Pieni säätö korjasi ongelman.
administer	antaa	Sairaanhoitajat antavat rokotteen huolellisesti.
administrative	hallinnollinen	Hallinnollinen henkilökunta käsittelee lomakkeet.
administrator	järjestelmänvalvoja	Järjestelmänvalvoja nollasi salasanani.
admission	sisäänpääsy	Sisäänpääsy museoon on ilmainen.
adolescent	nuori	Nuori tarvitsi ylimääräistä tukea.
adoption	adoptio	Adoptio antoi lapselle vakaan kodin.
adverse	haitallinen	Lääke aiheutti haitallisia vaikutuksia.
advocate	puolestapuhuja	Puolestapuhuja puolusti vuokralaisten oikeuksia.
aesthetic	esteettinen	Huoneessa on rauhallinen esteettinen tyyli.
affection	kiintymys	Hän osoitti kiintymystä perhettään kohtaan.
aftermath	jälkiseuraukset	Myrskyn jälkiseuraukset olivat vaikeita.
aggression	aggressio	Opettaja huomasi aggressiota välitunnilla.
agricultural	maatalous-	Maatalousvienti kasvoi tänä vuonna.
aide	avustaja	Avustaja järjesti ministerin aikataulun.
albeit	vaikkakin	Suunnitelma toimi, vaikkakin hitaasti.
alert	hälyttää	Hälytä henkilökuntaa välittömästi.
align	kohdistaa	Nuolet on kohdistettu tien kanssa.
alignment	suuntaus	Pyörien suuntaus paransi auton ohjattavuutta.
alike	samalla tavalla	Kaksoset pukeutuvat samalla tavalla viikonloppuisin.
allegation	väite	Väite ilmestyi sanomalehdessä.
allege	väittää	He väittävät, että varoja katosi.
allegedly	väitetysti	Kuljettaja jätti väitetysti varoituksen huomiotta.
alliance	liittouma	Puolueet muodostivat väliaikaisen liittouman.
allocate	kohdentaa	Kaupunki kohdentaa rahaa kouluille.
