source_headword	HY	example_HY
crawl	սողալ	Երեխան սկսեց սողալ գորգի վրայով։
creator	ստեղծող	Ստեղծողը շնորհակալություն հայտնեց բոլորին աջակցության համար։
credibility	արժանահավատություն	Վկան կորցրեց իր արժանահավատությունը հարցաքննության ընթացքում։
credible	հավաստի	Զեկույցը ներկայացրեց հավաստի ապացույցներ։
creep	սողոսկել	Մառախուղը սկսեց սողոսկել հովտով։
critique	քննադատություն	Պրոֆեսորը մանրամասն քննադատություն ներկայացրեց։
crown	թագ	Թագուհին կրում էր արծաթե թագ։
crude	կոպիտ	Նկարը կոպիտ էր, բայց պարզ։
crush	ջարդել	Ծանր քարերը կարող են ջարդել խողովակը։
crystal	բյուրեղ	Բյուրեղն արտացոլեց առավոտյան լույսը։
cult	պաշտամունք	Կուլտը մեկուսացրեց իր անդամներին։
cultivate	մշակել	Ֆերմերներն այս տարածաշրջանում բրինձ են մշակում։
curiosity	հետաքրքրասիրություն	Հետաքրքրասիրությունը նրան բերեց գիտություն։
custody	խնամակալություն	Երեխան մնաց հոր խնամակալության տակ։
cutting	կտրոն	Թերթը հրապարակեց կտրոն նրա մասին։
cynical	ցինիկ	Նրա ցինիկ դիտողությունը վրդովեցրեց թիմին։
dam	ամբարտակ	Ամբարտակը պահում է գետի ջուրը։
damaging	վնասակար	Վնասակար հոդվածը վնասեց արշավին։
dawn	արշալույս	Մենք լքեցինք գյուղը արշալույսին։
debris	բեկորներ	Փոթորկի բեկորները փակեցին ճանապարհը։
debut	դեբյուտ	Նրա դեբյուտը գրավեց ազգային ուշադրությունը։
decision-making	որոշումների կայացում	Որոշումների լավ կայացումը հստակ տեղեկատվություն է պահանջում։
decisive	վճռական	Նրա վճռական գործողությունը կանխեց հետագա վնասը։
declaration	հայտարարագիր	Նախարարը կարդաց պաշտոնական հայտարարագիրը։
dedicated	նվիրված	Նվիրված բուժքույրն աշխատեց ողջ գիշեր։
dedication	նվիրվածություն	Նրա նվիրվածությունը ոգեշնչեց երիտասարդ խաղացողներին։
deed	արարք	Քաջ արարքը փրկեց երկու կյանք։
deem	համարել	Դատարանը կարող է պայմանագիրն անվավեր համարել։
default	լռելյայն	Առայժմ օգտագործեք լռելյայն կարգավորումը։
defect	թերություն	Տեսուչները լուրջ թերություն հայտնաբերեցին։
defensive	պաշտպանական	Նրա պաշտպանական տոնը զարմացրեց բոլորին։
deficiency	անբավարարություն	Երկաթի անբավարարությունը կարող է ազդել առողջության վրա։
deficit	պակասորդ	Բյուջեի պակասորդը անհանգստացրեց պաշտոնյաներին։
defy	չենթարկվել	Ցուցարարները որոշեցին չենթարկվել արգելքին։
delegate	պատվիրակ	Յուրաքանչյուր պատվիրակ ստացավ քվեարկության քարտ։
delegation	պատվիրակություն	Պատվիրակությունը ժամանեց կեսօրից առաջ։
