source_headword	RO	example_RO
heal	a vindeca	Odihna ajută corpul să se vindece.
healthcare	asistența medicală	Costurile cu asistența medicală au crescut anul acesta.
helmet	casca	Poartă casca pe bicicletă.
hence	prin urmare	Prin urmare, am schimbat programul.
herb	planta	Busuiocul este o plantă utilă.
hidden	ascuns	Cheia a fost ascunsă sub preș.
highway	autostrada	Autostrada a fost închisă după ninsoare.
hilarious	amuzant	Filmul a fost amuzant.
hip	șoldul	Și-a rănit șoldul la antrenament.
historian	istoricul	Istoricul a studiat scrisorile vechi.
homeless	fără adăpost	Adăpostul ajută familiile fără adăpost.
honesty	onestitatea	Onestitatea construiește încredere.
hook	cârligul	Pune haina în cârlig.
hopefully	să sperăm	Să sperăm că trenul ajunge curând.
hunger	foamea	Foamea poate afecta concentrarea.
hypothesis	ipoteza	Experimentul a testat ipoteza.
icon	pictograma	Pictograma aplicației s-a schimbat astăzi.
ID	actul de identitate	Prezentați actul de identitate la recepție.
identical	identic	Gemenii au purtat jachete identice.
illusion	iluzia	Oglinda creează o iluzie.
immigration	imigrația	Politica de imigrație s-a schimbat anul trecut.
immune	imun	Vaccinarea îi poate face pe oameni imuni.
implement	a implementa	Școala va implementa politica.
implication	implicația	Implicația a fost clară.
incentive	stimulentul	Bonusul le-a dat muncitorilor un stimulent.
incorporate	a încorpora	Încorporează mai multe legume în mese.
incorrect	incorect	Răspunsul a fost incorect.
independence	independența	Țara a sărbătorit independența.
index	indexul	Verifică indexul pentru subiect.
indication	indicația	Zâmbetul a fost o indicație de ușurare.
inevitable	inevitabil	O oarecare întârziere a fost inevitabilă.
inevitably	inevitabil	Inevitabil, prețurile au crescut după penurie.
infer	a deduce	Putem deduce răspunsul din context.
inflation	inflația	Inflația a crescut prețurile la alimente.
info	informația	Site-ul listează informații utile.
infrastructure	infrastructura	Furtuna a avariat infrastructura locală.
inhabitant	locuitorul	Fiecare locuitor a primit apă curată.
inherit	a moșteni	Ea va moșteni casa familiei.
ink	cerneala	Imprimanta are nevoie de cerneală neagră.
innovation	inovația	Inovația conduce industria înainte.
innovative	inovator	Compania a lansat un produs inovator.
input	aportul	Managerul a cerut aportul.
insert	a insera	Inserați cardul în aparat.
inspector	inspectorul	Inspectorul a verificat clădirea.
installation	instalarea	Instalarea a durat două ore.
instant	instant	Aplicația a trimis un răspuns instant.
instantly	instantaneu	Ecranul s-a aprins instantaneu.
integrate	a integra	Software-ul poate integra instrumente noi.
intellectual	intelectual	Dezbaterea a fost intelectuală, dar prietenoasă.
interact	a interacționa	Elevii interacționează în timpul lucrului în grup.
interaction	interacțiunea	Interacțiunea a fost politicoasă.
interpretation	interpretarea	Interpretarea ei a poeziei a fost originală.
interval	intervalul	A fost un interval scurt între acte.
invade	a invada	Armata a încercat să invadeze insula.
invasion	invazia	Invazia a distrus multe orașe.
investor	investitorul	Investitorul a finanțat un nou startup.
isolate	a izola	Doctorii izolează pacienții cu infecții grave.
isolated	izolat	Satul a fost izolat de zăpadă.
jail	închisoarea	Hoțul s-a dus la închisoare.
jet	avionul cu reacție	Avionul cu reacție a aterizat la prânz.
joint	comun	Au anunțat un proiect comun.
journalism	jurnalismul	Jurnalismul necesită fapte exacte.
jury	juriul	Juriul a ajuns la o decizie.
kit	trusa	Trusa de reparații include șuruburi.
ladder	scara	Scara a fost rezemată de perete.
landing	aterizarea	Avionul a avut o aterizare lină.
lane	banda	Stai pe banda dreaptă.
lately	în ultima vreme	Am dormit prost în ultima vreme.
leaflet	pliantul	Pliantul explică serviciul.
legend	legenda	Legenda vorbește despre un oraș ascuns.
lens	lentila	Curățați cu atenție lentila camerei.
lifetime	viața	A economisit bani o viață întreagă.
lighting	iluminatul	Iluminatul bun îmbunătățește camera.
likewise	de asemenea	Ea a zâmbit; el a făcut la fel.
limitation	limitarea	Planul are o singură limitare.
literally	literalmente	A alergat literalmente spre autobuz.
literary	literar	Festivalul onorează opera literară.
litre	litrul	Cumpără un litru de lapte.
litter	gunoiul	Nu aruncați gunoiul.
logo	logoul	Logoul apare pe fiecare pagină.
lottery	loteria	A câștigat un premiu mic la loterie.
loyal	loial	Câinele i-a fost loial stăpânului.
lyric	versul	Versul a repetat ideea principală.
magnificent	magnific	Palatul arăta magnific.
make-up	machiajul	Purta un machiaj simplu.
making	realizarea	Realizarea filmului a fost dificilă.
manufacture	a fabrica	Fabrica va produce telefoane.
manufacturing	producția	Locurile de muncă în producție au crescut la nivel local.
marathon	maratonul	A terminat maratonul.
margin	marginea	Scrie note pe margine.
marker	markerul	Folosiți un marker pentru etichetă.
martial	marțial	Studiază artele marțiale.
mate	amicul	Vechiul meu amic de școală a sunat ieri.
mayor	primarul	Primarul a deschis biblioteca.
mechanic	mecanicul	Mecanicul a reparat autobuzul.
mechanical	mecanic	Ceasul are o defecțiune mecanică.
mechanism	mecanismul	Mecanismul de blocare este simplu.
medal	medalia	Ea a câștigat o medalie de aur.
medication	medicamentele	Luați medicamentele cu apă.
membership	abonamentul	Abonamentul la sală costă mai puțin online.
memorable	memorabil	Călătoria a fost memorabilă.
metaphor	metafora	Poezia folosește o metaforă puternică.
miner	minerul	Minerul a lucrat în subteran.
miserable	mizerabil	Ploaia a făcut picnicul mizerabil.
mode	modul	Comutați camera pe modul de noapte.
modest	modest	Ei locuiesc într-o casă modestă.
monster	monstrul	Povestea are un monstru înfricoșător.
monthly	lunar	Plătim chiria lunar.
monument	monumentul	Monumentul stă lângă râu.
moreover	în plus	În plus, planul economisește bani.
mortgage	ipoteca	Au aplicat pentru o ipotecă.
mosque	moscheea	Moscheea este lângă piață.
motion	mișcarea	Senzorul detectează mișcarea.
motivate	a motiva	Laudele pot motiva elevii.
motivation	motivația	Motivația ei a rămas puternică.
moving	emoționant	Discursul a fost emoționant.
myth	mitul	Mitul explică numele muntelui.
naked	gol	Bebelușul era gol după baie.
nasty	urât	Tăietura arăta urât.
navigation	navigația	Aplicația îmbunătățește navigația.
nearby	din apropiere	O cafenea din apropiere se deschide devreme.
necessity	necesitatea	Apa curată este o necesitate.
negotiate	a negocia	Ei negociază contractul mâine.
negotiation	negocierea	Negocierea a durat toată dimineața.
neutral	neutru	Judecătorul a rămas neutru.
newly	proaspăt	Ușa proaspăt vopsită arăta luminos.
norm	norma	Munca de la distanță a devenit norma.
notebook	caietul	Scrie notițe în caietul tău.
novelist	romancierul	Romancierul și-a semnat cartea.
nowadays	în zilele noastre	În zilele noastre, mulți oameni lucrează online.
nursing	asistența medicală	Ea studiază pentru a fi asistentă.
nutrition	nutriția	Nutriția bună susține sănătatea.
obesity	obezitatea	Obezitatea crește riscurile pentru sănătate.
observer	observatorul	Observatorul a înregistrat rezultatele.
obstacle	obstacolul	Copacul căzut a fost un obstacol.
occupation	ocupația	Vă rugăm să scrieți ocupația aici.
occupy	a ocupa	Familia va ocupa apartamentul.
offender	infractorul	Infractorul și-a cerut scuze în instanță.
ongoing	în curs	Investigația este în curs.
openly	deschis	Ea a vorbit deschis despre temerile ei.
opera	opera	Am văzut o operă la Milano.
operator	operatorul	Operatorul a conectat apelul.
optimistic	optimist	Se simte optimistă în privința viitorului.
orchestra	orchestra	Orchestra a cântat încet.
organic	organic	Au cumpărat legume organice.
outfit	ținuta	Ținuta ei se potrivea ocaziei.
output	producția	Producția mașinii a crescut.
outstanding	remarcabil	Performanța sa a fost remarcabilă.
overcome	a depăși	Ei depășesc problemele împreună.
overnight	peste noapte	Pachetul a ajuns peste noapte.
overseas	peste hotare	A găsit de lucru peste hotare.
ownership	proprietatea	Proprietatea asupra terenului s-a schimbat.
oxygen	oxigenul	Plantele produc oxigen.
packet	pachetul	Deschide pachetul cu grijă.
palm	palma	Ține moneda în palmă.
panic	panica	Panica s-a răspândit prin mulțime.
parade	parada	Parada a început la prânz.
parallel	paralel	Drumurile merg paralel.
participation	participarea	Participarea la clasă s-a îmbunătățit.
partnership	parteneriatul	Parteneriatul a ajutat ambele companii.
part-time	cu jumătate de normă	A găsit o slujbă cu jumătate de normă.
passionate	pasionat	Este pasionat de muzică.
password	parola	Alege o parolă puternică.
patience	răbdarea	Predarea copiilor mici necesită răbdare.
pause	a pune pe pauză	Pune pe pauză videoclipul acum.
peer	colegul	Presiunea colegilor i-a influențat decizia.
penalty	penalizarea	Jucătorul a primit o penalizare.
perceive	a percepe	Oamenii percep riscul diferit.
perception	percepția	Percepția lui asupra pericolului s-a schimbat.
permanently	permanent	Magazinul s-a închis permanent.
pill	pastila	Ia o pastilă după micul dejun.
pity	păcatul	Este un păcat.
placement	plasarea	Plasarea canapelei contează.
portion	porția	Servește o porție mică de orez.
potentially	potențial	Această schimbare este potențial utilă.
precede	a precede	Norii întunecați preced adesea ploaia.
precious	prețios	Inelul este prețios.
precise	precis	Instrucțiunile au fost precise.
precisely	precis	Măsurați distanța precis.
predictable	previzibil	Sfârșitul a fost previzibil.
preference	preferința	Și-a exprimat preferința pentru ceai.
pride	mândria	A simțit mândrie după terminare.
primarily	în primul rând	Cursul este în primul rând online.
principal	directorul	Directorul a salutat noii elevi.
prior	prealabil	Avem nevoie de aprobare prealabilă.
probability	probabilitatea	Probabilitatea de ploaie este mare.
probable	probabil	Ploaia este probabilă la noapte.
proceed	a continua	Vă rugăm să continuați în camera următoare.
programming	programarea	Programarea necesită practică.
progressive	progresiv	Politica a fost progresivă pentru timpul ei.
prohibit	a interzice	Regulile interzic fumatul.
promising	promițător	Rezultatele arată promițător.
promotion	promovarea	A primit o promovare la locul de muncă.
prompt	prompt	Răspunsul prompt a economisit timp.
proportion	proporția	O mare proporție a votat da.
protein	proteina	Fasolea conține proteine.
protester	protestatarul	Protestatarul a ținut o pancartă.
psychological	psihologic	Accidentul a provocat stres psihologic.
publicity	publicitatea	Evenimentul a primit publicitate.
publishing	editarea	Ea lucrează în domeniul editorial.
punk	punk-ul	Muzica punk a devenit populară acolo.
purely	pur și simplu	Alegerea a fost pur practică.
pursuit	căutarea	El și-a continuat căutarea dreptății.
puzzle	puzzle-ul	Puzzle-ul a durat o oră.
questionnaire	chestionarul	Vă rugăm să completați chestionarul.
racial	rasial	Raportul a discutat despre inegalitatea rasială.
racism	rasismul	Rasismul dăunează comunităților.
racist	rasist	Comentariul a fost rasist.
radiation	radiația	Radiația poate deteriora celulele.
rail	balustrada	Ține-te de balustradă pe scări.
random	aleatoriu	Computerul a ales un număr aleatoriu.
rat	șobolanul	Un șobolan a fugit în spatele coșurilor.
rating	evaluarea	Hotelul are o evaluare ridicată.
reasonably	rezonabil	Camera era rezonabil de curată.
rebuild	a reconstrui	Ei vor reconstrui podul.
receiver	receptorul	Receptorul a prins mingea.
recession	recesiunea	Recesiunea a redus cheltuielile.
reckon	a crede	Cred că trenul întârzie.
recognition	recunoașterea	A primit recunoaștere pentru munca ei.
recovery	recuperarea	Recuperarea a durat câteva săptămâni.
recruit	a recruta	Compania va recruta ingineri.
recruitment	recrutarea	Recrutarea începe lunea viitoare.
referee	arbitrul	Arbitrul a oprit meciul.
refugee	refugiatul	Refugiatul a găsit o casă sigură.
registration	înregistrarea	Înregistrarea se închide vineri.
regulate	a reglementa	Legea va reglementa emisiile.
reinforce	a consolida	Grinzile suplimentare consolidează acoperișul.
relieve	a calma	Medicamentul poate calma durerea.
relieved	ușurat	S-a simțit ușurată după apel.
remarkable	remarcabil	Recuperarea a fost remarcabilă.
remarkably	remarcabil	S-a recuperat remarcabil de repede.
reporting	raportarea	Raportarea corectă contează.
resign	a demisiona	Managerul va demisiona mâine.
resolution	rezoluția	Ecranul are o rezoluție mare.
restore	a restaura	Muncitorii restaurează pictura veche.
restrict	a restricționa	Regulile restricționează parcarea.
restriction	restricția	Restricția se termină mâine.
retail	comerțul cu amănuntul	Vânzările cu amănuntul au crescut.
retirement	pensionarea	Ea și-a planificat pensionarea cu atenție.
revenue	venitul	Venitul din bilete a plătit pentru reparații.
revision	revizuirea	Revizuirea a ajutat înainte de examen.
ridiculous	ridicol	Prețul a fost ridicol.
risky	riscant	Planul părea riscant.
rival	rivalul	Rivalul nostru a deschis un magazin nou.
rob	a jefui	Bărbații au încercat să jefuiască banca.
robbery	jaful	Jaful s-a întâmplat noaptea.
rocket	racheta	Racheta s-a lansat cu succes.
romance	povestea de dragoste	Romanul include o poveste de dragoste.
rose	trandafirul	Un trandafir roșu creștea lângă gard.
roughly	aproximativ	Au participat aproximativ douăzeci de persoane.
ruin	a distruge	Ploaia poate distruge picnicul.
satisfaction	satisfacția	Satisfacția clienților s-a îmbunătățit.
scandal	scandalul	Scandalul i-a distrus cariera.
scare	sperietura	Zgomotul puternic mi-a tras o sperietură.
scenario	scenariul	Cel mai rău scenariu este improbabil.
scholar	eruditul	Eruditul a studiat texte antice.
scholarship	bursa	Ea a câștigat o bursă.
scratch	zgârietura	Pisica a lăsat o zgârietură.
screening	screening-ul	Spitalul oferă screening pentru cancer.
seeker	solicitantul	Solicitantul de loc de muncă a trimis cereri.
seminar	seminarul	Seminarul începe la ora nouă.
settler	colonistul	Colonistul a construit o fermă mică.
severely	grav	Furtuna a avariat grav drumurile.
sexy	sexy	Rochia a fost considerată sexy.
shocking	șocant	Vestea a fost șocantă.
shore	țărmul	Ne-am plimbat de-a lungul țărmului.
shortage	deficitul	Orașul s-a confruntat cu un deficit de apă.
shortly	la scurt timp	Autobuzul a ajuns la scurt timp după prânz.
short-term	pe termen scurt	Planul are beneficii pe termen scurt.
sibling	fratele/sora	Fiecare frate/soră a primit un cadou.
signature	semnătura	Vă rugăm să adăugați semnătura.
significance	semnificația	Descoperirea are o mare semnificație.
skilled	calificat	Muncitorii calificați au reparat acoperișul.
slogan	sloganul	Campania a folosit un slogan simplu.
so-called	așa-numitul	Așa-numitul expert a făcut greșeli.
somehow	cumva	Cumva, cheile au dispărut.
sometime	cândva	Vizitați-ne cândva săptămâna viitoare.
sophisticated	sofisticat	Software-ul este sofisticat.
spare	de rezervă	Păstrăm o cheie de rezervă.
specialize	a se specializa	Medicii se specializează în diferite domenii.
specify	a specifica	Vă rugăm să specificați ora sosirii.
spectacular	spectaculos	Artificiile au fost spectaculoase.
spectator	spectatorul	Fiecare spectator a primit un program.
