source_headword	BN	example_BN
crawl	হামাগুড়ি দেওয়া	শিশুটি কার্পেটের ওপর দিয়ে হামাগুড়ি দিতে শুরু করল।
creator	স্রষ্টা	স্রষ্টা সবাইকে তাদের সমর্থনের জন্য ধন্যবাদ জানিয়েছেন।
credibility	বিশ্বাসযোগ্যতা	জিজ্ঞাসাবাদের সময় সাক্ষী বিশ্বাসযোগ্যতা হারান।
credible	বিশ্বাসযোগ্য	প্রতিবেদনটি বিশ্বাসযোগ্য প্রমাণ উপস্থাপন করেছে।
creep	চুপিচুপি চলা	উপত্যকার মধ্য দিয়ে কুয়াশা ছড়িয়ে পড়তে লাগল।
critique	সমালোচনা	অধ্যাপক একটি বিস্তারিত সমালোচনা দিয়েছেন।
crown	মুকুট	রানী একটি রুপোলি মুকুট পরেছিলেন।
crude	অপরিশোধিত	আঁকাটি স্থূল হলেও স্পষ্ট ছিল।
crush	চূর্ণ করা	ভারী পাথর পাইপটি চূর্ণ করে দিতে পারে।
crystal	স্ফটিক	স্ফটিকটি সকালের আলো প্রতিফলিত করছিল।
cult	গুপ্ত সম্প্রদায়	সম্প্রদায়টি তার সদস্যদের বিচ্ছিন্ন করে রেখেছিল।
cultivate	চাষ করা	কৃষকরা এই অঞ্চলে ধান চাষ করে।
curiosity	কৌতূহল	কৌতূহল তাকে বিজ্ঞানের দিকে পরিচালিত করেছিল।
custody	হেফাজত	শিশুটি তার বাবার হেফাজতে রয়ে গেল।
cutting	কাটিং	সংবাদপত্রটি তাকে নিয়ে একটি কাটিং প্রকাশ করেছে।
cynical	নৈরাশ্যবাদী	তার হতাশাজনক মন্তব্য দলকে ব্যথিত করেছিল।
dam	বাঁধ	বাঁধটি নদীর জল ধরে রাখে।
damaging	ক্ষতিকর	ক্ষতিকর প্রবন্ধটি প্রচারণাকে ক্ষতিগ্রস্ত করেছে।
dawn	ভোর	আমরা ভোরে গ্রাম ছেড়েছিলাম।
debris	ধ্বংসাবশেষ	ঝড়ের ধ্বংসাবশেষ রাস্তাটি আটকে দিয়েছিল।
debut	আত্মপ্রকাশ	তার আত্মপ্রকাশ জাতীয় দৃষ্টি আকর্ষণ করেছিল।
decision-making	সিদ্ধান্ত গ্রহণ	ভালো সিদ্ধান্ত গ্রহণের জন্য পরিষ্কার তথ্যের প্রয়োজন।
decisive	চূড়ান্ত	তার চূড়ান্ত পদক্ষেপ আরও ক্ষয়ক্ষতি রোধ করেছে।
declaration	ঘোষণা	মন্ত্রী একটি আনুষ্ঠানিক ঘোষণা পড়েছেন।
dedicated	নিবেদিতপ্রাণ	নিবেদিতপ্রাণ নার্স সারারাত কাজ করেছেন।
dedication	নিষ্ঠা	তার নিষ্ঠা তরুণ খেলোয়াড়দের অনুপ্রাণিত করেছে।
deed	কাজ	সাহসিকতার কাজটি দুটি জীবন বাঁচিয়েছে।
deem	বিবেচনা করা	আদালত চুক্তিটিকে অবৈধ বলে বিবেচনা করতে পারে।
default	ডিফল্ট	আপাতত পূর্বনির্ধারিত সেটিং ব্যবহার করুন।
defect	ত্রুটি	পরিদর্শকরা একটি গুরুতর ত্রুটি খুঁজে পেয়েছেন।
defensive	আত্মরক্ষামূলক	তার আত্মরক্ষামূলক সুর সবাইকে অবাক করেছিল।
deficiency	ঘাটতি	আয়রনের ঘাটতি স্বাস্থ্যকে প্রভাবিত করতে পারে।
deficit	ঘাটতি	বাজেট ঘাটতি কর্মকর্তাদের চিন্তিত করেছে।
defy	অমান্য করা	বিক্ষোভকারীরা নিষেধাজ্ঞা অমান্য করা বেছে নিয়েছিল।
delegate	প্রতিনিধি	প্রত্যেক প্রতিনিধি একটি করে ভোটিং কার্ড পেয়েছেন।
delegation	প্রতিনিধি দল	প্রতিনিধি দলটি দুপুরের আগেই পৌঁছেছিল।
delicate	ভঙ্গুর	ভঙ্গুর কাচটি সহজেই ভেঙে গেল।
demon	শয়তান	গল্পটি একটি প্রাচীন শয়তানের বর্ণনা দেয়।
denial	অস্বীকার	তার অস্বীকার ক্ষতিগ্রস্তদের রাগান্বিত করেছে।
denounce	নিন্দা করা	নেতারা স্কুলে সহিংসতার নিন্দা করেছেন।
dense	ঘন	ঘন বন সূর্যালোক আটকে দিয়েছিল।
density	ঘনত্ব	শহরের কেন্দ্রে জনসংখ্যার ঘনত্ব বেশি।
dependence	নির্ভরতা	তেলের ওপর দেশটির নির্ভরতা কমেছে।
depict	চিত্রিত করা	ম্যুরালটি গ্রামীণ জীবন চিত্রিত করে।
deploy	মোতায়েন করা	সেনাবাহিনী অতিরিক্ত কর্মী মোতায়েন করবে।
deployment	মোতায়েন	সোমবার সৈন্যদের মোতায়েন শুরু হয়েছে।
deprive	বঞ্চিত করা	ঘুমের অভাব শিক্ষার্থীদের মনোযোগ থেকে বঞ্চিত করতে পারে।
deputy	উপ	উপ-প্রধান চুক্তিতে স্বাক্ষর করেছেন।
descend	নামা	পথটি খাড়াভাবে নামতে শুরু করল।
descent	অবতরণ	বিমানটি তার অবতরণ শুরু করেছে।
designate	মনোনীত করা	শহর কর্তৃপক্ষ একটি নতুন পার্ক মনোনীত করবে।
desirable	কাঙ্ক্ষিত	শ্রেণীকক্ষে ভালো আলোর ব্যবস্থা কাঙ্ক্ষিত।
desktop	ডেস্কটপ	ফাইলটি আমার ডেস্কটপে আছে।
destructive	ধ্বংসাত্মক	ঝড়ের ধ্বংসাত্মক শক্তি ছিল।
detain	আটক করা	পুলিশ সন্দেহভাজনদের রাতভর আটকে রাখতে পারে।
detection	সনাক্তকরণ	প্রাথমিক সনাক্তকরণ ক্যান্সারের চিকিৎসাকে উন্নত করে।
detention	আটক	শিক্ষার্থীরা আটকের অবস্থার বিরুদ্ধে প্রতিবাদ করেছিল।
deteriorate	অবনতি হওয়া	তার স্বাস্থ্যের অবনতি হতে শুরু করল।
devastate	ধ্বংস করা	ভূমিকম্পটি উপকূলীয় শহরগুলোকে ধ্বংস করে দিতে পারে।
devil	শয়তান	শিশুটি একটি হাস্যোজ্জ্বল শয়তানের ছবি এঁকেছিল।
devise	উদ্ভাবন করা	প্রকৌশলীরা নিরাপদ পরিবহন ব্যবস্থা উদ্ভাবন করেন।
diagnose	রোগ নির্ণয় করা	চিকিৎসকরা রক্ত পরীক্ষার মাধ্যমে রোগ নির্ণয় করেন।
