simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
爱	kochać; lubić	Kocham mamę.	houden van; leuk vinden	Ik hou van mijn moeder.	älska; tycka om	Jag älskar mamma.	å elske; å like	Jeg elsker mamma.
八	osiem	Mam osiem książek.	acht	Ik heb acht boeken.	åtta	Jag har åtta böcker.	åtte	Jeg har åtte bøker.
爸爸	tata; ojciec	Tata jest w domu.	de vader; papa	Papa is thuis.	en pappa; en far	Pappa är hemma.	en pappa; en far	Pappa er hjemme.
杯子	kubek; szklanka	Ten kubek jest duży.	de beker; het glas	Deze beker is groot.	en kopp; ett glas	Den här koppen är stor.	en kopp; et glass	Denne koppen er stor.
北京	Pekin	Pracuję w Pekinie.	Beijing	Ik werk in Beijing.	Peking	Jag arbetar i Peking.	Beijing	Jeg jobber i Beijing.
本	klasyfikator do książek; tom	Mam jedną książkę.	het maatwoord voor boeken; het deel	Ik heb een boek.	ett måttsord för böcker; ett band	Jag har en bok.	en klassifikator for bøker; et bind	Jeg har en bok.
不	nie	Nie jem ryżu.	niet	Ik eet geen rijst.	inte	Jag äter inte ris.	ikke	Jeg spiser ikke ris.
不客气	nie ma za co	Dziękuję. Nie ma za co.	graag gedaan	Dank je. Graag gedaan.	varsågod; ingen orsak	Tack. Ingen orsak.	vær så god; bare hyggelig	Takk. Bare hyggelig.
菜	danie; warzywa	To danie jest smaczne.	het gerecht; de groente	Dit gerecht is lekker.	en maträtt; grönsaker	Den här maträtten är god.	en rett; grønnsaker	Denne retten er god.
茶	herbata	Piję herbatę.	de thee	Ik drink thee.	te	Jag dricker te.	te	Jeg drikker te.
吃	jeść	Jem jabłko.	eten	Ik eet een appel.	äta	Jag äter ett äpple.	å spise	Jeg spiser et eple.
出租车	taksówka	Jadę do szkoły taksówką.	de taxi	Ik ga met de taxi naar school.	en taxi	Jag åker taxi till skolan.	en taxi	Jeg tar taxi til skolen.
打电话	dzwonić	Dzwonię.	telefoneren; bellen	Ik bel.	ringa	Jag ringer.	å ringe	Jeg ringer.
大	duży	Ta szkoła jest duża.	groot	Deze school is groot.	stor	Den här skolan är stor.	stor	Denne skolen er stor.
