source_headword	MS	example_MS
strengthen	mengukuhkan	Dasar baharu akan mengukuhkan keselamatan dalam talian.
strictly	dengan ketat	Tiket dihadkan dengan ketat kepada dua keping setiap orang.
striking	menarik	Lukisan itu mempunyai warna yang menarik.
stroke	strok	Dia melukis satu strok merentasi kertas.
stunning	menakjubkan	Pemandangan gunung itu menakjubkan.
subsequent	seterusnya	Mesyuarat seterusnya mengesahkan belanjawan.
subsequently	kemudiannya	Jalan ditutup; kemudiannya, lalu lintas bergerak perlahan.
suburb	pinggir bandar	Mereka tinggal di pinggir bandar yang sunyi.
suffering	penderitaan	Ubat itu mengurangkan penderitaannya.
sufficient	mencukupi	Pasukan itu mempunyai masa yang mencukupi.
sufficiently	secukupnya	Bilik itu hangat secukupnya.
super	sangat	Tablet baharu itu sangat pantas.
surgeon	pakar bedah	Pakar bedah itu membaiki lutut yang rosak.
survival	kelangsungan hidup	Air bersih adalah penting untuk kelangsungan hidup.
survivor	mangsa terselamat	Mangsa terselamat menggambarkan banjir tersebut.
suspend	menangguhkan	Pihak sekolah mungkin menangguhkan rombongan itu.
sustainable	mampan	Ladang itu menggunakan kaedah mampan.
swallow	menelan	Telan tablet itu dengan air.
sympathetic	bersimpati	Pengurus itu bersimpati dengan masalahnya.
tackle	menangani	Kita perlu menangani masalah perumahan.
tag	tag	Beg itu mempunyai tag harga.
tap	paip	Dia menutup paip.
technological	teknologi	Perubahan teknologi menjejaskan setiap tempat kerja.
teens	remaja	Ramai remaja menggunakan media sosial setiap hari.
temple	kuil	Kuil itu terletak berhampiran sungai.
temporarily	buat sementara waktu	Pejabat ditutup buat sementara waktu.
tendency	kecenderungan	Dia mempunyai kecenderungan untuk tiba lewat.
tension	ketegangan	Ketegangan meningkat semasa perbincangan itu.
terms	terma	Terma kontrak itu jelas.
terribly	sangat	Kanak-kanak itu sangat kecewa.
terrify	menakutkan	Bunyi bising menakutkan anjing itu.
territory	wilayah	Peta itu menunjukkan wilayah baharu.
terror	ketakutan	Ketakutan tersebar selepas serangan itu.
terrorism	keganasan	Keganasan mengancam keselamatan awam.
terrorist	pengganas	Polis menahan pengganas itu semalam.
testing	pengujian	Pengujian produk bermula pada hari Isnin.
textbook	buku teks	Dia tertinggal buku teks biologinya.
theft	kecurian	Kecurian meningkat di kawasan itu.
therapist	ahli terapi	Ahli terapi itu membantunya menguruskan kebimbangan.
thesis	tesis	Tesisnya mengkaji pembelajaran dalam talian.
thorough	teliti	Semakan teliti tidak menemui sebarang kesilapan.
thoroughly	sepenuhnya	Bersihkan luka dengan sepenuhnya.
thumb	ibu jari	Dia mengangkat ibu jarinya untuk memberi isyarat kelulusan.
timing	masa	Masa panggilan itu adalah sempurna.
tissue	tisu	Dia mengelap kaca itu dengan tisu.
ton	tan	Trak itu membawa satu tan pasir.
tonne	tan	Penghantaran itu seberat satu tan.
tournament	kejohanan	Kejohanan tenis bermula esok.
trace	menjejaki	Para saintis boleh menjejaki sumber virus itu.
trading	perdagangan	Perdagangan saham dihentikan pada waktu tengah hari.
tragedy	tragedi	Kemalangan itu adalah tragedi yang teruk.
tragic	tragis	Pelanggaran itu mempunyai akibat yang tragis.
trait	ciri	Kesabaran adalah ciri yang berguna.
transmit	menyebarkan	Nyamuk boleh menyebarkan penyakit.
transportation	pengangkutan	Pengangkutan awam sesak hari ini.
trap	memerangkap	Kotak itu boleh memerangkap serangga dengan selamat.
treasure	harta karun	Peti lama itu mengandungi harta karun.
tribe	puak	Puak itu melindungi tradisi mereka.
trigger	mencetuskan	Asap boleh mencetuskan penggera.
trillion	trilion	Hutang itu mencecah satu trilion dolar.
troop	tentera	Tentera bergerak ke arah sempadan.
tsunami	tsunami	Tsunami itu memusnahkan rumah pantai.
ultimate	muktamad	Matlamat muktamad adalah keamanan.
unacceptable	tidak boleh diterima	Kelewatan itu tidak boleh diterima oleh penumpang.
uncertainty	ketidakpastian	Ketidakpastian menyebabkan pelabur gementar.
undergo	menjalani	Pesakit akan menjalani pembedahan esok.
undertake	menjalankan	Pasukan itu akan menjalankan satu tinjauan.
