source_headword	display_translation	example_translation
ability	ความสามารถ;ทักษะ	ความสามารถในการว่ายน้ำของเธอชัดเจน.
able	สามารถ;ทำได้	เขาสามารถมาวันนี้.
abroad	ต่างประเทศ;ในต่างประเทศ	เธออยากไปเรียนต่างประเทศ.
accept	ยอมรับ;รับ	โปรดรับของขวัญเล็กๆนี้.
accident	อุบัติเหตุ	อุบัติเหตุเกิดใกล้โรงเรียน.
according to	ตาม;ตามที่	ตามรายงานฝนกำลังจะมา.
achieve	บรรลุ;ทำสำเร็จ	คุณบรรลุเป้าหมายได้.
act	แสดง;กระทำ;การกระทำ	เขาแสดงในละครได้.
active	กระฉับกระเฉง;แอ็กทีฟ	เธอกระฉับกระเฉงทุกวัน.
actually	จริงๆแล้ว;แท้จริง	จริงๆแล้วฉันต้องการเวลาเพิ่ม.
advantage	ข้อได้เปรียบ;ประโยชน์	แผนนี้มีข้อได้เปรียบ.
adventure	การผจญภัย	การเดินทางของพวกเขาเป็นการผจญภัย.
advertise	โฆษณา;ประกาศ	พวกเขาโฆษณางานใหม่.
advertisement	โฆษณา	ฉันเห็นโฆษณาหนึ่งชิ้น.
advertising	การโฆษณา	การโฆษณาช่วยขายอาหาร.
affect	ส่งผลต่อ;มีผลต่อ	การนอนหลับส่งผลต่อสุขภาพได้.
against	ต่อต้าน;พิง	อย่าพิงกำแพง.
ah	อ้า;อ๋อ	อ๋อตอนนี้ฉันเข้าใจแล้ว.
airline	สายการบิน	สายการบินนั้นยุ่งมาก.
alive	มีชีวิต;ยังมีชีวิต	ปลาตัวเล็กยังมีชีวิต.
all right	เรียบร้อย;โอเค	ทุกอย่างโอเคแล้วตอนนี้.
allow	อนุญาต	พวกเขาอนุญาตให้มีสุนัขที่นี่.
almost	เกือบ	เราเกือบพร้อมแล้ว.
alone	คนเดียว;ลำพัง	เธออยู่คนเดียว.
along	ตาม;ไปตาม	เดินไปตามถนนนี้.
already	แล้ว;เรียบร้อยแล้ว	ฉันรู้คำตอบแล้ว.
alternative	ทางเลือก;ทางเลือกอื่น	รถไฟขบวนนี้เป็นทางเลือก.
although	แม้ว่า	แม้ว่าจะดึกเราก็อยู่ต่อได้.
among	ท่ามกลาง;ในหมู่	เขายืนอยู่ท่ามกลางต้นไม้.
amount	ปริมาณ;จำนวนเงิน	ปริมาณนั้นน้อยเกินไป.
ancient	โบราณ;เก่าแก่	กำแพงโบราณนี้มีชื่อเสียง.
ankle	ข้อเท้า	วันนี้ข้อเท้าของฉันเจ็บ.
anybody	ใครก็ได้;ใครบางคน	มีใครตอบคำถามนี้ได้ไหม?
