source_headword	PL	example_PL
prey	zdobycz	Sowy polują na zdobycz w nocy.
privatization	prywatyzacja	Prywatyzacja zmieniła system kolejowy.
privilege	przywilej	Edukacja nie powinna być przywilejem.
probe	dochodzenie	Dochodzenie ujawniło poważne błędy.
problematic	problematyczny	Porozumienie pozostaje problematyczne.
proceedings	postępowanie	Postępowanie sądowe rozpoczęło się w poniedziałek.
proceeds	dochód	Dochód wesprze lokalne szkoły.
processing	przetwarzanie	Przetwarzanie obrazu zajmuje trochę czasu.
processor	procesor	Procesor uległ awarii podczas testów.
proclaim	ogłaszać	Liderzy ogłaszają zwycięstwo zbyt wcześnie.
productive	produktywny	Spotkanie było produktywne.
productivity	produktywność	Produktywność wzrosła po szkoleniu.
profitable	dochodowy	Sklep stał się w tym roku dochodowy.
profound	głęboki	Przemówienie miało głęboki wpływ.
projection	prognoza	Prognoza pokazuje stały wzrost.
prominent	wybitny	Została wybitnym naukowcem.
pronounced	wyraźny	Jego akcent stał się bardziej wyraźny.
propaganda	propaganda	Kampania wykorzystywała propagandę w internecie.
proposition	propozycja	Ten wniosek to ryzykowna propozycja.
prosecute	ścigać	Urzędnicy ścigają poważne przypadki oszustw.
prosecution	oskarżenie	Oskarżenie przedstawiło nowe dowody.
prosecutor	prokurator	Prokurator przesłuchał świadka.
prospective	przyszły	Przyszli studenci zwiedzali kampus.
prosperity	dobrobyt	Handel przyniósł regionowi dobrobyt.
protective	ochronny	Miała na sobie rękawice ochronne.
protocol	protokół	Protokół wymaga pisemnej zgody.
province	prowincja	Prowincja zainwestowała w transport.
provincial	prowincjonalny	Władze prowincji ogłosiły plan.
provision	postanowienie	Umowa zawiera postanowienie dotyczące bezpieczeństwa.
provoke	prowokować	Przemówienie może sprowokować silne reakcje.
psychiatric	psychiatryczny	Szpital otworzył oddział psychiatryczny.
pulse	puls	Pielęgniarka sprawdziła jego puls.
pump	pompa	Pompa tłoczy wodę w górę.
punch	cios	W gniewie wymierzył cios.
query	zapytanie	Wyślij swoje zapytanie do działu wsparcia.
quest	poszukiwanie	Ich poszukiwanie sprawiedliwości trwało.
quota	kwota	Zespół osiągnął swoją kwotę sprzedaży.
radar	radar	Burza pojawiła się na radarze.
radical	radykalny	Grupa zaproponowała radykalne reformy.
rage	gniew	Jego gniew szybko minął.
raid	nalot	Policja przeprowadziła poranny nalot.
rally	wiec	Zwolennicy dołączyli do wiecu w centrum miasta.
ranking	ranking	Uniwersytet poprawił swój ranking.
rape	gwałt	Sprawy o gwałt wymagają ostrożnego śledztwa.
ratio	stosunek	Klasa ma niski stosunek liczby nauczycieli.
rational	racjonalny	Jej decyzja była racjonalna.
ray	promień	Do środka wpadł promień słońca.
readily	chętnie	Chętnie przyjął ofertę.
realization	uświadomienie	To uświadomienie zmieniło jej plany.
realm	sfera	To pytanie należy do innej sfery.
rear	tylny	Skorzystaj dzisiaj z tylnego wejścia.
reasoning	rozumowanie	Jego rozumowanie było jasne.
reassure	uspokoić	Lekarz próbował ją uspokoić.
rebel	buntownik	Przywódca rebeliantów uniknął schwytania.
rebellion	rebelia	Rebelia zakończyła się po negocjacjach.
recipient	odbiorca	Odbiorca podpisał formularz.
reconstruction	odbudowa	Odbudowa rozpoczęła się po powodzi.
recount1	zrelacjonować	Ona potrafi jasno zrelacjonować wydarzenia.
referendum	referendum	Referendum podzieliło kraj.
reflection	refleksja	Ten esej wymagał głębszej refleksji.
reform	reforma	Reforma poprawiła usługi publiczne.
refuge	schronienie	Rodzina szukała schronienia za granicą.
refusal	odmowa	Jej odmowa zaskoczyła komisję.
regain	odzyskać	Ciężko pracował, aby odzyskać zaufanie.
regardless	bez względu na	Kontynuowali bez względu na krytykę.
regime	reżim	Reżim ograniczył wolność słowa.
regulator	organ regulacyjny	Organ regulacyjny nałożył grzywnę na firmę.
regulatory	regulacyjny	Zatwierdzenie regulacyjne trwało miesiącami.
rehabilitation	rehabilitacja	Rehabilitacja pomogła mu znowu chodzić.
reign	panowanie	Panowanie króla trwało dziesięciolecia.
rejection	odrzucenie	Odrzucenie zraniło jej pewność siebie.
relevance	znaczenie	Te dane mają ograniczone znaczenie.
reliability	niezawodność	Niezawodność ma znaczenie w systemach awaryjnych.
reluctant	niechętny	Był niechętny do rozmowy.
remainder	reszta	Reszta trafiła na cele charytatywne.
remains	szczątki	Szczątki zostały dokładnie zbadane.
remedy	środek zaradczy	Prawo przewiduje środek zaradczy.
reminder	przypomnienie	E-mail był przydatnym przypomnieniem.
removal	usunięcie	Usunięcie barier pomogło w handlu.
render	czynić	Błąd uczynił umowę nieważną.
renew	odnowić	Wkrótce odnów swój paszport.
renowned	znany	Ona jest znana ze swoich badań.
rental	wynajem	Wynajem obejmuje ubezpieczenie.
replacement	część zamienna	Część zamienna dotarła dzisiaj.
reportedly	rzekomo	Podobno minister wczoraj zrezygnował.
representation	reprezentacja	Sprawiedliwa reprezentacja pozostaje ważna.
reproduce	rozmnażać się	Te rośliny szybko się rozmnażają.
reproduction	reprodukcja	Cyfrowa reprodukcja poprawiła dostęp.
republic	republika	Republika zorganizowała wybory.
resemble	przypominać	Oba projekty są do siebie bardzo podobne.
reside	mieszkać	Mieszkają w pobliżu granicy.
residence	rezydencja	Jego oficjalna rezydencja jest strzeżona.
residential	mieszkalny	Okolica jest głównie mieszkalna.
residue	osad	Środek czyszczący pozostawił lepki osad.
resignation	rezygnacja	Jej rezygnacja zszokowała zarząd.
resistance	opór	Opór wobec zmian był silny.
respective	odpowiedni	Wrócili do swoich odpowiednich biur.
respectively	odpowiednio	Wyniki wynosiły odpowiednio 80 i 90.
restoration	renowacja	Renowacja budynku trwała lata.
restraint	powściągliwość	Policja wykazała się powściągliwością.
resume	wznowić	Zajęcia zostaną wznowione w przyszłym tygodniu.
retreat	odwrót	Armia rozpoczęła odwrót.
retrieve	odzyskać	Ona odzyskała plik.
revelation	ujawnienie	To odkrycie zniszczyło jego reputację.
revenge	zemsta	Pragnął zemsty za zniewagę.
reverse	uchylić	Sąd uchylił decyzję.
revival	odrodzenie	Miasto doświadczyło odrodzenia gospodarczego.
revive	ożywić	Festiwal pomógł ożywić lokalne tradycje.
revolutionary	rewolucyjny	Wynalazek był rewolucyjny.
rhetoric	retoryka	Jego retoryka brzmiała agresywnie.
rifle	karabin	Karabin był bezpiecznie przechowywany.
riot	zamieszki	Zamieszki trwały kilka godzin.
rip	rozedrzeć	Ostrożnie rozerwij papier.
ritual	rytuał	Rytuał wyznacza zbiory.
robust	solidny	System jest solidny.
rock	wstrząsnąć	Eksplozja wstrząsnęła wioską.
rod	drążek	Zasłona wisi na drążku.
rotate	obracać	Obracaj uchwyt powoli.
rotation	płodozmian	Płodozmian chroni glebę.
ruling	orzeczenie	Sąd wydał orzeczenie.
rumour	plotka	Plotka szybko się rozeszła.
sack	zwolnić	Zarząd może zwolnić trenera.
sacred	święty	Świątynia jest święta.
sacrifice	poświęcenie	Rodzice często dokonują poświęceń.
saint	święty	Kościół czci lokalnego świętego.
sake	wzgląd	Został ze względu na nią.
sanction	sankcja	Sankcja wpłynęła na handel międzynarodowy.
say	prawo głosu	Pracownicy mieli prawo głosu w kwestii harmonogramu.
scattered	rozrzucony	Rozrzucone dokumenty pokrywały biurko.
sceptical	sceptyczny	Pozostała sceptyczna wobec tego twierdzenia.
scope	zakres	Zakres projektu się powiększył.
screw	śruba	Ostrożnie dokręć śrubę.
scrutiny	analiza	Umowa spotkała się z publiczną analizą.
seal	zakleić	Zaklej kopertę przed wysłaniem.
secular	świecki	Szkoła realizuje świecki program nauczania.
seemingly	pozornie	Zadanie było pozornie proste.
segment	segment	Ostatni segment był krótszy.
seize	skonfiskować	Policja skonfiskowała dokumenty.
seldom	rzadko	Ona rzadko opuszcza zajęcia.
selective	selektywny	Program jest bardzo selektywny.
senator	senator	Senator poparł projekt ustawy.
sensation	sensacja	Odkrycie wywołało sensację.
sensitivity	wrażliwość	Ta kwestia wymaga wrażliwości.
sentiment	nastroje	Nastroje społeczne szybko się zmieniły.
separation	rozstanie	Rozstanie było trudne.
serial	seryjny	Brakuje numeru seryjnego.
settlement	ugoda	Ugoda zakończyła spór.
set-up	przygotowanie	Przygotowanie zajęło cały ranek.
sexuality	seksualność	Kurs omawia tożsamość i seksualność.
shareholder	akcjonariusz	Akcjonariusz zadał pytanie zarządowi.
shatter	druzgotać	Ta wiadomość zgruchotała jego pewność siebie.
shed	redukować	Firma zredukuje miejsca pracy.
sheer	czysty	Sam rozmiar zaskoczył wszystkich.
shipping	wysyłka	Koszty wysyłki wzrosły.
shoot	sesja zdjęciowa	Sesja zdjęciowa zakończyła się wcześnie.
shrink	skurczyć się	Koszula może się skurczyć.
shrug	wzruszenie ramionami	Lekko wzruszyła ramionami.
sigh	westchnąć	Westchnął z ulgą.
simulate	symulować	Oprogramowanie może symulować ruch drogowy.
simulation	symulacja	Symulacja przewidziała powódź.
simultaneously	jednocześnie	Dwa alarmy zadzwoniły jednocześnie.
sin	grzech	Pycha jest uważana za grzech.
situated	usytuowany	Hotel jest usytuowany w centrum miasta.
sketch	szkic	Zrobiła szybki szkic.
skip	pomijać	Nie pomijaj śniadania.
slam	zatrzasnąć	On może zatrzasnąć drzwi.
slap	uderzyć	Nie uderzaj w stół.
slavery	niewolnictwo	Niewolnictwo ukształtowało historię tego regionu.
slot	przedział czasu	Zarezerwuj przedział czasowy online.
smash	rozbić się	Szklanka rozbiła się na podłodze.
snap	pęknąć	Gałąź złamała się na wietrze.
soak	namoczyć	Namocz fasolę na noc.
