source_headword	RU	example_RU
heal	заживать	Отдых помогает телу заживать.
healthcare	здравоохранение	В этом году расходы на здравоохранение выросли.
helmet	шлем	Надевайте шлем на велосипеде.
hence	следовательно	Следовательно, мы изменили расписание.
herb	пряная трава	Базилик — полезная пряная трава.
hidden	спрятанный	Ключ был спрятан под ковриком.
highway	шоссе	Шоссе было закрыто после снегопада.
hilarious	очень смешной	Фильм был очень смешным.
hip	бедро	Она повредила бедро на тренировке.
historian	историк	Историк изучал старые письма.
homeless	бездомный	Приют помогает бездомным семьям.
honesty	честность	Честность вызывает доверие.
hook	крючок	Повесьте пальто на крючок.
hopefully	надеюсь	Надеюсь, поезд скоро прибудет.
hunger	голод	Голод может влиять на концентрацию.
hypothesis	гипотеза	Эксперимент проверил эту гипотезу.
icon	иконка	Иконка приложения сегодня изменилась.
ID	удостоверение личности	Покажите ваше удостоверение личности на стойке регистрации.
identical	одинаковый	Близнецы носили одинаковые куртки.
illusion	иллюзия	Зеркало создает иллюзию.
immigration	иммиграция	Иммиграционная политика изменилась в прошлом году.
immune	невосприимчивый	Вакцинация может сделать людей невосприимчивыми.
implement	внедрять	Школа внедрит эту политику.
implication	намек	Намек был ясен.
incentive	стимул	Бонус дал работникам стимул.
incorporate	включать	Включайте больше овощей в пищу.
incorrect	неправильный	Ответ был неправильным.
independence	независимость	Страна праздновала независимость.
index	указатель	Поищите эту тему в указателе.
indication	признак	Улыбка была признаком облегчения.
inevitable	неизбежный	Некоторая задержка была неизбежна.
inevitably	неизбежно	Неизбежно, цены выросли после дефицита.
infer	сделать вывод	Мы можем сделать вывод об ответе из контекста.
inflation	инфляция	Инфляция повысила цены на продукты.
info	информация	На сайте указана полезная информация.
infrastructure	инфраструктура	Шторм повредил местную инфраструктуру.
inhabitant	житель	Каждый житель получил чистую воду.
inherit	унаследовать	Она унаследует семейный дом.
ink	чернила	Для принтера нужны черные чернила.
innovation	инновация	Инновации двигают отрасль вперед.
innovative	инновационный	Компания запустила инновационный продукт.
input	мнение	Менеджер попросил высказать мнение.
insert	вставлять	Вставьте карту в автомат.
inspector	инспектор	Инспектор проверил здание.
installation	установка	Установка заняла два часа.
instant	мгновенный	Приложение отправило мгновенный ответ.
instantly	мгновенно	Экран мгновенно включился.
integrate	интегрировать	Программное обеспечение может интегрировать новые инструменты.
intellectual	интеллектуальный	Дискуссия была интеллектуальной, но дружеской.
interact	взаимодействовать	Студенты взаимодействуют во время групповой работы.
interaction	взаимодействие	Взаимодействие было вежливым.
interpretation	интерпретация	Ее интерпретация стихотворения была оригинальной.
interval	антракт	Между актами был короткий антракт.
invade	вторгаться	Армия попыталась вторгнуться на остров.
invasion	вторжение	Вторжение разрушило много городов.
investor	инвестор	Инвестор профинансировал новый стартап.
isolate	изолировать	Врачи изолируют пациентов с серьезными инфекциями.
isolated	изолированный	Деревня была изолирована из-за снега.
jail	тюрьма	Вор сел в тюрьму.
jet	реактивный самолет	Реактивный самолет приземлился в полдень.
joint	совместный	Они объявили о совместном проекте.
journalism	журналистика	Журналистика требует точных фактов.
jury	присяжные	Присяжные вынесли решение.
kit	набор	Ремонтный набор включает винты.
ladder	лестница	Лестница прислонилась к стене.
landing	посадка	Самолет совершил мягкую посадку.
lane	полоса	Оставайтесь на правой полосе.
lately	в последнее время	В последнее время я плохо сплю.
leaflet	листовка	Листовка объясняет эту услугу.
legend	легенда	Легенда рассказывает о скрытом городе.
lens	объектив	Осторожно протрите объектив камеры.
lifetime	целая жизнь	Он копил деньги всю жизнь.
lighting	освещение	Хорошее освещение улучшает комнату.
likewise	так же	Она улыбнулась, и он сделал то же самое.
limitation	ограничение	У плана есть одно ограничение.
literally	буквально	Она буквально побежала к автобусу.
literary	литературный	Фестиваль чествует литературное творчество.
litre	литр	Купите литр молока.
litter	мусор	Не бросайте мусор.
logo	логотип	Логотип появляется на каждой странице.
lottery	лотерея	Он выиграл небольшой приз в лотерею.
loyal	верный	Собака была верна своему хозяину.
lyric	текст песни	Текст песни повторял главную мысль.
magnificent	великолепный	Дворец выглядел великолепно.
make-up	макияж	На ней был простой макияж.
making	создание	Создание фильма было трудным.
manufacture	производить	Завод будет производить телефоны.
manufacturing	производство	Количество рабочих мест на производстве увеличилось.
marathon	марафон	Она завершила марафон.
margin	поле	Делайте пометки на полях.
marker	маркер	Используйте маркер для этикетки.
martial	боевой	Он изучает боевые искусства.
mate	приятель	Мой старый школьный приятель звонил вчера.
mayor	мэр	Мэр открыл библиотеку.
mechanic	механик	Механик починил автобус.
mechanical	механический	У часов механическая неисправность.
mechanism	механизм	Механизм замка прост.
medal	медаль	Она выиграла золотую медаль.
medication	лекарство	Принимайте лекарство с водой.
membership	абонемент	Абонемент в спортзал стоит дешевле онлайн.
memorable	незабываемый	Поездка была незабываемой.
metaphor	метафора	В стихотворении используется сильная метафора.
miner	шахтер	Шахтер работал под землей.
miserable	ужасный	Дождь испортил пикник.
mode	режим	Переключите камеру в ночной режим.
modest	скромный	Они живут в скромном доме.
monster	монстр	В истории есть страшный монстр.
monthly	ежемесячно	Мы платим за аренду ежемесячно.
monument	памятник	Памятник стоит возле реки.
moreover	более того	Более того, этот план экономит деньги.
mortgage	ипотека	Они подали заявку на ипотеку.
mosque	мечеть	Мечеть стоит рядом с рынком.
motion	движение	Датчик обнаруживает движение.
motivate	мотивировать	Похвала может мотивировать учеников.
motivation	мотивация	Ее мотивация оставалась сильной.
