source_headword	KA	example_KA
fridge	მაცივარი	რძე მაცივარში დევს.
frog	ბაყაყი	ბაყაყი ტბასთან ზის.
furniture	ავეჯი	ოთახში ახალი ავეჯია.
further	უფრო შორს	ჩვენ გზაზე უფრო შორს წავედით.
gallery	გალერეა	სურათები გალერეაში კიდია.
gap	სიცარიელე	კედელში პატარა სიცარიელეა.
gas	გაზი	სამზარეულოში გაზის სუნი იყო.
gate	ჭიშკარი	სკოლის ჭიშკარი ღიაა.
general	ზოგადი	ეს ზოგადი წესია.
gift	საჩუქარი	მან დედას საჩუქარი მისცა.
goal	მიზანი	მისი მიზანი ნათელია.
god	ღმერთი	მან ღმერთს მადლობა უთხრა.
gold	ოქრო	ბეჭედი ოქროსია.
golf	გოლფი	ის კვირას გოლფს თამაშობდა.
government	მთავრობა	მთავრობამ ახალი გეგმა გამოაცხადა.
grass	ბალახი	წვიმის შემდეგ ბალახი მწვანეა.
greet	მისალმება	მან სტუმარს მიესალმა.
ground	მიწა	ბავშვები მიწაზე ისხდნენ.
guest	სტუმარი	სტუმარი ადრე მოვიდა.
guide	გიდი	გიდმა ქალაქზე ისაუბრა.
gun	იარაღი	პოლიციამ იარაღი უსაფრთხო ადგილას დადო.
guy	ბიჭი	ეს ბიჭი ძალიან კეთილია.
habit	ჩვევა	დილით კითხვა კარგი ჩვევაა.
hall	დარბაზი	შეხვედრა დიდ დარბაზში იყო.
happily	ბედნიერად	ისინი სახლში ბედნიერად დაბრუნდნენ.
headache	თავის ტკივილი	დღეს მას თავი სტკივა.
heart	გული	მისი გული სწრაფად ცემდა.
heat	სიცხე	შუადღისას სიცხე მოიმატა.
heavy	მძიმე	ეს ყუთი ძალიან მძიმეა.
height	სიმაღლე	შენობის სიმაღლე დიდია.
helpful	სასარგებლო	ეს რჩევა ძალიან სასარგებლოა.
hero	გმირი	მოთხრობის გმირი მამაცია.
hers	მისი	ეს ჩანთა მისია.
herself	თვითონ	მან კარი თვითონ გააღო.
hide	დამალვა	მან გასაღები დამალა.
hill	გორა	სახლი გორაზე დგას.
himself	თვითონ	მან საჭმელი თვითონ მოამზადა.
hit	დარტყმა	ბურთი ფანჯარას მოხვდა.
hockey	ჰოკეი	ისინი საღამოს ჰოკეის თამაშობდნენ.
hold	დაჭერა	გთხოვთ, ეს თოკი დაიჭირეთ.
hole	ხვრელი	გზაზე დიდი ხვრელია.
huge	უზარმაზარი	იქ უზარმაზარი ხეა.
human	ადამიანი	ადამიანი წყლის გარეშე ვერ ცხოვრობს.
hurt	ტკივენა	მისმა სიტყვებმა გული მატკინა.
ideal	იდეალური	ეს ადგილი კითხვისთვის იდეალურია.
identify	ამოცნობა	მან ფრინველის ამოცნობა სცადა.
ill	ავად	ბავშვი გუშინ ავად იყო.
illness	ავადმყოფობა	ეს ავადმყოფობა სწრაფად ვრცელდება.
image	სურათი	ეკრანზე მკაფიო სურათი ჩანს.
immediately	დაუყოვნებლივ	მან დაუყოვნებლივ უპასუხა.
impossible	შეუძლებელი	ამის მარტო გაკეთება შეუძლებელია.
included	შეტანილი	გადასახადი ფასში შეტანილია.
including	ჩათვლით	ყველა, მასწავლებლის ჩათვლით, მოვიდა.
increase	გაზრდა	ამ თვეში ფასი გაიზარდა.
incredible	დაუჯერებელი	ხედი დაუჯერებელი იყო.
independent	დამოუკიდებელი	მან დამოუკიდებელი გადაწყვეტილება მიიღო.
individual	ინდივიდუალური	თითოეულ მოსწავლეს ინდივიდუალური დახმარება სჭირდება.
industry	მრეწველობა	ამ ქალაქში დიდი მრეწველობაა.
informal	არაფორმალური	ეს არაფორმალური საუბარია.
injury	ტრავმა	მოთამაშემ მსუბუქი ტრავმა მიიღო.
insect	მწერი	ფოთოლზე პატარა მწერი იყო.
inside	შიგნით	ბავშვები სახლში შიგნით თამაშობენ.
instead	ნაცვლად	მან ჩაის ნაცვლად წყალი დალია.
instruction	ინსტრუქცია	გთხოვთ, ინსტრუქცია ყურადღებით წაიკითხოთ.
instructor	ინსტრუქტორი	ინსტრუქტორმა წესები ახსნა.
instrument	ინსტრუმენტი	მან ახალი მუსიკალური ინსტრუმენტი იყიდა.
intelligent	ჭკვიანი	ეს ბავშვი ძალიან ჭკვიანია.
international	საერთაშორისო	ეს საერთაშორისო კონფერენციაა.
introduction	შესავალი	მასწავლებელმა მოკლე შესავალი გააკეთა.
invent	გამოგონება	მეცნიერმა ახალი მოწყობილობა გამოიგონა.
invention	გამოგონება	ამ გამოგონებამ ცხოვრება გაამარტივა.
invitation	მოწვევა	ჩვენ ქორწილზე მოწვევა მივიღეთ.
invite	მიწვევა	მან მეგობარი სახლში მიიწვია.
involve	ჩართვა	პროექტი ბევრ ადამიანს მოიცავს.
item	ნივთი	სიაში თითოეული ნივთი შეამოწმეთ.
itself	თვითონ	მანქანა თვითონ გაჩერდა.
jam	მურაბა	მან პურზე მურაბა წაუსვა.
jazz	ჯაზი	მას ჯაზი უყვარს.
jewellery	სამკაულები	სამკაულები ყუთშია.
joke	ხუმრობა	მისმა ხუმრობამ ყველა გააცინა.
journalist	ჟურნალისტი	ჟურნალისტმა მინისტრს კითხვა დაუსვა.
jump	ხტომა	ბავშვი წყალში გადახტა.
kid	ბავშვი	ბავშვი პარკში თამაშობს.
kill	მოკვლა	შხამმა შეიძლება მცენარე მოკლას.
king	მეფე	მეფე სასახლეში ცხოვრობდა.
knee	მუხლი	მას მუხლი სტკივა.
knife	დანა	დანა მაგიდაზე დევს.
knock	დაკაკუნება	ვიღაცამ კარზე დააკაკუნა.
knowledge	ცოდნა	მას ამ თემაზე ცოდნა აქვს.
lab	ლაბორატორია	სტუდენტები ლაბორატორიაში მუშაობდნენ.
lady	ქალი	ეს ქალი ავტობუსში ავიდა.
lake	ტბა	ტბა სოფლის ახლოსაა.
lamp	ლამპა	მაგიდაზე ლამპა ანთია.
