source_headword	PT	example_PT
fridge	o frigorífico	O leite está no frigorífico.
frog	a rã	Uma rã saltou para o lago.
furniture	os móveis	Estes móveis são antigos mas resistentes.
further	mais; adicional	Precisamos de mais informações.
gallery	a galeria	A galeria está aberta hoje.
gap	o espaço; a lacuna	Há um espaço na parede.
gas	a gasolina; o gás	O carro precisa de gasolina.
gate	o portão	Fecha o portão, por favor.
general	geral	Esta é uma regra geral.
gift	o presente	Ela comprou um presente.
goal	o objetivo	O nosso objetivo é simples.
god	Deus	Muitas pessoas rezam a Deus.
gold	o ouro; dourado	O anel é de ouro.
golf	o golfe	Ele joga golfe hoje.
government	o governo	O governo mudou a lei.
grass	a relva	A relva está molhada.
greet	cumprimentar	Cumprimenta cada convidado com educação.
ground	o chão; o solo	Senta-te no chão.
guest	o convidado	O nosso convidado chegou cedo.
guide	o guia; guiar	O guia mostrou-nos o museu.
gun	a arma	A polícia encontrou uma arma.
guy	o tipo; o rapaz	Aquele tipo é o meu irmão.
habit	o hábito	Ler todos os dias é um bom hábito.
hall	o corredor; o átrio	Espera no corredor.
happily	felizmente	Eles viveram felizes juntos.
headache	a dor de cabeça	Tenho uma dor de cabeça.
heart	o coração	O coração dela bate depressa.
heat	aquecer	Aquece a sopa devagar.
heavy	pesado	Este saco é pesado.
height	a altura	Mede a altura da mesa.
helpful	útil	O teu conselho foi útil.
hero	o herói	Ele é o meu herói.
hers	dela	O casaco azul é dela.
herself	ela própria; a si mesma	Ela fez o jantar sozinha.
hide	esconder	Esconde a chave debaixo da caixa.
hill	a colina	Subimos a colina.
himself	ele próprio; a si mesmo	Ele arranjou isto sozinho.
hit	bater em	Não batas na porta.
hockey	o hóquei	Vimos hóquei ontem à noite.
hold	segurar	Segura a minha mão.
hole	o buraco	Há um buraco na minha meia.
huge	enorme	A sala é enorme.
human	o ser humano; humano	Todo ser humano precisa de água.
hurt	doer; magoar	Dói-me o joelho.
ideal	ideal	Esta sala é ideal para estudar.
identify	identificar	Consegues identificar esta ave?
ill	doente	Ela sente-se doente hoje.
illness	a doença	A doença durou uma semana.
image	a imagem	A imagem está nítida.
immediately	imediatamente	Vem aqui imediatamente.
impossible	impossível	Este quebra-cabeças parece impossível.
included	incluído	O pequeno-almoço está incluído.
including	incluindo	Dez pessoas vieram, incluindo eu.
increase	aumentar	Os preços aumentam no verão.
incredible	incrível	A vista era incrível.
independent	independente	A minha irmã é independente.
individual	o indivíduo; individual	Cada indivíduo tem um número.
industry	a indústria	A indústria local está a crescer.
informal	informal	Este email é informal.
injury	a lesão	A lesão dele não é grave.
insect	o inseto	Um inseto pousou no copo.
inside	dentro	Espera dentro de casa.
instead	em vez disso	Bebe água em vez disso.
instruction	a instrução	Lê cada instrução com cuidado.
instructor	o instrutor	O instrutor explicou o exercício.
instrument	o instrumento	Ela toca um instrumento.
intelligent	inteligente	Ele é um estudante inteligente.
international	internacional	Este é um aeroporto internacional.
introduction	a introdução	A introdução foi curta.
invent	inventar	As crianças podem inventar novos jogos.
invention	a invenção	A invenção poupou tempo.
invitation	o convite	Recebi um convite.
invite	convidar	Convida também o teu amigo.
involve	envolver	O trabalho vai envolver viagens.
item	o item; o artigo	Escolhe um item.
itself	ele próprio; por si só	A máquina desliga-se sozinha.
jam	a compota	Põe compota no pão.
jazz	o jazz	O jazz soa muito bem hoje à noite.
jewellery	as joias	Ela guarda joias numa caixa.
joke	a piada	Conta-me uma piada.
journalist	o jornalista	O jornalista fez perguntas.
jump	saltar	Salta por cima da linha.
kid	a criança; o miúdo	O miúdo está a rir.
kill	matar	Não mates o inseto.
king	o rei	O rei vivia num palácio.
knee	o joelho	Dói-me o joelho.
knife	a faca	Usa uma faca afiada.
knock	bater	Bate antes de entrares.
knowledge	o conhecimento	O conhecimento cresce com a prática.
lab	o laboratório	O laboratório está fechado.
lady	a senhora	A senhora sorriu para nós.
lake	o lago	O lago está calmo.
lamp	o candeeiro	Acende o candeeiro.
laptop	o portátil	O meu portátil é novo.
last1 (taking time)	durar	O filme dura duas horas.
laughter	o riso; as gargalhadas	Ouvimos gargalhadas lá fora.
law	a lei	A lei mudou ontem.
lawyer	o advogado	O advogado telefonou-me.
lazy	preguiçoso	Não sejas preguiçoso.
lead1	liderar; conduzir	Os bons líderes lideram pelo exemplo.
leader	o líder	Ela é a líder da equipa.
learning	a aprendizagem	Aprender leva tempo.
least	o menos; a menor quantidade	Escolhe o menos caro.
lecture	a palestra; a aula	A palestra começa às dez.
lemon	o limão	Adiciona limão ao chá.
lend	emprestar	Podes emprestar-me cinco dólares?
less	menos	Come menos açúcar.
level	o nível	Este nível é fácil.
lifestyle	o estilo de vida	Ele tem um estilo de vida saudável.
lift	levantar	Levanta a caixa com cuidado.
light	acender	Acende a vela com cuidado.
light (not heavy)	leve	Este saco é leve.
likely	provável	É provável que chova amanhã.
link	o link; a ligação	Envia-me o link.
listener	o ouvinte	Sê um bom ouvinte.
lock	trancar	Tranca a porta.
lorry	o camião	O camião transportava caixas.
lost	perdido	Estamos perdidos.
loud	alto	A música está alta.
loudly	em voz alta; alto	Por favor, não fales alto.
lovely	encantador; bonito	Que jardim bonito!
low	baixo	A cadeira é baixa.
luck	a sorte	Boa sorte no teste.
lucky	sortudo	Hoje tens sorte.
mail	o correio	Recebi correio esta manhã.
major	importante; grave	Este é um problema grave.
male	macho; masculino	O pássaro macho é colorido.
manage	gerir; conseguir	Consegues gerir esta tarefa?
manager	o gerente	O gerente está ocupado.
manner	a maneira; o modo	Fala de maneira educada.
mark	marcar	Marca a tua resposta claramente.
marry	casar	Eles vão casar em junho.
material	o material	Este material é macio.
mathematics	a matemática	A matemática é a minha disciplina preferida.
maths	a matemática	A matemática é difícil para mim.
matter	importar	Não importa.
may modal	poder	Podes sair agora.
media	os meios de comunicação	Os meios de comunicação cobriram a história.
medical	médico	Ela precisa de ajuda médica.
medicine	o medicamento; a medicina	Toma este medicamento depois do almoço.
memory	a memória	A minha memória é boa.
mention	mencionar	Não menciones o meu nome.
metal	o metal; de metal	O portão é de metal.
method	o método	Este método funciona bem.
middle	o meio	Fica no meio.
