source_headword	TR	example_TR
abandon	terk etmek	Dün plandan vazgeçtiler.
absolute	mutlak	Burada mutlak dürüstlüğe ihtiyacımız var.
acceptable	kabul edilebilir	Cevabı kabul edilebilirdi.
accompany	eşlik etmek	Erkek kardeşi ona eve kadar eşlik etti.
accurate	doğru	Rapor doğru görünüyor.
accuse	suçlamak	Onu yalan söylemekle suçladılar.
acknowledge	kabul etmek	Lütfen hatayı kabul edin.
acquire	edinmek	Yeni becerileri çabucak edindi.
actual	asıl	Gerçek maliyet daha düşüktü.
adapt	uyum sağlamak	Değişikliğe uyum sağladık.
additional	ek	Ek yardım bugün geldi.
administration	yönetim	Yönetim politikayı değiştirdi.
adopt	benimsemek	Yeni bir yöntem benimsediler.
advance	ilerleme	Küçük bir ilerleme kaydettik.
affair	mesele	Olay kamu güvenini zedeledi.
afterwards	sonrasında	Sonrasında herkes sakinleşti.
agency	ajans	Ajans üç çevirmen işe aldı.
agenda	gündem	Güvenlik gündemde.
aggressive	agresif	Ses tonu agresif geliyordu.
aid	yardım	Tıbbi yardım hızla ulaştı.
aircraft	uçak	Uçak güvenli bir şekilde indi.
alter	değiştirmek	Anlaşmayı değiştirmeyin.
anger	öfke	Öfkesi herkesi şaşırttı.
angle	açı	Başka bir kamera açısı deneyin.
anniversary	yıl dönümü	Yıldönümleri yarın.
annual	yıllık	Yıllık toplantı pazartesi başlıyor.
anxious	endişeli	Ameliyattan önce endişeli hissetti.
apparent	bariz	Hayal kırıklığı barizdi.
apparently	görünüşe göre	Görünüşe göre tren gecikiyor.
appeal	temyiz	Karar temyize gidebilir.
approach	yaklaşım	Yaklaşımı sorunu çözdü.
appropriate	uygun	Uygun bir tepki seçin.
approval	onay	Projenin onaya ihtiyacı var.
approve	onaylamak	Kurul bütçeyi onayladı.
arise	ortaya çıkmak	Sorunlar daha sonra ortaya çıkabilir.
armed	silahlı	Silahlı muhafızlar dışarıda duruyordu.
arms	silahlar	Silahlarını bıraktılar.
