source_headword	HY	example_HY
stranger	օտարական	Մի օտարական ճանապարհ հարցրեց։
strength	ուժ	Նրա ուժն օգնեց թիմին։
string	պարան	Կապեք տուփը պարանով։
strongly	խիստ	Ես խիստ դեմ եմ այդ գաղափարին։
studio	արվեստանոց	Նկարիչն աշխատում է փոքր արվեստանոցում։
stuff	իրեր	Դրեք ձեր իրերը դարակի վրա։
substance	նյութ	Ոստիկանությունը տարօրինակ նյութ գտավ։
successfully	հաջողությամբ	Նրանք հաջողությամբ ավարտեցին նախագիծը։
sudden	հանկարծակի	Հանկարծակի աղմուկն արթնացրեց մեզ։
suffer	տառապել	Շատ բույսեր տառապում են չոր եղանակին։
suitable	հարմար	Այս բաճկոնը հարմար է դպրոցի համար։
summarize	ամփոփել	Կարո՞ղ եք ամփոփել հոդվածը։
summary	ամփոփում	Այսօր երեկոյան կարճ ամփոփում գրեք։
supply	պաշար	Քաղաքին մաքուր ջրի պաշար է անհրաժեշտ։
supporter	երկրպագու	Յուրաքանչյուր երկրպագու բարձրաձայն ուրախանում էր։
surely	անշուշտ	Անշուշտ մենք կարող ենք լուծել սա։
surface	մակերես	Մակերեսը սառն ու հարթ էր թվում։
survive	գոյատևել	Այս կենդանիները գոյատևում են ցուրտ ձմեռներին։
switch	անջատել	Անջատեք խոհանոցի լույսը։
symptom	ախտանիշ	Հազը կարող է ախտանիշ լինել։
tail	պոչ	Շունը երկար պոչ ունի։
talent	տաղանդ	Նա երաժշտության տաղանդ ունի։
talented	տաղանդավոր	Նա տաղանդավոր երիտասարդ դերասան է։
tape	կպչուն ժապավեն	Տուփը փակելու համար կպչուն ժապավեն օգտագործեք։
tax	հարկ	Բոլորը պետք է վճարեն այս հարկը։
technical	տեխնիկական	Մենք տեխնիկական խնդիր ունեինք։
technique	տեխնիկա	Այս տեխնիկան խնայում է ժամանակը։
tend	հակված լինել	Երեխաները հակված են արագ սովորելուն։
tent	վրան	Մենք քնեցինք փոքր վրանում։
theirs	նրանցը	Կապույտ հեծանիվները նրանցն են։
theme	թեմա	Երեկույթն ուներ լողափնյա թեմա։
theory	տեսություն	Նրա տեսությունը բացատրում է խնդիրը։
therefore	հետևաբար	Անձրև եկավ, հետևաբար մենք մնացինք ներսում։
though	չնայած	Չնայած հոգնածությանը, նա շարունակեց աշխատել։
throat	կոկորդ	Այս առավոտ կոկորդս ցավում է։
throughout	ողջ	Մարդիկ պարեցին ողջ երեկոյի ընթացքում։
tight	նեղ	Այս կոշիկները շատ նեղ են։
till	մինչև	Սպասեք այստեղ մինչև ես վերադառնամ։
tin	պահածոյի տուփ	Բացեք լոբու պահածոյի տուփը։
tiny	շատ փոքր	Մի շատ փոքր թռչուն իջավ մոտակայքում։
toe	ոտքի մատ	Երեկ ես վնասեցի ոտքիս մատը։
tongue	լեզու	Նա այրեց իր լեզուն թեյով։
total	ընդհանուր	Ընդհանուր արժեքը ցածր էր։
totally	լիովին	Ես լիովին հասկանում եմ ձեր մտահոգությունը։
trade	առևտուր	Միջազգային առևտուրն աշխատատեղեր է ստեղծում։
translate	թարգմանել	Խնդրում եմ թարգմանել այս նախադասությունը։
translation	թարգմանություն	Թարգմանությունը բնական է հնչում։
treat	վերաբերվել	Բոլորին հարգանքով վերաբերվեք։
treatment	բուժում	Հիվանդին այսօր բուժում է հարկավոր։
trend	միտում	Այս միտումն աճում է ամբողջ աշխարհում։
trick	հնարք	Քարտերի այդ հնարքն ինձ զարմացրեց։
truth	ճշմարտություն	Խնդրում եմ ասել ճշմարտությունը։
tube	սրվակ	Մեղմորեն սեղմեք սրվակը։
typically	սովորաբար	Ուսանողները սովորաբար ժամանում են իննից առաջ։
tyre	անվադող	Ավտոմեքենային նոր անվադող է պետք։
ugly	տգեղ	Պատի այդ գույնը տգեղ տեսք ունի։
unable	անկարող	Նա անկարող էր պատասխանել։
uncomfortable	անհարմար	Այս աթոռն անհարմար է։
underwear	ներքնազգեստ	Ճանապարհորդության համար մաքուր ներքնազգեստ վերցրեք։
unemployed	գործազուրկ	Նա երկու ամիս գործազուրկ էր։
unemployment	գործազրկություն	Ձմռան ընթացքում գործազրկությունն աճեց։
unfair	անարդար	Որոշումն անարդար էր թվում։
union	արհմիություն	Արհմիությունը պահանջեց ավելի անվտանգ աշխատանք։
unless	մինչև	Մի հեռացեք, մինչև ես չզանգեմ։
unlike	ի տարբերություն	Ի տարբերություն Թոմի, Աննան սիրում է ձմեռը։
unlikely	դժվար թե	Այս շաբաթ ձյունը դժվար թե լինի։
unnecessary	ավելորդ	Լրացուցիչ պայուսակներն ավելորդ են։
unpleasant	տհաճ	Սենյակը տհաճ հոտ ուներ։
update	թարմացնել	Ես պետք է թարմացնեմ իմ հեռախոսը։
upon	վրա	Ժամանակով կար մի թագավոր։
upset	վշտացած	Նա վշտացած էր զանգից հետո։
used1	օգտագործվող	Այս սենյակն օգտագործվում է հանդիպումների համար։
used2	սովոր	Ես սովոր եմ վաղ առավոտներին։
valuable	արժեքավոր	Այս ժամացույցն արժեքավոր է։
value	արժեք	Անցյալ տարի տունը կորցրեց իր արժեքը։
various	զանազան	Մենք փորձեցինք տարբեր տեղական ուտեստներ։
version	տարբերակ	Այս տարբերակն ավելի լավ է աշխատում։
victim	տուժող	Տուժողը զանգահարեց ոստիկանություն։
