hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
303:白色	白色	白色	အဖြူရောင်	အဖြူရောင်ခွက်ကို ကြိုက်တယ်။	ពណ៌ស	ខ្ញុំចូលចិត្តពែងពណ៌ស។	ສີຂາວ	ຂ້ອຍມັກຈອກສີຂາວ.	सेतो रङ	मलाई सेतो कप मन पर्छ।
305:帮	帮	帮	ကူညီသည်	တံခါးဖွင့်ဖို့ ကူညီပေးပါ။	ជួយ	សូមជួយខ្ញុំបើកទ្វារ។	ຊ່ວຍ	ກະລຸນາຊ່ວຍຂ້ອຍເປີດປະຕູ.	मद्दत गर्नु	कृपया ढोका खोल्न मलाई मद्दत गर।
308:本子	本子	本子	စာအုပ်ငယ်; မှတ်စုစာအုပ်	ဒီမှတ်စုစာအုပ်က ကျွန်တော့်ဟာပါ။	សៀវភៅកត់ត្រា	សៀវភៅកត់ត្រានេះជារបស់ខ្ញុំ។	ປຶ້ມຂຽນ; ປຶ້ມບັນທຶກ	ປຶ້ມຂຽນນີ້ເປັນຂອງຂ້ອຍ.	कापी; नोटबुक	यो कापी मेरो हो।
310:笔	笔	笔	ဘောပင်; ခဲတံ	ကျွန်တော့်မှာ ဘောပင်တစ်ချောင်း ရှိတယ်။	ប៊ិច; ខ្មៅដៃ	ខ្ញុំមានប៊ិចមួយ។	ປາກກາ; ດິນສໍ	ຂ້ອຍມີປາກກາໜຶ່ງດ້າມ.	कलम; पेन्सिल	मसँग एउटा कलम छ।
312:不错	不错	不错	မဆိုးဘူး; တော်တော်ကောင်းတယ်	ဒီစားသောက်ဆိုင်က တော်တော်ကောင်းတယ်။	មិនអាក្រក់; ល្អគួរសម	ភោជនីយដ្ឋាននេះល្អគួរសម។	ບໍ່ແຍ່; ດີພໍສົມຄວນ	ຮ້ານອາຫານນີ້ດີພໍສົມຄວນ.	नराम्रो छैन; राम्रै	यो रेस्टुरेन्ट राम्रै छ।
313:不好意思	不好意思	不好意思	တောင်းပန်ပါတယ်; အားနာတယ်	တောင်းပန်ပါတယ်၊ ကျွန်တော် နောက်ကျသွားတယ်။	សុំទោស; ខ្មាសអៀន	សុំទោស ខ្ញុំមកយឺត។	ຂໍໂທດ; ເກງໃຈ	ຂໍໂທດ, ຂ້ອຍມາຊ້າ.	माफ गर्नुहोस्; अप्ठ्यारो लाग्नु	माफ गर्नुहोस्, म ढिलो आएँ।
315:车站	车站	车站	ဘူတာ; မှတ်တိုင်	မှတ်တိုင်က ရှေ့မှာ ရှိတယ်။	ស្ថានីយ; ចំណត	ចំណតនៅខាងមុខ។	ສະຖານີ; ປ້າຍລົດ	ປ້າຍລົດຢູ່ຂ້າງໜ້າ.	स्टेशन; बस स्टप	स्टप अगाडि छ।
317:出国	出国	出国	နိုင်ငံခြားသွားသည်	သူ နောက်နှစ်မှာ ပညာသင်ဖို့ နိုင်ငံခြားသွားမယ်။	ទៅបរទេស	ឆ្នាំក្រោយគាត់ទៅបរទេសដើម្បីរៀន។	ໄປຕ່າງປະເທດ	ປີໜ້າລາວຈະໄປຮຽນຕ່າງປະເທດ.	विदेश जानु	ऊ अर्को वर्ष पढ्न विदेश जान्छ।
318:出来	出来	出来	အပြင်ထွက်လာသည်	ခဏ အပြင်ထွက်လာပါ။	ចេញមកក្រៅ	សូមចេញមកបន្តិច។	ອອກມາ	ກະລຸນາອອກມາສັກຄູ່.	बाहिर आउनु	कृपया एकछिन बाहिर आऊ।
319:出门	出门	出门	အိမ်က ထွက်သည်	မနက်ရှစ်နာရီမှာ အိမ်က ထွက်တယ်။	ចេញពីផ្ទះ	ខ្ញុំចេញពីផ្ទះម៉ោងប្រាំបីព្រឹក។	ອອກຈາກເຮືອນ	ຂ້ອຍອອກຈາກເຮືອນເວລາແປດໂມງເຊົ້າ.	घरबाट निस्कनु	म बिहान आठ बजे घरबाट निस्कन्छु।
