source_headword	ID	example_ID
crawl	merangkak	Bayi itu mulai merangkak di atas karpet.
creator	pencipta	Pencipta itu berterima kasih kepada semua orang atas dukungan mereka.
credibility	kredibilitas	Saksi tersebut kehilangan kredibilitas selama interogasi.
credible	kredibel	Laporan tersebut menawarkan bukti yang kredibel.
creep	merayap	Kabut mulai merayap melintasi lembah.
critique	kritik	Profesor itu memberikan kritik yang terperinci.
crown	mahkota	Ratu itu mengenakan mahkota perak.
crude	kasar	Gambar itu kasar tetapi jelas.
crush	menghancurkan	Batu-batu berat dapat menghancurkan pipa itu.
crystal	kristal	Kristal itu memantulkan cahaya pagi.
cult	sekte	Sekte tersebut mengisolasi para anggotanya.
cultivate	menanam	Para petani menanam padi di wilayah ini.
curiosity	rasa ingin tahu	Rasa ingin tahu membawanya ke dunia sains.
custody	hak asuh	Anak itu tetap berada di bawah hak asuh ayahnya.
cutting	kliping	Surat kabar itu menerbitkan sebuah kliping tentangnya.
cynical	sinis	Komentarnya yang sinis membuat tim itu kesal.
dam	bendungan	Bendungan itu menahan air sungai.
damaging	merusak	Artikel yang merusak itu merugikan kampanye.
dawn	fajar	Kami meninggalkan desa itu saat fajar.
debris	puing-puing	Puing-puing badai memblokir jalan.
debut	debut	Debutnya menarik perhatian nasional.
decision-making	pengambilan keputusan	Pengambilan keputusan yang baik membutuhkan informasi yang jelas.
decisive	tegas	Tindakannya yang tegas mencegah kerusakan lebih lanjut.
declaration	deklarasi	Menteri tersebut membacakan deklarasi resmi.
dedicated	berdedikasi	Perawat yang berdedikasi itu bekerja semalaman.
dedication	dedikasi	Dedikasinya menginspirasi para pemain muda.
deed	perbuatan	Perbuatan berani itu menyelamatkan dua nyawa.
deem	menganggap	Pengadilan dapat menganggap kontrak tersebut tidak sah.
default	standar	Gunakan pengaturan standar untuk saat ini.
defect	cacat	Para inspektur menemukan cacat yang serius.
defensive	defensif	Nadanya yang defensif mengejutkan semua orang.
deficiency	kekurangan	Kekurangan zat besi dapat memengaruhi kesehatan.
deficit	defisit	Defisit anggaran mengkhawatirkan para pejabat.
defy	menentang	Para pengunjuk rasa memilih untuk menentang larangan tersebut.
delegate	delegasi	Setiap delegasi menerima kartu suara.
delegation	delegasi	Delegasi tersebut tiba sebelum tengah hari.
delicate	rapuh	Kaca yang rapuh itu mudah pecah.
demon	iblis	Cerita itu menggambarkan sesosok iblis kuno.
denial	penyangkalan	Penyangkalannya membuat marah para korban.
denounce	mengecam	Para pemimpin mengecam kekerasan di sekolah.
dense	lebat	Hutan yang lebat itu menghalangi sinar matahari.
density	kepadatan	Kepadatan penduduk tinggi di pusat kota.
dependence	ketergantungan	Ketergantungan negara tersebut pada minyak menurun.
depict	menggambarkan	Mural tersebut menggambarkan kehidupan desa.
deploy	mengerahkan	Tentara akan mengerahkan staf tambahan.
deployment	pengerahan	Pengerahan pasukan dimulai pada hari Senin.
deprive	merampas	Kurang tidur dapat merampas fokus siswa.
deputy	wakil	Wakil tersebut menandatangani perjanjian itu.
descend	menurun	Jalan setapak itu mulai menurun dengan tajam.
descent	penurunan	Pesawat itu memulai penurunannya.
designate	menetapkan	Kota tersebut akan menetapkan taman baru.
desirable	diinginkan	Pencahayaan yang baik sangat diinginkan di ruang kelas.
desktop	desktop	Fail itu ada di desktop saya.
destructive	destruktif	Badai itu memiliki kekuatan destruktif.
detain	menahan	Polisi dapat menahan tersangka semalaman.
detection	deteksi	Deteksi dini meningkatkan perawatan kanker.
detention	penahanan	Para siswa memprotes kondisi penahanan.
deteriorate	memburuk	Kesehatannya mulai memburuk.
devastate	menghancurkan	Gempa bumi dapat menghancurkan kota-kota pesisir.
devil	iblis	Anak itu menggambar iblis yang tersenyum.
devise	merancang	Para insinyur merancang sistem transportasi yang lebih aman.
diagnose	mendiagnosis	Para dokter mendiagnosis penyakit tersebut dengan tes darah.
diagnosis	diagnosis	Diagnosis tersebut menjelaskan gejalanya.
dictate	mendikte	Kontrak tersebut akan mendikte ketentuan pembayaran.
dictator	diktator	Diktator itu menguasai media.
differentiate	membedakan	Bisakah Anda membedakan fakta dari opini?
dignity	martabat	Setiap orang berhak mendapatkan martabat di tempat kerja.
dilemma	dilema	Manajer itu menghadapi dilema yang serius.
dimension	dimensi	Masalah tersebut memiliki dimensi politik.
diminish	berkurang	Rasa sakitnya akan berkurang perlahan.
dip	turun	Suhu bisa turun di bawah titik beku.
diplomat	diplomat	Diplomat tersebut bertemu dengan para pemimpin asing.
diplomatic	diplomatis	Pembicaraan diplomatis itu berlanjut semalaman.
directory	direktori	Cari nomornya di direktori itu.
disastrous	yang membawa bencana	Banjir yang membawa bencana itu menghancurkan beberapa jembatan.
discard	membuang	Jangan membuang catatan yang berguna.
discharge	memulangkan	Rumah sakit akan memulangkannya besok.
disclose	mengungkapkan	Para pejabat menolak untuk mengungkapkan angka-angka tersebut.
disclosure	pengungkapan	Pengungkapan itu mengejutkan dewan.
discourse	wacana	Wacana publik menjadi lebih sopan.
discretion	kebijaksanaan	Gunakan kebijaksanaan Anda untuk kasus-kasus sensitif.
discrimination	diskriminasi	Undang-undang itu melarang diskriminasi dalam perekrutan.
dismissal	pemecatan	Pemecatannya memicu kemarahan publik.
displace	memindahkan	Perang tersebut dapat memindahkan ribuan orang.
disposal	pembuangan	Pembuangan limbah tetap menjadi masalah lokal.
dispose	membuang	Perusahaan harus membuang bahan kimia dengan aman.
dispute	perselisihan	Perselisihan itu berlangsung selama berbulan-bulan.
disrupt	mengganggu	Kebisingan dapat mengganggu konsentrasi.
disruption	gangguan	Pemogokan itu menyebabkan gangguan besar.
dissolve	larut	Gula akan larut dalam teh panas.
distinction	perbedaan	Perbedaan di antara keduanya itu penting.
distinctive	khas	Dia memiliki suara yang khas.
distort	mendistorsi	Cermin itu dapat mendistorsi pantulan Anda.
distress	penderitaan	Panggilan itu menyebabkan penderitaan yang serius.
disturbing	meresahkan	Film dokumenter itu menunjukkan adegan-adegan yang meresahkan.
divert	mengalihkan	Polisi harus mengalihkan lalu lintas.
divine	ilahi	Kapel itu memiliki suasana ilahi.
doctrine	doktrin	Partai tersebut menolak doktrin lama itu.
documentation	dokumentasi	Lengkapi dokumentasi sebelum peluncuran.
domain	domain	Situs web tersebut menggunakan domain yang aman.
dominance	dominasi	Dominasi tim itu berlangsung selama satu dekade.
donor	donor	Donor itu menyumbangkan darah hari ini.
dose	dosis	Minum satu dosis setelah sarapan.
drain	mengalir	Air akan mengalir ke sungai.
drift	melayang	Asap mulai melayang melintasi jalan.
driving	pendorong	Hujan adalah faktor pendorong di balik keterlambatan.
drown	menenggelamkan	Jangan pernah berenang di mana arus bisa menenggelamkanmu.
dual	ganda	Perangkat ini memiliki fungsi ganda.
dub	menjuluki	Para kritikus menjuluki kota itu sebagai ibu kota budaya.
dumb	bodoh	Itu adalah kesalahan yang bodoh.
duo	duo	Duo komedi itu mengadakan tur di Eropa.
eager	antusias	Para siswa sangat antusias untuk memulai.
earnings	pendapatan	Pendapatan perusahaan naik tajam.
ease	meringankan	Jalan baru itu akan meringankan lalu lintas.
echo	menggema	Suaranya menggema di aula.
ecological	ekologis	Dampak ekologisnya masih belum pasti.
educator	pendidik	Pendidik itu merancang kursus baru.
effectiveness	efektivitas	Studi itu mengukur efektivitas vaksin.
efficiency	efisiensi	Perangkat lunak yang lebih baik meningkatkan efisiensi.
ego	ego	Egonya menyebabkan masalah di tempat kerja.
elaborate	rumit	Kostum rumit itu memakan waktu berminggu-minggu.
electoral	pemilihan	Sistem pemilihan berubah tahun lalu.
elevate	menaikkan	Penghargaan itu akan menaikkan profilnya.
eligible	berhak	Hanya penduduk yang berhak mendapat diskon.
elite	elit	Kaum elit berlatih di akademi swasta.
embark	memulai	Mereka akan memulai perjalanan panjang.
embarrassment	rasa malu	Dia tertawa untuk menutupi rasa malunya.
embassy	kedutaan	Kedutaan mengeluarkan saran perjalanan baru.
embed	bergabung	Jurnalis itu akan bergabung dengan pasukan.
embody	melambangkan	Patung itu tampaknya melambangkan keberanian.
emergence	kemunculan	Kemunculan telepon mengubah kehidupan sehari-hari.
empirical	empiris	Makalah ini bergantung pada bukti empiris.
empower	memberdayakan	Pendidikan dapat memberdayakan masyarakat setempat.
enact	memberlakukan	Parlemen memilih untuk memberlakukan reformasi.
encompass	mencakup	Kursus ini akan mencakup sejarah modern.
encouragement	dorongan	Dorongannya membantunya terus maju.
encouraging	menggembirakan	Hasil awal terlihat menggembirakan.
endeavour	usaha	Penyelamatan itu adalah usaha yang sulit.
endless	tak berujung	Gurun pasir itu tampak tak berujung.
endorse	mendukung	Serikat pekerja menolak untuk mendukung kandidat tersebut.
endorsement	dukungan	Dukungannya meningkatkan kampanyenya.
endure	bertahan	Tanaman dapat bertahan menghadapi musim dingin yang keras.
enforce	menegakkan	Polisi menegakkan batas kecepatan.
enforcement	penegakan	Penegakan yang lebih kuat mengurangi pembuangan ilegal.
engagement	keterlibatan	Keterlibatan siswa meningkat semester ini.
engaging	menarik	Pembicara memberikan ceramah yang menarik.
enquire	bertanya	Silakan bertanya di meja depan.
enrich	memperkaya	Perjalanan dapat memperkaya pemahaman Anda.
enrol	mendaftar	Siswa harus mendaftar sebelum bulan September.
ensue	terjadi	Kekacauan mungkin terjadi setelah pengumuman tersebut.
enterprise	perusahaan	Perusahaan itu mempekerjakan seniman lokal.
enthusiast	penggemar	Setiap penggemar bersepeda tahu rute ini.
entitle	memberi hak	Tiket ini akan memberi Anda hak untuk masuk.
entity	entitas	Perusahaan adalah entitas hukum yang terpisah.
epidemic	epidemi	Epidemi itu menyebar ke beberapa wilayah.
equality	kesetaraan	Gerakan itu memperjuangkan kesetaraan.
equation	persamaan	Persamaan itu mengandung dua hal yang tidak diketahui.
erect	mendirikan	Para pekerja akan mendirikan pagar baru.
escalate	memanas	Konflik bisa memanas dengan cepat.
essence	esensi	Puisi itu menangkap esensi masa kanak-kanak.
establishment	lembaga	Lembaga mapan tersebut menentang reformasi.
eternal	abadi	Mereka menjanjikan persahabatan abadi.
evacuate	mengevakuasi	Petugas pemadam kebakaran membantu warga mengevakuasi diri dengan aman.
evoke	membangkitkan	Lagu itu dapat membangkitkan kenangan yang kuat.
evolutionary	evolusioner	Fosil itu menunjukkan perubahan evolusioner.
exaggerate	melebih-lebihkan	Jangan melebih-lebihkan pengalaman Anda.
excellence	keunggulan	Sekolah memberikan penghargaan atas keunggulan akademis.
exceptional	luar biasa	Dia menunjukkan keterampilan yang luar biasa.
excess	kelebihan	Kelebihan air itu membanjiri ruang bawah tanah.
exclusion	pengecualian	Eksklusi sosial membahayakan kaum muda.
exclusive	eksklusif	Klub ini menawarkan akses eksklusif.
exclusively	secara eksklusif	Ruangan ini digunakan secara eksklusif oleh staf.
execute	menjalankan	Tim akan menjalankan rencana dengan hati-hati.
execution	pelaksanaan	Pelaksanaan strategi itu memakan waktu berbulan-bulan.
exert	mengerahkan	Anda harus mengerahkan lebih banyak tekanan.
exile	pengasingan	Penulis itu hidup dalam pengasingan.
expenditure	pengeluaran	Pengeluaran publik meningkat tahun lalu.
experimental	eksperimental	Perawatan ini masih bersifat eksperimental.
expire	kedaluwarsa	Paspor saya akan segera kedaluwarsa.
explicit	eksplisit	Instruksinya sangat eksplisit.
explicitly	secara eksplisit	Aturan secara eksplisit melarang merokok.
exploitation	eksploitasi	Laporan tersebut mengungkap eksploitasi pekerja.
explosive	peledak	Alat peledak itu dipindahkan dengan aman.
extremist	ekstremis	Kelompok ekstremis itu kehilangan dukungan.
facilitate	memfasilitasi	Aplikasi ini akan memfasilitasi pembelajaran jarak jauh.
faction	faksi	Satu faksi menentang pemimpin itu.
faculty	fakultas	Fakultas menyetujui proposal tersebut.
fade	memudar	Cat akan memudar di bawah sinar matahari.
fairness	keadilan	Keadilan penting dalam setiap kompetisi.
fatal	fatal	Kecelakaan itu menyebabkan cedera fatal.
fate	nasib	Tidak ada yang tahu nasibnya.
favourable	menguntungkan	Ulasannya positif.
feat	prestasi	Mendaki puncak itu adalah sebuah prestasi.
feminist	feminis	Gerakan feminis mengubah perdebatan publik.
fibre	serat	Roti ini mengandung serat tambahan.
fierce	dahsyat	Badai dahsyat itu merusak atap.
film-maker	pembuat film	Pembuat film menjawab pertanyaan setelahnya.
filter	penyaring	Filter itu menghilangkan debu dari udara.
fine	denda	Perusahaan itu membayar denda.
firearm	senjata api	Petugas menemukan senjata api yang dicuri.
fit	kecocokan	Sepatu baru itu ukurannya sangat pas.
fixture	perlengkapan tetap	Lampu itu adalah perlengkapan tetap.
flaw	cacat	Desain itu memiliki satu cacat serius.
flawed	cacat	Studi yang cacat itu memberikan hasil palsu.
flee	melarikan diri	Keluarga-keluarga harus melarikan diri dari pertempuran.
fleet	armada	Maskapai penerbangan itu memperbarui armadanya.
flesh	daging	Duri itu menusuk dagingnya.
flexibility	fleksibilitas	Kerja jarak jauh menawarkan lebih banyak fleksibilitas.
flourish	berkembang pesat	Usaha kecil dapat berkembang pesat di sini.
fluid	cairan	Minumlah banyak cairan setelah berolahraga.
footage	rekaman	Rekaman itu menunjukkan kecelakaan tersebut.
foreigner	orang asing	Formulir itu menanyakan apakah Anda orang asing.
forge	menjalin	Mereka mencoba menjalin aliansi baru.
formula	rumus	Rumus itu memecahkan masalah tersebut.
formulate	merumuskan	Para ilmuwan merumuskan teori baru.
forth	ke depan	Sungai itu membawa perahu ke depan.
forthcoming	mendatang	Laporan mendatang akan menjelaskan segalanya.
foster	mendorong	Program ini membantu mendorong kemandirian.
fragile	rapuh	Vas rapuh itu perlu penanganan yang hati-hati.
franchise	waralaba	Restoran itu menjadi waralaba global.
frankly	terus terang	Terus terang, kami butuh lebih banyak waktu.
frustrated	frustrasi	Para pekerja merasa frustrasi karena penundaan itu.
frustrating	membuat frustrasi	Koneksi yang lambat itu membuat frustrasi.
frustration	frustrasi	Rasa frustrasi meningkat selama pertemuan.
functional	berfungsi	Dapur tua itu masih berfungsi.
fundraising	penggalangan dana	Penggalangan dana dimulai minggu depan.
funeral	pemakaman	Pemakaman itu berlangsung pada hari Jumat.
gallon	galon	Tangki itu menampung satu galon.
gambling	perjudian	Perjudian dibatasi oleh hukum.
gathering	pertemuan	Pertemuan itu berakhir dengan damai.
gaze	tatapan	Dia membalas tatapannya sebentar.
gear	perlengkapan	Kemas perlengkapan keselamatan sebelum mendaki.
generic	generik	Versi generik harganya lebih murah.
genocide	genosida	Genosida itu meninggalkan trauma nasional yang dalam.
glance	sekilas pandang	Dia melihat sekilas dengan cepat.
glimpse	sekilas	Saya melihat sekilas laut itu.
glorious	gemilang	Tim itu menikmati kemenangan yang gemilang.
glory	kejayaan	Dia memimpikan kejayaan Olimpiade.
governance	tata kelola	Tata kelola yang baik membutuhkan transparansi.
grace	keanggunan	Dia menerima kekalahan dengan keanggunan.
grasp	memahami	Dia gagal memahami konsep tersebut.
grave (for dead person)	makam	Makam itu ditutupi dengan bunga.
grave (serious)	gawat	Situasi ini tetap gawat.
gravity	gravitasi	Gravitasi menarik benda-benda ke arah Bumi.
grid	kisi	Peta itu menggunakan sistem kisi yang sederhana.
grief	kesedihan	Kesedihan mengubah seluruh keluarganya.
grin	seringaian	Anak laki-laki itu tersenyum lebar.
grind	menggiling	Para pekerja menggiling biji kopi setiap pagi.
grip	pegangan	Jaga pegangan yang kuat pada tali itu.
gross	bruto	Pendapatan bruto naik tajam.
guerrilla	gerilya	Pejuang gerilya bersembunyi di perbukitan.
guidance	panduan	Buku panduan itu memberikan panduan praktis.
guilt	rasa bersalah	Dia merasa bersalah setelah berbohong.
gut	firasat	Percayai firasat Anda dalam pilihan-pilihan yang sulit.
hail	mengelu-elukan	Penduduk desa mengelu-elukan dokter itu sebagai pahlawan.
halfway	di pertengahan jalan	Kami berhenti di pertengahan jalan mendaki bukit.
halt	berhenti	Kereta itu tiba-tiba berhenti.
handful	segelintir	Segelintir sukarelawan tinggal lebih lama.
handling	penanganan	Penanganan yang tepat mencegah kerusakan.
handy	berguna	Alat ini sangat berguna untuk perbaikan.
harassment	pelecehan	Perusahaan itu menyelidiki keluhan pelecehan.
hardware	perangkat keras	Toko itu menjual perangkat keras komputer.
harmony	harmoni	Paduan suara itu bernyanyi dalam harmoni yang sempurna.
harsh	keras	Hakim menjatuhkan hukuman yang keras.
harvest	panen	Panen dimulai pada bulan September.
haunt	menghantui	Kenangan itu terus menghantuinya.
hazard	bahaya	Es adalah bahaya jalan yang serius.
heighten	meningkatkan	Pidato itu bisa meningkatkan ketegangan.
heritage	warisan	Kastil ini adalah bagian dari warisan lokal.
hierarchy	hierarki	Hierarki kantor itu didefinisikan dengan jelas.
high-profile	terkenal	Persidangan terkenal itu menarik para reporter.
hint	petunjuk	Dia memberiku petunjuk yang berguna.
homeland	tanah air	Dia kembali ke tanah airnya.
hopeful	penuh harapan	Para dokter penuh harapan tentang pemulihannya.
horizon	cakrawala	Matahari menghilang di bawah cakrawala.
horn	klakson	Klakson mobil itu membangunkan semua orang.
hostage	sandera	Sandera itu pulang ke rumah.
hostile	bermusuhan	Kerumunan itu menjadi bermusuhan.
hostility	permusuhan	Permusuhan terbuka mengakhiri pembicaraan tersebut.
humanitarian	kemanusiaan	Misi kemanusiaan itu mengantarkan makanan.
humanity	umat manusia	Umat manusia menghadapi tantangan bersama.
humble	rendah hati	Dia tetap rendah hati setelah sukses.
hydrogen	hidrogen	Hidrogen terbakar dengan sangat mudah.
identification	tanda pengenal	Identifikasi diperlukan di pintu masuk.
ideological	ideologis	Perselisihan itu memiliki akar ideologis.
ideology	ideologi	Ideologinya membentuk setiap pidato.
idiot	idiot	Jangan memanggil siapa pun idiot.
ignorance	ketidaktahuan	Ketidaktahuan bisa menyebarkan ketakutan.
imagery	citra	Puisi itu menggunakan citra yang hidup.
immense	sangat besar	Proyek itu membutuhkan usaha yang sangat besar.
imminent	segera terjadi	Badai sepertinya akan segera terjadi.
implementation	pelaksanaan	Pelaksanaan undang-undang itu lambat.
imprison	memenjarakan	Rezim itu mencoba memenjarakan para pengkritik.
imprisonment	pemenjaraan	Pemenjaraannya berlangsung selama lima tahun.
inability	ketidakmampuan	Ketidakmampuannya untuk fokus membuat para guru khawatir.
inadequate	tidak memadai	Tempat penampungan itu memiliki pemanas yang tidak memadai.
inappropriate	tidak pantas	Leluconnya tidak pantas.
incidence	kejadian	Tingkat kejadian flu meningkat.
inclined	cenderung	Dia cenderung setuju.
inclusion	inklusi	Sekolah itu mempromosikan inklusi.
