source_headword	NE	example_NE
stranger	अजनबी	एक अजनबीले बाटो सोध्यो।
strength	शक्ति	उनको शक्तिले टोलीलाई मद्दत गर्यो।
string	धागो	बक्सलाई धागोले बाँध्नुहोस्।
strongly	कडा रूपमा	म त्यो विचारसँग कडा रूपमा असहमत छु।
studio	स्टुडियो	कलाकार सानो स्टुडियोमा काम गर्छन्।
stuff	सामान	आफ्नो सामान र्याकमा राख्नुहोस्।
substance	पदार्थ	प्रहरीले एउटा अनौठो पदार्थ फेला पार्यो।
successfully	सफलतापूर्वक	उनीहरूले परियोजना सफलतापूर्वक पूरा गरे।
sudden	अचानक	अचानक आएको आवाजले हामीलाई बिउँझायो।
suffer	दुःख पाउनु	धेरै बिरुवाहरूले सुक्खा मौसममा दुःख पाउँछन्।
suitable	उपयुक्त	यो ज्याकेट विद्यालयको लागि उपयुक्त छ।
summarize	संक्षेपमा भन्नु	के तपाईं यस लेखको सारांश दिन सक्नुहुन्छ?
summary	सारांश	आज राति छोटो सारांश लेख्नुहोस्।
supply	आपूर्ति	सहरलाई स्वच्छ पानीको आपूर्ति चाहिन्छ।
supporter	समर्थक	हरेक समर्थकले ठूलो स्वरमा हुटिङ गरे।
surely	पक्कै पनि	पक्कै पनि हामी यसलाई समाधान गर्न सक्छौं।
surface	सतह	सतह चिसो र चिल्लो महसुस भयो।
survive	बाँच्नु	यी जनावरहरू चिसो जाडोमा बाँच्छन्।
switch	स्विच	भान्साको बत्ती निभाउनुहोस्।
symptom	लक्षण	खोकी एउटा लक्षण हुन सक्छ।
tail	पुच्छर	कुकुरको लामो पुच्छर छ।
talent	प्रतिभा	उनीमा संगीतको प्रतिभा छ।
talented	प्रतिभाशाली	उनी एक प्रतिभाशाली युवा अभिनेता हुन्।
tape	टेप	बक्स बन्द गर्न टेप प्रयोग गर्नुहोस्।
tax	कर	सबैले यो कर तिर्नुपर्छ।
technical	प्राविधिक	हामीलाई एउटा प्राविधिक समस्या भयो।
technique	तरिका	यो तरिकाले समय बचत गर्छ।
tend	झुकाव हुनु	बच्चाहरू छिट्टै सिक्ने गर्छन्।
tent	पाल	हामी सानो पालमा सुत्यौं।
theirs	उनीहरूको	नीला बाइकहरू उनीहरूका हुन्।
