rock (music)	I love rock music.
role	Her role is important.
roof	The roof needs repair.
round	The table is round.
route	This route is shorter.
rubbish	Put the rubbish outside.
rude	That comment was rude.
runner	The runner looks tired.
running	Running keeps me healthy.
sadly	Sadly, we missed the train.
safe	This street feels safe.
sail	We sail on Saturday.
sailing	Sailing is popular here.
salary	His salary is higher now.
sale	The sale starts tomorrow.
sauce	Add sauce to the rice.
save	Save your work now.
scared	The child feels scared.
scary	This story is scary.
scene	The final scene was funny.
schedule	Check the schedule today.
score	What is the score?
screen	Clean the screen carefully.
search	Search the web for photos.
season	Summer is a busy season.
seat	Take this seat, please.
second1 (next after the first)	Second, wash your hands.
secondly	Secondly, check your answer.
secret	Keep this secret safe.
secretary	The secretary called today.
seem	You seem tired.
sense	This plan makes sense.
separate	Keep the papers separate.
series	This series is popular.
serious	This problem is serious.
serve	They serve lunch at noon.
service	The service was fast.
several	Several students arrived early.
shake	Shake the bottle first.
shall modal	Shall we start now?
shape	Draw a square shape.
sheet	Put the sheet on the bed.
ship	The ship left today.
shoulder	My shoulder hurts.
shout	Do not shout in class.
shut	Shut the window, please.
side	Sit on this side.
sign	Read the sign carefully.
silver	Silver is a bright metal.
simple	This exercise is simple.
since	I have waited since noon.
singing	Singing helps me relax.
single	I bought a single ticket.
sir	Sir, your bag is ready.
site	This site is safe.
size	What size do you need?
ski	We ski in winter.
skiing	Skiing is fun in winter.
skin	Her skin feels dry.
sky	The sky is clear.
slowly	Walk slowly on ice.
smartphone	My smartphone is new.
smell	The soup smells good.
smile	Smile for the camera.
smoke	Smoke filled the room.
smoking	Smoking is not allowed.
soap	Use soap and water.
soccer	Soccer is popular here.
social	This is a social event.
society	Society changes over time.
sock	One sock is missing.
soft	This blanket is soft.
soldier	The soldier came home.
solution	We found a solution.
solve	Solve this puzzle.
somewhere	Put it somewhere safe.
sort	What sort do you want?
source	Check the source first.
speaker	The speaker was loud.
specific	I need a specific answer.
speech	Her speech was short.
speed	Reduce your speed here.
spider	A spider is on the wall.
spoon	Use a spoon for soup.
square	Draw a square box.
stage	The band is on stage.
stair	The stair is broken.
stamp	Put a stamp on the letter.
state	State your name clearly.
steal	Do not steal money.
step	Take one step forward.
stomach	My stomach hurts.
stone	The stone is heavy.
store	The store closes early.
storm	A storm is coming.
straight	Go straight home.
strange	That sound is strange.
strategy	We need a strategy.
stress	Work can cause stress.
structure	This structure is strong.
stupid	That was a stupid mistake.
succeed	You can succeed here.
successful	She became successful.
such	Such help is useful.
suddenly	Suddenly, the dog ran away.
suggest	I suggest a short break.
suggestion	Your suggestion is helpful.
suit	This suit is expensive.
support	We support our team.
suppose	I suppose you are right.
surprise	The surprise made her happy.
surprised	She was surprised today.
surprising	The result was surprising.
survey	Please complete the survey.
sweet	This tea is sweet.
symbol	This symbol means danger.
system	The system works well.
tablet	My tablet is on the desk.
target	Hit the target carefully.
task	This task is easy.
taste	Taste the soup first.
teaching	Teaching is difficult work.
technology	Technology changes quickly.
teenage	My teenage brother studies hard.
temperature	The temperature is low.
term	This term ends soon.
themselves	They cooked dinner themselves.
thick	This book is thick.
thief	The thief ran away.
thin	The paper is thin.
thinking	Thinking takes time.
thought	I had a strange thought.
throw	Throw the ball gently.
tidy	Keep your room tidy.
tie	Tie your shoes now.
tip	Leave a tip for service.
tool	Use the right tool.
top	The top shelf is full.
touch	Do not touch the glass.
tour	We took a city tour.
tourism	Tourism helps this town.
towards	Walk towards the station.
towel	Bring a clean towel.
tower	The tower is very old.
toy	The toy car is red.
track	The track goes north.
tradition	This tradition is old.
traditional	She wore traditional clothes.
trainer	My trainer is helpful.
training	Training starts tomorrow.
transport	Public transport is late.
traveller	The traveller asked for help.
trouble	We had trouble yesterday.
truck	The truck is outside.
twin	My twin sister is taller.
typical	This is a typical day.
underground	The train runs underground.
understanding	Your understanding is correct.
unfortunately	Unfortunately, the shop is closed.
unhappy	He looks unhappy.
uniform	She wears a school uniform.
unit	This unit is small.
united	The team stayed united.
unusual	That sound is unusual.
used to modal	We used to live here.
user	Each user has a number.
usual	I took my usual seat.
valley	The valley is green.
van	The van is full.
variety	We need more variety.
vehicle	This vehicle is slow.
view	The view is beautiful.
virus	A virus made him ill.
voice	Her voice is quiet.
war	The war ended years ago.
washing	The washing is outside.
wave	A wave hit the boat.
weak	My legs feel weak.
web	The web page is open.
wedding	The wedding starts soon.
weight	Check the weight first.
wet	My shoes are wet.
wheel	The wheel is broken.
while	Wait here for a while.
whole	I ate the whole apple.
whose	Whose phone is this?
wide	The road is wide.
wild	Wild animals live here.
wind1	The wind is strong.
winner	The winner smiled.
wish	Make a wish.
wood	The chair is made of wood.
wooden	The wooden box is heavy.
working	The working day ended.
worried	I feel worried today.
worry	Do not worry now.
worse	This pain is worse.
worst	That was the worst day.
wow	Wow, that is amazing!
yet	Are we there yet?
yours	This book is yours.
zero	Count down to zero.
