source_headword	DA	example_DA
ability	en evne; en færdighed	Hendes evne til at svømme er tydelig.
able	i stand; kunne	Han kan komme i dag.
abroad	i udlandet	Hun vil studere i udlandet.
accept	acceptere; tage imod	Accepter denne lille gave.
accident	en ulykke	Ulykken skete nær skolen.
according to	ifølge	Ifølge rapporten kommer der regn.
achieve	opnå	Du kan nå dit mål.
act	handle; spille teater	Han spiller i et teaterstykke.
active	aktiv	Hun er aktiv hver dag.
actually	faktisk; egentlig	Egentlig har jeg brug for mere tid.
advantage	en fordel	Denne plan har en fordel.
adventure	et eventyr	Deres rejse var et eventyr.
advertise	annoncere; reklamere	De annoncerer for et nyt job.
advertisement	en annonce; en reklame	Jeg så annoncen.
advertising	reklame; annoncering	Reklame hjælper med at sælge mad.
affect	påvirke	Søvn kan påvirke helbredet.
against	mod	Læn dig ikke mod væggen.
ah	åh; aha	Aha, nu forstår jeg.
airline	et flyselskab	Flyselskabet har travlt.
alive	levende; i live	Den lille fisk lever.
all right	okay; i orden	Alt er i orden nu.
allow	tillade	Hunde er tilladt her.
almost	næsten	Vi er næsten klar.
alone	alene	Hun bor alene.
along	langs; med	Gå langs denne vej.
already	allerede	Jeg kender allerede svaret.
alternative	et alternativ	Dette tog er et alternativ.
although	selvom	Selvom det er sent, kan vi blive.
among	blandt; mellem	Han stod blandt træerne.
amount	en mængde; et beløb	Mængden er for lille.
ancient	gammel; oldgammel	Den gamle mur er berømt.
ankle	en ankel	Min ankel gør ondt i dag.
anybody	nogen; hvem som helst	Kan nogen svare på dette?
any more	længere; mere	Jeg har ikke brug for mere.
anyway	alligevel; under alle omstændigheder	Under alle omstændigheder kan vi begynde nu.
anywhere	hvor som helst; et sted	Sæt dig hvor du vil.
app	en app	Denne app er nyttig.
appear	vises; dukke op	Hendes navn dukker op her.
appearance	et udseende; en fremtoning	Hans udseende er anderledes.
apply	ansøge; anvende	Ansøg om jobbet i dag.
architect	en arkitekt	Arkitekten har en plan.
architecture	arkitektur	Jeg kan lide moderne arkitektur.
argue	skændes; argumentere	Skændes ikke med din søster.
argument	et argument; et skænderi	Skænderiet var kort.
army	en hær; militæret	Hæren er stor.
arrange	arrangere; ordne	Vær venlig at arrangere mødet.
arrangement	en aftale; en ordning	Denne aftale fungerer godt.
asleep	sovende; i søvn	Barnet sover.
assistant	en assistent; en hjælper	Assistenten hjalp mig.
athlete	en atlet; en sportsudøver	Atleten løber hurtigt.
attack	et angreb; angribe	Hunden kan angribe.
attend	deltage i; være til stede	Jeg deltager i timen i dag.
attention	opmærksomhed	Vær opmærksom nu.
attractive	tiltalende; attraktiv	Haven er attraktiv.
audience	et publikum	Publikum var stille.
author	en forfatter	Forfatteren skrev denne bog.
available	tilgængelig	Maden er tilgængelig nu.
average	gennemsnitlig; et gennemsnit	Gennemsnittet var godt.
avoid	undgå	Undgå den travle vej.
award	en pris; tildele	Hun vandt en pris.
awful	forfærdelig; meget dårlig	Vejret var forfærdeligt.
