part_of_speech	source_lemma	display_ES	display_ES_419	article_ES	article_ES_419	gender	number_policy	verb_infinitive	verb_group	meaning_note	semantic_scene	topic_domain	example_ES	example_ES_419
interjection	pues	pues	pues	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	well or then	softening a reply	grammar_function_words	Pues, necesito más tiempo.	Pues, necesito más tiempo.
adverb	realmente	realmente	realmente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	really	emphasizing a fact	grammar_function_words	Realmente quiero aprender.	Realmente quiero aprender.
adverb	normalmente	normalmente	normalmente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	normally	usual routine	time_frequency	Normalmente como en casa.	Normalmente como en casa.
adverb	generalmente	generalmente	generalmente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	generally	usual habit	time_frequency	Generalmente camino al trabajo.	Generalmente camino al trabajo.
adverb	especialmente	especialmente	especialmente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	especially	special preference	degree_manner	Me gusta especialmente esta canción.	Me gusta especialmente esta canción.
adverb	solamente	solamente	solamente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	only	limiting a choice	degree_manner	Solamente tengo un minuto.	Solamente tengo un minuto.
adverb	rápidamente	rápidamente	rápidamente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	quickly	fast action	degree_manner	Respondo rápidamente al mensaje.	Respondo rápidamente al mensaje.
adverb	lentamente	lentamente	lentamente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	slowly	slow action	degree_manner	Camino lentamente por la calle.	Camino lentamente por la calle.
adverb	fácilmente	fácilmente	fácilmente	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	easily	easy result	degree_manner	Entiendo fácilmente la palabra.	Entiendo fácilmente la palabra.
adverb	allá	allá	allá	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	over there	pointing far away	location_direction	La montaña está allá.	La montaña está allá.
adverb	acá	acá	acá	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	over here	calling someone here	location_direction	Ven acá un momento.	Ven acá un momento.
