source_headword	CS	example_CS
abandon	opustit	Včera opustili plán.
absolute	absolutní	Potřebujeme absolutní upřímnost.
acceptable	přijatelný	Jeho odpověď byla přijatelná.
accompany	doprovázet	Její bratr ji doprovodil domů.
accurate	přesný	Zpráva je přesná.
accuse	obvinit	Obvinili ho ze lži.
acknowledge	uznat	Uznej prosím chybu.
acquire	získat	Rychle získala nové dovednosti.
actual	skutečný	Skutečné náklady byly nižší.
adapt	přizpůsobit se	Přizpůsobili jsme se změně.
additional	další	Další pomoc dorazila dnes.
administration	správa	Správa změnila pravidla.
adopt	přijmout	Přijali novou metodu.
advance	pokrok	Udělali jsme malý pokrok.
affair	záležitost	Tato záležitost poškodila důvěru veřejnosti.
afterwards	poté	Poté se všichni uklidnili.
agency	agentura	Agentura najala tři překladatele.
agenda	program	Bezpečnost je na programu.
aggressive	agresivní	Jeho tón zněl agresivně.
aid	pomoc	Lékařská pomoc dorazila rychle.
aircraft	letadlo	Letadlo bezpečně přistálo.
alter	změnit	Neměň smlouvu.
anger	hněv	Jeho hněv všechny překvapil.
angle	úhel	Zkus jiný úhel kamery.
anniversary	výročí	Jejich výročí je zítra.
annual	každoroční	Každoroční schůze začíná v pondělí.
anxious	úzkostný	Před operací byla úzkostná.
apparent	zřejmý	Jeho zklamání bylo zřejmé.
apparently	zřejmě	Zřejmě má vlak zpoždění.
appeal	odvolání	Rozhodnutí může vést k odvolání.
approach	přístup	Její přístup problém vyřešil.
appropriate	vhodný	Vyber vhodnou odpověď.
approval	schválení	Projekt potřebuje schválení.
approve	schválit	Rada schválila rozpočet.
arise	vzniknout	Problémy mohou vzniknout později.
armed	ozbrojený	Ozbrojení strážci stáli venku.
arms	zbraně	Složili zbraně.
artificial	umělý	Květiny vypadaly uměle.
artistic	umělecký	Má umělecký talent.
ashamed	zahanbený	Později se cítil zahanbeně.
aspect	aspekt	Zvaž každý aspekt pečlivě.
assess	posoudit	Musíme posoudit škody.
assessment	posouzení	Posouzení trvalo dvě hodiny.
associate	spojovat	Lidé spojují kouř s nebezpečím.
associated	spojený	Stres je spojený s nemocí.
association	sdružení	Sdružení podporuje mladé umělce.
assume	předpokládat	Předpokládám, že souhlasíš.
attempt	pokus	Jeho první pokus selhal.
bacteria	bakterie	Bakterie se mohou rychle šířit.
