source_headword	SW	example_SW
absorb	kufyonza	Taulo hufyonza maji haraka.
abstract	-a kufikirika	Mhadhara ulijadili mawazo dhahania.
accent	lafudhi	Lafudhi yake ni rahisi kueleweka.
accidentally	kwa bahati mbaya	Nilifuta faili kwa bahati mbaya.
accommodate	kushughulikia	Hoteli inaweza kupokea familia kubwa.
accomplish	kutimiza	Alitimiza lengo lake kabla ya Juni.
accountant	mhasibu	Mhasibu alikagua ankara.
accuracy	usahihi	Mtihani hupima usahihi wa kusoma.
accurately	kwa usahihi	Ramani inaonyesha njia kwa usahihi.
acid	asidi	Asidi iliharibu uso wa chuma.
activate	kuwezesha	Bonyeza kitufe kuwasha kengele.
addiction	uraibu	Uraibu wake uliathiri kazi yake.
additionally	zaidi ya hayo	Zaidi ya hayo, tunahitaji viti zaidi.
adequate	-a kutosha	Chumba kina mwanga wa kutosha.
adequately	ipasavyo	Ripoti ilieleza tatizo vya kutosha.
adjust	kurekebisha	Rekebisha kiti kabla ya kuendesha.
affordable	-a bei nafuu	Ghorofa ni la bei nafuu kwa wanafunzi.
agriculture	kilimo	Kilimo husaidia familia nyingi za vijijini.
AIDS	UKIMWI	Madaktari hutibu UKIMWI kwa dawa za kisasa.
alien	mgeni	Filamu inaonyesha sayari ya viumbe wa anga za juu.
alongside	pamoja na	Njia ya baiskeli inapita kando ya mto.
altogether	kabisa	Kwa jumla, mradi ulichukua wiki sita.
ambulance	gari la wagonjwa	Gari la wagonjwa liliwasili ndani ya dakika chache.
amusing	-a kufurahisha	Hadithi ilikuwa ya kufurahisha na nyepesi.
analyst	mchambuzi	Mchambuzi alikagua data za mauzo.
ancestor	babu	Babu yangu aliishi karibu na kijiji hiki.
animation	uhuishaji	Uhuishaji ulifanya somo lieleweke zaidi.
annually	kila mwaka	Tamasha hufanyika kila mwaka.
anticipate	kutarajia	Tunatarajia msongamano mkubwa wa magari kesho.
anxiety	wasiwasi	Wasiwasi unaweza kufanya usingizi uwe mgumu.
apology	msamaha	Alitoa msamaha wa dhati.
applicant	mwombaji	Mwombaji alituma wasifu mpya.
appropriately	ipasavyo	Tafadhali vaa inavyofaa kwa usaili.
arrow	mshale	Mshale unaonyesha mlango wa kutokea.
artwork	mchoro	Jumba la makumbusho lilionyesha kazi za sanaa za ndani.
aside	kando	Alisimama kando ili kumpisha.
asset	rasilimali	Uzoefu ni rasilimali muhimu.
assign	kupanga	Mwalimu alitoa kazi ya ziada leo.
assistance	msaada	Tafadhali omba msaada kwa wafanyakazi.
