simplified	ES	example_ES	FR	example_FR	DE	example_DE
啊	la partícula modal de afirmación o consentimiento	Vale, vámonos ahora.	la particule modale d'affirmation ou d'accord	D'accord, partons maintenant.	die Modalpartikel für Zustimmung oder Einverständnis	Okay, gehen wir jetzt.
阿姨	la tía; la señora cuidadora	La tía trabaja en el supermercado.	la tante; la dame qui s'occupe des enfants	La tante travaille au supermarché.	die Tante; die Betreuungsperson	Die Tante arbeitet im Supermarkt.
矮	bajo; de poca altura	Esta mesa es un poco baja.	bas; de petite taille	Cette table est un peu basse.	niedrig; klein	Dieser Tisch ist ein bisschen niedrig.
爱好	la afición; el interés	Mi afición es escuchar música.	le loisir; le centre d'intérêt	Mon loisir, c'est écouter de la musique.	das Hobby; das Interesse	Mein Hobby ist Musik hören.
安静	tranquilo; silencioso	En la biblioteca hay mucho silencio.	calme; silencieux	C'est très calme dans la bibliothèque.	ruhig; still	In der Bibliothek ist es sehr ruhig.
把	agarrar; el marcador de objeto	Por favor, cierra la puerta.	tenir; le marqueur d'objet	Ferme la porte, s'il te plaît.	halten; die Objektmarkierung	Bitte mach die Tür zu.
搬	mudarse; trasladar	Nos mudamos mañana.	déménager; déplacer	Nous déménageons demain.	umziehen; bewegen	Wir ziehen morgen um.
班	la clase; el grupo	En nuestra clase hay veinte estudiantes.	la classe; le groupe	Il y a vingt élèves dans notre classe.	die Klasse; die Gruppe	In unserer Klasse gibt es zwanzig Schüler.
办法	el método; la solución	Este método es muy bueno.	la méthode; la solution	Cette méthode est très bonne.	die Methode; die Lösung	Diese Methode ist sehr gut.
办公室	la oficina	El gerente está en la oficina.	le bureau	Le directeur est dans le bureau.	das Büro	Der Manager ist im Büro.
半	medio; la mitad	Esperé media hora.	la moitié; demi-	J'ai attendu une demi-heure.	halb; die Hälfte	Ich habe eine halbe Stunde gewartet.
帮忙	ayudar; echar una mano	¿Puedes ayudarme?	aider; donner un coup de main	Peux-tu aider ?	helfen; mithelfen	Kannst du helfen?
包	el bolso; envolver; cubrir	Ella compró un bolso nuevo.	le sac; envelopper; couvrir	Elle a acheté un nouveau sac.	die Tasche; einwickeln; bedecken	Sie hat eine neue Tasche gekauft.
饱	lleno; satisfecho después de comer	Ya estoy lleno.	rassasié; avoir assez mangé	Je suis déjà rassasié.	satt	Ich bin schon satt.
北方	el norte	El invierno en el norte es muy frío.	le nord	L'hiver dans le nord est très froid.	der Norden	Der Winter im Norden ist sehr kalt.
被	la partícula pasiva; por	Mi bicicleta fue tomada prestada por un amigo.	la particule passive; par	Mon vélo a été emprunté par un ami.	die Passivpartikel; von	Mein Fahrrad wurde von einem Freund ausgeliehen.
鼻子	la nariz	Su nariz está un poco roja.	le nez	Son nez est un peu rouge.	die Nase	Seine Nase ist ein bisschen rot.
比较	comparar; bastante	Hoy hace bastante calor.	comparer; assez	Aujourd'hui il fait assez chaud.	vergleichen; ziemlich	Heute ist es ziemlich heiß.
比赛	el partido; la competición	Este partido es muy importante.	le match; la compétition	Ce match est très important.	das Spiel; der Wettbewerb	Dieses Spiel ist sehr wichtig.
笔记本	el cuaderno	Puse el cuaderno sobre la mesa.	le cahier	J'ai posé le cahier sur la table.	das Notizbuch	Ich habe das Notizbuch auf den Tisch gelegt.
必须	deber; tener que	Debes repasar con cuidado.	devoir; être obligé de	Tu dois réviser soigneusement.	müssen	Du musst sorgfältig wiederholen.
变化	el cambio; cambiar	Esta ciudad ha cambiado mucho.	le changement; changer	Cette ville a beaucoup changé.	die Veränderung; sich ändern	Diese Stadt hat sich sehr verändert.
别人	los demás; otras personas	No tomes las cosas de otras personas.	les autres; d'autres personnes	Ne prends pas les affaires des autres.	andere Leute	Nimm nicht die Sachen anderer Leute.
冰箱	el refrigerador; la nevera	La fruta está en la nevera.	le réfrigérateur	Les fruits sont dans le réfrigérateur.	der Kühlschrank	Das Obst ist im Kühlschrank.
不但…而且…	no solo... sino también...	Él no solo es inteligente, sino también trabajador.	non seulement... mais aussi...	Il est non seulement intelligent, mais aussi travailleur.	nicht nur... sondern auch...	Er ist nicht nur klug, sondern auch fleißig.
菜单	el menú	Por favor, deme un menú.	le menu	Donnez-moi le menu, s'il vous plaît.	die Speisekarte	Geben Sie mir bitte die Speisekarte.
参加	participar; asistir	Quiero asistir a esta reunión.	participer; prendre part	Je veux participer à cette réunion.	teilnehmen	Ich möchte an dieser Besprechung teilnehmen.
草	la hierba; el césped	El perrito corre sobre la hierba.	l'herbe; la pelouse	Le petit chien court dans l'herbe.	das Gras	Der kleine Hund läuft auf dem Gras.
层	el piso; la capa	Este edificio tiene tres pisos.	l'étage; la couche	Cet immeuble a trois étages.	die Etage; die Schicht	Dieses Gebäude hat drei Etagen.
差	malo; faltar; diferir	Hoy hace mal tiempo.	mauvais; manquer; différer	Il fait mauvais aujourd'hui.	schlecht; fehlen; sich unterscheiden	Das Wetter ist heute schlecht.
超市	el supermercado	Voy al supermercado a comprar pan.	le supermarché	Je vais au supermarché acheter du pain.	der Supermarkt	Ich gehe in den Supermarkt, um Brot zu kaufen.
衬衫	la camisa; la blusa	Esta camisa está muy limpia.	la chemise; le chemisier	Cette chemise est très propre.	das Hemd; die Bluse	Dieses Hemd ist sehr sauber.
城市	la ciudad	Pekín es una gran ciudad.	la ville	Pékin est une grande ville.	die Stadt	Peking ist eine große Stadt.
成绩	la nota; el resultado	Sus notas de matemáticas son muy buenas.	la note; le résultat	Ses notes en maths sont très bonnes.	die Note; das Ergebnis	Seine Mathenoten sind sehr gut.
迟到	llegar tarde	No llegues tarde a clase.	arriver en retard	Ne sois pas en retard en cours.	zu spät kommen	Komm nicht zu spät zum Unterricht.
除了	además de; aparte de	Además de café, también quiero té.	en plus de; à part	En plus du café, je veux aussi du thé.	außer; neben	Neben Kaffee möchte ich auch Tee.
船	el barco; la nave	Vamos a esa ciudad en barco.	le bateau	Nous allons dans cette ville en bateau.	das Schiff; das Boot	Wir fahren mit dem Schiff in diese Stadt.
春	la primavera	En primavera hay muchas flores.	le printemps	Au printemps, il y a beaucoup de fleurs.	der Frühling	Im Frühling gibt es viele Blumen.
词典	el diccionario	Este diccionario es muy útil.	le dictionnaire	Ce dictionnaire est très utile.	das Wörterbuch	Dieses Wörterbuch ist sehr nützlich.
聪明	inteligente	Este niño es muy inteligente.	intelligent	Cet enfant est très intelligent.	klug; intelligent	Dieses Kind ist sehr klug.
打扫	limpiar; barrer	Limpio la habitación el fin de semana.	nettoyer; balayer	Je nettoie la chambre le week-end.	putzen; fegen	Am Wochenende putze ich das Zimmer.
打算	planear; tener la intención	¿Qué planes tienes para mañana?	prévoir; avoir l'intention	Quels projets as-tu pour demain ?	planen; vorhaben	Was hast du morgen vor?
带	traer; llevar consigo	Por favor, trae tu pasaporte.	apporter; emporter	Apporte ton passeport, s'il te plaît.	mitbringen; bei sich tragen	Bitte bring deinen Pass mit.
担心	preocuparse; preocupado	No te preocupes, yo te ayudaré.	s'inquiéter; inquiet	Ne t'inquiète pas, je vais t'aider.	sich Sorgen machen; besorgt	Mach dir keine Sorgen, ich helfe dir.
蛋糕	el pastel; la tarta	Este pastel es muy dulce.	le gâteau	Ce gâteau est très sucré.	der Kuchen	Dieser Kuchen ist sehr süß.
当然	por supuesto; naturalmente	Por supuesto que puedes.	bien sûr; naturellement	Bien sûr que tu peux.	natürlich; selbstverständlich	Natürlich kannst du.
地	la partícula adverbial -mente	Él sonrió felizmente.	la particule adverbiale	Il a souri joyeusement.	die Adverbialpartikel	Er lächelte glücklich.
灯	la lámpara; la luz	Por favor, enciende la luz.	la lampe; la lumière	Allume la lumière, s'il te plaît.	die Lampe; das Licht	Bitte mach das Licht an.
地方	el lugar; la zona	Este lugar es muy tranquilo.	l'endroit; le lieu	Cet endroit est très calme.	der Ort; die Stelle	Dieser Ort ist sehr ruhig.
地铁	el metro	Tomo el metro para ir al trabajo todos los días.	le métro	Je prends le métro pour aller au travail tous les jours.	die U-Bahn	Ich fahre jeden Tag mit der U-Bahn zur Arbeit.
地图	el mapa	Busco la escuela en el mapa.	la carte	Je cherche l'école sur la carte.	die Karte	Ich suche die Schule auf der Karte.
