source_headword	BG	example_BG
institute	институт	Институтът откри нова изследователска програма.
institution	институция	Институцията промени правилата си за прием.
insurance	застраховка	Нейната застраховка покри болничните разходи.
intended	предвиден	Съобщението достигна до предвидената публика.
intense	интензивен	Дебатът стана интензивен много бързо.
internal	вътрешен	Компанията започна вътрешна проверка.
interpret	интерпретирам	Моля, интерпретирайте резултатите внимателно.
interrupt	прекъсвам	Не прекъсвайте говорителя сега.
investigation	разследване	Разследването разкри сериозни грешки.
investment	инвестиция	Инвестицията създаде много местни работни места.
joy	радост	Техният успех донесе голяма радост.
judgement	преценка	Неговата преценка се подобри с опита.
junior	младши	Тя се присъедини към екипа като младши анализатор.
justice	справедливост	Семейството поиска справедливост след процеса.
justify	оправдавам	Трябва да обосновете ясно това решение.
labour	работна ръка	Проектът изисква квалифицирана работна ръка.
landscape	пейзаж	Пейзажът се промени след бурята.
largely	до голяма степен	Планът беше до голяма степен успешен.
launch	пускам на пазара	Те ще пуснат продукта утре.
leadership	ръководство	Силното ръководство помогна на екипа да се възстанови.
league	лига	Нашият клуб се присъедини към регионална лига.
lean	облягам се	Не се облягайте на мократа стена.
licence	лиценз	Лицензът изтича следващия месец.
limited	ограничен	Днес разполагаме с ограничено време.
lively	оживен	Срещата стана оживена след обяда.
load	товар	Камионът носеше тежък товар.
loan	заем	Банката одобри заема.
logical	логичен	Нейният аргумент беше ясен и логичен.
long-term	дългосрочен	Това е дългосрочно решение.
loose	хлабав	Дръжката се усеща хлабава.
lord	господар	Господарят притежаваше няколко села.
lower	намалявам	Те намаляват цените през зимата.
lung	бял дроб	Тютюнопушенето може да увреди белия дроб.
maintain	поддържам	Поддържаме редовен контакт.
majority	мнозинство	Мнозинството подкрепи предложението.
mass	маса	Маса от облаци покри небето.
massive	масивен	Земетресението причини масивни щети.
master	майстор	Тя стана майстор в преговорите.
matching	съвпадащ	Той носеше съвпадащи си обувки и колан.
maximum	максимален	Стаята достигна максималния си капацитет.
means	средство	Имейлът е основното ни средство за контакт.
measurement	измерване	Измерването беше леко грешно.
melt	топя се	Снегът ще се стопи до обяд.
military	военен	Военната база затвори миналата година.
mineral	минерал	Желязото е важен минерал.
minimum	минимален	Минималната възраст е осемнадесет години.
minister	министър	Министърът отговори на трудни въпроси.
minor	незначителен	Инцидентът причини незначителни щети.
minority	малцинство	Малцинството се противопостави на новото правило.
mission	мисия	Тяхната мисия приключи безопасно.
mixed	смесен	Новината получи смесени реакции.
modify	модифицирам	Можем да модифицираме дизайна по-късно.
monitor	наблюдавам	Медицинската сестра ще наблюдава състоянието му.
moral	морален	Историята има морална поука.
motor	мотор	Моторът спря без предупреждение.
mount	монтирам	Те монтират камери близо до входа.
multiple	множество	Множество фактори причиниха закъснението.
multiply	умножавам	Умножете числото по десет.
mysterious	мистериозен	Отвън се появи мистериозна светлина.
neat	спретнат	Бюрото ѝ винаги е спретнато.
nerve	нерв	Нараняването увреди нерв.
nevertheless	въпреки това	Задачата беше трудна, но въпреки това я завършихме.
nightmare	кошмар	Пътуването се превърна в кошмар.
notion	представа	Отхвърлете представата, че промяната е невъзможна.
numerous	многоброен	Многобройни проучвания подкрепят тази идея.
obey	подчинявам се	Шофьорите трябва да се подчиняват на знаците.
objective	цел	Нашата цел е да намалим отпадъците.
obligation	задължение	Родителите имат задължение да предпазват децата.
observation	наблюдение	Неговото наблюдение промени дискусията.
observe	наблюдавам	Учените наблюдават птиците всяка пролет.
obtain	получавам	Трябва да получите писмено разрешение.
occasionally	от време на време	Тя от време на време работи от вкъщи.
offence	обида	Коментарът предизвика сериозна обида.
offend	обиждам	Нямах намерение да обиждам никого.
offensive	обиден	Плакатът съдържаше обиден език.
opening	свободна позиция	Свободната позиция привлече много кандидати.
operate	функционирам	Машината може да функционира автоматично.
opponent	опонент	Нейният опонент критикува политиката.
oppose	противопоставям се	Много жители се противопоставят на плана.
opposed	противоположен	Групите имаха противоположни възгледи.
opposition	съпротива	Предложението срещна силна съпротива.
organ	орган	Сърцето е жизненоважен орган.
origin	произход	Произходът на пожара е неизвестен.
otherwise	иначе	Тръгнете сега, иначе ще закъснеете.
outcome	резултат	Резултатът изненада всички.
outer	външен	Външната стена се нуждае от ремонт.
outline	очертавам	Моля, очертайте основния си аргумент.
