"assignmentKey","videoType","supportLang","targetOrBundle","contentScope","file","sha256","CJK text","technical status","visual review","approval"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|IS","ordinary","EN","IS","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-IS.jpg","8e6a184cda17e2eb81b96c4acef7006b19b2c30d5e340dca1076df9ef1b62726","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|IT","ordinary","EN","IT","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-IT.jpg","e194e92f6a8ff078b3dc5778d1a8ba48aa59dc38edd8aaadd0143a6cd87133b9","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|JA","ordinary","EN","JA","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-JA.jpg","79e076558403d16fd867a8196c10c935a057967bc926cbedf81a0eb6d5c78cf0","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|KA","ordinary","EN","KA","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-KA.jpg","dc129bb3bba0a31afb2fca03878b786d5c40bda13d46937b028adf054910abe5","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|EN|KK","ordinary","EN","KK","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-EN-KK.jpg","10d553e3f49b4a87a0aaef80ff09bde6dcf9c74f6888a727f05423b49eed4e87","no","passed-render","APPROVED","APPROVED"
"polyglot|home_kitchen_cooking_actions_a1_a2|EN|romance_core|f34a59a474f1|full","polyglot","EN","romance_core:ES,FR,IT,PT","full","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/polyglot-home_kitchen_cooking_actions_a1_a2-EN-romance_core-f34a59a474f1-full.jpg","daaa2a4f1da01fb9e2f62145f3167556b9216e867321b2c8e1fb9a8541bc6d69","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|IS","ordinary","ES-419","IS","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-IS.jpg","d25f59a754eb4cb7eb7cf8be34ac9bf1f2cdb31dd78e436805663a8ea9ca884a","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|IT","ordinary","ES-419","IT","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-IT.jpg","68f1b7eec347d1d1ccc928f0747c230d9d1158fc882f3099df93e3ca7556284a","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|JA","ordinary","ES-419","JA","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-JA.jpg","2597023a1331c1c113af8c145d5c106ff36187e78a865c3a7118cfe0278498e2","no","passed-render","APPROVED","APPROVED"
"ordinary|home_kitchen_cooking_actions_a1_a2|ES-419|KA","ordinary","ES-419","KA","","data/youtube-cover-assets/yt-home_kitchen_cooking_actions_a1_a2-2026-07-16-aee0c1b1c1d5-precommit-ready/by-assignment/ordinary-home_kitchen_cooking_actions_a1_a2-ES-419-KA.jpg","e1068db08580a8625c905e0ca52caa3af8e50b3b6aaa37fcdac6e0a859a11c1a","no","passed-render","APPROVED","APPROVED"
