source_headword	ML	example_ML
clothes	വസ്ത്രങ്ങൾ	എന്റെ വസ്ത്രങ്ങൾ വൃത്തിയാണ്.
club	ക്ലബ്; സംഘം	അവൾ സംഗീത ക്ലബിലേക്ക് പോകുന്നു.
coat	കോട്ട്	എന്റെ കോട്ട് ചൂടാണ്.
coffee	കാപ്പി	ഞാൻ രാവിലെ കാപ്പി കുടിക്കുന്നു.
cold	തണുത്ത; തണുപ്പ്	വെള്ളം തണുപ്പാണ്.
college	കോളേജ്	എന്റെ ചേച്ചി കോളേജിലാണ്.
colour	നിറം	എനിക്ക് ഇഷ്ടമുള്ള നിറം നീലയാണ്.
come	വരിക; വാ	ദയവായി ഇവിടെ വാ.
common	സാധാരണ	ഈ പേര് സാധാരണമാണ്.
company	കമ്പനി	എന്റെ അമ്മ ഒരു കമ്പനിയിൽ ജോലി ചെയ്യുന്നു.
compare	താരതമ്യം ചെയ്യുക	ഈ രണ്ട് ചിത്രങ്ങൾ താരതമ്യം ചെയ്യുക.
complete	പൂർണ്ണം; പൂർത്തിയാക്കുക	ഫോം പൂർണ്ണമാണ്.
computer	കമ്പ്യൂട്ടർ	ഈ കമ്പ്യൂട്ടർ പുതുതാണ്.
concert	സംഗീത പരിപാടി	ഞങ്ങൾ ഇന്ന് രാത്രി സംഗീത പരിപാടിക്ക് പോകുന്നു.
conversation	സംഭാഷണം	ഞങ്ങൾ ഒരു ചെറിയ സംഭാഷണം നടത്തി.
cook	പാചകം ചെയ്യുക; പാചകക്കാരൻ	ഞാൻ വീട്ടിൽ രാത്രി ഭക്ഷണം പാചകം ചെയ്യുന്നു.
cooking	പാചകം	അച്ഛനൊപ്പം പാചകം ചെയ്യുന്നത് എനിക്ക് ഇഷ്ടമാണ്.
cool	തണുത്ത; നന്നായ	മുറി തണുപ്പാണ്.
correct	ശരിയായ; തിരുത്തുക	നിന്റെ ഉത്തരം ശരിയാണ്.
cost	വില; ചെലവാകുക	ഇതിന്റെ വില എത്രയാണ്?
could modal	ചെയ്യാമായിരുന്നു; കഴിയും	ഞാൻ നിന്നെ സഹായിക്കാമായിരുന്നു.
country	രാജ്യം	കാനഡ വലിയ രാജ്യമാണ്.
course	കോഴ്സ്; പാഠ്യക്രമം	ഞാൻ ഇംഗ്ലീഷ് കോഴ്സ് എടുക്കുന്നു.
cousin	കസിൻ; ബന്ധു	എന്റെ കസിൻ എന്റെ അടുത്ത് താമസിക്കുന്നു.
cow	പശു	പശു പുല്ല് തിന്നുന്നു.
cream	ക്രീം	ഞാൻ കാപ്പിയിൽ ക്രീം ഇടുന്നു.
create	സൃഷ്ടിക്കുക	അവർ പുതിയ കളി സൃഷ്ടിക്കുന്നു.
culture	സംസ്കാരം	ഞങ്ങൾ പ്രാദേശിക സംസ്കാരത്തെക്കുറിച്ച് പഠിക്കുന്നു.
cup	കപ്പ്	ഈ കപ്പ് കാലിയാണ്.
customer	ഉപഭോക്താവ്	ഉപഭോക്താവ് ഒരു ചോദ്യം ചോദിക്കുന്നു.
cut	മുറിക്കുക	ആപ്പിൾ പകുതിയായി മുറിക്കുക.
dad	അച്ഛൻ	എന്റെ അച്ഛൻ ജോലിയിൽ ആണ്.
dance	നൃത്തം; നൃത്തം ചെയ്യുക	ഞങ്ങൾ രാത്രി ഭക്ഷണത്തിന് ശേഷം നൃത്തം ചെയ്യുന്നു.
dancer	നർത്തകൻ; നർത്തകി	നർത്തകി വേഗത്തിൽ നീങ്ങുന്നു.
dancing	നൃത്തം ചെയ്യൽ	നൃത്തം ചെയ്യൽ രസകരമാണ്.
dangerous	അപകടകരമായ	ഈ റോഡ് അപകടകരമാണ്.
dark	ഇരുണ്ട; കറുത്ത	മുറി ഇരുണ്ടതാണ്.
date	തീയതി	ഇന്നത്തെ തീയതി എന്താണ്?
daughter	മകൾ	അവളുടെ മകൾക്ക് ആറു വയസ്സുണ്ട്.
day	ദിവസം	നിനക്ക് നല്ല ദിവസം ആയിരിക്കട്ടെ.
dear	പ്രിയ	പ്രിയ സുഹൃത്തേ, നന്ദി.
December	ഡിസംബർ	എന്റെ ജന്മദിനം ഡിസംബറിലാണ്.
decide	തീരുമാനിക്കുക	ദയവായി ഇപ്പോൾ തീരുമാനിക്കുക.
delicious	രുചികരമായ	ഈ സൂപ്പ് രുചികരമാണ്.
describe	വിവരിക്കുക	നിന്റെ മുറി വിവരിക്കുക.
description	വിവരണം	ചെറിയ വിവരണം വായിക്കുക.
design	രൂപകൽപ്പന; രൂപകൽപ്പന ചെയ്യുക	ഞാൻ ലളിതമായ കാർഡ് രൂപകൽപ്പന ചെയ്യുന്നു.
desk	ഡെസ്ക്; മേശ	പുസ്തകം എന്റെ ഡെസ്കിന്റെ മുകളിൽ ഉണ്ട്.
detail	വിശദാംശം	ഒരു വിശദാംശം ഇല്ല.
dialogue	സംഭാഷണം	ഇപ്പോൾ സംഭാഷണം വായിക്കുക.
dictionary	നിഘണ്ടു	ക്ലാസിൽ നിഘണ്ടു ഉപയോഗിക്കുക.
die	മരിക്കുക	വെള്ളമില്ലാതെ പൂക്കൾ മരിക്കും.
diet	ആഹാരക്രമം	എന്റെ ആഹാരക്രമത്തിൽ പഴങ്ങൾ ഉണ്ട്.
difference	വ്യത്യാസം	ഒരു വ്യത്യാസം ഉണ്ട്.
different	വ്യത്യസ്തമായ	ഞങ്ങൾക്ക് വ്യത്യസ്ത പേരുകൾ ഉണ്ട്.
difficult	കഠിനമായ	ഈ ചോദ്യം കഠിനമാണ്.
dinner	രാത്രി ഭക്ഷണം	രാത്രി ഭക്ഷണം തയ്യാറാണ്.
dirty	അഴുക്കായ	എന്റെ ചെരുപ്പുകൾ അഴുക്കാണ്.
discuss	ചർച്ച ചെയ്യുക	ഞങ്ങൾ പദ്ധതി ചർച്ച ചെയ്യുന്നു.
dish	വിഭവം; പാത്രം	ഈ വിഭവം ചൂടാണ്.
do1	ചെയ്യുക; സഹായക ക്രിയ	നീ എന്താണ് ചെയ്യുന്നത്?
doctor	ഡോക്ടർ	ഡോക്ടർ തിരക്കിലാണ്.
dog	നായ	നായ പുറത്തേക്ക് ഓടുന്നു.
dollar	ഡോളർ	ഇതിന് ഒരു ഡോളർ ചെലവാകും.
door	വാതിൽ	ദയവായി വാതിൽ അടയ്ക്കുക.
down	താഴേക്ക്	ഇവിടെ താഴെ ഇരിക്കുക.
downstairs	താഴത്തെ നിലയിൽ	അടുക്കള താഴത്തെ നിലയിലാണ്.
draw	വരയ്ക്കുക	ചെറിയ വീട് വരയ്ക്കുക.
dress	വസ്ത്രം; ഡ്രസ്	അവൾ ചുവന്ന വസ്ത്രം ധരിക്കുന്നു.
drink	കുടിക്കുക; പാനീയം	ഞാൻ വെള്ളം കുടിക്കുന്നു.
drive	ഓടിക്കുക	ഞാൻ ജോലിക്ക് കാർ ഓടിക്കുന്നു.
driver	ഡ്രൈവർ	ഡ്രൈവർ ഇവിടെ നിർത്തുന്നു.
during	സമയത്ത്	വിമാനയാത്രയ്ക്കിടയിൽ ഞാൻ ഉറങ്ങുന്നു.
DVD	ഡിവിഡി	ഈ ഡിവിഡി പഴയതാണ്.
each	ഓരോ	ഓരോ കുട്ടിക്കും ഒരു പുസ്തകം ഉണ്ട്.
ear	ചെവി	എന്റെ ചെവി വേദനിക്കുന്നു.
early	നേരത്തെ	ഞാൻ നേരത്തെ എഴുന്നേൽക്കുന്നു.
east	കിഴക്ക്	സൂര്യൻ കിഴക്കിൽ ഉദിക്കുന്നു.
easy	എളുപ്പമായ	ഈ പരീക്ഷ എളുപ്പമാണ്.
eat	തിന്നുക	ഞങ്ങൾ ഒരുമിച്ച് ഉച്ചഭക്ഷണം കഴിക്കുന്നു.
egg	മുട്ട	ഞാൻ ഒരു മുട്ട കഴിക്കുന്നു.
eight	എട്ട്	എന്നോട് എട്ട് കാർഡുകൾ ഉണ്ട്.
eighteen	പതിനെട്ട്	അവൾക്ക് പതിനെട്ട് വയസ്സുണ്ട്.
eighty	എൺപത്	എന്റെ അപ്പൂപ്പന് എൺപത് വയസ്സുണ്ട്.
elephant	ആന	ആന വലുതാണ്.
eleven	പതിനൊന്ന്	ക്ലാസ് പതിനൊന്ന് മണിക്ക് തുടങ്ങുന്നു.
else	മറ്റെന്തെങ്കിലും	നിനക്ക് മറ്റെന്തെങ്കിലും വേണോ?
email	ഇമെയിൽ	എനിക്ക് ഇമെയിൽ അയയ്ക്കുക.
end	അവസാനം; അവസാനിപ്പിക്കുക	ഇതാണ് അവസാനം.
enjoy	ആസ്വദിക്കുക	ഞാൻ ഈ പാട്ട് ആസ്വദിക്കുന്നു.
enough	മതി; മതിയായ	നമുക്ക് മതിയായ സമയം ഉണ്ട്.
euro	യൂറോ	ഇതിന് ഒരു യൂറോ ചെലവാകും.
even	കൂടി	എന്റെ അനിയനും അറിയാം.
evening	വൈകുന്നേരം	ഞങ്ങൾ ഈ വൈകുന്നേരം കാണും.
event	പരിപാടി; സംഭവം	പരിപാടി ഇന്ന് തുടങ്ങുന്നു.
ever	ഒരിക്കലെങ്കിലും	നീ ഒരിക്കലെങ്കിലും പാചകം ചെയ്യുമോ?
every	ഓരോ	ഞാൻ ഓരോ ദിവസവും പഠിക്കുന്നു.
everybody	എല്ലാവരും	എല്ലാവരും ഇവിടെ ഉണ്ട്.
everyone	ഓരോരുത്തരും	ഓരോരുത്തർക്കും സംഗീതം ഇഷ്ടമാണ്.
everything	എല്ലാം	എല്ലാം തയ്യാറാണ്.
exam	പരീക്ഷ	പരീക്ഷ ഉടൻ തുടങ്ങും.
example	ഉദാഹരണം	ഇത് നല്ല ഉദാഹരണമാണ്.
excited	ആവേശഭരിതം	ഞാൻ ഇന്ന് ആവേശത്തിലാണ്.
exciting	ആവേശകരമായ	കളി ആവേശകരമാണ്.
exercise	വ്യായാമം; അഭ്യാസം	ഞാൻ പ്രഭാതഭക്ഷണത്തിന് മുമ്പ് വ്യായാമം ചെയ്യുന്നു.
expensive	വിലയേറിയ	ഈ കോട്ട് വിലയേറിയതാണ്.
explain	വിശദീകരിക്കുക	ദയവായി ഈ വാക്ക് വിശദീകരിക്കുക.
extra	അധിക	എനിക്ക് അധിക സമയം വേണം.
eye	കണ്ണ്	എന്റെ കണ്ണ് ചുവപ്പാണ്.
face	മുഖം	നിന്റെ മുഖം കഴുകുക.
fact	സത്യം; വസ്തുത	ഈ വസ്തുത പ്രധാനമാണ്.
fall	വീഴുക	ശരത്കാലത്തിൽ ഇലകൾ വീഴുന്നു.
false	തെറ്റായ	ആ ഉത്തരം തെറ്റാണ്.
family	കുടുംബം	എന്റെ കുടുംബം ചെറുതാണ്.
famous	പ്രശസ്തമായ	അവൾ പ്രശസ്ത ഗായികയാണ്.
fantastic	അദ്ഭുതകരമായ	സംഗീത പരിപാടി അദ്ഭുതകരമായിരുന്നു.
far	ദൂരം	സ്കൂൾ ദൂരെയാണ്.
farm	കൃഷിയിടം; ഫാം	അവർ കൃഷിയിടത്തിൽ താമസിക്കുന്നു.
farmer	കർഷകൻ	കർഷകൻ ഭക്ഷണം വളർത്തുന്നു.
fast	വേഗമുള്ള	ഈ ട്രെയിൻ വേഗമാണ്.
fat	കൊഴുത്ത	പൂച്ച കൊഴുത്തതാണ്.
father	അച്ഛൻ	എന്റെ അച്ഛൻ ഉയരമുള്ള ആളാണ്.
favourite	ഇഷ്ടപ്പെട്ട	ഇത് എനിക്ക് ഇഷ്ടപ്പെട്ട പാട്ടാണ്.
February	ഫെബ്രുവരി	ഇവിടെ ഫെബ്രുവരിയിൽ തണുപ്പ് ആണ്.
feel	തോന്നുക; അനുഭവിക്കുക	എനിക്ക് സന്തോഷം തോന്നുന്നു.
feeling	ഭാവം	ആ ഭാവം എനിക്ക് അറിയാം.
festival	ഉത്സവം	ഉത്സവം നാളെ തുടങ്ങുന്നു.
few	ചില; കുറച്ച്	ചില വിദ്യാർത്ഥികൾ ഇവിടെ ഉണ്ട്.
fifteen	പതിനഞ്ച്	എനിക്ക് പതിനഞ്ച് വയസ്സുണ്ട്.
fifth	അഞ്ചാം	ഇത് അഞ്ചാം പാഠമാണ്.
fifty	അമ്പത്	എന്റെ അമ്മയ്ക്ക് അമ്പത് വയസ്സുണ്ട്.
fill	നിറയ്ക്കുക	കപ്പിൽ വെള്ളം നിറയ്ക്കുക.
film	സിനിമ	ഞങ്ങൾ സിനിമ കാണുന്നു.
final	അവസാന	ഇത് അവസാന ചോദ്യമാണ്.
find	കണ്ടെത്തുക	ഞാൻ എന്റെ താക്കോലുകൾ കണ്ടെത്തും.
fine	സുഖം	ഞാൻ ഇപ്പോൾ സുഖമാണ്.
finish	പൂർത്തിയാക്കുക	നിന്റെ ഹോംവർക്ക് പൂർത്തിയാക്കുക.
fire	തീ	തീ ചൂടാണ്.
first	ആദ്യ	അവൾ വരിയിൽ ആദ്യം ആണ്.
fish	മത്സ്യം	ഞാൻ രാത്രി ഭക്ഷണത്തിന് മത്സ്യം കഴിക്കുന്നു.
five	അഞ്ച്	എന്നോട് അഞ്ച് പുസ്തകങ്ങൾ ഉണ്ട്.
flat	അപ്പാർട്ട്‌മെന്റ്	എന്റെ അപ്പാർട്ട്‌മെന്റ് ചെറുതാണ്.
flight	വിമാനയാത്ര	വിമാനയാത്ര വൈകിയിരിക്കുന്നു.
floor	തറ; നില	ബാഗ് തറയിൽ ആണ്.
flower	പൂവ്	ഈ പൂവ് മഞ്ഞ നിറത്തിലാണ്.
fly	പറക്കുക	പക്ഷികൾ ആകാശത്ത് പറക്കുന്നു.
follow	പിന്തുടരുക	ദയവായി എന്നെ പിന്തുടരുക.
food	ഭക്ഷണം	ഭക്ഷണം തയ്യാറാണ്.
foot	കാൽ	എന്റെ കാൽ വേദനിക്കുന്നു.
football	ഫുട്ബോൾ	ഞങ്ങൾ ഇന്ന് ഫുട്ബോൾ കളിക്കുന്നു.
for	വേണ്ടി	ഈ സമ്മാനം നിനക്കുവേണ്ടിയാണ്.
forget	മറക്കുക	നിന്റെ താക്കോലുകൾ മറക്കരുത്.
form	ഫോം; രൂപം	ഫോം പൂരിപ്പിക്കുക.
forty	നാൽപത്	എന്റെ അച്ഛന് നാൽപത് വയസ്സുണ്ട്.
four	നാല്	ഞാൻ നാല് പക്ഷികളെ കാണുന്നു.
fourteen	പതിനാലു	അവൾക്ക് പതിനാലു വയസ്സുണ്ട്.
fourth	നാലാം	ഇത് നാലാം നിലയാണ്.
free	സൗജന്യ; സ്വതന്ത്ര	ടിക്കറ്റ് സൗജന്യമാണ്.
Friday	വെള്ളി	ഞങ്ങൾ വെള്ളിയാഴ്ച കാണും.
friend	സുഹൃത്ത്	എന്റെ സുഹൃത്ത് ഇവിടെ ഉണ്ട്.
friendly	സൗഹൃദപരമായ	അധ്യാപകൻ സൗഹൃദപരനാണ്.
from	നിന്ന്	ഞാൻ ഇവിടെ നിന്നാണ് വന്നത്.
front	മുൻവശം	മുൻവശത്ത് നിൽക്കുക.
fruit	പഴം	ഞാൻ ഓരോ ദിവസവും പഴം കഴിക്കുന്നു.
full	നിറഞ്ഞ	കുപ്പി നിറഞ്ഞിരിക്കുന്നു.
fun	രസം	ഈ കളി രസകരമാണ്.
funny	തമാശയുള്ള	സിനിമ തമാശയുള്ളതാണ്.
future	ഭാവി	നിന്റെ ഭാവിയെക്കുറിച്ച് ചിന്തിക്കുക.
game	കളി	കളി ഇപ്പോൾ തുടങ്ങുന്നു.
garden	തോട്ടം	തോട്ടം മനോഹരമാണ്.
geography	ഭൂഗോളശാസ്ത്രം	ഞാൻ സ്കൂളിൽ ഭൂഗോളശാസ്ത്രം പഠിക്കുന്നു.
get	ലഭിക്കുക; എത്തുക	ഞാൻ ആറു മണിക്ക് വീട്ടിലെത്തുന്നു.
girl	പെൺകുട്ടി	പെൺകുട്ടി ചിരിക്കുന്നു.
girlfriend	പ്രണയിനി	അവന്റെ പ്രണയിനി ദയയുള്ളവളാണ്.
give	കൊടുക്കുക	എനിക്ക് പുസ്തകം കൊടുക്കുക.
glass	ഗ്ലാസ്	ഞാൻ ഗ്ലാസിൽ നിന്ന് കുടിക്കുന്നു.
go	പോകുക	ഞങ്ങൾ ഇപ്പോൾ വീട്ടിലേക്ക് പോകുന്നു.
good	നല്ല	ഈ കാപ്പി നല്ലതാണ്.
goodbye	വിട	വിട, നാളെ കാണാം.
grandfather	അപ്പൂപ്പൻ	എന്റെ അപ്പൂപ്പൻ വയസ്സായ ആളാണ്.
grandmother	അമ്മൂമ്മ	എന്റെ അമ്മൂമ്മ സൂപ്പ് ഉണ്ടാക്കുന്നു.
grandparent	അപ്പൂപ്പൻ അല്ലെങ്കിൽ അമ്മൂമ്മ	ഒരു അപ്പൂപ്പൻ അല്ലെങ്കിൽ അമ്മൂമ്മ ഞങ്ങളോടൊപ്പം താമസിക്കുന്നു.
great	മഹത്തായ; അദ്ഭുതം	ഇത് അദ്ഭുതകരമായ ആശയമാണ്.
green	പച്ച	വാതിൽ പച്ചയാണ്.
grey	ചാരനിറം	ആകാശം ചാരനിറത്തിലാണ്.
group	സംഘം	ചെറിയ സംഘത്തിൽ ജോലി ചെയ്യുക.
grow	വളരുക; വളർത്തുക	സസ്യങ്ങൾ തോട്ടത്തിൽ വളരുന്നു.
guess	ഊഹിക്കുക	ഉത്തരം ഊഹിക്കുക.
guitar	ഗിറ്റാർ	അവൻ ഗിറ്റാർ വായിക്കുന്നു.
gym	വ്യായാമശാല	ഞാൻ വ്യായാമശാലയിലേക്ക് പോകുന്നു.
hair	മുടി	അവളുടെ മുടി നീളമുള്ളതാണ്.
half	പകുതി	കേക്ക് പകുതിയായി മുറിക്കുക.
