source_headword	HU	example_HU
heal	gyógyít	A pihenés segít a testnek gyógyulni.
healthcare	egészségügy	Az egészségügyi költségek idén nőttek.
helmet	sisak	Viselj sisakot a biciklin.
hence	ezért	Ezért megváltoztattuk az ütemtervet.
herb	gyógynövény	A bazsalikom hasznos gyógynövény.
hidden	rejtett	A kulcs a lábtörlő alatt volt elrejtve.
highway	autópálya	Az autópályát lezárták a havazás után.
hilarious	nagyon vicces	A film nagyon vicces volt.
hip	csípő	Edzés közben megsérült a csípője.
historian	történész	A történész régi leveleket tanulmányozott.
homeless	hajléktalan	A menedékhely hajléktalan családoknak segít.
honesty	őszinteség	Az őszinteség bizalmat épít.
hook	fogas	Akaszd a kabátot a fogasra.
hopefully	remélhetőleg	Remélhetőleg a vonat hamarosan megérkezik.
hunger	éhség	Az éhség befolyásolhatja a koncentrációt.
hypothesis	hipotézis	A kísérlet tesztelte a hipotézist.
icon	ikon	Az alkalmazás ikonja ma megváltozott.
ID	személyi igazolvány	Mutassa meg a személyi igazolványát a recepción.
identical	azonos	Az ikrek azonos kabátot viseltek.
illusion	illúzió	A tükör illúziót kelt.
immigration	bevándorlás	A bevándorlási politika tavaly megváltozott.
immune	immunis	Az oltás immunissá teheti az embereket.
implement	megvalósít	Az iskola meg fogja valósítani a szabályzatot.
implication	következmény	A következmény egyértelmű volt.
incentive	ösztönző	A bónusz ösztönzést adott a dolgozóknak.
incorporate	beépít	Építsen be több zöldséget az étkezésekbe.
incorrect	helytelen	A válasz helytelen volt.
independence	függetlenség	Az ország a függetlenséget ünnepelte.
index	tárgymutató	Ellenőrizze a tárgymutatót a témához.
indication	jel	A mosoly a megkönnyebbülés jele volt.
inevitable	elkerülhetetlen	Némi késés elkerülhetetlen volt.
inevitably	elkerülhetetlenül	Az árak a hiány után elkerülhetetlenül emelkedtek.
infer	kikövetkeztet	A választ a szövegkörnyezetből tudjuk kikövetkeztetni.
inflation	infláció	Az infláció növelte az élelmiszerárakat.
info	infó	A weboldal hasznos infókat sorol fel.
infrastructure	infrastruktúra	A vihar megrongálta a helyi infrastruktúrát.
inhabitant	lakos	Minden lakos tiszta vizet kapott.
inherit	örököl	Ő fogja örökölni a családi házat.
ink	tinta	A nyomtatónak fekete tintára van szüksége.
innovation	innováció	Az innováció viszi előre az ipart.
innovative	innovatív	A cég innovatív terméket dobott piacra.
input	vélemény	A menedzser véleményt kért.
insert	behelyez	Helyezze be a kártyát a gépbe.
inspector	ellenőr	Az ellenőr ellenőrizte az épületet.
installation	telepítés	A telepítés két órát vett igénybe.
instant	azonnali	Az alkalmazás azonnali választ küldött.
instantly	azonnal	A képernyő azonnal bekapcsolt.
integrate	integrál	A szoftver új eszközöket tud integrálni.
intellectual	értelmiségi	A vita értelmiségi, de barátságos volt.
interact	interakcióba lép	A diákok a csoportmunka során interakcióba lépnek.
interaction	interakció	Az interakció udvarias volt.
interpretation	értelmezés	A vers értelmezése eredeti volt.
interval	szünet	Rövid szünet volt a felvonások között.
invade	megszáll	A hadsereg megpróbálta megszállni a szigetet.
invasion	invázió	Az invázió sok várost megrongált.
investor	befektető	A befektető egy új startupot finanszírozott.
isolate	elszigetel	Az orvosok elszigetelik a súlyos fertőzött betegeket.
isolated	elszigetelt	A falut elszigetelte a hó.
jail	börtön	A tolvaj börtönbe ment.
jet	sugárhajtású repülőgép	A sugárhajtású repülőgép délben szállt le.
joint	közös	Közös projektet jelentettek be.
journalism	újságírás	Az újságírás pontos tényeket követel.
jury	esküdtszék	Az esküdtszék döntésre jutott.
kit	készlet	A javítókészlet csavarokat is tartalmaz.
ladder	létra	A létra a falnak dőlt.
landing	leszállás	A gép sima leszállást hajtott végre.
lane	sáv	Maradjon a jobb sávban.
lately	mostanában	Mostanában rosszul alszom.
leaflet	szórólap	A szórólap elmagyarázza a szolgáltatást.
legend	legenda	A legenda egy rejtett városról mesél.
lens	lencse	Óvatosan tisztítsa meg a kamera lencséjét.
lifetime	egy életen át	Egy életen át takarékoskodott.
lighting	világítás	A jó világítás javítja a szobát.
likewise	hasonlóképpen	A lány mosolygott; ő hasonlóképpen tett.
limitation	korlátozás	A tervnek van egy korlátozása.
literally	szó szerint	Szó szerint futott a buszhoz.
literary	irodalmi	A fesztivál az irodalmi munkát ünnepli.
litre	liter	Vegyél egy liter tejet.
litter	szemét	Ne dobd el a szemetet.
logo	logó	A logó minden oldalon megjelenik.
lottery	lottó	Nyert egy kis lottónyereményt.
loyal	hűséges	A kutya hűséges volt a gazdájához.
lyric	dalszöveg	A dalszöveg ismételte a fő gondolatot.
magnificent	lenyűgöző	A palota lenyűgözően nézett ki.
make-up	smink	Egyszerű sminket viselt.
making	készítés	A film készítése nehéz volt.
manufacture	gyárt	A gyár telefonokat fog gyártani.
manufacturing	gyártás	A gyártási munkahelyek helyben növekedtek.
marathon	maraton	Befejezte a maratont.
margin	margó	Írjon jegyzeteket a margóra.
marker	filctoll	Használjon filctollat a címkéhez.
martial	harci	Harcművészeteket tanul.
mate	haver	A régi iskolai haverom tegnap hívott.
mayor	polgármester	A polgármester nyitotta meg a könyvtárat.
mechanic	szerelő	A szerelő megjavította a buszt.
mechanical	mechanikai	Az órának mechanikai hibája van.
mechanism	mechanizmus	A zármechanizmus egyszerű.
medal	érem	Aranyérmet nyert.
medication	gyógyszer	A gyógyszert vízzel vegye be.
membership	tagság	A konditermi tagság olcsóbb online.
memorable	emlékezetes	Az utazás emlékezetes volt.
metaphor	metafora	A vers erős metaforát használ.
miner	bányász	A bányász a föld alatt dolgozott.
miserable	nyomorúságos	Az eső nyomorúságossá tette a pikniket.
mode	mód	Kapcsolja a kamerát éjszakai módba.
modest	szerény	Szerény házban élnek.
monster	szörny	A történetben van egy ijesztő szörny.
monthly	havonta	Havonta fizetjük a lakbért.
monument	emlékmű	Az emlékmű a folyó közelében áll.
moreover	ráadásul	Ráadásul a terv pénzt takarít meg.
mortgage	jelzálog	Jelzálogot igényeltek.
mosque	mecset	A mecset a piac közelében van.
motion	mozgás	Az érzékelő mozgást észlel.
motivate	motivál	A dicséret motiválhatja a diákokat.
motivation	motiváció	A motivációja erős maradt.
moving	megható	A beszéd megható volt.
myth	mítosz	A mítosz megmagyarázza a hegy nevét.
naked	meztelen	A baba meztelen volt a fürdés után.
nasty	csúnya	A vágás csúnyának tűnt.
navigation	navigáció	Az alkalmazás javítja a navigációt.
nearby	közeli	Egy közeli kávézó korán nyit.
necessity	létszükséglet	A tiszta víz létszükséglet.
negotiate	tárgyal	Holnap tárgyalnak a szerződésről.
negotiation	tárgyalás	A tárgyalás egész délelőtt tartott.
neutral	semleges	A bíró semleges maradt.
newly	frissen	A frissen festett ajtó fényesnek tűnt.
norm	norma	A távmunka lett a norma.
notebook	füzet	Írjon jegyzeteket a füzetébe.
novelist	regényíró	A regényíró dedikálta a könyvét.
nowadays	manapság	Manapság sokan dolgoznak online.
nursing	ápolás	Ápolást tanul.
nutrition	táplálkozás	A jó táplálkozás támogatja az egészséget.
obesity	elhízás	Az elhízás növeli az egészségügyi kockázatokat.
observer	megfigyelő	A megfigyelő rögzítette az eredményeket.
obstacle	akadály	A kidőlt fa akadály volt.
occupation	foglalkozás	Kérjük, írja ide a foglalkozását.
occupy	elfoglal	A család el fogja foglalni a lakást.
offender	elkövető	Az elkövető bocsánatot kért a bíróságon.
ongoing	folyamatban lévő	A nyomozás folyamatban van.
openly	nyíltan	Nyíltan beszélt a félelmeiről.
opera	opera	Láttunk egy operát Milánóban.
operator	operátor	Az operátor kapcsolta a hívást.
optimistic	optimista	Optimistának érzi magát a jövővel kapcsolatban.
orchestra	zenekar	A zenekar halkan játszott.
organic	bio	Bio zöldségeket vettek.
outfit	ruha	A ruhája illett az alkalomhoz.
output	kibocsátás	A gép kibocsátása nőtt.
outstanding	kiemelkedő	A teljesítménye kiemelkedő volt.
overcome	legyőz	Együtt győzik le a problémákat.
overnight	egyik napról a másikra	A csomag egyik napról a másikra megérkezett.
overseas	tengerentúlon	A tengerentúlon talált munkát.
ownership	tulajdonjog	A föld tulajdonjoga megváltozott.
oxygen	oxigén	A növények oxigént termelnek.
packet	csomag	Óvatosan nyissa ki a csomagot.
palm	tenyér	Tartsa az érmét a tenyerében.
panic	pánik	Pánik terjedt el a tömegben.
parade	felvonulás	A felvonulás délben kezdődött.
parallel	párhuzamos	Az utak párhuzamosan futnak.
participation	részvétel	A részvétel az órán javult.
partnership	partnerség	A partnerség mindkét cégnek segített.
part-time	részmunkaidős	Részmunkaidős állást talált.
passionate	szenvedélyes	Szenvedélyesen szereti a zenét.
password	jelszó	Válasszon egy erős jelszót.
patience	türelem	A kisgyerekek tanításához türelem kell.
pause	szüneteltet	Most szüneteltesse a videót.
peer	kortárs	A kortársak nyomása befolyásolta a döntését.
penalty	büntetés	A játékos büntetést kapott.
perceive	érzékel	Az emberek máshogy érzékelik a kockázatot.
perception	felfogás	A veszélyről alkotott felfogása megváltozott.
permanently	véglegesen	A bolt véglegesen bezárt.
pill	tabletta	Vegyen be egy tablettát reggeli után.
pity	kár	Kár érte.
placement	elhelyezés	A kanapé elhelyezése számít.
portion	adag	Szolgáljon fel egy kis adag rizst.
potentially	potenciálisan	Ez a változás potenciálisan hasznos.
precede	megelőz	Sötét felhők gyakran megelőzik az esőt.
precious	értékes	A gyűrű értékes.
precise	pontos	Az utasítások pontosak voltak.
precisely	pontosan	Mérje meg a távolságot pontosan.
predictable	kiszámítható	A befejezés kiszámítható volt.
preference	preferencia	Preferenciát fejezett ki a tea iránt.
pride	büszkeség	Büszkeséget érzett a befejezés után.
primarily	elsősorban	A tanfolyam elsősorban online zajlik.
principal	igazgató	Az igazgató üdvözölte az új diákokat.
prior	előzetes	Előzetes jóváhagyásra van szükségünk.
probability	valószínűség	Az eső valószínűsége magas.
probable	valószínű	Ma este valószínű az eső.
proceed	halad	Kérjük, haladjon a következő terembe.
programming	programozás	A programozás gyakorlatot igényel.
progressive	haladó	A politika haladó volt a korához képest.
prohibit	tilt	A szabályok tiltják a dohányzást.
promising	ígéretes	Az eredmények ígéretesnek tűnnek.
promotion	előléptetés	Előléptetést kapott a munkahelyén.
prompt	gyors	A gyors válasz időt takarított meg.
proportion	arány	Nagy arány szavazott igennel.
protein	fehérje	A bab fehérjét tartalmaz.
protester	tüntető	A tüntető táblát tartott.
psychological	pszichológiai	A baleset pszichológiai stresszt okozott.
publicity	nyilvánosság	Az esemény nyilvánosságot kapott.
publishing	kiadó	A kiadónál dolgozik.
punk	punk	A punk zene ott népszerűvé vált.
purely	tisztán	A választás tisztán gyakorlati volt.
pursuit	törekvés	Folytatta az igazságosság iránti törekvését.
puzzle	kirakós	A kirakós egy órát vett igénybe.
questionnaire	kérdőív	Kérjük, töltse ki a kérdőívet.
racial	faji	A jelentés a faji egyenlőtlenségről tárgyalt.
racism	rasszizmus	A rasszizmus árt a közösségeknek.
racist	rasszista	A megjegyzés rasszista volt.
radiation	sugárzás	A sugárzás károsíthatja a sejteket.
rail	korlát	Fogja a korlátot a lépcsőn.
random	véletlenszerű	A számítógép véletlenszerű számot választott.
rat	patkány	Egy patkány futott a kukák mögé.
rating	értékelés	A szálloda magas értékeléssel rendelkezik.
reasonably	elfogadhatóan	A szoba elfogadhatóan tiszta volt.
rebuild	újjáépít	Újjá fogják építeni a hidat.
receiver	fogadó	A fogadó elkapta a labdát.
recession	recesszió	A recesszió csökkentette a kiadásokat.
reckon	gondol	Úgy gondolom, a vonat késik.
recognition	elismerés	Elismerést kapott a munkájáért.
recovery	felépülés	A felépülés több hetet vett igénybe.
recruit	toboroz	A cég mérnököket fog toborozni.
recruitment	toborzás	A toborzás jövő hétfőn kezdődik.
referee	játékvezető	A játékvezető megállította a meccset.
refugee	menekült	A menekült biztonságos otthont talált.
registration	regisztráció	A regisztráció pénteken zárul.
regulate	szabályoz	A törvény szabályozni fogja a kibocsátásokat.
reinforce	megerősít	Extra gerendák erősítik meg a tetőt.
relieve	enyhít	A gyógyszer enyhítheti a fájdalmat.
relieved	megkönnyebbült	Megkönnyebbültnek érezte magát a hívás után.
remarkable	figyelemre méltó	A felépülés figyelemre méltó volt.
remarkably	figyelemre méltóan	Figyelemre méltóan gyorsan felépült.
reporting	jelentéstétel	A pontos jelentéstétel számít.
resign	lemond	A menedzser holnap lemond.
resolution	felbontás	A képernyő nagy felbontású.
restore	helyreállít	A munkások helyreállítják a régi festményt.
restrict	korlátoz	A szabályok korlátozzák a parkolást.
restriction	korlátozás	A korlátozás holnap véget ér.
retail	kiskereskedelem	A kiskereskedelmi eladások nőttek.
retirement	nyugdíj	Gondosan megtervezte a nyugdíját.
revenue	bevétel	A jegybevétel fedezte a javításokat.
revision	ismétlés	Az ismétlés segített a vizsga előtt.
ridiculous	nevetséges	Az ár nevetséges volt.
risky	kockázatos	A terv kockázatosnak tűnt.
rival	rivális	A riválisunk új boltot nyitott.
rob	kirabol	A férfiak megpróbálták kirabolni a bankot.
robbery	rablás	A rablás éjszaka történt.
rocket	rakéta	A rakéta sikeresen elindult.
romance	románc	A regény egy románcot is tartalmaz.
rose	rózsa	Egy piros rózsa nőtt a kerítésnél.
roughly	nagyjából	Nagyjából húsz ember vett részt.
ruin	tönkretesz	Az eső tönkreteheti a pikniket.
satisfaction	elégedettség	Az ügyfelek elégedettsége javult.
scandal	botrány	A botrány ártott a karrierjének.
scare	ijesztés	A hangos zaj megijesztett.
scenario	forgatókönyv	A legrosszabb forgatókönyv valószínűtlen.
scholar	tudós	A tudós ősi szövegeket tanulmányozott.
scholarship	ösztöndíj	Ösztöndíjat nyert.
scratch	karcolás	A macska karcolást hagyott.
screening	szűrés	A kórház rákszűrést kínál.
seeker	kereső	Az álláskereső elküldte a jelentkezéseket.
seminar	szeminárium	A szeminárium kilenckor kezdődik.
settler	telepes	A telepes épített egy kis farmot.
severely	súlyosan	A vihar súlyosan megrongálta az utakat.
sexy	szexi	A ruha szexinek számított.
shocking	sokkoló	A hír sokkoló volt.
shore	part	A part mentén sétáltunk.
shortage	hiány	A város vízhiánnyal küzdött.
shortly	röviddel	A busz röviddel dél után érkezett.
short-term	rövid távú	A tervnek rövid távú előnyei vannak.
sibling	testvér	Minden testvér kapott egy ajándékot.
signature	aláírás	Kérem, adja hozzá az aláírását.
significance	jelentőség	A felfedezésnek nagy jelentősége van.
skilled	képzett	Képzett munkások javították meg a tetőt.
slogan	szlogen	A kampány egyszerű szlogent használt.
so-called	úgynevezett	Az úgynevezett szakértő hibázott.
somehow	valahogy	A kulcsok valahogy eltűntek.
sometime	valamikor	Látogasson meg minket valamikor jövő héten.
sophisticated	kifinomult	A szoftver kifinomult.
spare	tartalék	Tartunk egy tartalék kulcsot.
specialize	specializálódik	Az orvosok különböző területekre specializálódnak.
specify	pontosít	Kérjük, pontosítsa az érkezési idejét.
spectacular	látványos	A tűzijáték látványos volt.
spectator	néző	Minden néző kapott egy programot.
speculate	találgat	A szakértők találgatnak az okról.
speculation	találgatás	A cikk találgatásokra ösztönzött.
spice	fűszer	Egyszerre csak egy fűszert adjon hozzá.
spill	kilöttyint	Ne löttyintsd ki a gyümölcslevet.
spite	dacára	A problémák dacára is sikeres volt.
spoil	elront	A túl sok só elronthatja a levest.
spokesman	szóvivő	A szóvivő válaszolt a kérdésekre.
