source_headword	PT-BR	example_PT-BR
incur	incorrer	Atrasos podem incorrer em custos extras.
indicator	o indicador	O desemprego é um indicador econômico.
indictment	a acusação	A acusação listou três crimes.
indigenous	indígena	Plantas indígenas crescem bem aqui.
induce	induzir	O remédio pode induzir o sono.
indulge	ceder	Ela não cede a hábitos caros.
inequality	a desigualdade	A desigualdade de renda continua sendo um grande problema.
infamous	infame	A prisão se tornou infame no mundo todo.
infant	o bebê	O bebê dormiu no berço.
infect	infectar	O vírus pode infectar células saudáveis.
inflict	infligir	Não inflija dor aos animais.
influential	influente	Ela é uma jurista influente.
inherent	inerente	O design tem riscos inerentes.
inhibit	inibir	O medo pode inibir uma discussão honesta.
initiate	iniciar	O gerente iniciará a revisão.
inject	injetar	A enfermeira injetará a vacina.
injection	a injeção	A injeção reduziu a dor.
injustice	a injustiça	A decisão expôs uma clara injustiça.
inmate	o detento	O detento solicitou aconselhamento jurídico.
insertion	a inserção	O formulário precisa de uma inserção de texto.
insider	o informante	Um informante vazou o relatório.
inspect	inspecionar	As autoridades inspecionam a ponte anualmente.
inspection	a inspeção	A inspeção encontrou danos graves.
inspiration	a inspiração	O discurso dela me serviu de inspiração.
instinct	o instinto	Seu primeiro instinto foi ajudar.
institutional	institucional	Regras institucionais moldaram a decisão.
instruct	instruir	O manual instruirá os novos funcionários.
instrumental	essencial	O conselho dela foi essencial nas negociações.
insufficient	insuficiente	As evidências foram insuficientes para as acusações.
insult	o insulto	O insulto dele encerrou a conversa.
intact	intacto	A antiga parede permaneceu intacta.
intake	a ingestão	A ingestão de açúcar deve ser moderada.
integral	essencial	A confiança é essencial para a equipe.
integrated	integrado	A escola oferece apoio integrado.
integration	a integração	A integração melhorou todo o sistema.
integrity	a integridade	O juiz mostrou grande integridade.
intensify	intensificar	A tempestade pode se intensificar durante a noite.
intensity	a intensidade	A intensidade do treinamento aumentou.
intensive	intensivo	Eles concluíram um treinamento intensivo de idiomas.
intent	a intenção	A intenção dele foi difícil de provar.
interactive	interativo	O museu tem exposições interativas.
interface	a interface	A interface é fácil de navegar.
interfere	interferir	Não interfira na investigação.
