simplified	ET	example_ET	IS	example_IS
吧	soovituspartikkel; eks?	Lähme.	tillöguögn; ekki satt?	Förum.
白	valge	See riideese on valge.	hvítur; hvít; hvítt	Þessi flík er hvít.
百	sada	See telefon maksab sada jüaani.	hundrað	Þessi sími kostar hundrað júan.
帮助	aitama; abi	Palun aita mind.	hjálpa; hjálp	Vinsamlegast hjálpaðu mér.
报纸	ajaleht	Isa loeb ajalehte.	dagblað	Pabbi les dagblað.
比	kui; võrdlema	Täna on palavam kui eile.	en; bera saman	Í dag er heitara en í gær.
别	ära; muu	Ära mine.	ekki; annar	Ekki fara.
长	pikk	See tee on pikk.	langur; löng; langt	Þessi vegur er langur.
唱歌	laulma	Mu nooremale õele meeldib laulda.	syngja	Yngri systir mín hefur gaman af að syngja.
出	välja minema; välja tulema	Ta läks välja.	fara út; koma út	Hann fór út.
穿	kandma; selga panema	Ma kannan valgeid riideid.	vera í; klæðast	Ég er í hvítum fötum.
船	paat; laev	Paat on vee peal.	bátur; skip	Báturinn er á vatninu.
次	kord; juhtum	Olen korra Pekingis käinud.	skipti; tilvik	Ég hef einu sinni farið til Peking.
从	alates; juurest	Ma lähen kodust kooli.	frá	Ég fer að heiman í skólann.
错	vale; viga	Sa eksid.	rangur; röng; rangt; villa	Þú hefur rangt fyrir þér.
打篮球	korvpalli mängima	Mu vanem vend mängib korvpalli.	spila körfubolta	Eldri bróðir minn spilar körfubolta.
大家	kõik	Kõik on tulnud.	allir; allar; öll	Allir eru komnir.
但是	aga; siiski	Ma olen hõivatud, aga väga õnnelik.	en; hins vegar	Ég er upptekinn en mjög ánægður.
到	kohale jõudma; jõudma	Ma jõudsin kooli.	koma; komast til	Ég er kominn í skólann.
得	määratäiendipartikkel	Ta jookseb kiiresti.	ögn fyrir stigfyllingu	Hann hleypur hratt.
等	ootama	Ma ootan sind.	bíða	Ég bíð eftir þér.
弟弟	noorem vend	Mu noorem vend on kodus.	yngri bróðir	Yngri bróðir minn er heima.
第一	esimene	Ta on esimene.	fyrstur; fyrsta; fyrst	Hann er fyrstur.
懂	aru saama	Nüüd ma saan aru.	skilja	Nú skil ég.
对	õige; suunas	See, mida sa ütlesid, on õige.	réttur; rétt; gagnvart	Það sem þú sagðir er rétt.
房间	tuba	See tuba on suur.	herbergi	Þetta herbergi er stórt.
非常	väga; äärmiselt	Täna on väga külm.	mjög; ákaflega	Í dag er mjög kalt.
服务员	kelner; teenindaja	Kelner on restoranis.	þjónn; afgreiðslumaður	Þjónninn er á veitingastaðnum.
高	kõrge; pikk	Ta on pikk.	hár; há; hátt	Hann er hár.
告诉	ütlema	Palun ütle mulle.	segja; láta vita	Vinsamlegast segðu mér.
哥哥	vanem vend	Mu vanem vend töötab.	eldri bróðir	Eldri bróðir minn er að vinna.
给	andma; kellelegi	Ma annan sulle raamatu.	gefa; til	Ég gef þér bók.
公共汽车	buss	Ma sõidan bussiga tööle.	strætó	Ég fer með strætó í vinnuna.
公斤	kilogramm	Ma ostan ühe kilogrammi õunu.	kílógramm	Ég kaupi eitt kílógramm af eplum.
公司	ettevõte	Ma töötan ettevõttes.	fyrirtæki	Ég vinn hjá fyrirtæki.
贵	kallis	See käekell on kallis.	dýr; dýr; dýrt	Þetta armbandsúr er dýrt.
过	kogemust märkiv partikkel	Ma olen Hiinas käinud.	reynsluögn	Ég hef farið til Kína.
还	veel; samuti	Ta on veel koolis.	enn; líka	Hann er enn í skólanum.
孩子	laps	See laps on väga õnnelik.	barn	Þetta barn er mjög glatt.
好吃	maitsev	See roog on maitsev.	bragðgóður; bragðgóð; bragðgott	Þessi réttur er bragðgóður.
号	number; kuupäev	Täna on kaheksas.	númer; dagsetning	Í dag er áttundi.
黑	must	See kass on must.	svartur; svört; svart	Þessi köttur er svartur.
红	punane	Mulle meeldivad punased õunad.	rauður; rauð; rautt	Mér líkar við rauð epli.
欢迎	tervitama; tere tulemast	Tere tulemast Pekingisse.	bjóða velkominn; velkomin	Velkomin til Peking.
回答	vastama	Palun vasta sellele küsimusele.	svara	Vinsamlegast svaraðu þessari spurningu.
机场	lennujaam	Lennujaam on siit kaugel.	flughöfn	Flughöfnin er langt héðan.
鸡蛋	muna	Ma söön mune.	egg	Ég borða egg.
件	loendussõna riietele ja esemetele	Ma ostsin ühe riideeseme.	mæliorð fyrir föt og hluti	Ég keypti eina flík.
教室	klassiruum	Õpilased on klassiruumis.	kennslustofa	Nemendurnir eru í kennslustofunni.
姐姐	vanem õde	Mu vanem õde on arst.	eldri systir	Eldri systir mín er læknir.
介绍	tutvustama	Ma tutvustan oma sõpra.	kynna	Ég kynni vin minn.
进	sisenema	Palun tulge sisse.	koma inn	Vinsamlegast komdu inn.
近	lähedal	Kool on kodule lähedal.	nálægt	Skólinn er nálægt heimilinu.
就	siis; kohe	Ma lähen nüüd.	þá; strax	Ég fer núna.
觉得	arvama; tundma	Minu arvates on see roog maitsev.	finnast; halda	Mér finnst þessi réttur bragðgóður.
咖啡	kohv	Ma joon kohvi.	kaffi	Ég drekk kaffi.
开始	alustama; algus	Eksam algas.	byrja; upphaf	Prófið er byrjað.
考试	eksam; test	Homme on eksam.	próf	Það er próf á morgun.
可能	võib-olla; võimalik	Ta võib kodus olla.	kannski; mögulegur; möguleg; mögulegt	Hann gæti verið heima.
可以	võima; tohtima	Kas ma võin minna?	geta; mega	Má ég fara?
课	tund; õppetund	Täna on hiina keele tund.	kennslustund; tími	Í dag er kínverskutími.
快	kiire; varsti	Ta kõnnib kiiresti.	fljótur; fljót; fljótt; bráðum	Hann gengur hratt.
快乐	õnnelik	Palju õnne sünnipäevaks.	glaður; glöð; glatt	Til hamingju með afmælið.
累	väsinud	Ma olen väsinud.	þreyttur; þreytt; þreytt	Ég er þreyttur.
离	kaugusel; alates	Kool ei ole kodust kaugel.	fjarri; frá	Skólinn er ekki langt frá heimilinu.
两	kaks	Mul on kaks last.	tveir; tvær; tvö	Ég á tvö börn.
路	tee; tänav	See tee on pikk.	vegur; leið	Þessi vegur er langur.
旅游	reisima; reisimine	Ma tahan Hiinasse reisida.	ferðast; ferðalag	Ég vil ferðast til Kína.
卖	müüma	Selles poes müüakse õunu.	selja	Í þessari verslun eru seld epli.
慢	aeglane	Palun aeglasemalt.	hægur; hæg; hægt	Vinsamlegast hægðu aðeins á þér.
忙	hõivatud; kiire	Täna on mul kiire.	upptekinn; upptekin; upptekið	Ég hef mikið að gera í dag.
每	iga	Ma õpin iga päev hiina keelt.	hver; hvert	Ég læri kínversku á hverjum degi.
妹妹	noorem õde	Mu noorem õde vaatab televiisorit.	yngri systir	Yngri systir mín horfir á sjónvarp.
门	uks; värav	Uks avanes.	hurð; hlið	Hurðin opnaðist.
男人	mees	See mees on õpetaja.	maður	Þessi maður er kennari.
您	teie	Tere päevast.	þér; kurteislegt ávarp	Góðan dag.
牛奶	piim	Ma joon piima.	mjólk	Ég drekk mjólk.
女人	naine	See naine on arst.	kona	Þessi kona er læknir.
旁边	kõrval	Kooli kõrval on pood.	við hliðina á	Við hliðina á skólanum er verslun.
跑步	jooksma; sörkima	Ma jooksen hommikul.	hlaupa; skokka	Ég hleyp á morgnana.
便宜	odav	See õun on odav.	ódýr; ódýr; ódýrt	Þetta epli er ódýrt.
票	pilet	Ma ostan pileti.	miði	Ég kaupi miða.
妻子	naine; abikaasa	Mu naine on õpetaja.	eiginkona; kona	Eiginkona mín er kennari.
起床	üles tõusma	Ma tõusen hommikul kell kuus.	fara á fætur	Ég fer á fætur klukkan sex á morgnana.
千	tuhat	See jalgratas maksab tuhat jüaani.	þúsund	Þetta reiðhjól kostar þúsund júan.
晴	päikeseline; selge	Täna on päikeseline ilm.	sólríkur; sólrík; sólríkt; bjartur; björt; bjart	Það er sól í dag.
去年	eelmisel aastal	Eelmisel aastal olin Pekingis.	í fyrra	Ég var í Peking í fyrra.
让	lubama; laskma	Ema lubab mul õppida.	leyfa; láta	Mamma leyfir mér að læra.
上班	tööle minema	Ma lähen kell kaheksa tööle.	fara í vinnuna	Ég fer í vinnuna klukkan átta.
身体	keha; tervis	Tema tervis on hea.	líkami; heilsa	Heilsan hans er góð.
生病	haigestuma	Ta jäi haigeks.	veikjast	Hann veiktist.
生日	sünnipäev	Täna on minu sünnipäev.	afmæli	Í dag er afmælið mitt.
时间	aeg	Mul ei ole aega.	tími	Ég hef ekki tíma.
事情	asi; tegevus	Mul on midagi teha.	mál; hlutur	Ég hef eitthvað að gera.
手表	käekell	See käekell on uus.	armbandsúr	Þetta armbandsúr er nýtt.
手机	mobiiltelefon	Mu mobiiltelefon on laual.	farsími	Farsíminn minn er á borðinu.
