simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
爱	愛する; 好き	私は母が大好きです。	사랑하다; 좋아하다	저는 엄마를 사랑해요.	yêu; thích	Tôi yêu mẹ.	รัก; ชอบ	ฉันรักแม่	sayang; suka	Saya sayang ibu.	mencintai; suka	Saya mencintai ibu.
八	八	私は本を八冊持っています。	여덟	저는 책이 여덟 권 있어요.	tám	Tôi có tám quyển sách.	แปด	ฉันมีหนังสือแปดเล่ม	lapan	Saya ada lapan buku.	delapan	Saya punya delapan buku.
爸爸	お父さん; 父	お父さんは家にいます。	아빠; 아버지	아빠는 집에 있어요.	bố; ba	Bố ở nhà.	พ่อ	พ่ออยู่บ้าน	ayah; papa	Ayah ada di rumah.	ayah; papa	Ayah ada di rumah.
杯子	コップ; カップ	このカップは大きいです。	컵; 잔	이 컵은 커요.	cốc; ly	Cái cốc này lớn.	แก้ว; ถ้วย	แก้วใบนี้ใหญ่	cawan; gelas	Cawan ini besar.	cangkir; gelas	Cangkir ini besar.
北京	北京	私は北京で働いています。	베이징	저는 베이징에서 일해요.	Bắc Kinh	Tôi làm việc ở Bắc Kinh.	ปักกิ่ง	ฉันทำงานที่ปักกิ่ง	Beijing	Saya bekerja di Beijing.	Beijing	Saya bekerja di Beijing.
本	本の助数詞; 冊	私は本を一冊持っています。	책의 세는 말; 권	저는 책이 한 권 있어요.	lượng từ cho sách; quyển	Tôi có một quyển sách.	ลักษณนามสำหรับหนังสือ; เล่ม	ฉันมีหนังสือหนึ่งเล่ม	penjodoh bilangan untuk buku; jilid	Saya ada sebuah buku.	kata bantu bilangan untuk buku; jilid	Saya punya satu buku.
不	いいえ; 〜ない	私はご飯を食べません。	아니다; 안	저는 밥을 먹지 않아요.	không	Tôi không ăn cơm.	ไม่	ฉันไม่กินข้าว	tidak	Saya tidak makan nasi.	tidak	Saya tidak makan nasi.
不客气	どういたしまして	ありがとうございます。どういたしまして。	천만에요; 괜찮아요	고마워요. 천만에요.	không có gì	Cảm ơn bạn. Không có gì.	ไม่เป็นไร; ด้วยความยินดี	ขอบคุณ ไม่เป็นไร	sama-sama	Terima kasih. Sama-sama.	sama-sama	Terima kasih. Sama-sama.
菜	料理; 野菜	この料理はおいしいです。	요리; 채소	이 요리는 맛있어요.	món ăn; rau	Món này ngon.	อาหาร; ผัก	อาหารจานนี้อร่อย	lauk; sayur; masakan	Hidangan ini sedap.	hidangan; sayur; masakan	Hidangan ini enak.
茶	お茶	私はお茶を飲みます。	차	저는 차를 마셔요.	trà	Tôi uống trà.	ชา	ฉันดื่มชา	teh	Saya minum teh.	teh	Saya minum teh.
