source_headword	HU	example_HU
stranger	idegen	Egy idegen útbaigazítást kért.
strength	erő	Az ereje segített a csapatnak.
string	madzag	Kösd át a dobozt madzaggal.
strongly	határozottan	Határozottan nem értek egyet azzal az ötlettel.
studio	műterem	A művész egy kis műteremben dolgozik.
stuff	holmi	Tedd a holmidat a polcra.
substance	anyag	A rendőrség egy furcsa anyagot talált.
successfully	sikeresen	Sikeresen befejezték a projektet.
sudden	hirtelen	Egy hirtelen zaj ébresztett minket.
suffer	szenved	Sok növény szenved a száraz időben.
suitable	megfelelő	Ez a dzseki megfelelő iskolába.
summarize	összefoglal	Össze tudnád foglalni a cikket?
summary	összefoglaló	Írj egy rövid összefoglalót ma este.
supply	ellátás	A városnak tiszta vízellátásra van szüksége.
supporter	szurkoló	Minden szurkoló hangosan éljenzett.
surely	biztosan	Biztosan meg tudjuk ezt oldani.
surface	felület	A felület hideg és sima volt.
survive	túlél	Ezek az állatok túlélik a hideg teleket.
switch	kapcsol	Kapcsold le a konyhai lámpát.
symptom	tünet	A köhögés tünet lehet.
tail	farok	A kutyának hosszú farka van.
talent	tehetség	Tehetsége van a zenéhez.
talented	tehetséges	Ő egy tehetséges fiatal színész.
tape	ragasztószalag	Használj ragasztószalagot a doboz lezárásához.
tax	adó	Mindenkinek be kell fizetnie ezt az adót.
technical	technikai	Technikai problémánk volt.
technique	módszer	Ez a módszer időt takarít meg.
tend	hajlamos	A gyerekek hajlamosak gyorsan tanulni.
tent	sátor	Egy kis sátorban aludtunk.
theirs	az övék	A kék biciklik az övék.
theme	téma	A bulinak tengerparti témája volt.
theory	elmélet	Az elmélete megmagyarázza a problémát.
therefore	ezért	Esett az eső, ezért bent maradtunk.
though	bár	Bár fáradt volt, tovább dolgozott.
throat	torok	Fáj a torkom ma reggel.
throughout	végig	Az emberek végigtáncolták az estét.
tight	szűk	Ezek a cipők túl szűkek.
till	amíg	Várj itt, amíg visszatérek.
tin	konzerv	Nyiss ki egy konzerv babot.
tiny	apró	Egy apró madár szállt le a közelben.
toe	lábujj	Tegnap megütöttem a lábujjam.
tongue	nyelv	Megégette a nyelvét a teával.
total	teljes	A teljes költség alacsony volt.
totally	teljesen	Teljesen megértem az aggodalmát.
trade	kereskedelem	A nemzetközi kereskedelem munkahelyeket teremt.
translate	fordít	Kérlek, fordítsd le ezt a mondatot.
translation	fordítás	A fordítás természetesen hangzik.
treat	bánik	Bánj mindenkivel tisztelettel.
treatment	kezelés	A betegnek ma kezelésre van szüksége.
trend	trend	Ez a trend világszerte növekszik.
trick	trükk	Az a kártyatrükk meglepett.
truth	igazság	Kérlek, mondd el az igazságot.
tube	tubus	Nyomd meg óvatosan a tubust.
typically	jellemzően	A diákok jellemzően kilenc óra előtt érkeznek.
tyre	gumiabroncs	Az autónak új gumiabroncsra van szüksége.
ugly	csúnya	A fal színe csúnya.
unable	képtelen	Képtelen volt válaszolni.
uncomfortable	kényelmetlen	Ez a szék kényelmetlen.
underwear	alsónemű	Csomagolj tiszta alsóneműt az útra.
unemployed	munkanélküli	Két hónapig munkanélküli volt.
unemployment	munkanélküliség	A munkanélküliség nőtt a tél folyamán.
unfair	igazságtalan	A döntés igazságtalannak tűnt.
union	szakszervezet	A szakszervezet biztonságosabb munkát követelt.
unless	hacsak nem	Ne indulj el, hacsak nem hívlak.
unlike	ellentétben	Tommal ellentétben Ana szereti a telet.
unlikely	valószínűtlen	A havazás valószínűtlen ezen a héten.
unnecessary	felesleges	A plusz táskák feleslegesek.
unpleasant	kellemetlen	A szobában kellemetlen szag volt.
update	frissít	Frissítenem kell a telefonomat.
upon	-on / -en / -ön	Egyszer volt, hol nem volt, volt egy király.
upset	zaklatott	A hívás után zaklatottnak érezte magát.
used1	használt	Ezt a szobát megbeszélésekre használják.
used2	hozzászokott	Hozzászoktam a korai keléshez.
valuable	értékes	Ez az óra értékes.
value	érték	A ház értéke tavaly csökkent.
various	különféle	Különféle helyi ételeket próbáltunk ki.
version	verzió	Ez a verzió jobban működik.
victim	áldozat	Az áldozat hívta a rendőrséget.
viewer	néző	Az egyik néző feltett egy kérdést.
violent	erőszakos	A film túl erőszakos volt.
volunteer	önkénteskedik	Önkénteskedem a könyvtárban.
vote	szavaz	Ne felejts el holnap szavazni.
warn	figyelmeztet	Megpróbáltam figyelmeztetni őt.
warning	figyelmeztetés	A figyelmeztetés megjelent a képernyőn.
waste	pazarol	Ne pazarold a tiszta vizet.
weapon	fegyver	A kés fegyverré vált.
weigh	lemér	Mérd le a lisztet óvatosan.
western	nyugati	Megnéztek egy westernfilmet.
whatever	bármi	Válassz bármit, ami tetszik.
whenever	bármikor	Hívj, bármikor segítségre van szükséged.
whether	vajon	Nem tudom, hogy egyetért-e.
wing	szárny	A madár megsértette az egyik szárnyát.
within	belül	Kérlek, válaszolj két napon belül.
wonder	kíváncsi	Kíváncsi vagyok, mi történt.
wool	gyapjú	Ez a kabát gyapjúból készült.
worldwide	világszerte	A dal világszerte népszerű lett.
worth	érdemes	Ezt a könyvet érdemes elolvasni.
written	írásos	Kérlek, küldj írásos utasításokat.
yard	udvar	A gyerekek az udvaron játszottak.
youth	ifjúság	Az ifjúsági klubok támogatják a helyi tinédzsereket.
