simplified	TH	example_TH	MS	example_MS	ID	example_ID
爱情	ความรัก; ความรักแบบโรแมนติก	นี่เป็นเรื่องราวความรักที่ซาบซึ้งใจ	percintaan; cinta romantik	Ini kisah cinta yang menyentuh hati.	percintaan; cinta romantis	Ini kisah cinta yang menyentuh hati.
安排	การจัดการ; แผน	สุดสัปดาห์นี้คุณมีแผนอะไรไหม?	aturan; rancangan	Apa rancangan kamu hujung minggu ini?	pengaturan; rencana	Apa rencanamu akhir pekan ini?
安全	ปลอดภัย; ความปลอดภัย	โปรดระวังความปลอดภัย	keselamatan; selamat	Sila jaga keselamatan.	keselamatan; aman	Mohon berhati-hati.
按时	ตรงเวลา	ฉันทำภารกิจเสร็จตรงเวลา	tepat pada masa	Saya menyiapkan tugas tepat pada masa.	tepat waktu	Saya menyelesaikan tugas tepat waktu.
按照	ตาม; ตามที่	แผนนี้ดีมาก คุณก็ทำตามแผนนี้เถอะ	menurut; mengikut	Rancangan ini sangat baik, ikutlah rancangan itu.	menurut; mengikuti	Rencana ini bagus, ikuti saja rencana itu.
百分之	เปอร์เซ็นต์	ภารกิจเสร็จไปแปดสิบเปอร์เซ็นต์แล้ว	peratus	Lapan puluh peratus tugas itu sudah selesai.	persen	Delapan puluh persen tugas itu sudah selesai.
棒	ยอดเยี่ยม; เยี่ยม	ลายมือของคุณเขียนได้ยอดเยี่ยมจริง ๆ	hebat; bagus	Tulisan tangan kamu memang hebat!	bagus; hebat	Tulisan tanganmu benar-benar bagus!
包子	ซาลาเปา	ซาลาเปาของร้านอาหารนี้รสชาติดีมาก	baozi; pau berinti	Pau berinti di restoran ini rasanya sangat sedap.	bakpao; baozi	Bakpao di restoran ini rasanya sangat enak.
保护	ปกป้อง; คุ้มครอง	ผู้คนควรปกป้องสิ่งแวดล้อม	melindungi	Orang ramai patut melindungi alam sekitar.	melindungi	Orang-orang seharusnya melindungi lingkungan.
保证	รับรอง; สัญญา	ฉันรับรองว่าต่อไปจะไม่มาสายอีก	menjamin; berjanji	Saya berjanji tidak akan lewat lagi selepas ini.	menjamin; berjanji	Saya berjanji tidak akan terlambat lagi.
报名	สมัคร; ลงทะเบียน	การสมัครต้องใช้เอกสารอะไรบ้าง?	mendaftar	Dokumen apa yang diperlukan untuk pendaftaran?	mendaftar	Pendaftaran memerlukan dokumen apa?
抱	กอด; อุ้ม	เขาอุ้มเด็กขึ้นมา	mendukung; memeluk	Dia mendukung anak itu.	memeluk; menggendong	Dia menggendong anak itu.
抱歉	ขอโทษ	ขอโทษมากที่ทำให้คุณรอนานขนาดนี้	maaf; berasa bersalah	Maaf kerana membuat anda menunggu begitu lama.	maaf; merasa bersalah	Maaf sekali karena membuat Anda menunggu begitu lama.
倍	เท่า	จำนวนนักศึกษาต่างชาติในโรงเรียนของเรามากกว่าปีที่แล้วหนึ่งเท่า	kali; gandaan	Jumlah pelajar antarabangsa di sekolah kami meningkat sekali ganda berbanding tahun lalu.	kali; lipat	Jumlah mahasiswa internasional di sekolah kami dua kali lebih banyak dibanding tahun lalu.
本来	เดิมที; แต่เดิม	เดิมทีฉันจะไปดูการแสดง แต่จู่ ๆ ก็มีธุระจนไปไม่ได้	pada asalnya; memang	Saya pada asalnya hendak menonton persembahan, tetapi tiba-tiba ada urusan dan tidak dapat pergi.	semula; tadinya	Tadinya saya mau menonton pertunjukan, tetapi tiba-tiba ada urusan sehingga tidak bisa pergi.
笨	โง่; ไม่ฉลาด	คุณไม่ได้โง่ เพียงแต่ต้องพยายามมากขึ้น	bodoh; kurang pandai	Kamu tidak bodoh, cuma perlu lebih berusaha.	bodoh; kurang pintar	Kamu tidak bodoh, hanya perlu lebih berusaha.
比如	เช่น; ตัวอย่างเช่น	ฉันมีงานอดิเรกหลายอย่าง เช่น ว่ายน้ำและอ่านหนังสือ	seperti; misalnya	Saya ada banyak hobi, seperti berenang dan membaca.	seperti; misalnya	Saya punya banyak hobi, misalnya berenang dan membaca.
毕业	เรียนจบ; สำเร็จการศึกษา	ปีนี้ฉันอยู่ปีสาม ปีหน้าจะเรียนจบ	bergraduasi; tamat pengajian	Tahun ini saya di tahun ketiga, tahun depan saya akan bergraduasi.	lulus; wisuda	Tahun ini saya kuliah tahun ketiga, tahun depan lulus.
遍	ครั้ง; รอบ	เขาพูดเรื่องนั้นซ้ำอีกครั้ง	kali; sekali	Dia mengulang perkara itu sekali lagi.	kali; sekali	Dia mengulangi hal itu sekali lagi.
标准	มาตรฐาน	ภาษาจีนกลางของคุณพูดได้มาตรฐานมาก	standard; piawai	Bahasa Mandarin kamu sangat standard.	standar	Bahasa Mandarinmu sangat standar.
