source_headword	IT	example_IT
absolutely	assolutamente	Sono assolutamente d'accordo con te.
academic	accademico	L'anno accademico inizia a settembre.
access	l'accesso	Gli studenti hanno bisogno di accesso alla biblioteca.
accommodation	l'alloggio	Abbiamo prenotato un alloggio vicino alla stazione.
account	il conto	Ha aperto un nuovo conto bancario.
achievement	il risultato	Completare il corso è stato un grande risultato.
ad	l'annuncio	L'annuncio mostrava un nuovo telefono.
addition	l'aggiunta	La piscina è un'aggiunta utile.
admire	ammirare	Ammiro il suo atteggiamento calmo.
admit	ammettere	Ha ammesso il suo errore.
advanced	avanzato	Questo è un corso di inglese avanzato.
advise	consigliare	I medici consigliano esercizio regolare.
afford	potersi permettere	Non possiamo permetterci un taxi.
aged	di anni	Il corso è per bambini di dieci anni.
agent	l'agente di viaggio	L'agente di viaggio ha cambiato i nostri biglietti.
agreement	l'accordo	Hanno raggiunto un accordo oggi.
ahead	davanti	La strada davanti è libera.
aim	mirare	Miriamo a finire presto.
alarm	l'allarme	L'allarme è suonato alle sei.
album	l'album	Questo album ha dieci canzoni.
alcohol	l'alcol	L'hotel non serve alcol.
alcoholic	alcolico	Questa bevanda non è alcolica.
amazed	stupito	Era stupita dal risultato.
ambition	l'ambizione	La sua ambizione è diventare pilota.
ambitious	ambizioso	Ha un piano ambizioso.
analyse	analizzare	Dobbiamo analizzare i risultati.
analysis	l'analisi	La sua analisi era chiara e attenta.
announce	annunciare	Annunceranno il vincitore domani.
announcement	l'annuncio	L'annuncio ha sorpreso tutti.
annoy	infastidire	La musica alta può infastidire i vicini.
annoyed	infastidito	Sembrava infastidito dopo il ritardo.
annoying	fastidioso	Quel suono è davvero fastidioso.
apart	a distanza	Le case sono a due metri di distanza.
apologize	scusarsi	Mi scuso per il ritardo.
application	la domanda	Completa la domanda online.
appointment	l'appuntamento	Ho un appuntamento dal dentista domani.
appreciate	apprezzare	Apprezzo il tuo aiuto.
approximately	circa	La passeggiata dura circa venti minuti.
arrest	arrestare	La polizia ha arrestato l'autista.
arrival	l'arrivo	Il nostro arrivo è stato più tardi del previsto.
assignment	il compito	Il compito è da consegnare venerdì.
assist	assistere	Gli infermieri assistono il medico.
atmosphere	l'atmosfera	Il caffè ha un'atmosfera rilassata.
attach	allegare	Allega il file alla tua email.
attitude	l'atteggiamento	Il suo atteggiamento è cambiato dopo la riunione.
attract	attirare	I fiori luminosi attirano le api.
attraction	l'attrazione	Il castello è un'attrazione popolare.
authority	l'autorità	L'autorità locale ha riparato la strada.
aware	consapevole	È consapevole del rischio.
backwards	all'indietro	Camminò all'indietro con attenzione.
bake	cuocere al forno	Preparo il pane al forno ogni domenica.
balance	l'equilibrio	Buone scarpe aiutano il tuo equilibrio.
ban	vietare	La città vieterà le auto.
bank (river)	la riva	Sedevamo sulla riva del fiume.
base	la base	La squadra tornò alla base.
basic	di base	Tutti hanno bisogno di competenze informatiche di base.
basis	la base	La fiducia è la base dell'amicizia.
battery	la batteria	La batteria del mio telefono è scarica.
battle	la battaglia	La battaglia durò tutta la notte.
beauty	la bellezza	Ammirammo la bellezza delle montagne.
bee	l'ape	Un'ape si posò sul fiore.
belief	la convinzione	La sua convinzione gli diede coraggio.
bell	la campana	La campana della scuola suonò forte.
bend	piegare	Piega le ginocchia quando sollevi.
bite	mordere	Il cane potrebbe mordere gli sconosciuti.
block	bloccare	Un albero caduto bloccò la strada.
bomb	la bomba	La bomba danneggiò diversi edifici.
border	il confine	Attraversarono il confine di notte.
bother	disturbare	Per favore non disturbare tua sorella.
branch	il ramo	Un ramo si spezzò nella tempesta.
brand	la marca	Questa marca è popolare tra gli studenti.
brave	coraggioso	L'uomo coraggioso salvò il bambino.
breath	il respiro	Fai un respiro profondo.
breathe	respirare	Non riesco a respirare in questo fumo.
breathing	il respiro	Il suo respiro era lento.
bride	la sposa	La sposa indossava un vestito bianco.
bubble	la bolla	Una bolla fluttuava sopra il bicchiere.
bury	seppellire	Seppellirono la scatola nella sabbia.
calm	calmo	Resta calmo durante l'esame.
campaign	la campagna	La campagna raccolse denaro per le scuole.
campus	il campus	Gli studenti vivono vicino al campus.
candidate	il candidato	Ogni candidato rispose a tre domande.
cap	il berretto	Indossava un berretto da baseball.
captain	il capitano	Il capitano parlò alla squadra.
careless	distratto	Un errore distratto ci costò tempo.
category	la categoria	Scegli la categoria corretta.
ceiling	il soffitto	Il soffitto fu dipinto di bianco.
celebration	la celebrazione	La celebrazione durò tutta la sera.
central	centrale	L'hotel ha una posizione centrale.
ceremony	la cerimonia	La cerimonia iniziò a mezzogiorno.
chain	la catena	Indossava una catena d'argento.
challenge	la sfida	Questo progetto è una vera sfida.
champion	il campione	Il campione ringraziò il suo allenatore.
channel	il canale	Cambia canale, per favore.
chapter	il capitolo	Leggi il prossimo capitolo stasera.
charge	il costo	Non c'è alcun costo per i bambini.
cheat	imbrogliare	Non imbrogliare durante il test.
cheerful	allegro	Sembrava allegra questa mattina.
chemical	chimico	L'odore chimico era forte.
chest	il petto	Gli faceva male il petto dopo la corsa.
childhood	l'infanzia	Ricordo la casa della mia infanzia.
claim	affermare	Affermano che il prodotto è sicuro.
clause	la clausola	Questa clausola cambia il significato.
click	cliccare	Clicca sul pulsante blu.
client	il cliente	Il cliente chiese più dettagli.
cloth	il panno	Pulisci il tavolo con questo panno.
clue	l'indizio	L'indizio ci aiutò a risolverlo.
coal	il carbone	Il vecchio treno usava carbone.
coin	la moneta	Trovò una moneta sul pavimento.
collection	la collezione	La sua collezione di francobolli è grande.
coloured	colorato	Indossava una sciarpa colorata.
combine	unire	Unisci la farina e l'acqua.
commercial	lo spot pubblicitario	La pausa pubblicitaria durò cinque minuti.
commit	impegnarsi	Dobbiamo impegnarci nel piano.
communication	la comunicazione	Una buona comunicazione previene gli errori.
comparison	il confronto	Questo confronto è utile.
competitive	competitivo	Il mercato è molto competitivo.
competitor	il concorrente	Il nostro principale concorrente abbassò i prezzi.
complaint	il reclamo	Fece un reclamo per il rumore.
complex	complesso	Le istruzioni sono troppo complesse.
concentrate	concentrarsi	Non riesco a concentrarmi con la musica accesa.
conclude	concludere	Concludiamo la riunione ora.
conclusion	la conclusione	La sua conclusione sembrava ragionevole.
confident	sicuro	Si sentiva sicura prima del colloquio.
confirm	confermare	Per favore conferma il tuo indirizzo email.
confuse	confondere	Questi due nomi mi confondono.
