simplified	ET	example_ET
啊	nõustumist või kinnitust näitav modaalsõna	Olgu, lähme siis nüüd.
阿姨	tädi; lapsehoidja; vanem naine	Tädi töötab suures poes.
矮	madal; lühike	See laud on natuke madal.
爱好	hobi; huvi	Minu hobi on muusika kuulamine.
安静	vaikne; rahulik	Raamatukogus on väga vaikne.
把	hoidma; haarama; objekti partikkel	Palun sulge uks.
搬	kolima; ümber tõstma	Me kolime homme.
班	klass; rühm	Meie klassis on kakskümmend õpilast.
办法	meetod; viis	See meetod on väga hea.
办公室	kontor; kabinet	Direktor on kontoris.
半	pool	Ootasin pool tundi.
帮忙	aitama; appi tulema	Kas saad aidata?
包	pakkima; hoidma; kott	Ta ostis uue koti.
饱	täis; kõht täis	Ma olen juba kõhu täis söönud.
北方	põhi; põhjaosa	Põhjas on talv väga külm.
被	passiivipartikkel; kellegi poolt	Sõber laenas mu jalgratta ära.
鼻子	nina	Tema nina on natuke punane.
比较	võrdlema; üsna	Täna on üsna palav.
比赛	mäng; võistlus	See mäng on väga tähtis.
笔记本	vihik	Panin vihiku lauale.
必须	pidama; vajalik	Sa pead hoolikalt kordama.
变化	muutus; muutuma	See linn on palju muutunud.
别人	teised inimesed	Ära võta teiste inimeste asju.
冰箱	külmkapp	Puuviljad on külmkapis.
不但…而且…	mitte ainult... vaid ka...	Ta pole mitte ainult tark, vaid ka töökas.
菜单	menüü	Palun andke mulle menüü.
参加	osalema; kaasa lööma	Ma tahan sellel koosolekul osaleda.
草	rohi	Kutsikas jookseb rohu peal.
层	korrus; kiht	Sellel hoonel on kolm korrust.
差	erinema; puuduma; halb	Täna on ilm halb.
超市	suur pood	Lähen suurde poodi leiba ostma.
衬衫	särk; pluus	See särk on väga puhas.
城市	linn	Peking on suur linn.
成绩	hinded; tulemused	Tema matemaatikahinded on väga head.
迟到	hiljaks jääma	Ära jää tundi hiljaks.
除了	peale; välja arvatud	Peale kohvi tahan ka teed.
船	paat; laev	Me läheme sellesse linna paadiga.
春	kevad	Kevadel on palju lilli.
词典	sõnaraamat	See sõnaraamat on väga kasulik.
聪明	tark; arukas	See laps on väga tark.
打扫	koristama; pühkima	Nädalavahetusel koristan tuba.
打算	plaanima; kavatsema	Mis plaanid sul homseks on?
带	kaasa võtma; tooma	Palun võtke pass kaasa.
担心	muretsema; mures	Ära muretse, ma aitan sind.
蛋糕	kook	See kook on väga magus.
当然	muidugi	Muidugi võid.
地	määrsõna partikkel	Ta naeratas rõõmsalt.
灯	lamp; tuli	Palun pane tuli põlema.
地方	koht; piirkond	See koht on väga rahulik.
地铁	metroo	Sõidan iga päev metrooga tööle.
地图	kaart	Otsin kooli kaardilt.
电梯	lift	Lift on vasakul.
电子邮件	e-kiri	Saadan õpetajale e-kirja.
东	ida	Päike tõuseb idast.
冬	talv	Talvel meeldib mulle kuuma teed juua.
动物	loom	Panda on Hiinas kuulus loom.
短	lühike	Need püksid on liiga lühikesed.
段	lõik; osa	Palun loe see lõik läbi.
锻炼	treenima; harjutama	Treenin igal hommikul.
多么	kui; kui väga	Kui hea on siin keskkond!
饿	näljane; nälga tundma	Mul on kõht tühi ja tahan leiba süüa.
耳朵	kõrv	Mu kõrv valutab natuke.
发	saatma; välja andma	Õhtul saadan e-kirju.
发烧	palavikus olema	Tal on palavik ja ta ei saa kooli minna.
发现	avastama; leidma	Avastasin, et see meetod on hea.
方便	mugav	Metrooga sõita on mugav.
放	panema; vabaks laskma	Palun pane raamat lauale.
放心	rahulik olema; mitte muretsema	Ära muretse, jõuan õigel ajal.
分	jagama; eraldama	Palun jaga kook kõigile.
复习	kordama; kordamine	Pean enne eksamit kordama.
附近	lähedal; ümbrus	Lähedal on restoran.
干净	puhas	See tuba on väga puhas.
感冒	külmetama; külmetus	Olen külmetunud ja tahan puhata.
感兴趣	huvituma	Mind huvitab hiina keel väga.
刚才	just praegu; hetk tagasi	Kes sulle just helistas?
个子	kasv; pikkus	Ta on pikk.
根据	vastavalt; põhjal	Kaardi järgi on kool idas.
跟	koos; järgnema	Lähen sõbraga parki.
更	veel rohkem; rohkem	Täna on veel külmem kui eile.
公斤	kilogramm	Need õunad kaaluvad ühe kilogrammi.
公园	park	Lapsed mängivad pargis.
故事	lugu	Vanaisa jutustab mulle loo.
刮风	tuul puhub	Täna puhub tuul; ära sõida jalgrattaga.
关	sulgema; välja lülitama	Palun sulge uks.
关系	suhe; seos	Minu suhe kolleegiga on hea.
关心	hoolima; muret tundma	Ema hoolib väga minu tervisest.
关于	kohta; seoses	See raamat räägib Hiina kultuurist.
国家	riik	Hiina on väga suur riik.
过	kogemuse partikkel	Olen Pekingis käinud.
过去	minevik; varem	Varem ei olnud siin metrood.
还是	või; siiski	Kas jood teed või kohvi?
害怕	kartma	Ma ei karda eksamit.
黑板	tahvel	Õpetaja kirjutab tahvlile märke.
后来	hiljem; pärast	Hiljem läksime parki.
护照	pass	Palun võtke pass kaasa.
96:花	kulutama; maksma	Telefoni ostmine maksis kaks tuhat jüaani.
97:花	lill	Laual on lill.
画	joonistama; pilt	Mu noorem õde armastab pandasid joonistada.
坏	halb; katki	Mu arvuti läks katki.
欢迎	tervitama; teretulemast	Tere tulemast minu koju.
环境	keskkond; olud	Selle kooli keskkond on väga hea.
还	tagastama	Palun tagasta mulle raamat homme.
换	vahetama; muutma	Tahan särgi ümber vahetada.
黄河	Kollane jõgi	Kollane jõgi on väga pikk.
回答	vastama; vastus	Palun vasta minu küsimusele.
会议	koosolek; konverents	Koosolek algab kell üheksa.
或者	või; võib-olla	Võid sõita metroo või bussiga.
几乎	peaaegu	Ta treenib peaaegu iga päev.
机会	võimalus; juhus	See on hea võimalus.
极	äärmiselt; väga	Ta on äärmiselt õnnelik.
季节	aastaaeg	Sügis on minu lemmikaastaaeg.
记得	mäletama	Kas mäletad krediitkaarti kaasa võtta?
检查	kontrollima; läbi vaatama	Arst vaatab mind läbi.
简单	lihtne	See lause on väga lihtne.
健康	tervis; terve	Liikumine on tervisele hea.
见面	kohtuma	Kohtume homme koolis.
讲	seletama; rääkima	Õpetaja seletab väga selgelt.
教	õpetama	Ta õpetab mind hiina märke kirjutama.
脚	jalg; jalalaba	Mu jalalaba valutab natuke.
角	nurk	Pood on tänavanurgal.
接	vastu võtma; peale võtma; vastama	Lähen lennujaama sõbrale vastu.
街道	tänav	See tänav on väga puhas.
结婚	abielluma	Nad abielluvad järgmisel aastal.
结束	lõppema; lõpetama	Mäng on juba lõppenud.
节目	saade	See telesaade on väga hea.
节日	püha; festival	Kevadpüha on tähtis Hiina püha.
解决	lahendama	See probleem on juba lahendatud.
借	laenama; laenuks andma	Tahan sinu sõnaraamatut laenata.
经常	tihti	Käin tihti raamatukogus.
经过	läbi minema; protsess	Lähen iga päev sellest pargist läbi.
经理	direktor; juhataja	Direktor on koosolekul.
久	kaua; pikk aeg	Elan siin juba kaua.
旧	vana; kasutatud	See riideese on väga vana.
句子	lause	Palun kirjuta üks lause.
决定	otsustama; otsus	Otsustasin hiina keelt õppida.
可爱	armas	See kass on väga armas.
