hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
5001:物体	物体	物体	obiekt; ciało fizyczne	Ten obiekt powoli zatonął w wodzie.	object; fysiek lichaam	Dit object zonk langzaam in het water.	föremål; fysisk kropp	Det här föremålet sjönk långsamt i vattnet.	gjenstand; fysisk legeme	Denne gjenstanden sank sakte i vannet.	genstand; fysisk legeme	Denne genstand sank langsomt i vandet.	esine; fyysinen kappale	Tämä esine upposi hitaasti veteen.
5005:喜剧	喜剧	喜剧	komedia	Ta komedia rozśmieszyła całą publiczność bez przerwy.	komedie	Deze komedie liet het hele publiek onafgebroken lachen.	komedi	Den här komedin fick hela publiken att skratta oavbrutet.	komedie	Denne komedien fikk hele publikum til å le uten stopp.	komedie	Denne komedie fik hele publikum til at grine uden ophør.	komedia	Tämä komedia sai koko yleisön nauramaan tauotta.
5006:喜事	喜事	喜事	radosne wydarzenie; uroczystość	W domu było radosne wydarzenie i wszyscy krewni przyszli z gratulacjami.	gelukkige gebeurtenis; viering	Er was thuis een gelukkige gebeurtenis, en alle familieleden kwamen feliciteren.	glad händelse; firande	Det var en glad händelse hemma, och alla släktingar kom för att gratulera.	gledelig begivenhet; feiring	Det var en gledelig begivenhet hjemme, og alle slektningene kom for å gratulere.	glædelig begivenhed; fejring	Der var en glædelig begivenhed hjemme, og alle slægtninge kom for at lykønske.	iloinen tapahtuma; juhla	Kotona oli iloinen tapahtuma, ja kaikki sukulaiset tulivat onnittelemaan.
5007:洗漱	洗漱	洗漱	umyć się; poranna toaleta	Ona wstaje codziennie o szóstej rano, żeby się umyć.	zich wassen; ochtendtoilet	Zij staat elke ochtend om zes uur op om zich te wassen.	tvätta sig; göra morgontoalett	Hon går upp klockan sex varje morgon för att tvätta sig.	vaske seg; morgenstell	Hun står opp klokken seks hver morgen for å vaske seg.	vaske sig; morgentoilette	Hun står op klokken seks hver morgen for at vaske sig.	peseytyä; aamutoimet	Hän nousee joka aamu kuudelta peseytymään.
5011:戏曲	戏曲	戏曲	tradycyjna opera chińska; lokalny teatr	Dziadek szczególnie lubi słuchać lokalnej opery.	traditionele Chinese opera; streekopera	Opa luistert vooral graag naar lokale opera.	traditionell kinesisk opera; lokal opera	Farfar tycker särskilt mycket om att lyssna på lokal opera.	tradisjonell kinesisk opera; lokal opera	Bestefar liker spesielt godt å høre på lokal opera.	traditionel kinesisk opera; lokal opera	Bedstefar kan især godt lide at lytte til lokal opera.	perinteinen kiinalainen ooppera; paikallisooppera	Ukki pitää erityisesti paikallisen oopperan kuuntelemisesta.
5014:下功夫	下功夫	下功夫	włożyć wysiłek; przyłożyć się	Ona jest gotowa włożyć wysiłek w dobre pisanie chińskich znaków.	moeite doen; zich inspannen	Zij is bereid moeite te doen om Chinese karakters goed te schrijven.	lägga ner arbete; anstränga sig	Hon är villig att lägga ner arbete på att skriva kinesiska tecken väl.	legge innsats i; jobbe hardt med	Hun er villig til å legge innsats i å skrive kinesiske tegn godt.	gøre sig umage; lægge arbejde i	Hun er villig til at gøre sig umage med at skrive kinesiske tegn godt.	nähdä vaivaa; panostaa	Hän on valmis näkemään vaivaa kirjoittaakseen kiinalaiset merkit hyvin.
5015:下单	下单	下单	złożyć zamówienie	Złożyłem już zamówienie online na podręcznik.	een bestelling plaatsen	Ik heb het leerboek al online besteld.	lägga en beställning	Jag har redan beställt läroboken på nätet.	legge inn en bestilling	Jeg har allerede bestilt læreboken på nettet.	afgive en ordre	Jeg har allerede bestilt lærebogen online.	tehdä tilaus	Olen jo tilannut oppikirjan verkossa.
5017:下线	下线	下线	wyłączyć; zakończyć działanie	Ta stara funkcja zostanie oficjalnie wyłączona jutro.	offline gaan; stopgezet worden	Deze oude functie wordt morgen officieel stopgezet.	tas offline; avvecklas	Den här gamla funktionen tas officiellt ur bruk i morgon.	tas av nett; avvikles	Denne gamle funksjonen blir offisielt avviklet i morgen.	gå offline; blive udfaset	Denne gamle funktion bliver officielt udfaset i morgen.	poistua käytöstä; mennä offline	Tämä vanha ominaisuus poistetaan virallisesti käytöstä huomenna.
5018:下旬	下旬	下旬	ostatnie dziesięć dni miesiąca	Wystawa zostanie otwarta pod koniec sierpnia.	laatste tien dagen van de maand	De tentoonstelling opent eind augustus.	sista tredjedelen av månaden	Utställningen öppnar i slutet av augusti.	siste tredjedel av måneden	Utstillingen åpner i slutten av august.	sidste tredjedel af måneden	Udstillingen åbner sidst i august.	kuukauden viimeinen kolmannes	Näyttely avataan elokuun lopulla.
5023:显	显	显	wydawać się; pokazywać	Ten strój sprawia, że wygląda energicznie.	lijken; tonen	Deze outfit laat hem energiek lijken.	verka; framstå	Den här klädseln får honom att verka energisk.	virke; se ut	Denne antrekket får ham til å se energisk ut.	virke; se ud	Denne påklædning får ham til at se energisk ud.	näyttää; vaikuttaa	Tämä asu saa hänet näyttämään energiseltä.
