simplified	PL	example_PL
哎	hej; ej	Hej, co cię tu sprowadza?
唉	ech; westchnienie	Ech, znowu się spóźniłem.
爱护	dbać o; chronić	Powinniśmy dbać o środowisko.
爱惜	cenić; szanować	Proszę cenić własny czas.
爱心	współczucie; dobre serce	Ona ma bardzo dobre serce.
安慰	pocieszać	Mój przyjaciel mnie pocieszył.
安装	instalować; montować	Pracownik montuje klimatyzator.
岸	brzeg	Łódź powoli zbliża się do brzegu.
暗	ciemny	W pokoju jest bardzo ciemno.
熬夜	zarywać noc; siedzieć do późna	Zarywanie nocy szkodzi zdrowiu.
把握	pewność; uchwycić	Nie jestem pewien, czy potrafię zrobić to dobrze.
摆	ustawiać; układać	Proszę równo ustawić krzesła.
办理	załatwiać; obsługiwać	Idę do banku załatwić sprawę.
傍晚	wieczór; pod wieczór	Wieczorem pójdziemy na spacer.
包裹	paczka; pakować	Otrzymałem paczkę.
包含	zawierać	Cena obejmuje śniadanie.
包括	obejmować; włączać	Opłata obejmuje obiad.
薄	cienki	Ta książka jest bardzo cienka.
保持	utrzymywać; zachować	Proszę zachować ciszę.
保存	zapisywać; przechowywać	Proszę zapisać ten plik.
保留	rezerwować; zachować	Proszę zarezerwować dla mnie miejsce.
保险	ubezpieczenie; bezpieczny	Kupiłem ubezpieczenie podróżne.
宝贝	skarb; kochanie	To mój skarb.
宝贵	cenny	Czas jest bardzo cenny.
报到	zarejestrować się; zameldować się	Nowi studenci przychodzą dziś do szkoły, żeby się zarejestrować.
报道	relacjonować; reportaż	Wiadomości zrelacjonowały tę sprawę.
报告	raport; referować	On wygłasza raport.
报社	redakcja gazety	Ona pracuje w redakcji gazety.
抱怨	narzekać	On ciągle narzeka, że ma za dużo pracy.
悲观	pesymistyczny	Nie bądź zbyt pesymistyczny.
背	plecy	On siedzi plecami do drzwi.
背景	tło; doświadczenie	Proszę krótko przedstawić swoje doświadczenie.
被子	kołdra	Kołdra jest bardzo ciepła.
本科	studia licencjackie; student studiów licencjackich	On jest studentem studiów licencjackich.
本领	umiejętność; zdolność	Nauczył się nowej umiejętności.
本质	istota; natura	Istota problemu jest bardzo prosta.
彼此	wzajemnie; siebie nawzajem	Powinniśmy się wzajemnie szanować.
比例	proporcja	Proporcja mężczyzn do kobiet jest mniej więcej taka sama.
必然	nieunikniony; z pewnością	Ciężka praca z pewnością przyniesie wyniki.
必要	konieczny; potrzeba	Nie ma potrzeby się martwić.
毕竟	w końcu; przecież	W końcu on jest jeszcze dzieckiem.
避免	unikać	Proszę unikać spóźnień.
编辑	redagować; redaktor	On odpowiada za redagowanie tego artykułu.
鞭炮	petardy	Podczas Święta Wiosny niektórzy odpalają petardy.
便	potem; zaraz po	Po jedzeniu poszedł na zajęcia.
辩论	debata; debatować	Oni debatują nad tym pytaniem.
标点	interpunkcja	Proszę zwrócić uwagę na interpunkcję.
标志	znak; symbol	Czerwone światło jest znakiem zatrzymania.
表达	wyrażać; przekazywać	On wyraził własny pogląd.
表面	powierzchnia	Powierzchnia stołu jest bardzo czysta.
表明	wskazywać; pokazywać	Wynik pokazuje, że on ma rację.
表情	wyraz twarzy	Jej wyraz twarzy jest bardzo poważny.
表现	występ; zachowanie	Dziś wypadł bardzo dobrze.
冰激凌	lody	Dzieci lubią jeść lody.
病毒	wirus	Ten rodzaj wirusa rozprzestrzenia się bardzo szybko.
播放	odtwarzać; nadawać	Proszę odtworzyć tę piosenkę.
玻璃	szkło	Szklanka się stłukła.
博物馆	muzeum	W ten weekend idziemy do muzeum.
脖子	szyja	Trochę boli mnie szyja.
不断	ciągle; nieustannie	Ceny ciągle rosną.
不见得	niekoniecznie	To niekoniecznie jest zła rzecz.
不耐烦	niecierpliwy	Po długim czekaniu zrobił się trochę niecierpliwy.
不要紧	nic nie szkodzi; nieważne	Nic nie szkodzi, to nie ma znaczenia.
补充	uzupełniać; dodać	Chciałbym dodać jedną opinię.
不安	niespokojny	Po usłyszeniu tej wiadomości poczuła niepokój.
不得了	bardzo poważny; straszny	Ta sprawa jest naprawdę poważna.
不然	w przeciwnym razie	Wyjdź szybko, w przeciwnym razie się spóźnisz.
不如	lepiej; nie dorównywać	Zamiast jechać, lepiej pójść pieszo.
不足	niewystarczający; brak	Tutaj nie ma wystarczająco dużo wody.
布	materiał; tkanina	Ten materiał jest bardzo miękki.
步骤	krok; procedura	Proszę działać zgodnie z krokami.
部门	dział; departament	Pracuję w dziale sprzedaży.
财产	majątek; własność	Ten dom jest jego własnością.
彩虹	tęcza	Po deszczu pojawiła się tęcza.
踩	deptać	Nie depcz trawy.
采访	przeprowadzać wywiad	Reporter przeprowadza wywiad z lekarzem.
采取	podjąć; zastosować	Zastosowaliśmy nową metodę.
参考	odniesienie; konsultować	Proszę odnieść się do tej książki.
参与	uczestniczyć	On aktywnie uczestniczy w zajęciach.
惭愧	wstydzić się	Wstydzę się własnego błędu.
操场	boisko	Uczniowie biegają po boisku.
操心	martwić się	Nie martw się o mnie.
册	tom; książeczka	Kupiłem jeden tom książki.
测验	test	Jutro jest mały test.
曾经	kiedyś; niegdyś	Kiedyś mieszkałem w Pekinie.
叉子	widelec	Jem sałatkę widelcem.
差距	różnica; przepaść	Istnieje różnica między miastem a wsią.
插	wkładać; wetknąć	Proszę włożyć kwiaty do wazonu.
拆	rozbierać; demontować	Robotnicy rozbierają stary dom.
产品	produkt	Ten produkt jest bardzo dobrej jakości.
产生	powstawać; wywoływać	Ta kwestia wywołała nowy skutek.
常识	zdrowy rozsądek; wiedza ogólna	To podstawowa wiedza ogólna.
长途	daleka podróż	Daleka podróż jest męcząca.
抄	przepisywać; ściągać	Proszę nie przepisywać pracy domowej innych.
超级	super-; wyjątkowo	To jest supermarket.
朝	dynastia	Dynastia Tang jest bardzo sławna.
潮湿	wilgotny	Lata na południu są bardzo wilgotne.
吵	hałasować; głośny	Na zewnątrz jest bardzo głośno.
吵架	kłócić się	Oni znowu się pokłócili.
炒	smażyć na patelni	Mama smaży jedzenie.
车库	garaż	Samochód stoi w garażu.
车厢	wagon	Ten wagon pociągu jest bardzo cichy.
彻底	dokładny; całkowicie	On dokładnie zrozumiał.
沉默	milczeć; milczący	Przez cały czas milczał.
趁	korzystając z; póki	Wyjdźmy, póki jeszcze nie jest ciemno.
称	ważyć; nazywać	Proszę zważyć tę paczkę.
