hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
5001:物体	物体	物体	వస్తువు; భౌతిక దేహం	ఈ వస్తువు నీటిలో మెల్లగా మునిగింది.	ವಸ್ತು; ಭೌತಿಕ ದೇಹ	ಈ ವಸ್ತು ನೀರಿನಲ್ಲಿ ನಿಧಾನವಾಗಿ ಮುಳುಗಿತು.
5005:喜剧	喜剧	喜剧	కామెడీ; హాస్య నాటకం	ఈ కామెడీ మొత్తం ప్రేక్షకులను ఆపకుండా నవ్వించింది.	ಹಾಸ್ಯ; ಹಾಸ್ಯ ನಾಟಕ	ಈ ಹಾಸ್ಯ ನಾಟಕವು ಎಲ್ಲಾ ಪ್ರೇಕ್ಷಕರನ್ನು ನಿರಂತರವಾಗಿ ನಗಿಸಿತು.
5006:喜事	喜事	喜事	శుభకార్యం; ఆనందకర సంఘటన	ఇంట్లో శుభకార్యం ఉండటంతో బంధువులు అందరూ అభినందించడానికి వచ్చారు.	ಶುಭಕಾರ್ಯ; ಸಂತೋಷದ ಘಟನೆ	ಮನೆಯಲ್ಲಿ ಶುಭಕಾರ್ಯ ಇದ್ದುದರಿಂದ ಬಂಧುಗಳು ಎಲ್ಲರೂ ಅಭಿನಂದಿಸಲು ಬಂದರು.
5007:洗漱	洗漱	洗漱	ముఖం కడుక్కోవడం; శుభ్రం చేసుకోవడం	ఆమె ప్రతిరోజూ ఉదయం ఆరు గంటలకు లేచి శుభ్రం చేసుకుంటుంది.	ಮುಖ ತೊಳೆಯುವುದು; ಸ್ವಚ್ಛಗೊಳ್ಳುವುದು	ಅವಳು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಆರು ಗಂಟೆಗೆ ಎದ್ದು ಸ್ವಚ್ಛಗೊಳ್ಳುತ್ತಾಳೆ.
5011:戏曲	戏曲	戏曲	సాంప్రదాయ చైనీస్ ఓపెరా	తాతయ్యకు స్థానిక సాంప్రదాయ ఓపెరా వినడం చాలా ఇష్టం.	ಸಾಂಪ್ರದಾಯಿಕ ಚೀನೀ ಓಪೆರಾ	ಅಜ್ಜನಿಗೆ ಸ್ಥಳೀಯ ಸಾಂಪ್ರದಾಯಿಕ ಓಪೆರಾ ಕೇಳುವುದು ತುಂಬ ಇಷ್ಟ.
5014:下功夫	下功夫	下功夫	శ్రమ పెట్టడం; కృషి చేయడం	ఆమె చైనీస్ అక్షరాలను బాగా రాయడానికి శ్రమ పెట్టడానికి సిద్ధంగా ఉంది.	ಶ್ರಮ ಹಾಕುವುದು; ಪ್ರಯತ್ನಿಸುವುದು	ಅವಳು ಚೀನೀ ಅಕ್ಷರಗಳನ್ನು ಚೆನ್ನಾಗಿ ಬರೆಯಲು ಶ್ರಮ ಹಾಕಲು ಸಿದ್ಧಳಿದ್ದಾಳೆ.
5015:下单	下单	下单	ఆర్డర్ పెట్టడం	నేను పాఠ్యపుస్తకాన్ని ఇప్పటికే ఆన్‌లైన్‌లో ఆర్డర్ పెట్టాను.	ಆರ್ಡರ್ ಮಾಡುವುದು	ನಾನು ಪಾಠಪುಸ್ತಕವನ್ನು ಈಗಾಗಲೇ ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಆರ್ಡರ್ ಮಾಡಿದ್ದೇನೆ.
5017:下线	下线	下线	ఆఫ్‌లైన్ కావడం; నిలిపివేయడం	ఈ పాత ఫీచర్ రేపు అధికారికంగా నిలిపివేయబడుతుంది.	ಆಫ್‌ಲೈನ್ ಆಗುವುದು; ಸ್ಥಗಿತಗೊಳಿಸುವುದು	ಈ ಹಳೆಯ ವೈಶಿಷ್ಟ್ಯ ನಾಳೆ ಅಧಿಕೃತವಾಗಿ ಸ್ಥಗಿತಗೊಳ್ಳುತ್ತದೆ.
5018:下旬	下旬	下旬	నెల చివరి పది రోజులు	ప్రదర్శన ఆగస్టు చివరి పది రోజుల్లో ప్రారంభమవుతుంది.	ತಿಂಗಳ ಕೊನೆಯ ಹತ್ತು ದಿನಗಳು	ಪ್ರದರ್ಶನ ಆಗಸ್ಟ್ ತಿಂಗಳ ಕೊನೆಯ ಹತ್ತು ದಿನಗಳಲ್ಲಿ ಆರಂಭವಾಗುತ್ತದೆ.
5023:显	显	显	కనిపించడం; చూపించడం	ఈ దుస్తులు అతను ఉత్సాహంగా కనిపించేలా చేస్తాయి.	ಕಾಣಿಸುವುದು; ತೋರುವುದು	ಈ ಉಡುಪು ಅವನು ಉತ್ಸಾಹಭರಿತನಾಗಿ ಕಾಣುವಂತೆ ಮಾಡುತ್ತದೆ.
5024:险	险	险	ప్రమాదకరమైన; కొద్ది తేడాతో	పర్వత మార్గం చాలా ప్రమాదకరం, కాబట్టి కారు నెమ్మదిగా నడపండి.	ಅಪಾಯಕಾರಿ; ಕಷ್ಟಪಟ್ಟು	ಪರ್ವತದ ರಸ್ತೆ ತುಂಬ ಅಪಾಯಕಾರಿ, ಆದ್ದರಿಂದ ಕಾರನ್ನು ಸ್ವಲ್ಪ ನಿಧಾನವಾಗಿ ಓಡಿಸಿ.
5026:限	限	限	పరిమితం చేయడం; నియంత్రించడం	ప్రతి వ్యక్తి రెండు టిక్కెట్లు మాత్రమే కొనడానికి పరిమితం.	ಮಿತಿಗೊಳಿಸುವುದು; ನಿಯಂತ್ರಿಸುವುದು	ಪ್ರತಿ ವ್ಯಕ್ತಿಗೆ ಎರಡು ಟಿಕೆಟ್‌ಗಳನ್ನು ಮಾತ್ರ ಖರೀದಿಸಲು ಮಿತಿ ಇದೆ.
5027:线	线	线	గీత; దారం	దయచేసి ఈ గీత వెంట కత్తిరించండి.	ಗೆರೆ; ದಾರ	ದಯವಿಟ್ಟು ಈ ಗೆರೆಯಂತೆ ಕತ್ತರಿಸಿ.
5028:现存	现存	现存	ప్రస్తుతం ఉన్న; ప్రస్తుతం భద్రపరచబడిన	ప్రస్తుతం ఉన్న 자료ాలు ఈ నిర్ణయాన్ని నిరూపించడానికి సరిపోవు.	ಪ್ರಸ್ತುತ ಇರುವ; ಉಳಿದಿರುವ	ಪ್ರಸ್ತುತ ಇರುವ ಮಾಹಿತಿಗಳು ಈ ತೀರ್ಮಾನವನ್ನು ಸಾಬೀತುಪಡಿಸಲು ಸಾಕಾಗುವುದಿಲ್ಲ.
5029:限度	限度	限度	పరిమితి; హద్దు	అతని సహనం ఇప్పటికే పరిమితికి చేరుకుంది.	ಮಿತಿ; ಮಟ್ಟ	ಅವನ ಸಹನೆ ಈಗಾಗಲೇ ಮಿತಿಗೆ ತಲುಪಿದೆ.
5030:现货	现货	现货	స్టాక్‌లో ఉన్న సరుకు	ఈ ఫోన్ స్టాక్‌లో ఉంది, ఈరోజే పంపించవచ్చు.	ಸ್ಟಾಕ್‌ನಲ್ಲಿರುವ ಸರಕು	ಈ ಫೋನ್ ಸ್ಟಾಕ್‌ನಲ್ಲಿ ಇದೆ, ಇಂದುಲೇ ಕಳುಹಿಸಬಹುದು.
5033:限于	限于	限于	పరిమితమై ఉండటం	నమోదు సంఖ్య ముప్పై మందికి పరిమితం.	ಸೀಮಿತವಾಗಿರುವುದು	ನೋಂದಣಿ ಮೂವತ್ತು ಜನರಿಗೆ ಸೀಮಿತವಾಗಿದೆ.
5036:相传	相传	相传	అంటారు; పురాణం ప్రకారం	ఈ వంతెనకు మూడు వందల సంవత్సరాల చరిత్ర ఉందని అంటారు.	ಎಂದು ಹೇಳಲಾಗುತ್ತದೆ; ಜನಪ್ರಚಾರದ ಪ್ರಕಾರ	ಈ ಸೇತುವೆಗೆ ಮೂರು ನೂರು ವರ್ಷಗಳ ಇತಿಹಾಸ ಇದೆ ಎಂದು ಹೇಳಲಾಗುತ್ತದೆ.
5038:相连	相连	相连	కలిసివుండడం; అనుసంధానించబడటం	రెండు నగరాలు హైస్పీడ్ రైలుతో అనుసంధానించబడ్డాయి.	ಸಂಪರ್ಕಿತವಾಗಿರುವುದು; ಜೋಡಿಸಲಾಗಿರುವುದು	ಎರಡು ನಗರಗಳು ವೇಗದ ರೈಲಿನಿಂದ ಸಂಪರ್ಕಿತವಾಗಿವೆ.
5039:香水	香水	香水	సువాసన ద్రవ్యం; పరిమళం	ఆమెకు వాసన చాలా గట్టిగా ఉండే పరిమళం ఇష్టం లేదు.	ಸುಗಂಧ ದ್ರವ್ಯ; ಪರಿಮಳ	ಅವಳಿಗೆ ವಾಸನೆ ತುಂಬ ಗಟ್ಟಿಯಾದ ಸುಗಂಧ ದ್ರವ್ಯ ಇಷ್ಟವಿಲ್ಲ.
5052:小偷儿	小偷儿	小偷儿	దొంగ	ఆ దొంగను పోలీసులు త్వరగా పట్టుకున్నారు.	ಕಳ್ಳ	ಆ ಕಳ್ಳನನ್ನು ಪೊಲೀಸರು ಬೇಗ ಹಿಡಿದರು.
5053:笑容	笑容	笑容	చిరునవ్వు	ఆమె ముఖంలోని చిరునవ్వు అందరికీ ధైర్యం ఇచ్చింది.	ಮಂದಹಾಸ; ನಗು	ಅವಳ ಮುಖದ ಮಂದಹಾಸ ಎಲ್ಲರಿಗೂ ನೆಮ್ಮದಿ ನೀಡಿತು.
5054:效应	效应	效应	ప్రభావం	ఈ విధానపు ప్రభావాన్ని ఇంకా గమనించాలి.	ಪರಿಣಾಮ	ಈ ನೀತಿಯ ಪರಿಣಾಮವನ್ನು ಇನ್ನೂ ಗಮನಿಸಬೇಕು.
5060:心爱	心爱	心爱	ప్రియమైన; ఇష్టమైన	అతను తన ప్రియమైన కెమెరాను ప్రయాణానికి తీసుకెళ్లాడు.	ಪ್ರಿಯ; ನೆಚ್ಚಿನ	ಅವನು ತನ್ನ ನೆಚ್ಚಿನ ಕ್ಯಾಮೆರಾವನ್ನು ಪ್ರಯಾಣಕ್ಕೆ ತೆಗೆದುಕೊಂಡು ಹೋದನು.
