source_headword	BN	example_BN
absolutely	একেবারে	আমি তোমার সঙ্গে একেবারে একমত।
academic	একাডেমিক	একাডেমিক বছর সেপ্টেম্বরে শুরু হয়।
access	প্রবেশাধিকার	শিক্ষার্থীদের গ্রন্থাগারে প্রবেশাধিকার দরকার।
accommodation	থাকার ব্যবস্থা	আমরা স্টেশনের কাছে থাকার ব্যবস্থা বুক করেছি।
account	হিসাব	সে একটি নতুন ব্যাংক হিসাব খুলেছে।
achievement	অর্জন	কোর্স শেষ করা বড় অর্জন ছিল।
ad	বিজ্ঞাপন	বিজ্ঞাপনটি একটি নতুন ফোন দেখিয়েছে।
addition	সংযোজন	পুলটি একটি উপকারী সংযোজন।
admire	প্রশংসা করা	আমি তার শান্ত মনোভাবের প্রশংসা করি।
admit	স্বীকার করা	সে নিজের ভুল স্বীকার করল।
advanced	উন্নত	এটি একটি উন্নত ইংরেজি ক্লাস।
advise	পরামর্শ দেওয়া	ডাক্তাররা নিয়মিত ব্যায়ামের পরামর্শ দেন।
afford	সামর্থ্য থাকা	আমরা ট্যাক্সির খরচ বহন করতে পারি না।
aged	বয়সী	কোর্সটি দশ বছর বয়সী শিশুদের জন্য।
agent	এজেন্ট	ভ্রমণ এজেন্ট আমাদের টিকিট বদলাল।
agreement	চুক্তি	তারা আজ একটি চুক্তিতে পৌঁছেছে।
ahead	সামনে	সামনের রাস্তা পরিষ্কার।
aim	লক্ষ্য করা	আমরা শিগগির শেষ করার লক্ষ্য রাখি।
alarm	অ্যালার্ম	অ্যালার্মটি ছয়টায় বেজে উঠল।
album	অ্যালবাম	এই অ্যালবামে দশটি গান আছে।
alcohol	মদ	হোটেলটি মদ পরিবেশন করে না।
alcoholic	মাদকযুক্ত	এই পানীয়টি মাদকযুক্ত নয়।
amazed	বিস্মিত	সে ফলাফলে বিস্মিত হয়েছিল।
ambition	উচ্চাকাঙ্ক্ষা	তার উচ্চাকাঙ্ক্ষা পাইলট হওয়া।
ambitious	উচ্চাকাঙ্ক্ষী	তার একটি উচ্চাকাঙ্ক্ষী পরিকল্পনা আছে।
analyse	বিশ্লেষণ করা	আমাদের ফলাফল বিশ্লেষণ করতে হবে।
analysis	বিশ্লেষণ	তার বিশ্লেষণ স্পষ্ট এবং সতর্ক ছিল।
announce	ঘোষণা করা	তারা কাল বিজয়ীর নাম ঘোষণা করবে।
announcement	ঘোষণা	ঘোষণাটি সবাইকে অবাক করল।
annoy	বিরক্ত করা	জোরে গান প্রতিবেশীদের বিরক্ত করতে পারে।
annoyed	বিরক্ত	বিলম্বের পর তাকে বিরক্ত দেখাচ্ছিল।
annoying	বিরক্তিকর	ওই শব্দটি সত্যিই বিরক্তিকর।
apart	দূরে	বাড়িগুলো দুই মিটার দূরে।
apologize	ক্ষমা চাওয়া	দেরি করার জন্য আমি ক্ষমা চাই।
application	আবেদন	অনলাইনে আবেদনটি পূরণ করুন।
appointment	অ্যাপয়েন্টমেন্ট	আগামীকাল আমার দাঁতের ডাক্তারের অ্যাপয়েন্টমেন্ট আছে।
appreciate	কৃতজ্ঞ হওয়া	আপনার সাহায্যের জন্য আমি কৃতজ্ঞ।
approximately	প্রায়	হাঁটতে প্রায় বিশ মিনিট লাগে।
arrest	গ্রেপ্তার করা	পুলিশ চালককে গ্রেপ্তার করল।
arrival	আগমন	আমাদের আগমন প্রত্যাশার চেয়ে দেরিতে হলো।
assignment	নির্ধারিত কাজ	নির্ধারিত কাজটি শুক্রবার জমা দিতে হবে।
assist	সহায়তা করা	নার্সরা ডাক্তারকে সহায়তা করেন।
atmosphere	পরিবেশ	ক্যাফেটির পরিবেশ আরামদায়ক।
attach	সংযুক্ত করা	ফাইলটি তোমার ইমেইলে সংযুক্ত করো।
attitude	মনোভাব	বৈঠকের পরে তার মনোভাব বদলাল।
attract	আকর্ষণ করা	উজ্জ্বল ফুল মৌমাছি আকর্ষণ করে।
attraction	আকর্ষণ	দুর্গটি জনপ্রিয় আকর্ষণ।
authority	কর্তৃপক্ষ	স্থানীয় কর্তৃপক্ষ রাস্তা মেরামত করল।
aware	সচেতন	সে ঝুঁকি সম্পর্কে সচেতন।
backwards	পেছনের দিকে	সে সাবধানে পেছনের দিকে হাঁটল।
bake	বেক করা	আমি প্রতি রবিবার রুটি বেক করি।
balance	ভারসাম্য	ভালো জুতা তোমার ভারসাম্যে সাহায্য করে।
ban	নিষিদ্ধ করা	শহরটি গাড়ি নিষিদ্ধ করবে।
bank (river)	নদীর পাড়	আমরা নদীর পাড়ে বসেছিলাম।
base	ঘাঁটি	দলটি ঘাঁটিতে ফিরে গেল।
basic	মৌলিক	সবার মৌলিক কম্পিউটার দক্ষতা দরকার।
basis	ভিত্তি	বিশ্বাস বন্ধুত্বের ভিত্তি।
battery	ব্যাটারি	আমার ফোনের ব্যাটারি কম।
battle	যুদ্ধ	যুদ্ধটি সারা রাত চলেছিল।
beauty	সৌন্দর্য	আমরা পাহাড়ের সৌন্দর্য উপভোগ করলাম।
bee	মৌমাছি	একটি মৌমাছি ফুলে বসেছিল।
belief	বিশ্বাস	তার বিশ্বাস তাকে সাহস দিল।
bell	ঘণ্টা	স্কুলের ঘণ্টা জোরে বাজল।
bend	বাঁকানো	তোলার সময় হাঁটু বাঁকাও।
bite	কামড়ানো	কুকুরটি অপরিচিতদের কামড়াতে পারে।
block	বাধা দেওয়া	পড়ে থাকা গাছটি রাস্তা বন্ধ করল।
bomb	বোমা	বোমাটি কয়েকটি ভবন ক্ষতিগ্রস্ত করল।
border	সীমান্ত	তারা রাতে সীমান্ত পার হলো।
bother	বিরক্ত করা	দয়া করে তোমার বোনকে বিরক্ত করো না।
branch	ডাল	ঝড়ে একটি ডাল ভেঙে গেল।
brand	ব্র্যান্ড	এই ব্র্যান্ডটি শিক্ষার্থীদের কাছে জনপ্রিয়।
brave	সাহসী	সাহসী মানুষটি শিশুটিকে বাঁচাল।
breath	শ্বাস	একটি গভীর শ্বাস নাও।
breathe	শ্বাস নেওয়া	এই ধোঁয়ায় আমি শ্বাস নিতে পারি না।
breathing	শ্বাসপ্রশ্বাস	তার শ্বাসপ্রশ্বাস ধীর ছিল।
bride	কনে	কনে সাদা পোশাক পরেছিল।
bubble	বুদবুদ	একটি বুদবুদ গ্লাসের ওপরে ভাসল।
bury	পুঁতে রাখা	তারা বাক্সটি বালিতে পুঁতে রাখল।
calm	শান্ত	পরীক্ষার সময় শান্ত থাকো।
campaign	প্রচারাভিযান	প্রচারাভিযানটি স্কুলের জন্য টাকা তুলল।
campus	ক্যাম্পাস	শিক্ষার্থীরা ক্যাম্পাসের কাছে থাকে।
