source_headword	RU	example_RU
hunt	искать	Осенью они ищут грибы.
hurricane	ураган	Ураган повредил много домов.
hurry	спешка	Сегодня нет спешки.
identity	личность	Ее личность оставалась тайной.
ignore	игнорировать	Не игнорируй это предупреждение.
illegal	незаконный	Здесь парковаться незаконно.
imaginary	воображаемый	В истории есть воображаемый остров.
immediate	немедленный	Нам нужен немедленный ответ.
immigrant	иммигрант	Иммигрант быстро выучил английский.
impact	влияние	Новость оказала сильное влияние.
import	импортировать	Страна будет импортировать больше риса.
importance	важность	Она поняла важность сна.
impression	впечатление	Первое впечатление было положительным.
impressive	впечатляющий	У музея впечатляющий вход.
improvement	улучшение	В этом месяце было явное улучшение.
incredibly	невероятно	Тест был невероятно трудным.
indeed	действительно	Это был действительно странный день.
indicate	указывать	Знак укажет выход.
indirect	косвенный	Она дала косвенный ответ.
indoor	в помещении	В отеле есть бассейн в помещении.
indoors	в помещении	Во время шторма мы оставались в помещении.
influence	влияние	Его учитель оказал сильное влияние.
ingredient	ингредиент	Мука главный ингредиент.
injure	травмировать	Не травмируй спину.
injured	травмированный	Травмированный игрок покинул поле.
innocent	невиновный	Ребенок выглядел совершенно невиновным.
intelligence	ум	Она проявила большой ум в классе.
intend	намереваться	Я намерен учиться за границей.
intention	намерение	Его намерение было помочь.
invest	инвестировать	Они инвестируют деньги в образование.
investigate	расследовать	Полиция расследует аварию.
involved	вовлеченный	Несколько студентов были вовлечены.
iron	железо	Ворота сделаны из железа.
issue	вопрос	Это серьезный вопрос.
IT	айти	Она работает в айти.
journal	дневник	Он пишет в дневнике.
judge	судья	Судья внимательно слушал.
keen	стремящийся	Она стремится учиться.
keyboard	клавиатура	Моя клавиатура перестала работать.
kick	пинать	Пни мяч мягко.
killing	убийство	Убийство потрясло деревню.
kind (caring)	добрый	Это был добрый поступок.
kiss	поцелуй	Она поцеловала ребенка.
label	этикетка	Прочитай этикетку перед использованием.
laboratory	лаборатория	Лаборатория сегодня закрыта.
lack	нехватка	Нехватка сна вредит памяти.
latest	последний	Ты прочитал последний отчет?
lay	положить	Положи книгу на стол.
layer	слой	Добавь еще один слой краски.
leading	ведущий	Она ведущий ученый.
leaf	лист	Лист упал на мое пальто.
leather	кожа	Его сумка сделана из кожи.
legal	юридический	Нам нужен юридический совет.
leisure	досуг	Чтение мое любимое занятие досуга.
length	длина	Измерь длину комнаты.
lie2 (tell a lie)	лгать	Не лги родителям.
limit	предел	Предел скорости пятьдесят.
lip	губа	Она прикусила губу.
liquid	жидкость	Вода прозрачная жидкость.
literature	литература	Она изучает французскую литературу.
live2	вживую	Группа играла вживую вчера вечером.
living	живой	Живым растениям нужен свет.
locate	найти	Можешь найти файл?
located	расположенный	Офис расположен в центре.
location	местоположение	Это хорошее местоположение.
lonely	одинокий	После переезда он чувствовал себя одиноким.
loss	потеря	Потеря была тяжелой для всех.
luxury	роскошь	Отель предлагает настоящую роскошь.
mad	злой	Она злилась из-за задержки.
magic	магия	Шоу было полно магии.
mainly	главным образом	Группа состоит главным образом из студентов.
mall	торговый центр	Мы встретились в торговом центре.
management	управление	Хорошее управление экономит время.
marketing	маркетинг	Маркетинг помогает продавать продукт.
marriage	брак	Их брак длился тридцать лет.
meanwhile	тем временем	Я тем временем готовил ужин.
measure	измерять	Тщательно измерь стол.
medium	средний	Я заказал среднюю пиццу.
mental	психический	Стресс влияет на психическое здоровье.
mess	беспорядок	Убери этот беспорядок.
mild	мягкий	У супа мягкий вкус.
mine (hole in the ground)	шахта	Шахта закрылась в прошлом году.
mix	смешивать	Смешай яйца с молоком.
mixture	смесь	Смесь стала густой.
mood	настроение	Музыка изменила ее настроение.
mud	грязь	Его обувь была покрыта грязью.
murder	убийство	Убийство произошло ночью.
muscle	мышца	Упражнения развивают мышцы.
mystery	тайна	Старый дом остается тайной.
nail	ноготь	Я сломал ноготь.
narrative	повествование	У романа ясное повествование.
nation	нация	Вся нация праздновала.
native	родной	Испанский ее родной язык.
naturally	естественно	Дети естественно учатся через игру.
