source_headword	TH	example_TH
abolish	ยกเลิก	กฎหมายจะยกเลิกค่าธรรมเนียมเก่า.
abortion	การทำแท้ง	การทำแท้งยังคงเป็นประเด็นทางการแพทย์ที่ละเอียดอ่อน.
absence	การขาด	การขาดหายไปของเธอทำให้การตัดสินใจขั้นสุดท้ายล่าช้า.
absent	ขาด	สมาชิกสองคนขาดเรียน.
absurd	ไร้สาระ	ข้ออ้างนั้นฟังดูไร้สาระสำหรับทุกคน.
abundance	ความอุดมสมบูรณ์	หุบเขานี้มีความอุดมสมบูรณ์ของน้ำ.
abuse	การล่วงละเมิด	รายงานอธิบายถึงการล่วงละเมิดในที่ทำงาน.
academy	สถาบัน	สถาบันแห่งนี้ฝึกนักดนตรีรุ่นเยาว์.
accelerate	เร่ง	เงินทุนใหม่จะเร่งการวิจัย.
acceptance	การยอมรับ	การยอมรับคำวิจารณ์ของเขาทำให้ฉันประทับใจ.
accessible	เข้าถึงได้	พิพิธภัณฑ์แห่งนี้ผู้ใช้รถเข็นสามารถเข้าถึงได้.
accomplishment	ความสำเร็จ	การเขียนหนังสือจนจบถือเป็นความสำเร็จที่แท้จริง.
accordance	ความสอดคล้อง	งานได้ทำไปตามนโยบาย.
accordingly	ตามนั้น	หลักฐานเปลี่ยนไปและเราก็ปฏิบัติตามนั้น.
accountability	ความรับผิดชอบ	นโยบายนี้เพิ่มความรับผิดชอบให้กับผู้จัดการ.
accountable	มีความรับผิดชอบ	ผู้จัดการมีความรับผิดชอบต่อความปลอดภัย.
accumulate	สะสม	ฝุ่นอาจสะสมอยู่หลังหน้าจอ.
accumulation	การสะสม	การสะสมข้อมูลใช้เวลาหลายเดือน.
accusation	ข้อกล่าวหา	ข้อกล่าวหาทำให้คณะกรรมการตกใจ.
accused	ผู้จำเลย	ผู้จำเลยปรากฏตัวในศาล.
acquisition	การเข้าซื้อกิจการ	การเข้าซื้อกิจการทำให้บริษัทขยายตัวอย่างรวดเร็ว.
acre	เอเคอร์	ฟาร์มครอบคลุมพื้นที่หนึ่งเอเคอร์.
activation	การเปิดใช้งาน	การเปิดใช้งานบัตรใช้เวลาไม่กี่นาที.
activist	นักกิจกรรม	นักกิจกรรมพูดในการชุมนุม.
acute	รุนแรง	เธอรู้สึกปวดอย่างรุนแรงหลังจากการวิ่ง.
adaptation	การดัดแปลง	การดัดแปลงเปลี่ยนตอนจบของนวนิยาย.
adhere	ยึดมั่น	พนักงานต้องปฏิบัติตามกฎระเบียบด้านความปลอดภัย.
adjacent	ติดกัน	โรงแรมอยู่ติดกับสถานี.
adjustment	การปรับเปลี่ยน	การปรับเปลี่ยนเล็กน้อยช่วยแก้ปัญหาได้.
administer	บริหาร	พยาบาลฉีดวัคซีนอย่างระมัดระวัง.
