source_headword	MY	example_MY
ability	စွမ်းရည်; အစွမ်း	သူမရဲ့ ရေကူးစွမ်းရည်က ထင်ရှားတယ်။
able	တတ်နိုင်သော; စွမ်းနိုင်သော	သူ ဒီနေ့ လာနိုင်တယ်။
abroad	နိုင်ငံခြားမှာ	သူမ နိုင်ငံခြားမှာ ပညာသင်ချင်တယ်။
accept	လက်ခံသည်	ဒီလက်ဆောင်လေးကို လက်ခံပါ။
accident	မတော်တဆမှု	မတော်တဆမှုက ကျောင်းနားမှာ ဖြစ်ခဲ့တယ်။
according to	အရ; အဆိုအရ	အစီရင်ခံစာအရ မိုးရွာမယ်။
achieve	ရရှိအောင်မြင်သည်	မင်းရဲ့ ရည်မှန်းချက်ကို ရရှိနိုင်တယ်။
act	သရုပ်ဆောင်သည်; လုပ်ဆောင်သည်	သူက ပြဇာတ်ထဲမှာ သရုပ်ဆောင်နိုင်တယ်။
active	တက်ကြွသော	သူမ နေ့တိုင်း တက်ကြွတယ်။
actually	တကယ်တော့	တကယ်တော့ အချိန်ပိုလိုတယ်။
advantage	အားသာချက်	ဒီအစီအစဉ်မှာ အားသာချက်ရှိတယ်။
adventure	စွန့်စားခန်း	သူတို့ရဲ့ ခရီးက စွန့်စားခန်းတစ်ခု ဖြစ်ခဲ့တယ်။
advertise	ကြော်ငြာသည်	သူတို့က အလုပ်အသစ်ကို ကြော်ငြာတယ်။
advertisement	ကြော်ငြာ	ကြော်ငြာတစ်ခုကို ကျွန်တော် မြင်ခဲ့တယ်။
advertising	ကြော်ငြာလုပ်ငန်း	ကြော်ငြာလုပ်ငန်းက အစားအစာရောင်းဖို့ ကူညီတယ်။
affect	သက်ရောက်သည်	အိပ်စက်ခြင်းက ကျန်းမာရေးကို သက်ရောက်နိုင်တယ်။
against	ဆန့်ကျင်၍; မှီ၍	နံရံကို မမှီပါနဲ့။
ah	အာ	အာ၊ အခု နားလည်ပြီ။
airline	လေကြောင်းလိုင်း	လေကြောင်းလိုင်းက အလွန် အလုပ်များတယ်။
alive	အသက်ရှင်သော	ငါးလေးက အသက်ရှင်နေတယ်။
all right	အဆင်ပြေသော; ကောင်းပြီ	အခု အရာအားလုံး အဆင်ပြေပြီ။
allow	ခွင့်ပြုသည်	ဒီမှာ ခွေးတွေကို ခွင့်ပြုတယ်။
almost	နီးပါး	ကျွန်တော်တို့ ပြင်ဆင်ပြီးနီးပါး ဖြစ်ပြီ။
alone	တစ်ယောက်တည်း	သူမ တစ်ယောက်တည်း နေတယ်။
along	တစ်လျှောက်	ဒီလမ်းတစ်လျှောက် လမ်းလျှောက်ပါ။
already	ပြီးသား	အဖြေကို ကျွန်တော် သိပြီးသားပါ။
alternative	အခြားရွေးချယ်စရာ	ဒီရထားက အခြားရွေးချယ်စရာ ဖြစ်တယ်။
although	သော်လည်း	နောက်ကျသော်လည်း ကျွန်တော်တို့ နေနိုင်တယ်။
among	ကြားတွင်	သူက သစ်ပင်တွေကြားမှာ ရပ်နေတယ်။
amount	ပမာဏ	ပမာဏက အလွန်နည်းတယ်။
ancient	ရှေးဟောင်းသော	ဒီရှေးဟောင်းနံရံက ကျော်ကြားတယ်။
ankle	ခြေကျင်းဝတ်	ဒီနေ့ ကျွန်တော့် ခြေကျင်းဝတ် နာတယ်။
anybody	ဘယ်သူမဆို	ဒီဟာကို ဘယ်သူမဆို ဖြေနိုင်သလား။
any more	နောက်ထပ်; မတော့	နောက်ထပ် မလိုတော့ဘူး။
anyway	ဘာပဲဖြစ်ဖြစ်	ဘာပဲဖြစ်ဖြစ် အခု စနိုင်တယ်။
anywhere	ဘယ်နေရာမဆို	မင်းကြိုက်တဲ့ ဘယ်နေရာမဆို ထိုင်ပါ။
app	အက်ပ်	ဒီအက်ပ်က အသုံးဝင်တယ်။
appear	ပေါ်လာသည်	သူမရဲ့ နာမည်က ဒီမှာ ပေါ်လာမယ်။
appearance	ပုံပန်းသဏ္ဌာန်	သူ့ပုံပန်းသဏ္ဌာန်က မတူဘူး။
apply	လျှောက်ထားသည်; အသုံးချသည်	ဒီနေ့ အလုပ်ကို လျှောက်ထားပါ။
architect	ဗိသုကာပညာရှင်	ဗိသုကာပညာရှင်မှာ အစီအစဉ်ရှိတယ်။
architecture	ဗိသုကာပညာ	ခေတ်မီ ဗိသုကာပညာကို ကျွန်တော် ကြိုက်တယ်။
argue	ငြင်းခုံသည်	မင်းညီမနဲ့ မငြင်းခုံပါနဲ့။
argument	ငြင်းခုံမှု	ငြင်းခုံမှုက တိုတောင်းခဲ့တယ်။
army	တပ်မတော်	တပ်မတော်က ကြီးတယ်။
arrange	စီစဉ်သည်	အစည်းအဝေးကို စီစဉ်ပါ။
arrangement	စီစဉ်မှု; သဘောတူညီချက်	ဒီစီစဉ်မှုက ကောင်းတယ်။
asleep	အိပ်ပျော်နေသော	ကလေးက အိပ်ပျော်နေတယ်။
assistant	လက်ထောက်	လက်ထောက်က ကျွန်တော့်ကို ကူညီခဲ့တယ်။
athlete	အားကစားသမား	အားကစားသမားက မြန်မြန် ပြေးတယ်။
attack	တိုက်ခိုက်မှု; တိုက်ခိုက်သည်	ခွေးက တိုက်ခိုက်နိုင်တယ်။
attend	တက်ရောက်သည်	ဒီနေ့ အတန်းကို ကျွန်တော် တက်ရောက်တယ်။
attention	အာရုံစိုက်မှု	အခု အာရုံစိုက်ပါ။
attractive	ဆွဲဆောင်မှုရှိသော	ဥယျာဉ်က ဆွဲဆောင်မှုရှိတယ်။
audience	ပရိသတ်	ပရိသတ်က တိတ်ဆိတ်နေတယ်။
author	စာရေးဆရာ	စာရေးဆရာက ဒီစာအုပ်ကို ရေးခဲ့တယ်။
available	ရနိုင်သော	အခု အစားအစာ ရနိုင်တယ်။
average	ပျမ်းမျှ	ပျမ်းမျှ အမှတ်က ကောင်းတယ်။
avoid	ရှောင်သည်	အလုပ်များတဲ့ လမ်းကို ရှောင်ပါ။
award	ဆု	သူမ ဆုတစ်ခု ရခဲ့တယ်။
awful	ဆိုးရွားသော	ရာသီဥတုက ဆိုးရွားခဲ့တယ်။
background	နောက်ခံ	ပုံမှာ မှောင်တဲ့ နောက်ခံရှိတယ်။
badly	ဆိုးဆိုးရွားရွား	သူ ဒီနေ့ ဆိုးဆိုးရွားရွား ကစားခဲ့တယ်။
bar	ဘား	ကျွန်တော်တို့ ဟိုတယ်ဘားမှာ တွေ့ခဲ့တယ်။
baseball	ဘေ့စ်ဘော	ဒီမှာ ဘေ့စ်ဘောက လူကြိုက်များတယ်။
based	အခြေခံသော	ဒီရုပ်ရှင်က စာအုပ်တစ်အုပ်အပေါ် အခြေခံတယ်။
basketball	ဘတ်စကက်ဘော	ကျောင်းပြီးရင် ဘတ်စကက်ဘော ကစားတယ်။
bean	ပဲ	ဒီပဲက အစိမ်းရောင် ဖြစ်တယ်။
bear (animal)	ဝံ	ဝံတစ်ကောင်က တောထဲမှာ နေတယ်။
beat	အနိုင်ယူသည်	ကျွန်တော်တို့ အသင်းက သူတို့ကို အနိုင်ယူနိုင်တယ်။
beef	အမဲသား	ညစာမှာ အမဲသား စားခဲ့တယ်။
behave	အပြုအမူကောင်းပြသည်	အတန်းထဲမှာ အပြုအမူကောင်းပြပါ။
behaviour	အပြုအမူ	သူ့အပြုအမူက ယဉ်ကျေးတယ်။
belong	ပိုင်ဆိုင်သည်	ဒီဖိနပ်တွေက ကျွန်တော့်ပိုင်တယ်။
belt	ခါးပတ်	သူ့ခါးပတ်က အနက်ရောင် ဖြစ်တယ်။
benefit	အကျိုးကျေးဇူး	လေ့ကျင့်ခန်းမှာ အကျိုးကျေးဇူး တကယ်ရှိတယ်။
billion	ဘီလီယံ	ဘီလီယံတစ်ခုက အလွန်ကြီးတဲ့ ကိန်းဂဏန်းပါ။
bin	အမှိုက်ပုံး	စာရွက်ကို အမှိုက်ပုံးထဲ ထည့်ပါ။
biology	ဇီဝဗေဒ	ဇီဝဗေဒက ကျွန်တော့် အကောင်းဆုံး အတန်းပါ။
birth	မွေးဖွားခြင်း	သူမရဲ့ မွေးဖွားခြင်းက မေလမှာ ဖြစ်ခဲ့တယ်။
biscuit	ဘီစကစ်	သူမ ဘီစကစ်တစ်ခု စားတယ်။
bit	အနည်းငယ်	အချိန် အနည်းငယ်ပို လိုတယ်။
blank	အလွတ်; ကွက်လပ်	ကွက်လပ်ထဲမှာ မင်းနာမည် ရေးပါ။
blood	သွေး	သွေးက အနီရောင် ဖြစ်တယ်။
blow	လေတိုက်သည်	လေက ပြင်းပြင်း တိုက်နိုင်တယ်။
board	ဘုတ်ပြား; ကျောက်သင်ပုန်း	ဒါကို ကျောက်သင်ပုန်းပေါ် ရေးပါ။
boil	ဆူအောင်ပြုတ်သည်	ရေကို အရင် ဆူအောင်ပြုတ်ပါ။
bone	အရိုး	ခွေးမှာ အရိုးရှိတယ်။
borrow	ချေးငှားသည်	မင်းရဲ့ ဘောပင်ကို ခဏ ချေးနိုင်မလား။
boss	သူဌေး	ကျွန်တော့် သူဌေးက ဖော်ရွေတယ်။
bottom	အောက်ခြေ	အောက်ခြေမှာ လက်မှတ်ထိုးပါ။
bowl	ပန်းကန်လုံး	ပန်းကန်လုံးက ပြည့်နေတယ်။
brain	ဦးနှောက်	မင်းဦးနှောက်က အနားယူဖို့ လိုတယ်။
bridge	တံတား	တံတားက ဟောင်းတယ်။
bright	တောက်ပသော	အခန်းက တောက်ပတယ်။
