source_headword	HI	example_HI
institute	संस्थान	संस्थान ने एक नया अनुसंधान कार्यक्रम खोला।
institution	संस्था	संस्था ने अपने प्रवेश नियम बदल दिए।
insurance	बीमा	उसके बीमा ने अस्पताल के खर्चों को कवर किया।
intended	लक्षित	संदेश अपने लक्षित दर्शकों तक पहुँच गया।
intense	तीव्र	बहस बहुत जल्दी तीव्र हो गई।
internal	आंतरिक	कंपनी ने एक आंतरिक समीक्षा शुरू की।
interpret	व्याख्या करना	कृपया परिणामों की सावधानीपूर्वक व्याख्या करें।
interrupt	बीच में टोकना	वक्ता को अभी बीच में न टोकें।
investigation	जांच	जांच में गंभीर गलतियों का पता चला।
investment	निवेश	निवेश ने कई स्थानीय नौकरियां पैदा कीं।
joy	खुशी	उनकी सफलता ने बहुत खुशी दी।
judgement	निर्णय	अनुभव के साथ उनका निर्णय बेहतर हुआ।
junior	कनिष्ठ	वह एक कनिष्ठ विश्लेषक के रूप में टीम में शामिल हुई।
justice	न्याय	परिवार ने मुकदमे के बाद न्याय की मांग की।
justify	उचित ठहराना	आपको उस निर्णय को स्पष्ट रूप से उचित ठहराना चाहिए।
labour	श्रम	परियोजना के लिए कुशल श्रम की आवश्यकता है।
landscape	परिदृश्य	तूफान के बाद परिदृश्य बदल गया।
largely	काफी हद तक	योजना काफी हद तक सफल रही।
launch	लॉन्च करना	वे कल उत्पाद लॉन्च करेंगे।
leadership	नेतृत्व	मजबूत नेतृत्व ने टीम को उबरने में मदद की।
league	लीग	हमारा क्लब एक क्षेत्रीय लीग में शामिल हुआ।
lean	झुकना	गीली दीवार के सहारे मत झुकें।
licence	लाइसेंस	लाइसेंस अगले महीने समाप्त हो रहा है।
limited	सीमित	आज हमारे पास सीमित समय है।
lively	जीवंत	दोपहर के भोजन के बाद बैठक जीवंत हो गई।
load	भार	ट्रक में भारी भार था।
loan	ऋण	बैंक ने ऋण स्वीकृत कर दिया।
logical	तार्किक	उनका तर्क स्पष्ट और तार्किक था।
long-term	दीर्घकालिक	यह एक दीर्घकालिक समाधान है।
loose	ढीला	हैंडल ढीला लगता है।
lord	स्वामी	स्वामी के पास कई गांव थे।
lower	कम करना	वे सर्दियों के दौरान कीमतें कम करते हैं।
lung	फेफड़ा	धूम्रपान फेफड़ों को नुकसान पहुंचा सकता है।
maintain	बनाए रखना	हम नियमित संपर्क बनाए रखते हैं।
majority	बहुमत	बहुमत ने प्रस्ताव का समर्थन किया।
mass	समूह	बादलों के एक समूह ने आसमान को ढक लिया।
massive	भारी	भूकंप से भारी नुकसान हुआ।
master	विशेषज्ञ	वह बातचीत में विशेषज्ञ बन गई।
matching	मेल खाने वाला	उसने मेल खाते हुए जूते और बेल्ट पहने थे।
maximum	अधिकतम	कमरा अपनी अधिकतम क्षमता तक पहुँच गया।
means	साधन	ईमेल हमारे संपर्क का मुख्य साधन है।
measurement	माप	माप थोड़ा गलत था।
melt	पिघलना	दोपहर तक बर्फ पिघल जाएगी।
military	सैन्य	पिछले साल सैन्य अड्डा बंद हो गया।
mineral	खनिज	लोहा एक महत्वपूर्ण खनिज है।
minimum	न्यूनतम	न्यूनतम आयु अठारह वर्ष है।
minister	मंत्री	मंत्री ने कठिन सवालों के जवाब दिए।
minor	मामूली	हादसे में मामूली नुकसान हुआ।
minority	अल्पसंख्यक	अल्पसंख्यक ने नए नियम का विरोध किया।
mission	मिशन	उनका मिशन सुरक्षित रूप से समाप्त हो गया।
mixed	मिश्रित	खबर को मिश्रित प्रतिक्रियाएँ मिलीं।
modify	संशोधित करना	हम डिज़ाइन को बाद में संशोधित कर सकते हैं।
monitor	निगरानी करना	नर्स उसकी स्थिति की निगरानी करेगी।
moral	नैतिक	कहानी में एक नैतिक शिक्षा है।
motor	मोटर	मोटर बिना किसी चेतावनी के रुक गई।
mount	लगाना	वे प्रवेश द्वार के पास कैमरे लगाते हैं।
multiple	कई	कई कारणों से देरी हुई।
multiply	गुणा करना	संख्या को दस से गुणा करें।
mysterious	रहस्यमय	बाहर एक रहस्यमय रोशनी दिखाई दी।
neat	साफ़	उसकी डेस्क हमेशा साफ़ रहती है।
nerve	नस	चोट ने एक नस को नुकसान पहुँचाया।
nevertheless	फिर भी	काम कठिन था; फिर भी, हमने इसे पूरा किया।
nightmare	डरावना सपना	यात्रा एक डरावना सपना बन गई।
notion	धारणा	इस धारणा को अस्वीकार करें कि बदलाव असंभव है।
numerous	अनेक	अनेक अध्ययन इस विचार का समर्थन करते हैं।
obey	पालन करना	ड्राइवरों को संकेतों का पालन करना चाहिए।
objective	उद्देश्य	हमारा उद्देश्य कचरे को कम करना है।
obligation	दायित्व	माता-पिता का दायित्व है कि वे बच्चों की रक्षा करें।
observation	अवलोकन	उसके अवलोकन ने चर्चा को बदल दिया।
observe	निरीक्षण करना	वैज्ञानिक हर वसंत में पक्षियों का निरीक्षण करते हैं।
obtain	प्राप्त करना	आपको लिखित अनुमति प्राप्त करनी होगी।
occasionally	कभी-कभी	वह कभी-कभी घर से काम करती है।
offence	अपमान	टिप्पणी ने गंभीर अपमान किया।
offend	अपमानित करना	मेरा इरादा किसी को अपमानित करने का नहीं था।
offensive	अपमानजनक	पोस्टर में अपमानजनक भाषा थी।
opening	रिक्ति	नौकरी की रिक्ति ने कई आवेदकों को आकर्षित किया।
operate	संचालित करना	मशीन स्वचालित रूप से संचालित हो सकती है।
opponent	विरोधी	उसके विरोधी ने नीति की आलोचना की।
oppose	विरोध करना	कई निवासी योजना का विरोध करते हैं।
opposed	विपरीत	समूहों के विपरीत विचार थे।
opposition	विरोध	प्रस्ताव को कड़े विरोध का सामना करना पड़ा।
organ	अंग	हृदय एक महत्वपूर्ण अंग है।
origin	मूल	आग का मूल अज्ञात है।
otherwise	अन्यथा	अभी निकलो; अन्यथा, तुम्हें देर हो जाएगी।
outcome	परिणाम	परिणाम ने सभी को हैरान कर दिया।
outer	बाहरी	बाहरी दीवार को मरम्मत की आवश्यकता है।
outline	रूपरेखा	कृपया अपने मुख्य तर्क की रूपरेखा दें।
overall	कुल मिलाकर	कुल मिलाकर परिणाम सकारात्मक था।
owe	कर्जदार होना	मैं आपसे एक माफ़ी का कर्जदार हूँ।
pace	गति	एक समान गति से चलें।
panel	पैनल	पैनल ने जलवायु नीति पर चर्चा की।
parliament	संसद	संसद ने नए कानून को मंजूरी दी।
participant	प्रतिभागी	प्रत्येक प्रतिभागी ने फॉर्म पर हस्ताक्षर किए।
partly	आंशिक रूप से	देरी आंशिक रूप से हमारी गलती थी।
passage	गद्यांश	उत्तर देने से पहले गद्यांश को पढ़ें।
pension1	पेंशन	उसकी पेंशन सेवानिवृत्ति के बाद उसका समर्थन करती है।
permanent	स्थायी	उन्हें एक स्थायी समाधान की आवश्यकता है।
permit	अनुमति देना	नियम छोटी यात्राओं की अनुमति देते हैं।
perspective	दृष्टिकोण	उसके दृष्टिकोण को समझने की कोशिश करें।
phase	चरण	परियोजना अपने अंतिम चरण में प्रवेश कर गई।
phenomenon	घटना	यह घटना कई संस्कृतियों में होती है।
philosophy	दर्शन	उनका दर्शन व्यावहारिक कार्रवाई को महत्व देता है।
