source_headword	RU	example_RU
fridge	холодильник	Молоко в холодильнике.
frog	лягушка	Лягушка прыгнула в пруд.
furniture	мебель	Эта мебель старая, но прочная.
further	дальнейший; дальше	Нам нужна дальнейшая информация.
gallery	галерея	Галерея открыта сегодня.
gap	пробел; промежуток; щель	В стене есть щель.
gas	бензин; газ	Машине нужен бензин.
gate	ворота; калитка	Закройте ворота, пожалуйста.
general	общий	Это общее правило.
gift	подарок	Она купила подарок.
goal	цель; гол	Наша цель простая.
god	бог	Многие люди молятся Богу.
gold	золото; золотой	Кольцо золотое.
golf	гольф	Он сегодня играет в гольф.
government	правительство	Правительство изменило закон.
grass	трава	Трава мокрая.
greet	приветствовать	Вежливо приветствуйте каждого гостя.
ground	земля; грунт	Сядьте на землю.
guest	гость	Наш гость пришёл рано.
guide	гид; вести	Гид показал нам музей.
gun	пистолет; ружьё	Полиция нашла пистолет.
guy	парень	Этот парень мой брат.
habit	привычка	Ежедневное чтение — хорошая привычка.
hall	зал; коридор	Подождите в коридоре.
happily	счастливо	Они жили счастливо вместе.
headache	головная боль	У меня головная боль.
heart	сердце	Её сердце быстро бьётся.
heat	нагревать; жара	Медленно разогрейте суп.
heavy	тяжёлый	Эта сумка тяжёлая.
height	высота	Измерьте высоту стола.
helpful	полезный	Ваш совет был полезным.
hero	герой	Он мой герой.
hers	её	Синее пальто — её.
herself	сама; себя	Она сама приготовила ужин.
hide	прятать	Спрячьте ключ под коробкой.
hill	холм	Мы поднялись на холм.
himself	сам; себя	Он сам это починил.
hit	ударить; попадать	Не бейте по двери.
hockey	хоккей	Мы смотрели хоккей прошлой ночью.
hold	держать	Держи меня за руку.
hole	дыра; отверстие	В моём носке дырка.
huge	огромный	Комната огромная.
human	человек; человеческий	Каждому человеку нужна вода.
hurt	болеть; причинять боль	У меня болит колено.
ideal	идеальный	Эта комната идеальна для учёбы.
identify	опознавать; определить	Можете определить эту птицу?
ill	больной	Сегодня она больна.
illness	болезнь	Болезнь длилась неделю.
image	изображение; образ	Изображение чёткое.
immediately	немедленно	Идите сюда немедленно.
impossible	невозможный	Эта головоломка кажется невозможной.
included	включённый	Завтрак включён.
including	включая	Пришли десять человек, включая меня.
increase	увеличиваться; увеличение	Цены растут летом.
incredible	невероятный	Вид был невероятный.
independent	независимый	Моя сестра независимая.
individual	отдельный; человек	У каждого человека есть номер.
industry	промышленность; отрасль	Местная отрасль растёт.
informal	неформальный	Это письмо неформальное.
injury	травма	Его травма несерьёзная.
insect	насекомое	Насекомое село на чашку.
inside	внутри	Подождите внутри дома.
instead	вместо этого	Пейте воду вместо этого.
instruction	инструкция	Внимательно прочитайте каждую инструкцию.
instructor	инструктор	Инструктор объяснил упражнение.
instrument	инструмент	Она играет на инструменте.
intelligent	умный	Он умный студент.
international	международный	Это международный аэропорт.
introduction	введение; представление	Введение было коротким.
