source_headword	NO	example_NO
rock (music)	rockemusikk	Jeg liker å høre på rockemusikk.
role	en rolle	Rollen hennes er viktig.
roof	et tak	Taket må repareres.
round	rund	Dette bordet er rundt.
route	en rute	Denne ruten er kortere.
rubbish	søppel	Sett søppelet utenfor.
rude	uhøflig	Den kommentaren var uhøflig.
runner	en løper	Løperen ser trøtt ut.
running	løping	Løping hjelper meg å holde meg frisk.
sadly	dessverre	Dessverre rakk vi ikke toget.
safe	trygg	Denne gaten virker trygg.
sail	seile	Vi seiler på lørdag.
sailing	seiling	Seiling er populært her.
salary	en lønn	Lønnen hans er høyere nå.
sale	et salg	Salget begynner i morgen.
sauce	en saus	Tilsett sausen i risen.
save	lagre	Lagre arbeidet ditt nå.
scared	redd	Barnet er redd.
scary	skummel	Denne historien er skummel.
scene	en scene	Den siste scenen var morsom.
schedule	en timeplan	Sjekk timeplanen i dag.
score	en poengsum	Hva er poengsummen?
screen	en skjerm	Rengjør skjermen forsiktig.
search	søke	Søk etter bilder på nettet.
season	en årstid	Sommeren er en travel årstid.
seat	et sete	Sett deg i dette setet.
second1 (next after the first)	andre	For det andre, vask hendene.
secondly	for det andre	For det andre, sjekk svaret.
secret	en hemmelighet	Hold denne hemmeligheten trygg.
secretary	en sekretær	Sekretæren ringte i dag.
seem	virke	Du virker trøtt.
sense	en mening	Denne planen gir mening.
separate	separat	Hold papirene separate.
series	en serie	Denne serien er populær.
serious	alvorlig	Dette problemet er alvorlig.
serve	servere	De serverer lunsj klokken tolv.
service	en service	Servicen var rask.
several	flere	Flere elever kom tidlig.
shake	riste	Rist flasken først.
shall modal	skal	Skal vi begynne nå?
shape	en form	Tegn en firkantet form.
sheet	et laken	Legg lakenet på sengen.
ship	et skip	Skipet dro i dag.
shoulder	en skulder	Skulderen min gjør vondt.
shout	rope	Ikke rop i klassen.
shut	lukke	Lukk vinduet, takk.
side	en side	Sitt på denne siden.
sign	et skilt	Les skiltet nøye.
silver	sølv	Sølv er et lyst metall.
simple	enkel	Denne øvelsen er enkel.
