source_headword	PL	example_PL
institute	instytut	Instytut otworzył nowy program badawczy.
institution	instytucja	Instytucja zmieniła zasady rekrutacji.
insurance	ubezpieczenie	Jej ubezpieczenie pokryło koszty leczenia w szpitalu.
intended	docelowy	Wiadomość dotarła do docelowych odbiorców.
intense	intensywny	Debata bardzo szybko stała się intensywna.
internal	wewnętrzny	Firma rozpoczęła wewnętrzną kontrolę.
interpret	interpretować	Proszę ostrożnie interpretować wyniki.
interrupt	przerywać	Nie przerywaj teraz mówcy.
investigation	dochodzenie	Dochodzenie ujawniło poważne błędy.
investment	inwestycja	Inwestycja stworzyła wiele lokalnych miejsc pracy.
joy	radość	Ich sukces przyniósł wielką radość.
judgement	osąd	Jego osąd poprawił się wraz z doświadczeniem.
junior	młodszy	Dołączyła do zespołu jako młodszy analityk.
justice	sprawiedliwość	Rodzina domagała się sprawiedliwości po procesie.
justify	uzasadniać	Musisz jasno uzasadnić tę decyzję.
labour	siła robocza	Projekt wymaga wykwalifikowanej siły roboczej.
landscape	krajobraz	Krajobraz zmienił się po burzy.
largely	w dużej mierze	Plan zakończył się w dużej mierze sukcesem.
launch	wprowadzać na rynek	Jutro wprowadzą produkt na rynek.
leadership	przywództwo	Silne przywództwo pomogło zespołowi się pozbierać.
league	liga	Nasz klub dołączył do ligi regionalnej.
lean	opierać się	Nie opieraj się o mokrą ścianę.
licence	licencja	Licencja wygasa w przyszłym miesiącu.
limited	ograniczony	Mamy dzisiaj ograniczony czas.
lively	ożywiony	Spotkanie stało się ożywione po lunchu.
load	ładunek	Ciężarówka przewoziła ciężki ładunek.
loan	pożyczka	Bank zatwierdził pożyczkę.
logical	logiczny	Jej argumentacja była jasna i logiczna.
long-term	długoterminowy	To jest rozwiązanie długoterminowe.
loose	luźny	Uchwyt wydaje się być luźny.
lord	pan	Pan posiadał kilka wiosek.
lower	obniżać	Obniżają ceny zimą.
lung	płuco	Palenie może uszkodzić płuco.
maintain	utrzymywać	Utrzymujemy regularny kontakt.
majority	większość	Większość poparła propozycję.
mass	masa	Masa chmur pokryła niebo.
massive	ogromny	Trzęsienie ziemi spowodowało ogromne zniszczenia.
master	mistrz	Została mistrzem negocjacji.
matching	pasujący	Miał na sobie pasujące buty i pasek.
maximum	maksymalny	Pokój osiągnął maksymalną pojemność.
means	środek	E-mail to nasz główny środek kontaktu.
measurement	pomiar	Pomiar był nieco błędny.
melt	topnieć	Śnieg stopnieje do południa.
military	wojskowy	Baza wojskowa została zamknięta w zeszłym roku.
mineral	minerał	Żelazo jest ważnym minerałem.
minimum	minimalny	Minimalny wiek to osiemnaście lat.
minister	minister	Minister odpowiedział na trudne pytania.
minor	drobny	Wypadek spowodował drobne uszkodzenia.
minority	mniejszość	Mniejszość sprzeciwiła się nowej zasadzie.
mission	misja	Ich misja zakończyła się bezpiecznie.
mixed	mieszany	Wiadomość spotkała się z mieszanymi reakcjami.
modify	modyfikować	Możemy zmodyfikować projekt później.
monitor	monitorować	Pielęgniarka będzie monitorować jego stan.
moral	moralny	Ta historia ma morał.
motor	silnik	Silnik zatrzymał się bez ostrzeżenia.
mount	montować	Oni montują kamery w pobliżu wejścia.
multiple	liczny	Liczne czynniki spowodowały opóźnienie.
multiply	mnożyć	Pomnóż tę liczbę przez dziesięć.
mysterious	tajemniczy	Na zewnątrz pojawiło się tajemnicze światło.
neat	schludny	Jej biurko jest zawsze schludne.
nerve	nerw	Uraz uszkodził nerw.
nevertheless	niemniej jednak	Zadanie było trudne; niemniej jednak skończyliśmy.
nightmare	koszmar	Podróż stała się koszmarem.
notion	pogląd	Odrzuć pogląd, że zmiana jest niemożliwa.
numerous	liczny	Liczne badania popierają ten pomysł.
obey	przestrzegać	Kierowcy muszą przestrzegać znaków.
objective	cel	Naszym celem jest zmniejszenie ilości odpadów.
obligation	obowiązek	Rodzice mają obowiązek chronić dzieci.
observation	spostrzeżenie	Jego spostrzeżenie zmieniło dyskusję.
observe	obserwować	Naukowcy obserwują ptaki każdej wiosny.
obtain	uzyskać	Musisz uzyskać pisemne pozwolenie.
occasionally	czasami	Ona czasami pracuje z domu.
offence	obraza	Ten komentarz spowodował poważną obrazę.
offend	obrazić	Nie chciałem nikogo obrazić.
offensive	obraźliwy	Plakat zawierał obraźliwy język.
opening	wakat	Wakat na stanowisko przyciągnął wielu kandydatów.
operate	działać	Maszyna może działać automatycznie.
opponent	przeciwnik	Jej przeciwnik skrytykował politykę.
oppose	sprzeciwiać się	Wielu mieszkańców sprzeciwia się temu planowi.
opposed	sprzeczny	Grupy miały sprzeczne poglądy.
opposition	sprzeciw	Propozycja spotkała się z silnym sprzeciwem.
organ	narząd	Serce to ważny narząd.
origin	przyczyna	Przyczyna pożaru jest nieznana.
otherwise	w przeciwnym razie	Wyjdź teraz; w przeciwnym razie się spóźnisz.
outcome	wynik	Wynik zaskoczył wszystkich.
outer	zewnętrzny	Zewnętrzna ściana wymaga naprawy.
outline	nakreślić	Proszę nakreślić swój główny argument.
overall	ogólny	Ogólny wynik był pozytywny.
owe	być dłużnym	Jestem ci winien przeprosiny.
pace	tempo	Idź w równym tempie.
panel	panel	Panel dyskutował o polityce klimatycznej.
parliament	parlament	Parlament zatwierdził nowe prawo.
participant	uczestnik	Każdy uczestnik podpisał formularz.
partly	częściowo	Opóźnienie było częściowo z naszej winy.
passage	fragment	Przeczytaj ten fragment przed udzieleniem odpowiedzi.
pension1	emerytura	Jego emerytura utrzymuje go po przejściu na emeryturę.
permanent	stały	Oni potrzebują stałego rozwiązania.
permit	pozwalać	Zasady pozwalają na krótkie wizyty.
perspective	perspektywa	Spróbuj spojrzeć z jej perspektywy.
phase	faza	Projekt wszedł w końcową fazę.
phenomenon	zjawisko	To zjawisko występuje w wielu kulturach.
philosophy	filozofia	Jej filozofia ceni praktyczne działanie.
pile	stos	Stos papierów pokrywał biurko.
pitch	boisko	Drużyna starannie przygotowała boisko.
plain	jasny	Instrukcje były jasne i bezpośrednie.
pointed	ostry	Zrobił uszczypliwą uwagę.
popularity	popularność	Piosenkarz zyskał popularność w internecie.
pose	stanowić	To pytanie może stanowić problem.
possess	posiadać	Niewielu uczniów posiada tę umiejętność.
potential	potencjalny	Ten pomysł ma prawdziwy potencjał.
praise	pochwała	Nauczyciel udzielił szczerej pochwały.
pregnant	w ciąży	Ona jest w szóstym miesiącu ciąży.
preparation	przygotowanie	Dobre przygotowanie zmniejsza stres.
presence	obecność	Jego obecność zmieniła nastrój.
preserve	chronić	Musimy chronić ten historyczny budynek.
prime	główny	Główną przyczyną było złe planowanie.
principle	zasada	Decyzja opierała się na jasnej zasadzie.
priority	priorytet	Bezpieczeństwo to nasz pierwszy priorytet.
privacy	prywatność	Klienci oczekują prywatności w internecie.
procedure	procedura	Procedura trwa trzydzieści minut.
proof	dowód	Potrzebujemy dowodu przed działaniem.
proposal	propozycja	Ta propozycja wymaga więcej szczegółów.
propose	proponować	Proponuję inne rozwiązanie.
prospect	perspektywa	Perspektywa porażki martwiła ich.
protection	ochrona	Kask zapewnia podstawową ochronę.
psychologist	psycholog	Psycholog wyjaśnił wyniki testu.
psychology	psychologia	Ona studiuje psychologię na uniwersytecie.
publication	publikacja	Publikacja przyciągnęła uwagę opinii publicznej.
pupil	uczeń	Każdy uczeń otrzymał nowy podręcznik.
purchase	zakup	Oni kupują zapasy każdego miesiąca.
pure	czysty	Woda była czysta i zimna.
pursue	dążyć do	Będzie kontynuował karierę medyczną.
rank	ranga	Ona posiada wysoką rangę.
rapid	szybki	Kraj ten odnotował szybki wzrost.
rapidly	szybko	Ceny wzrosły szybko w tym roku.
raw	surowy	Szef kuchni przygotował surowe warzywa.
realistic	realistyczny	Ustal realistyczny termin.
reasonable	rozsądny	To wydaje się rozsądną prośbą.
recall	przypominać sobie	Przypominam sobie jego dokładne słowa.
recover	wyzdrowieć	Ona wyzdrowieje po leczeniu.
reduction	redukcja	Obniżka zaoszczędziła pieniądze.
regard	uważać	Wiele osób uważa ją za uczciwą.
regional	regionalny	Regionalne biuro zostało dziś zamknięte.
register	zarejestrować się	Proszę zarejestrować się przed konferencją.
regret	żałować	Żałuję mojej wcześniejszej decyzji.
regulation	przepis	Nowy przepis dotyczy wszystkich kierowców.
relatively	stosunkowo	Egzamin był stosunkowo łatwy.
relevant	istotny	Wybierz tylko istotne szczegóły.
relief	ulga	Ta wiadomość przyniosła ogromną ulgę.
rely	polegać	Dzieci polegają na wsparciu dorosłych.
remark	uwaga	Jego uwaga zakończyła dyskusję.
representative	przedstawiciel	Przedstawiciel spotkał się z lokalnymi pracownikami.
reputation	reputacja	Ten hotel ma dobrą reputację.
requirement	wymóg	Doświadczenie to podstawowy wymóg.
rescue	ratować	Oni ratują ludzi z powodzi.
reserve	rezerwa	Rezerwujemy miejsca dla gości.
resident	mieszkaniec	Każdy mieszkaniec otrzymał zawiadomienie.
resist	opierać się	Spróbuj oprzeć się presji.
resolve	rozwiązać	Rozwiązali spór pokojowo.
resort	kurort	Kurort na wyspie został otwarty w maju.
retain	zatrzymać	Firma chce zatrzymać pracowników.
reveal	ujawnić	Raport ujawni prawdę.
revolution	rewolucja	Rewolucja zmieniła ten kraj.
reward	nagroda	Ciężka praca zasługuje na nagrodę.
rhythm	rytm	Ta piosenka ma miarowy rytm.
rid	pozbyć się	Pozbądź się tych starych plików.
root	źródło	Źródłem problemu są pieniądze.
rub	pocierać	Potrzyj powierzchnię ściereczką.
rubber	guma	Gumowa uszczelka zapobiega wyciekom.
