source_headword	ET	example_ET
clothes	riided	Minu riided on puhtad.
club	klubi	Ta läheb muusikaklubisse.
coat	mantel	Minu mantel on soe.
coffee	kohv	Hommikul joon kohvi.
cold	külm; nohu	Vesi on külm.
college	kolledž; ülikool	Mu õde õpib ülikoolis.
colour	värv	Mu lemmikvärv on sinine.
come	tulema	Tule siia, palun.
common	tavaline; levinud	See nimi on tavaline.
company	ettevõte; firma	Mu ema töötab ettevõttes.
compare	võrdlema	Võrdle neid kahte fotot.
complete	täielik; lõpetama	Vorm on täidetud.
computer	arvuti	See arvuti on uus.
concert	kontsert	Täna õhtul läheme kontserdile.
conversation	vestlus	Meil oli lühike vestlus.
cook	süüa tegema; kokk	Kodus teen õhtusööki.
cooking	toiduvalmistamine	Mulle meeldib isaga süüa teha.
cool	jahe; lahe	Tuba on jahe.
correct	õige; parandama	Sinu vastus on õige.
cost	hind; maksma	Kui palju see maksab?
could modal	saama; võiksin	Ma võiksin sind aidata.
country	riik	Kanada on suur riik.
course	kursus	Käin inglise keele kursusel.
cousin	nõbu	Mu nõbu elab lähedal.
cow	lehm	Lehm sööb rohtu.
cream	koor; kreem	Lisan kohvile koort.
create	looma	Nad loovad uue mängu.
culture	kultuur	Õpime kohalikku kultuuri.
cup	tass	See tass on tühi.
customer	klient; ostja	Klient esitab küsimuse.
cut	lõikama	Lõika õun pooleks.
dad	isa	Isa on tööl.
dance	tantsima; tants	Pärast õhtusööki tantsime.
dancer	tantsija	Tantsija liigub kiiresti.
dancing	tantsimine	Tantsida on lõbus.
dangerous	ohtlik	See tee on ohtlik.
dark	pime; tume	Tuba on pime.
date	kuupäev; kohting	Mis kuupäev täna on?
daughter	tütar	Tema tütar on kuueaastane.
day	päev	Soovin sulle head päeva.
dear	kallis	Kallis sõber, aitäh.
December	detsember	Mu sünnipäev on detsembris.
decide	otsustama	Otsusta nüüd, palun.
delicious	maitsev	See supp on maitsev.
describe	kirjeldama	Kirjelda oma tuba.
description	kirjeldus	Loe lühikest kirjeldust.
design	disain; kujundama	Kujundan lihtsat kaarti.
desk	kirjutuslaud	Raamat on mu kirjutuslaual.
detail	detail	Üks detail puudub.
dialogue	dialoog	Loe dialoog nüüd läbi.
dictionary	sõnastik	Kasuta tunnis sõnastikku.
die	surema	Lilled surevad ilma veeta.
diet	toitumine; dieet	Mu toidus on puuvilju.
difference	erinevus	On üks erinevus.
different	erinev	Meie nimed on erinevad.
difficult	raske	See küsimus on raske.
dinner	õhtusöök	Õhtusöök on valmis.
dirty	määrdunud	Mu kingad on määrdunud.
discuss	arutama	Arutame plaani.
dish	taldrik; roog	See taldrik on kuum.
do1	tegema	Mida sa teed?
doctor	arst	Arst on hõivatud.
dog	koer	Koer jookseb õues.
dollar	dollar	See maksab ühe dollari.
door	uks	Sulge uks, palun.
down	alla; all	Istu siia alla.
downstairs	allkorrusel	Köök on allkorrusel.
draw	joonistama	Joonista väike maja.
dress	kleit; riietuma	Tal on punane kleit.
drink	jook; jooma	Joon vett.
drive	juhtima; sõitma	Sõidan tööle autoga.
driver	juht	Juht peatub siin.
during	ajal	Ma magan lennu ajal.
DVD	DVD	See DVD on vana.
each	iga	Igal lapsel on raamat.
ear	kõrv	Mul valutab kõrv.
early	vara; varajane	Tõusen vara.
east	ida	Päike tõuseb idast.
easy	lihtne	See test on lihtne.
eat	sööma	Sööme lõunat koos.
egg	muna	Söön ühe muna.
eight	kaheksa	Mul on kaheksa kaarti.
eighteen	kaheksateist	Ta on kaheksateist aastat vana.
eighty	kaheksakümmend	Mu vanaisa on kaheksakümmend aastat vana.
elephant	elevant	Elevant on suur.
eleven	üksteist	Tund algab kell üksteist.
else	muu; veel	Mida sul veel vaja on?
email	e-kiri	Saada mulle e-kiri.
end	lõpp; lõpetama	See on lõpp.
enjoy	nautima; meeldima	Mulle meeldib see laul.
enough	piisavalt	Meil on piisavalt aega.
euro	euro	See maksab ühe euro.
even	isegi	Isegi mu vend teab.
evening	õhtu	Kohtume täna õhtul.
event	sündmus; üritus	Üritus algab täna.
ever	kunagi	Kas sa kunagi süüa teed?
every	iga	Õpin iga päev.
everybody	kõik	Kõik on siin.
everyone	igaüks	Kõigile meeldib muusika.
everything	kõik	Kõik on valmis.
exam	eksam	Eksam algab varsti.
example	näide	See on hea näide.
excited	elevil; põnevil	Olen täna elevil.
exciting	põnev	Mäng on põnev.
exercise	harjutus; trenni tegema	Teen enne hommikusööki trenni.
expensive	kallis	See mantel on kallis.
explain	selgitama	Selgita seda sõna, palun.
extra	lisa; lisaks	Mul on vaja lisaaega.
eye	silm	Mu silm on punane.
face	nägu	Pese nägu.
fact	fakt	See fakt on oluline.
fall	kukkuma; sügis	Lehed langevad sügisel.
false	vale	See vastus on vale.
family	pere	Mu pere on väike.
famous	kuulus	Ta on kuulus laulja.
fantastic	fantastiline	Kontsert oli fantastiline.
far	kaugel	Kool on kaugel.
farm	talu	Nad elavad talus.
farmer	talunik	Talunik kasvatab toitu.
fast	kiire	See rong on kiire.
fat	paks	Kass on paks.
father	isa	Mu isa on pikk.
favourite	lemmik	See on mu lemmiklaul.
February	veebruar	Veebruaris on siin külm.
feel	tundma	Tunnen end õnnelikuna.
feeling	tunne	Ma tunnen seda tunnet.
festival	festival	Festival algab homme.
few	mõned	Siin on mõned õpilased.
fifteen	viisteist	Ma olen viisteist aastat vana.
fifth	viies	See on viies tund.
fifty	viiskümmend	Mu ema on viiskümmend aastat vana.
fill	täitma	Täida tass veega.
film	film	Vaatame filmi.
final	viimane; lõplik	See on viimane küsimus.
find	leidma	Leian oma võtmed.
fine	hästi	Tunnen end nüüd hästi.
finish	lõpetama	Lõpeta kodutöö.
fire	tuli	Tuli on kuum.
first	esimene	Ta on järjekorras esimene.
fish	kala	Söön õhtusöögiks kala.
five	viis	Mul on viis raamatut.
flat	korter	Mu korter on väike.
flight	lend	Lend hilineb.
floor	põrand; korrus	Kott on põrandal.
flower	lill	See lill on kollane.
fly	lendama	Linnud lendavad taevas.
follow	järgnema	Järgne mulle, palun.
food	toit	Toit on valmis.
foot	jalg; labajalg	Mul valutab jalg.
football	jalgpall	Täna mängime jalgpalli.
for	jaoks; eest	See kingitus on sulle.
forget	unustama	Ära unusta võtmeid.
form	vorm; ankeet	Täida vorm.
forty	nelikümmend	Mu isa on nelikümmend aastat vana.
four	neli	Näen nelja lindu.
fourteen	neliteist	Ta on neliteist aastat vana.
fourth	neljas	See on neljas korrus.
free	tasuta; vaba	Pilet on tasuta.
Friday	reede	Kohtume reedel.
friend	sõber	Mu sõber on siin.
friendly	sõbralik	Õpetaja on sõbralik.
from	pärit; alates	Olen siit pärit.
front	esikülg; ees	Seisa ees.
fruit	puuvili	Söön iga päev puuvilju.
full	täis	Pudel on täis.
fun	lõbu; lõbus	See mäng on lõbus.
funny	naljakas	Film on naljakas.
future	tulevik	Mõtle oma tulevikule.
game	mäng	Mäng algab nüüd.
garden	aed	Aed on ilus.
geography	geograafia	Õpin koolis geograafiat.
get	saama; jõudma	Jõuan koju kell kuus.
girl	tüdruk	Tüdruk naeratab.
girlfriend	tüdruksõber	Tema tüdruksõber on tore.
give	andma	Anna mulle raamat.
glass	klaas	Joon klaasist.
go	minema; käima	Läheme nüüd koju.
good	hea	See kohv on hea.
goodbye	head aega	Head aega, homseni.
grandfather	vanaisa	Mu vanaisa on vana.
grandmother	vanaema	Mu vanaema keedab suppi.
grandparent	vanavanem	Vanaema elab meiega.
great	suurepärane	See on suurepärane idee.
green	roheline	Uks on roheline.
grey	hall	Taevas on hall.
group	rühm; grupp	Töötage väikeses rühmas.
grow	kasvama; kasvatama	Taimed kasvavad aias.
guess	arvama	Arva vastus ära.
guitar	kitarr	Ta mängib kitarri.
gym	spordisaal	Käin spordisaalis.
hair	juuksed	Tema juuksed on pikad.
half	pool	Lõika kook pooleks.
hand	käsi	Tõsta käsi.
happen	juhtuma	Mis juhtub edasi?
happy	õnnelik	Olen täna õnnelik.
hard	raske; kõva	See tool on kõva.
hat	müts	Mu müts on must.
hate	vihkama	Ma vihkan külma teed.
have	omama; olema	Mul on auto.
have to modal	pidama; vaja olema	Ma pean õppima.
he	tema; ta	Ta on mu vend.
head	pea	Mul valutab pea.
health	tervis	Hea toit aitab tervist.
healthy	tervislik	See eine on tervislik.
hear	kuulma	Kuulen muusikat.
hello	tere	Tere, meeldiv tutvuda.
help	abi; aitama	Palun aita mind.
her	tema; teda	See on tema kott.
here	siin	Tule nüüd siia.
hey	hei	Hei, oota mind.
hi	tere	Tere, kuidas läheb?
high	kõrge	Sein on kõrge.
him	teda	Tunnen teda.
his	tema	Tema mantel on sinine.
history	ajalugu	Õpin ajalugu.
hobby	hobi	Lugemine on mu hobi.
holiday	puhkus; püha	Juulis läheme puhkusele.
home	kodu; kodus	Olen kodus.
homework	kodutöö	Tee täna õhtul kodutöö ära.
hope	lootma	Loodan, et tuled.
horse	hobune	Hobune jookseb kiiresti.
hospital	haigla	Haigla on lähedal.
hot	kuum	Supp on kuum.
hotel	hotell	Hotell on puhas.
hour	tund	Oota üks tund.
house	maja	See maja on vana.
how	kuidas	Kuidas sul läheb?
however	siiski	Siiski võin siia jääda.
hundred	sada	Kohale tuli sada inimest.
hungry	näljane	Olen näljane.
husband	abikaasa; mees	Tema abikaasa on arst.
I	mina; ma	Mulle meeldib tee.
ice	jää	Jää on külm.
ice cream	jäätis	Tahan jäätist.
idea	idee	See on hea idee.
if	kui	Helista mulle, kui abi vajad.
imagine	ette kujutama	Kujuta ette väikest maja.
important	oluline	See tund on oluline.
improve	parandama; täiustama	Tahan oma inglise keelt parandada.
in	sees; sisse	Võtmed on mu kotis.
include	lisama	Lisa oma nimi, palun.
information	teave; informatsioon	Vajan rohkem teavet.
interest	huvi	Tal on huvi kunsti vastu.
interested	huvitatud	Olen muusikast huvitatud.
interesting	huvitav	See raamat on huvitav.
internet	internet	Internet on aeglane.
interview	intervjuu; töövestlus	Mul on täna töövestlus.
into	sisse	Pane raamatud kotti.
introduce	tutvustama	Tutvusta oma sõpra.
island	saar	See saar on väike.
it	see; ta	On külm.
its	selle; tema	Koer armastab oma pesa.
jacket	jope	Mu jope on uus.
January	jaanuar	Jaanuar on esimene kuu.
jeans	teksad	Mu teksad on sinised.
job	töö	Vajan uut tööd.
join	liituma	Liitu täna meie klassiga.
journey	teekond; reis	Teekond on pikk.
juice	mahl	Joon apelsinimahla.
July	juuli	Juulis reisime.
June	juuni	Kool lõpeb juunis.
just	just; ainult	Vajan ainult vett.
keep	hoidma; alles jätma	Hoia see võti alles.
key	võti	Kaotasin võtme.
kilometre	kilomeeter	Kõnni üks kilomeeter.
kind (type)	liik; tüüp	Mis muusikaliik sulle meeldib?
kitchen	köök	Köök on puhas.
know	teadma; tundma	Tean vastust.
land	maa; maismaa	Lennuk on maa peal.
language	keel	Õpin inglise keelt.
large	suur	See tuba on suur.
last1 (final)	viimane	See on viimane leht.
late	hiline; hilja	Buss hilineb.
later	hiljem	Näeme hiljem.
laugh	naerma	Naerame koos.
learn	õppima	Õpin inglise keelt.
leave	lahkuma; jätma	Jäta uks lahti.
left	vasak; vasakul	Pööra siin vasakule.
leg	jalg	Mul valutab jalg.
lesson	tund	Tund algab nüüd.
let	laskma; lubama	Luba mul aidata.
letter	kiri; täht	Kirjutan kirja.
library	raamatukogu	Raamatukogu avatakse kell üheksa.
lie1	lamama	Lama voodil.
life	elu	Linnaelu on kiire.
like (similar)	nagu; sarnane	See on nagu mäng.
like (find sb/sth pleasant)	meeldima	Mulle meeldib see laul.
line	järjekord; joon	Seisa järjekorras.
lion	lõvi	Lõvi magab.
list	nimekiri	Tee ostunimekiri.
listen	kuulama	Kuula õpetajat.
little	väike; vähe	Mul on vähe raha.
live1	elama	Elan kooli lähedal.
local	kohalik	See on kohalik pood.
long1	pikk	Tee on pikk.
look	vaatama; välja nägema	Vaata pilti.
lose	kaotama	Ära kaota piletit.
lot	palju	Mul on palju kodutööd.
love	armastama; armastus	Armastan oma peret.
lunch	lõuna; lõunasöök	Lõuna on valmis.
