stranger	A stranger asked for directions.
strength	Her strength helped the team.
string	Tie the box with string.
strongly	I strongly disagree with that idea.
studio	The artist works in a small studio.
stuff	Put your stuff on the shelf.
substance	The police found a strange substance.
successfully	They successfully finished the project.
sudden	A sudden noise woke us.
suffer	Many plants suffer in dry weather.
suitable	This jacket is suitable for school.
summarize	Can you summarize the article?
summary	Write a short summary tonight.
supply	The town needs a clean water supply.
supporter	Every supporter cheered loudly.
surely	Surely we can solve this.
surface	The surface felt cold and smooth.
survive	These animals survive cold winters.
switch	Switch off the kitchen light.
symptom	A cough can be a symptom.
tail	The dog has a long tail.
talent	She has a talent for music.
talented	He is a talented young actor.
tape	Use tape to close the box.
tax	Everyone must pay this tax.
technical	We had a technical problem.
technique	This technique saves time.
tend	Children tend to learn quickly.
tent	We slept in a small tent.
theirs	The blue bikes are theirs.
theme	The party had a beach theme.
theory	His theory explains the problem.
therefore	It rained, therefore we stayed inside.
though	Though tired, she kept working.
throat	My throat hurts this morning.
throughout	People danced throughout the evening.
tight	These shoes feel too tight.
till	Wait here till I return.
tin	Open a tin of beans.
tiny	A tiny bird landed nearby.
toe	I hurt my toe yesterday.
tongue	She burned her tongue on tea.
total	The total cost was low.
totally	I totally understand your concern.
trade	International trade creates jobs.
translate	Please translate this sentence.
translation	The translation sounds natural.
treat	Treat everyone with respect.
treatment	The patient needs treatment today.
trend	This trend is growing worldwide.
trick	That card trick surprised me.
truth	Please tell the truth.
tube	Squeeze the tube gently.
typically	Students typically arrive before nine.
tyre	The car needs a new tyre.
ugly	That wall color looks ugly.
unable	He was unable to answer.
uncomfortable	This chair is uncomfortable.
underwear	Pack clean underwear for the trip.
unemployed	She was unemployed for two months.
unemployment	Unemployment rose during the winter.
unfair	The decision seemed unfair.
union	The union asked for safer work.
unless	Do not leave unless I call.
unlike	Unlike Tom, Ana loves winter.
unlikely	Snow is unlikely this week.
unnecessary	Extra bags are unnecessary.
unpleasant	The room had an unpleasant smell.
update	I need to update my phone.
upon	Once upon a time, there was a king.
upset	She felt upset after the call.
used1	This room is used for meetings.
used2	I am used to early mornings.
valuable	This watch is valuable.
value	The house lost value last year.
various	We tried various local dishes.
version	This version works better.
victim	The victim called the police.
viewer	One viewer asked a question.
violent	The film was too violent.
volunteer	I volunteer at the library.
vote	Remember to vote tomorrow.
warn	I tried to warn him.
warning	The warning appeared on screen.
waste	Do not waste clean water.
weapon	The knife became a weapon.
weigh	Weigh the flour carefully.
western	They watched a western film.
whatever	Choose whatever you like.
whenever	Call whenever you need help.
whether	I do not know whether she agrees.
wing	The bird hurt one wing.
within	Please reply within two days.
wonder	I wonder what happened.
wool	This coat is made of wool.
worldwide	The song became popular worldwide.
worth	This book is worth reading.
written	Please send written instructions.
yard	The children played in the yard.
youth	Youth clubs support local teenagers.
