source_headword	MS	example_MS
prey	mangsa	Burung hantu memburu mangsa pada waktu malam.
privatization	penswastaan	Penswastaan mengubah sistem kereta api.
privilege	keistimewaan	Pendidikan tidak sepatutnya menjadi satu keistimewaan.
probe	siasatan	Siasatan itu mendedahkan kesilapan yang serius.
problematic	bermasalah	Perjanjian itu kekal bermasalah.
proceedings	prosiding	Prosiding mahkamah bermula pada hari Isnin.
proceeds	hasil	Hasil akan menyokong sekolah tempatan.
processing	pemprosesan	Pemprosesan imej mengambil masa.
processor	pemproses	Pemproses gagal semasa ujian.
proclaim	mengisytiharkan	Pemimpin mengisytiharkan kemenangan terlalu awal.
productive	produktif	Mesyuarat itu produktif.
productivity	produktiviti	Produktiviti bertambah baik selepas latihan.
profitable	menguntungkan	Kedai itu menjadi menguntungkan tahun ini.
profound	mendalam	Ucapan itu memberi kesan yang mendalam.
projection	unjuran	Unjuran itu menunjukkan pertumbuhan yang berterusan.
prominent	terkemuka	Dia menjadi seorang saintis terkemuka.
pronounced	ketara	Loghatnya menjadi lebih ketara.
propaganda	propaganda	Kempen itu menggunakan propaganda dalam talian.
proposition	cadangan	Cadangan itu adalah satu cadangan yang berisiko.
prosecute	mendakwa	Pegawai mendakwa kes penipuan yang serius.
prosecution	pendakwaan	Pihak pendakwaan mengemukakan bukti baharu.
prosecutor	pendakwa	Pendakwa menyoal saksi.
prospective	bakal	Bakal pelajar melawat kampus.
prosperity	kemakmuran	Perdagangan membawa kemakmuran ke rantau ini.
protective	pelindung	Dia memakai sarung tangan pelindung.
protocol	protokol	Protokol itu memerlukan kelulusan bertulis.
province	wilayah	Wilayah itu melabur dalam pengangkutan.
provincial	wilayah	Pegawai wilayah mengumumkan pelan itu.
provision	peruntukan	Kontrak itu termasuk peruntukan keselamatan.
provoke	mencetuskan	Ucapan itu mungkin mencetuskan reaksi yang kuat.
psychiatric	psikiatri	Hospital itu membuka unit psikiatri.
pulse	nadi	Jururawat memeriksa nadinya.
pump	pam	Pam itu menggerakkan air ke atas.
punch	tumbukan	Dia melepaskan tumbukan dalam kemarahan.
query	pertanyaan	Hantarkan pertanyaan anda kepada sokongan.
quest	pencarian	Pencarian mereka untuk keadilan diteruskan.
quota	kuota	Pasukan itu mencapai kuota jualannya.
radar	radar	Ribut itu muncul pada radar.
radical	radikal	Kumpulan itu mencadangkan pembaharuan yang radikal.
rage	kemarahan	Kemarahannya pudar dengan cepat.
raid	serbuan	Polis melakukan serbuan pada waktu subuh.
rally	perhimpunan	Penyokong menyertai perhimpunan di pusat bandar.
ranking	kedudukan	Universiti itu memperbaiki kedudukannya.
rape	rogol	Kes rogol memerlukan penyiasatan yang teliti.
ratio	nisbah	Kelas itu mempunyai nisbah guru yang rendah.
rational	rasional	Keputusannya adalah rasional.
ray	sinaran	Sinaran cahaya matahari masuk.
readily	dengan mudah	Dia dengan mudah menerima tawaran itu.
realization	kesedaran	Kesedaran itu mengubah rancangannya.
realm	alam	Soalan ini tergolong dalam alam lain.
rear	belakang	Gunakan pintu masuk belakang hari ini.
reasoning	penaakulan	Penaakulannya jelas.
reassure	meyakinkan	Doktor cuba meyakinkannya.
rebel	pemberontak	Pemimpin pemberontak melarikan diri daripada tangkapan.
rebellion	pemberontakan	Pemberontakan berakhir selepas rundingan.
recipient	penerima	Penerima menandatangani borang itu.
reconstruction	pembinaan semula	Pembinaan semula bermula selepas banjir.
recount1	menceritakan	Dia boleh menceritakan peristiwa dengan jelas.
referendum	referendum	Referendum itu membahagikan negara.
reflection	renungan	Esei itu memerlukan renungan yang lebih mendalam.
reform	pembaharuan	Pembaharuan itu meningkatkan perkhidmatan awam.
refuge	perlindungan	Keluarga itu mencari perlindungan di luar negara.
refusal	penolakan	Penolakannya mengejutkan jawatankuasa itu.
regain	mendapatkan semula	Dia bekerja keras untuk mendapatkan semula kepercayaan.
regardless	tanpa mengira	Mereka meneruskan tanpa mengira kritikan.
regime	rejim	Rejim itu menyekat kebebasan bersuara.
regulator	pengawal selia	Pengawal selia mendenda syarikat itu.
regulatory	kawal selia	Kelulusan kawal selia mengambil masa berbulan-bulan.
rehabilitation	pemulihan	Pemulihan membantunya berjalan semula.
reign	pemerintahan	Pemerintahan raja berlangsung selama beberapa dekad.
rejection	penolakan	Penolakan itu menjejaskan keyakinannya.
relevance	kaitan	Data itu mempunyai kaitan yang terhad.
reliability	kebolehpercayaan	Kebolehpercayaan adalah penting dalam sistem kecemasan.
reluctant	enggan	Dia enggan bercakap.
remainder	baki	Baki itu diserahkan kepada badan amal.
remains	sisa	Sisa-sisa itu diperiksa dengan teliti.
remedy	remedi	Undang-undang menyediakan remedi.
reminder	peringatan	E-mel itu merupakan peringatan yang berguna.
removal	penyingkiran	Penyingkiran halangan membantu perdagangan.
render	menjadikan	Kesilapan itu menjadikan kontrak tidak sah.
renew	memperbaharui	Memperbaharui pasport anda tidak lama lagi.
renowned	terkenal	Dia terkenal dengan penyelidikannya.
rental	sewaan	Sewaan termasuk insurans.
replacement	penggantian	Bahagian penggantian tiba hari ini.
reportedly	dilaporkan	Menteri itu dilaporkan meletak jawatan semalam.
representation	perwakilan	Perwakilan yang adil tetap penting.
reproduce	membiak	Tumbuh-tumbuhan ini membiak dengan cepat.
reproduction	pengeluaran semula	Pengeluaran semula digital meningkatkan akses.
republic	republik	Republik itu mengadakan pilihan raya.
resemble	menyerupai	Kedua-dua reka bentuk itu sangat menyerupai satu sama lain.
reside	tinggal	Mereka tinggal berhampiran sempadan.
residence	kediaman	Kediaman rasminya dikawal.
residential	kediaman	Kawasan itu kebanyakannya kediaman.
residue	sisa	Pembersih meninggalkan sisa melekit.
resignation	peletakan jawatan	Peletakan jawatannya mengejutkan lembaga pengarah.
resistance	rintangan	Rintangan terhadap perubahan adalah kuat.
respective	masing-masing	Mereka kembali ke pejabat masing-masing.
respectively	masing-masing	Markahnya ialah 80 dan 90, masing-masing.
restoration	pemulihan	Pemulihan bangunan mengambil masa bertahun-tahun.
restraint	pengekangan	Polis menunjukkan pengekangan.
resume	menyambung semula	Kelas akan menyambung semula minggu hadapan.
retreat	berundur	Tentera mula berundur.
retrieve	mendapatkan semula	Dia mendapatkan semula fail tersebut.
revelation	pendedahan	Pendedahan itu memusnahkan reputasinya.
revenge	dendam	Dia mahu membalas dendam atas penghinaan itu.
reverse	menterbalikkan	Mahkamah menterbalikkan keputusan.
revival	pemulihan	Pekan itu melihat pemulihan ekonomi.
revive	menghidupkan semula	Festival ini membantu menghidupkan semula tradisi tempatan.
revolutionary	revolusioner	Ciptaan itu adalah revolusioner.
rhetoric	retorik	Retoriknya kedengaran agresif.
rifle	senapang	Senapang itu disimpan dengan selamat.
riot	rusuhan	Rusuhan itu berlangsung beberapa jam.
rip	mengoyakkan	Koyakkan kertas itu dengan berhati-hati.
ritual	ritual	Ritual itu menandakan penuaian.
robust	teguh	Sistem itu teguh.
rock	menggegarkan	Letupan itu menggegarkan kampung.
rod	batang	Tirai tergantung pada batang.
rotate	memutarkan	Putarkan pemegang dengan perlahan.
rotation	penggiliran	Penggiliran tanaman melindungi tanah.
ruling	keputusan	Mahkamah mengeluarkan keputusan.
rumour	khabar angin	Khabar angin itu merebak dengan cepat.
sack	memecat	Lembaga mungkin memecat jurulatih.
sacred	suci	Kuil itu adalah suci.
sacrifice	pengorbanan	Ibu bapa sering membuat pengorbanan.
saint	wali	Gereja itu menghormati seorang wali tempatan.
sake	kebaikan	Dia tinggal demi kebaikannya.
sanction	sekatan	Sekatan itu menjejaskan perdagangan antarabangsa.
say	hak bersuara	Pekerja mempunyai hak bersuara dalam penjadualan.
scattered	berselerak	Kertas yang berselerak menutupi meja.
sceptical	skeptikal	Dia kekal skeptikal terhadap dakwaan itu.
scope	skop	Skop projek itu diperluas.
screw	skru	Ketatkan skru dengan berhati-hati.
scrutiny	penelitian	Perjanjian itu menghadapi penelitian awam.
seal	menutup	Tutup sampul surat sebelum mengepos.
secular	sekular	Sekolah ini mengikuti kurikulum sekular.
seemingly	nampaknya	Tugas itu nampaknya mudah.
segment	segmen	Segmen terakhir adalah lebih pendek.
seize	merampas	Polis merampas dokumen tersebut.
seldom	jarang	Dia jarang terlepas kelas.
selective	selektif	Program itu sangat selektif.
senator	senator	Senator itu menyokong rang undang-undang tersebut.
sensation	sensasi	Penemuan itu menyebabkan sensasi.
sensitivity	sensitiviti	Isu ini memerlukan sensitiviti.
sentiment	sentimen	Sentimen awam berubah dengan cepat.
separation	perpisahan	Perpisahan itu adalah sukar.
serial	siri	Nombor siri itu hilang.
settlement	penyelesaian	Penyelesaian itu menamatkan pertikaian.
set-up	persediaan	Persediaan itu mengambil masa sepanjang pagi.
sexuality	seksualiti	Kursus ini membincangkan identiti dan seksualiti.
shareholder	pemegang saham	Seorang pemegang saham menyoal lembaga pengarah.
shatter	menghancurkan	Berita itu menghancurkan keyakinannya.
shed	membuang	Syarikat itu akan membuang pekerja.
sheer	sangat	Saiznya yang sangat besar mengejutkan semua orang.
shipping	penghantaran	Kos penghantaran meningkat.
shoot	sesi penggambaran	Sesi penggambaran gambar tamat awal.
shrink	mengecut	Kemeja itu mungkin mengecut.
shrug	angkat bahu	Dia mengangkat bahunya sedikit.
sigh	mengeluh	Dia mengeluh kelegaan.
simulate	mensimulasikan	Perisian tersebut boleh mensimulasikan lalu lintas.
simulation	simulasi	Simulasi itu meramalkan banjir.
simultaneously	secara serentak	Dua penggera berbunyi secara serentak.
sin	dosa	Kebanggaan dianggap sebagai dosa.
situated	terletak	Hotel ini terletak di pusat bandar.
sketch	lakaran	Dia membuat lakaran pantas.
skip	melangkau	Jangan melangkau sarapan.
slam	menghempas	Dia boleh menghempas pintu.
slap	menampar	Jangan menampar meja.
slavery	perhambaan	Perhambaan membentuk sejarah wilayah ini.
slot	slot	Tempah slot masa dalam talian.
smash	pecah	Gelas itu pecah di atas lantai.
snap	patah	Dahan itu patah ditiup angin.
soak	merendam	Rendam kacang itu semalaman.
