simplified	DA	example_DA
哎	hej; hov	Hej, hvad laver du her?
唉	suk; åh	Åh, jeg kommer for sent igen.
爱护	passe på; værne om	Vi bør passe på miljøet.
爱惜	værdsætte; passe godt på	Værdsæt din egen tid.
爱心	omsorg; medfølelse	Hun er meget omsorgsfuld.
安慰	trøste	Min ven trøstede mig.
安装	installere	Arbejderen installerer klimaanlægget.
岸	en bred; en kyst	Båden nærmer sig langsomt bredden.
暗	mørk	Der er meget mørkt i rummet.
熬夜	være længe oppe	At være længe oppe er dårligt for helbredet.
把握	sikkerhed; greb	Jeg er ikke sikker på, at jeg kan gøre det godt.
摆	stille; arrangere	Stil stolene pænt på plads.
办理	håndtere; ordne	Jeg går i banken for at ordne nogle sager.
傍晚	om aftenen; ved skumringstid	Vi går en tur om aftenen.
包裹	en pakke	Jeg modtog en pakke.
包含	indeholde	Prisen inkluderer morgenmad.
包括	inkludere	Gebyret inkluderer frokost.
薄	tynd	Denne bog er tynd.
保持	bevare; holde	Vær venlig at holde ro.
保存	gemme; bevare	Gem denne fil.
保留	reservere; beholde	Reserver en plads til mig.
保险	en forsikring	Jeg købte rejseforsikring.
宝贝	en skat; kære	Dette er min skat.
宝贵	værdifuld	Tid er meget værdifuld.
报到	registrere sig; melde sig	Nye studerende kommer til skolen for at registrere sig i dag.
报道	rapportere; en rapport	Nyhederne rapporterede om denne sag.
报告	en rapport; holde oplæg	Han holder et oplæg.
报社	en avisredaktion	Hun arbejder på en avisredaktion.
抱怨	klage	Han klager altid over, at der er for meget arbejde.
悲观	pessimistisk	Vær ikke for pessimistisk.
背	ryg	Han sidder med ryggen mod døren.
背景	en baggrund	Fortæl kort om din baggrund.
被子	en dyne	Dynen er meget varm.
本科	en bacheloruddannelse; bachelor-	Han er bachelorstuderende.
本领	en færdighed	Han lærte en ny færdighed.
本质	en kerne; natur	Problemets kerne er meget enkel.
彼此	hinanden	Vi bør respektere hinanden.
比例	et forhold; en andel	Forholdet mellem mænd og kvinder er omtrent det samme.
必然	uundgåelig	Hårdt arbejde giver uundgåeligt resultater.
必要	nødvendig	Der er ingen grund til at bekymre sig.
毕竟	trods alt	Trods alt er han stadig et barn.
避免	undgå	Undgå at komme for sent.
编辑	redigere; en redaktør	Han har ansvaret for at redigere denne artikel.
鞭炮	fyrværkeri; knaldperler	Under forårsfesten tænder nogle fyrværkeri.
便	så; bekvem	Efter maden gik han til time.
辩论	en debat; debattere	De debatterer dette spørgsmål.
标点	tegnsætning	Vær opmærksom på tegnsætningen.
标志	et tegn; et symbol	Rødt lys er et tegn på at stoppe.
表达	udtrykke	Han udtrykte sit eget synspunkt.
表面	en overflade	Bordets overflade er meget ren.
表明	vise; gøre klart	Resultatet viser, at han har ret.
表情	et ansigtsudtryk	Hendes ansigtsudtryk er meget alvorligt.
表现	præstere; opføre sig	Han klarede sig meget godt i dag.
冰激凌	en is	Børn kan lide at spise is.
病毒	en virus	Denne virus spreder sig meget hurtigt.
播放	afspille; sende	Afspil denne sang.
玻璃	glas; et glas	Glasset gik i stykker.
博物馆	et museum	Vi tager på museum i weekenden.
脖子	en hals	Jeg har lidt ondt i halsen.
不断	konstant; uafbrudt	Priserne bliver ved med at stige.
不见得	ikke nødvendigvis	Dette er ikke nødvendigvis en dårlig ting.
不耐烦	utålmodig	Efter at have ventet længe blev han lidt utålmodig.
不要紧	det gør ikke noget; ikke alvorligt	Det er i orden, det gør ikke noget.
补充	tilføje; supplere	Jeg vil tilføje et synspunkt.
不安	urolig	Efter at have hørt nyheden følte hun sig urolig.
不得了	meget alvorlig	Denne sag er virkelig alvorlig.
不然	ellers	Gå hurtigt, ellers kommer du for sent.
不如	det er bedre at	Det er bedre at gå end at køre.
不足	utilstrækkelig	Der er ikke nok vand her.
布	et stof	Dette stof er meget blødt.
步骤	et trin	Følg trinene, når du gør det.
部门	en afdeling	Jeg arbejder i salgsafdelingen.
财产	ejendom	Dette hus er hans ejendom.
彩虹	en regnbue	Der kom en regnbue frem efter regnen.
踩	træde på	Træd ikke på græsset.
采访	interviewe	Reporteren interviewer lægen.
采取	tage i brug; vedtage	Vi tog en ny metode i brug.
参考	se i; bruge som reference	Se i denne bog som reference.
参与	deltage	Han deltager aktivt i aktiviteter.
惭愧	skamme sig	Jeg skammer mig over min egen fejl.
操场	en sportsplads	Eleverne løber på sportspladsen.
操心	bekymre sig	Bekymr dig ikke om mig.
册	et bind; en bog	Jeg købte et bind af en bog.
测验	en prøve	Der er en lille prøve i morgen.
曾经	engang; tidligere	Jeg har tidligere boet i Beijing.
叉子	en gaffel	Jeg spiser salat med en gaffel.
差距	en forskel; et gab	Der er et gab mellem by og land.
插	sætte i; stikke	Sæt blomsterne i vasen.
拆	rive ned; skille ad	Arbejderne river det gamle hus ned.
产品	et produkt	Dette produkt er af meget god kvalitet.
产生	opstå; skabe	Dette spørgsmål fik en ny virkning.
常识	sund fornuft; almen viden	Dette er grundlæggende sund fornuft.
长途	langdistance	En lang rejse er trættende.
抄	kopiere; skrive af	Skriv ikke andres lektier af.
超级	super-; enorm	Dette er et supermarked.
朝	et dynasti	Tang-dynastiet er meget kendt.
潮湿	fugtig	Sommeren i syd er meget fugtig.
吵	støjende	Der er meget støj udenfor.
吵架	skændes	De skændtes igen.
炒	stege; wokke	Mor steger mad.
车库	en garage	Bilen står i garagen.
车厢	en vogn	Denne togvogn er meget stille.
彻底	grundig; helt	Han forstod det helt.
沉默	tavshed; være stille	Han var stille hele tiden.
趁	mens	Lad os gå, mens det endnu ikke er mørkt.
称	veje; kalde	Vej denne pakke.
称呼	tiltale; kalde	Jeg ved ikke, hvordan jeg skal tiltale ham.
称赞	rose	Læreren roste hans fremskridt.
成分	en ingrediens; sammensætning	Ingredienserne i denne medicin er enkle.
成果	et resultat	Dette projekt gav resultater.
成就	en præstation	Han har mange præstationer i sin karriere.
成立	grundlægges; etableres	Selskabet blev grundlagt sidste år.
成人	en voksen	Voksenbilletter er dyrere end børnebilletter.
成熟	moden	Æblerne er allerede modne.
成语	et idiom	Dette idiom bruges ofte.
成长	vokse op	Barnet vokser langsomt op.
承担	tage ansvar; påtage sig	Han er villig til at tage ansvar.
承认	indrømme	Han indrømmede, at han tog fejl.
承受	tåle; bære	Jeg kan ikke tåle så stort et pres.
程度	et niveau; en grad	Hans kinesiskniveau er højt.
程序	en procedure; en rækkefølge	Behandl det venligst efter proceduren.
诚恳	oprigtig	Hans holdning er meget oprigtig.
吃亏	tabe på det; lide et tab	Kig godt efter, før du køber noget, så du ikke taber på det.
持续	fortsætte	Regnen fortsatte i tre dage.
池塘	en dam	Der er mange fisk i dammen.
迟早	før eller siden	Du vil forstå det før eller siden.
尺子	en lineal	Mål det venligst med en lineal.
翅膀	en vinge	Fuglens vinge er skadet.
充电器	en oplader	Min oplader er gået i stykker.
充分	tilstrækkelig; fuld	Vi har forberedt os grundigt.
充满	være fuld af	Rummet var fuldt af latter.
冲	skylle; blande med vand	Skyl koppen med vand.
重复	gentage	Gentag ikke den samme fejl.
