source_headword	DA	example_DA
institute	et institut	Instituttet åbnede et nyt forskningsprogram.
institution	en institution	Institutionen ændrede sine optagelsesregler.
insurance	en forsikring	Hendes forsikring dækkede hospitalsudgifterne.
intended	tiltænkt	Beskeden nåede sit tiltænkte publikum.
intense	intens	Debatten blev hurtigt intens.
internal	intern	Virksomheden startede en intern gennemgang.
interpret	fortolke	Fortolk venligst resultaterne omhyggeligt.
interrupt	afbryde	Afbryd ikke taleren nu.
investigation	en undersøgelse	Undersøgelsen afslørede alvorlige fejl.
investment	en investering	Investeringen skabte mange lokale jobs.
joy	en glæde	Deres succes bragte stor glæde.
judgement	en dømmekraft	Hans dømmekraft blev bedre med erfaring.
junior	junior	Hun sluttede sig til holdet som junioranalytiker.
justice	en retfærdighed	Familien krævede retfærdighed efter retssagen.
justify	retfærdiggøre	Du skal retfærdiggøre den beslutning tydeligt.
labour	en arbejdskraft	Projektet kræver faglært arbejdskraft.
landscape	et landskab	Landskabet ændrede sig efter stormen.
largely	i vid udstrækning	Planen var i vid udstrækning vellykket.
launch	lancere	De vil lancere produktet i morgen.
leadership	et lederskab	Stærkt lederskab hjalp holdet med at komme sig.
league	en liga	Vores klub sluttede sig til en regional liga.
lean	læne sig	Læn dig ikke op ad den våde væg.
licence	en licens	Licensen udløber næste måned.
limited	begrænset	Vi har begrænset tid i dag.
lively	livlig	Mødet blev livligt efter frokost.
load	en last	Lastbilen bar en tung last.
loan	et lån	Banken godkendte lånet.
logical	logisk	Hendes argument var klart og logisk.
long-term	langsigtet	Dette er en langsigtet løsning.
loose	løs	Håndtaget føles løst.
lord	en herre	Herren ejede flere landsbyer.
lower	sænke	De sænker priserne om vinteren.
lung	en lunge	Rygning kan skade en lunge.
maintain	opretholde	Vi opretholder regelmæssig kontakt.
majority	et flertal	Flertallet støttede forslaget.
mass	en masse	En masse skyer dækkede himlen.
massive	massiv	Jordskælvet forårsagede massive skader.
master	en mester	Hun blev en mester i forhandling.
matching	matchende	Han bar matchende sko og bælte.
maximum	maksimal	Rummet nåede sin maksimale kapacitet.
means	et middel	E-mail er vores primære middel til kontakt.
measurement	en måling	Målingen var lidt forkert.
melt	smelte	Sneen vil smelte inden middag.
military	militær	Militærbasen lukkede sidste år.
mineral	et mineral	Jern er et vigtigt mineral.
minimum	minimal	Den minimale alder er atten.
minister	en minister	Ministeren besvarede svære spørgsmål.
minor	mindre	Ulykken forårsagede mindre skader.
minority	et mindretal	Et mindretal var imod den nye regel.
mission	en mission	Deres mission endte sikkert.
mixed	blandet	Nyheden fik blandede reaktioner.
modify	ændre	Vi kan ændre designet senere.
monitor	en monitor / overvåge	Sygeplejersken vil overvåge hans tilstand.
moral	moralsk	Historien har en moralsk lektie.
motor	en motor	Motoren stoppede uden varsel.
mount	montere	De monterer kameraer nær indgangen.
multiple	flere	Flere faktorer forårsagede forsinkelsen.
multiply	gange	Gang tallet med ti.
mysterious	mystisk	Et mystisk lys dukkede op udenfor.
neat	pæn	Hendes skrivebord er altid pænt.
nerve	en nerve	Skaden beskadigede en nerve.
nevertheless	ikke desto mindre	Opgaven var svær; ikke desto mindre blev vi færdige.
nightmare	et mareridt	Rejsen blev et mareridt.
notion	en opfattelse	Afvis opfattelsen af, at forandring er umulig.
