simplified	NE	example_NE
挨	सहन गर्नु	उसले रातभरि सहन गर्‍यो र अन्ततः उज्यालो पर्खियो।
癌症	क्यान्सर	क्यान्सर चाँडै पत्ता लगाउनु धेरै महत्वपूर्ण हुन्छ।
暧昧	अस्पष्ट	उसको जवाफ धेरै अस्पष्ट थियो।
爱不释手	छोड्न मन नलाग्नु	उनी यो किताबप्रति यति मोहित भइन् कि छोड्नै मन लागेन।
爱戴	माया र सम्मान गर्नु	यी शिक्षकलाई विद्यार्थीहरूले गहिरो माया र सम्मान गर्छन्।
安宁	शान्त	यहाँको रात धेरै शान्त हुन्छ।
安详	शान्त र सौम्य	वृद्धको अनुहार शान्त र सौम्य देखिन्थ्यो।
安置	बसोबासको व्यवस्था गर्नु	सरकारले विपद् पीडितहरूको बसोबासको व्यवस्था गर्‍यो।
按摩	मालिस	मैले एउटा मालिसको समय बुक गरेको छु।
暗示	संकेत गर्नु	उनले मलाई फेरि नसोध्न संकेत गरिन्।
案件	मुद्दा	प्रहरीले यो मुद्दाको अनुसन्धान गरिरहेको छ।
案例	उदाहरणीय घटना	यो उदाहरणीय घटना धेरै प्रतिनिधिमूलक छ।
昂贵	महँगो	यो उपकरण धेरै महँगो छ।
凹凸	उबडखाबड	यो सडकको सतह उबडखाबड छ।
熬	सहन गर्दै बिताउनु	उसले प्रतिवेदन पूरा गर्न तीन दिन सहन गर्दै बितायो।
奥秘	गहिरो रहस्य	वैज्ञानिकहरू यो गहिरो रहस्य खोल्न चाहन्छन्।
巴不得	आतुर हुनु	म तुरुन्तै निस्कन आतुर छु।
巴结	चाप्लुसी गर्नु	उनी नेताको चाप्लुसी गर्न चाहँदैनन्।
扒	समातेर अडिनु	बच्चाले ढोका समातेर बाहिर हेरे।
疤	दाग	उसको पाखुरामा एउटा दाग छ।
拔苗助长	अतिउत्साहले उल्टो हानि गर्नु	बच्चालाई यसरी पढ्न दबाब दिनु अतिउत्साहले उल्टो हानि गर्नु मात्र हो।
把关	जाँच गरेर रोकथाम गर्नु	यो सम्झौता वकिलले जाँच गरेर रोकथाम गर्नुपर्छ।
把手	ह्यान्डल	ढोकाको ह्यान्डल बिग्रिएको छ।
罢工	हडताल	कामदारहरूले भोलि हडताल गर्ने निर्णय गरे।
霸道	दबङ्ग	उसको बोल्ने तरिका धेरै दबङ्ग छ।
掰	दुवै हातले भाँच्नु	उनले रोटी दुवै हातले दुई टुक्रा पारिन्।
摆脱	छुटकारा पाउनु	उसले अन्ततः नराम्रो बानीबाट छुटकारा पायो।
拜访	भेट्न जानु	हामी सप्ताहन्तमा शिक्षकलाई भेट्न जान्छौँ।
拜年	नयाँ वर्षको शुभकामना दिनु	वसन्त चाडमा हामी हजुरबा हजुरआमालाई शुभकामना दिन गयौँ।
拜托	अनुरोध गर्नु	यो काम तिमीलाई अनुरोध गर्छु।
败坏	बिगार्नु	यस्तो व्यवहारले कम्पनीको प्रतिष्ठा बिगार्छ।
斑	दाग	बिरालोको शरीरमा एउटा कालो दाग छ।
颁布	जारी गर्नु	नयाँ नियम अर्को हप्ता जारी हुनेछ।
颁发	प्रदान गर्नु	विद्यालयले उत्कृष्ट विद्यार्थीहरूलाई प्रमाणपत्र प्रदान गर्‍यो।
版本	संस्करण	यो सफ्टवेयरको नयाँ संस्करण छ।
伴侣	साथी	उनले कुकुरलाई आफ्नो साथी मानेकी छिन्।
伴随	सँगसँगै आउनु	सफलतासँग प्रायः दबाब पनि सँगसँगै आउँछ।
半途而废	बीचमै छोड्नु	अनुसन्धान गर्दा काम बीचमै छोड्नु हुँदैन।
