source_headword	CS	example_CS
absorb	absorbovat	Ručník rychle vstřebává vodu.
abstract	abstraktní	Přednáška probírala abstraktní myšlenky.
accent	přízvuk	Jejímu přízvuku je snadné rozumět.
accidentally	náhodou	Omylem jsem smazal ten soubor.
accommodate	přizpůsobit se	Hotel může ubytovat velké rodiny.
accomplish	splnit	Dosáhla svého cíle před červnem.
accountant	účetní	Účetní zkontroloval fakturu.
accuracy	přesnost	Test měří přesnost čtení.
accurately	přesně	Mapa ukazuje trasu přesně.
acid	kyselina	Kyselina poškodila kovový povrch.
activate	aktivovat	Stisknutím tlačítka aktivujete alarm.
addiction	závislost	Jeho závislost ovlivnila jeho práci.
additionally	navíc	Navíc potřebujeme více židlí.
adequate	adekvátní	Místnost má dostatečné světlo.
adequately	adekvátně	Zpráva problém adekvátně vysvětlila.
adjust	upravit	Před jízdou nastavte sedadlo.
affordable	cenově dostupný	Byt je pro studenty cenově dostupný.
agriculture	zemědělství	Zemědělství živí mnoho venkovských rodin.
AIDS	AIDS	Lékaři léčí AIDS moderní medicínou.
alien	mimozemšťan	Film ukazuje mimozemskou planetu.
alongside	vedle	Cyklostezka vede podél řeky.
altogether	celkem	Celkově projekt trval šest týdnů.
ambulance	sanitka	Sanitka dorazila během několika minut.
amusing	zábavný	Příběh byl zábavný a lehký.
analyst	analytik	Analytik přezkoumal údaje o prodeji.
ancestor	předek	Můj předek žil poblíž této vesnice.
animation	animace	Díky animaci byla lekce jasnější.
annually	ročně	Festival se koná každoročně.
anticipate	předvídat	Na zítřek očekáváme silný provoz.
anxiety	úzkost	Úzkost může ztížit spánek.
apology	omluva	Nabídla upřímnou omluvu.
applicant	uchazeč	Uchazeč poslal nový životopis.
appropriately	vhodně	Na pohovor se prosím vhodně oblečte.
arrow	šipka	Šipka ukazuje k východu.
artwork	umělecké dílo	Muzeum vystavilo místní umělecká díla.
aside	stranou	Ustoupila stranou, aby ho nechala projít.
asset	aktivum	Zkušenost je cennou předností.
assign	přidělit	Učitel dnes zadal domácí úkol.
assistance	pomoc	Prosím, požádejte personál o pomoc.
assumption	předpoklad	Ten předpoklad může být mylný.
assure	ujistit	Ujišťuji vás, že dveře jsou zamčené.
astonishing	ohromující	Výhled z útesu byl ohromující.
attachment	příloha	E-mail obsahuje přílohu.
auction	aukce	Obraz se prodal v aukci.
audio	audio	Zvuková nahrávka zní jasně.
automatic	automatický	Dveře mají automatický zámek.
automatically	automaticky	Světla se rozsvítí automaticky.
awareness	povědomí	Kampaň zvýšila povědomí veřejnosti.
awkward	trapný	Ticho bylo trapné.
badge	odznak	Návštěvníci musí nosit odznak.
balanced	vyvážený	Vyvážená strava zahrnuje zeleninu.
ballet	balet	Po škole studuje balet.
balloon	balonek	Balónek se vznášel nad stolem.
barely	stěží	Sotva slyšel oznámení.
bargain	výhodná koupě	Ta bunda byla opravdu výhodná koupě.
basement	suterén	Krabice jsou v suterénu.
basket	koš	Dala jablka do košíku.
bat	pálka	Netopýr vyletěl z jeskyně.
beneficial	prospěšný	Pravidelné cvičení je prospěšné pro zdraví.
beside	vedle	Lampa stojí vedle pohovky.
besides	kromě toho	Kromě matematiky studuje chemii.
bias	zaujatost	Článek ukazoval jasnou zaujatost.
bid	nabídka	Společnost podala vyšší nabídku.
biological	biologický	Biologický test potvrdil výsledek.
blanket	přikrývka	Dítě spalo pod dekou.
blow	rána	Silná rána rozbila okno.
bold	odvážný	Titulek použil tučná písmena.
bombing	bombardování	Bombardování poškodilo několik budov.
booking	rezervace	Potvrdil jsem rezervaci hotelu.
boost	podpora	Výhra posílila sebevědomí týmu.
bound	vázaný	Balík byl svázán provázkem.
brick	cihla	Zeď je z cihel.
briefly	krátce	Po obědě krátce promluvila.
broadcaster	vysílatel	Redaktor vyzpovídal starostu.
broadly	široce	Oba plány jsou si obecně podobné.
bug	chyba	Aplikace spadla kvůli chybě v programu.
cabin	chata	Zůstali jsme v malé chatě.
canal	kanál	Lodě se pomalu pohybovaly po kanálu.
candle	svíčka	Na stole hořela svíčka.
carbon	uhlík	Stromy absorbují uhlík ze vzduchu.
casual	neformální	Do práce si oblékl neformální oblečení.
cave	jeskyně	Turisté vstoupili do jeskyně.
certainty	jistota	Nemůžeme to vědět s jistotou.
certificate	certifikát	Dostala certifikát o školení.
challenging	náročný	Kurz byl náročný, ale užitečný.
championship	mistrovství	Náš tým se dostal do finále mistrovství.
charming	okouzlující	Stará ulice vypadala kouzelně.
chase	honička	Pes honil míč.
cheek	tvář	Po tváři jí stekla slza.
cheer	jásot	Dav začal hlasitě jásat.
choir	sbor	Sbor krásně zpíval.
chop	sekat	Nakrájejte cibuli na malé kousky.
circuit	obvod	Běžec dokončil okruh.
civilization	civilizace	Tuto oblast utvářela starověká civilizace.
clarify	objasnit	Prosím, objasněte ten poslední bod.
classify	klasifikovat	Vědci klasifikují zvířata podle druhů.
clerk	úředník	Úředník vytiskl účtenku.
cliff	útes	Cesta končí poblíž útesu.
clinic	klinika	Klinika otevírá v osm.
clip	klip	Připevnila sponku k papíru.
coincidence	náhoda	Potkat ho tam byla náhoda.
collector	sběratel	Sběratel koupil vzácné mince.
colony	kolonie	Mravenci vybudovali velkou kolonii.
colourful	barevný	Trh byl jasný a barevný.
comic	komiks	Komická scéna nás rozesmála.
commander	velitel	Velitel vydal jasné rozkazy.
comparative	srovnávací	Esej využívá srovnávací data.
completion	dokončení	Most se blíží k dokončení.
compose	skládat	Složí hudbu k filmu.
composer	skladatel	Skladatel napsal novou píseň.
compound	sloučenina	Sloučenina obsahuje dvě chemikálie.
comprehensive	komplexní	Průvodce poskytuje komplexní pokyny.
comprise	tvořit	Tým se skládá z pěti členů.
compulsory	povinný	Účast na této hodině je povinná.
concrete	beton	Podlaha je z betonu.
confess	přiznat	Přiznal chybu svému učiteli.
confusion	zmatek	Zpoždění způsobilo zmatek.
consequently	následně	Začalo pršet; proto byl zápas přerušen.
conservation	ochrana	Ochrana přírody chrání vzácná zvířata.
considerable	značný	Oprava zabrala značný čas.
considerably	značně	Ceny letos značně vzrostly.
consistently	důsledně	Podává trvale dobré výkony.
conspiracy	spiknutí	Policie vyšetřovala spiknutí.
consult	konzultovat	Před užitím léku se poraďte se svým lékařem.
consultant	konzultant	Poradce navrhl novou strategii.
consumption	spotřeba	Spotřeba energie minulý měsíc klesla.
controversial	kontroverzní	Tato politika zůstává kontroverzní.
controversy	kontroverze	Rozhodnutí vyvolalo kontroverzi.
convenience	pohodlí	Obchod nabízí velké pohodlí.
convention	úmluva	Každoroční sjezd začíná v pondělí.
conventional	konvenční	Vybral si konvenční design.
convey	sdělit	Zpráva vyjadřovala soucit.
convincing	přesvědčivý	Její vysvětlení bylo přesvědčivé.
cope	zvládnout	Naučila se zvládat stres.
corporation	korporace	Korporace otevřela novou kancelář.
corridor	chodba	Chodba byla úzká a tichá.
counter (long flat surface)	pult	Klíče jsou na kuchyňské lince.
coverage	pokrytí	Zpravodajství trvalo celý večer.
crack	prasklina	Ve zdi se objevila prasklina.
craft	řemeslo	Prodává ruční výrobky online.
creativity	kreativita	Kreativita pomáhá řešit problémy.
critically	kriticky	Článek byl kriticky důležitý.
cruise	plavba	Zarezervovali si plavbu do Řecka.
cue	narážka	Herec promeškal svou narážku.
curious	zvědavý	Dítě bylo zvědavé na vesmír.
curriculum	osnovy	Škola aktualizovala své osnovy.
cute	roztomilý	Štěně vypadalo roztomile.
dairy	mlékárna	Farma vyrábí mléčné výrobky.
dare	odvážit se	Vyzývám tě, abys to zkusil.
darkness	tma	Místnost se naplnila tmou.
database	databáze	Databáze uchovává záznamy o zákaznících.
deadline	termín	Uzávěrka je v pátek.
deadly	smrtící	Ten had má smrtící jed.
dealer	prodejce	Prodejce aut nabídl slevu.
deck	paluba	Židle jsou na terase.
defender	obránce	Obránce zablokoval střelu.
delete	smazat	Smažte starou zprávu.
democracy	demokracie	Demokracie závisí na svobodných volbách.
democratic	demokratický	Hlasování se řídilo demokratickými pravidly.
demonstration	demonstrace	Studenti se připojili k demonstraci.
depart	odstoupit	Vlak odjede v poledne.
dependent	závislý	Dítě je závislé na dospělých.
deposit	vklad	Zaplatila zálohu na byt.
depression	deprese	Deprese vyžaduje odbornou podporu.
derive	odvodit	Mnoho slov pochází z latiny.
desperately	zoufale	Zoufale potřeboval vodu.
destruction	zničení	Bouře způsobila rozsáhlou zkázu.
determination	odhodlání	Její odhodlání udělalo na trenéra dojem.
devote	věnovat	Věnuje víkendy studiu.
differ	lišit se	Jejich názory se ostře liší.
disability	postižení	Budova má bezbariérový přístup.
disabled	zakázaný	Postižený sportovec vyhrál medaili.
disagreement	neshoda	Schůzka skončila neshodou.
disappoint	zklamat	Výsledek může fanoušky zklamat.
disappointment	zklamání	Cítil hluboké zklamání.
discourage	odradit	Neodrazujte mladé studenty.
disorder	porucha	Lékař diagnostikoval poruchu spánku.
distant	vzdálený	Hory vypadaly vzdáleně.
distinct	odlišný	Tyto dva zvuky jsou odlišné.
distinguish	rozlišit	Dokážete tyto barvy rozeznat?
distract	rozptýlit	Hluk může studenty rozptylovat.
disturb	rušit	Prosím, nerušte pacienta.
dive	ponor	Budou se potápět blízko útesu.
diverse	rozmanitý	Město má rozmanité kultury.
diversity	rozmanitost	Oslavujeme kulturní rozmanitost.
divorce	rozvod	Rozvod byl pro všechny těžký.
dominant	dominantní	Dominantní tým ovládal hru.
donation	dar	Charita obdržela dar.
dot	tečka	Dejte za číslo tečku.
downtown	centrum	Po práci jsme se sešli v centru.
dramatically	dramaticky	Cena dramaticky klesla.
drought	sucho	Sucho poškodilo úrodu.
dull	nudný	Přednáška byla nudná.
dump	zahodit	Nevyhazujte sem odpadky.
duration	trvání	Délka letu jsou tři hodiny.
dynamic	dynamický	Třída působila dynamicky.
economics	ekonomie	Studuje na univerzitě ekonomii.
economist	ekonom	Ekonom předpověděl pomalejší růst.
editorial	redakční	Úvodník kritizoval zákon.
efficiently	efektivně	Tým pracoval efektivně.
elbow	loket	Poranil si loket.
electronics	elektronika	Ten obchod prodává elektroniku.
elegant	elegantní	Ty šaty vypadaly elegantně.
elementary	základní	Ta kniha vysvětluje základní gramatiku.
eliminate	odstranit	Tým odstranil několik chyb.
embrace	přijmout	Přijala tu novou myšlenku.
emission	emise	Úrovně emisí aut klesly.
emotionally	emocionálně	Mluvil emotivně o své rodině.
empire	říše	Ta říše trvala staletí.
enjoyable	příjemný	Ten výlet byl příjemný.
entertaining	zábavný	To představení bylo zábavné.
entrepreneur	podnikatel	Podnikatel otevřel kavárnu.
envelope	obálka	Dej ten dopis do obálky.
equip	vybavit	Škola vybaví laboratoř.
equivalent	ekvivalent	Jeden dolar zde není ekvivalentní.
era	éra	Ten objev zahájil novou éru.
erupt	propuknout	Ta sopka možná brzy vybuchne.
essentially	v podstatě	Tyto dvě metody jsou v podstatě identické.
ethic	etika	Jeho pracovní etika je silná.
ethnic	etnický	Ten festival oslavuje etnické tradice.
evaluation	hodnocení	Kurz zahrnuje závěrečné hodnocení.
evident	zřejmý	Jeho nervozita byla zřejmá.
evolution	evoluce	Evoluce vysvětluje mnoho biologických změn.
evolve	vyvíjet se	Jazyky se vyvíjejí časem.
exceed	překročit	Poptávka může přesáhnout nabídku.
exception	výjimka	Je tu jedna výjimka.
excessive	nadměrný	Nadměrný hluk ruší sousedy.
exclude	vyloučit	Seznam vylučuje dočasné pracovníky.
exhibit	exponát	Muzeum bude vystavovat vzácné fotografie.
exit	východ	Východ je za pódiem.
exotic	exotický	Ten obchod prodává exotické ovoce.
expansion	expanze	Společnost plánovala expanzi.
expertise	odbornost	Její odbornost zlepšila ten projekt.
exploit	využít	Zločinci zneužívají slabá hesla.
exposure	vystavení	Vystavení slunci může poškodit kůži.
extension	prodloužení	Prodloužení termínu všem pomohlo.
extensive	rozsáhlý	Knihovna má rozsáhlé zdroje.
extensively	extenzivně	To téma bylo rozsáhle studováno.
extract	výtažek	Vanilkový extrakt dodává chuť.
fabric	látka	Ta látka je na dotek měkká.
fabulous	báječný	To jídlo bylo báječné.
failed	neúspěšný	Ten neúspěšný pokus nás něco naučil.
fake	falešný	Ta webová stránka prodávala falešné lístky.
fame	sláva	Sláva změnila jeho soukromý život.
fantasy	fantazie	Ten román je fantasy.
fare	jízdné	Jízdné v autobusu se zvýšilo.
federal	federální	Federální vláda oznámila financování.
fever	horečka	To dítě má horečku.
firefighter	hasič	Hasič zachránil psa.
firework	ohňostroj	Nad parkem vybuchl ohňostroj.
firm	pevný	Ta matrace je pevná.
firmly	pevně	Pevně zavřela dveře.
flavour	chuť	Ta polévka má bohatou chuť.
fond	milující	Má rád jazz.
fool	hlupák	Nechovej se jako blázen.
forbid	zakázat	Zákon zde zakazuje kouřit.
forecast	předpověď	Předpověď hlásí déšť.
format	formát	Použijte správný formát souboru.
formation	formace	Tvorba mraků se rychle mění.
formerly	dříve	Ta budova byla dříve škola.
fortunate	šťastný	Měli jsme štěstí, že jsme dorazili brzy.
forum	fórum	Fórum diskutovalo o klimatické politice.
fossil	fosilie	Ta fosilie byla nalezena v kameni.
foundation	základ	Ten dům má pevné základy.
founder	zakladatel	Zakladatel přivítal hosty.
fraction	zlomek	Přišel jen zlomek studentů.
fragment	úlomek	Na podlaze ležel skleněný střep.
framework	rámec	Zákon vytváří jasný rámec.
fraud	podvod	Banka odhalila podvod.
freely	volně	Děti si venku volně hrály.
frequent	častý	Časté přestávky zlepšují soustředění.
fulfil	splnit	Doufám, že splním svůj slib.
full-time	na plný úvazek	Má práci na plný úvazek.
fundamentally	zásadně	Ten plán je zásadně odlišný.
furious	zuřivý	Byl rozzuřený kvůli tomu zpoždění.
gaming	hraní	Hraní her může zlepšit rychlost reakce.
gay	gay	Podporuje práva gayů.
gender	pohlaví	Průzkum se ptal na pohlaví.
gene	gen	Tento gen ovlivňuje barvu očí.
genetic	genetický	Ta nemoc má genetické příčiny.
genius	génius	Ten mladý pianista je génius.
genuine	pravý	Její úsměv se zdál opravdový.
genuinely	upřímně	Upřímně chtěl pomoci.
gesture	gesto	Udělala přátelské gesto.
gig	koncert	Ta kapela hrála koncert v centru.
globalization	globalizace	Globalizace ovlivňuje místní podniky.
globe	zeměkoule	Glóbus ukazuje každý kontinent.
golden	zlatý	Západ slunce zezlátl.
goodness	dobrota	Věří v lidskou dobrotu.
gorgeous	nádherný	Ta zahrada vypadala nádherně.
governor	guvernér	Guvernér podepsal ten zákon.
graphic	grafický	Ten explicitní obraz šokoval diváky.
graphics	grafika	Ta hra má jednoduchou grafiku.
greatly	značně	Tvá rada velmi pomohla.
greenhouse	skleník	Rajčata rostou uvnitř skleníku.
grocery	potraviny	Po práci koupila potraviny.
guideline	směrnice	Ta směrnice vysvětluje bezpečné postupy.
habitat	přirozené prostředí	Ten les je přirozené prostředí ptáků.
harbour	přístav	Ta loď vplula do přístavu.
headquarters	ústředí	Ústředí společnosti se přestěhovalo do centra.
