source_headword	TL	example_TL
rock (music)	musikang rock	Mahilig ako sa musikang rock.
role	papel; gampanin	Mahalaga ang papel niya.
roof	bubong	Kailangang ayusin ang bubong.
round	bilog	Bilog ang mesa.
route	ruta	Mas maikli ang rutang ito.
rubbish	basura	Ilabas ang basura.
rude	bastos	Bastos ang komentong iyon.
runner	mananakbo	Mukhang pagod ang mananakbo.
running	pagtakbo	Pinapanatili akong malusog ng pagtakbo.
sadly	nakalulungkot	Nakalulungkot, hindi namin naabutan ang tren.
safe	ligtas	Ligtas ang pakiramdam sa kalyeng ito.
sail	maglayag	Maglalayag kami sa Sabado.
sailing	paglalayag	Sikat dito ang paglalayag.
salary	suweldo	Mas mataas na ang suweldo niya.
sale	sale; bentahan	Magsisimula bukas ang sale.
sauce	sarsa	Lagyan ng sarsa ang kanin.
save	i-save	I-save mo na ang trabaho mo.
scared	takot	Takot ang bata.
scary	nakakatakot	Nakakatakot ang kuwentong ito.
scene	eksena	Nakakatawa ang huling eksena.
schedule	iskedyul	Tingnan ang iskedyul ngayon.
score	iskor	Ano ang iskor?
screen	screen	Linisin nang maingat ang screen.
search	maghanap	Maghanap sa web ng mga larawan.
season	panahon	Abala ang tag-init na panahon.
seat	upuan	Kunin mo ang upuang ito, pakiusap.
second1 (next after the first)	pangalawa	Pangalawa, hugasan mo ang iyong kamay.
secondly	pangalawa	Pangalawa, suriin ang sagot mo.
secret	lihim	Panatilihing ligtas ang lihim na ito.
secretary	kalihim	Tumawag ang kalihim ngayon.
seem	tila	Tila pagod ka.
sense	saysay	May saysay ang planong ito.
separate	hiwalay	Panatilihing hiwalay ang mga papel.
series	serye	Sikat ang seryeng ito.
serious	seryoso	Seryoso ang problemang ito.
serve	maghain	Naghahain sila ng tanghalian sa tanghali.
service	serbisyo	Mabilis ang serbisyo.
several	ilang	Maagang dumating ang ilang estudyante.
shake	alugin	Alugin muna ang bote.
shall modal	dapat ba	Magsisimula na ba tayo ngayon?
shape	hugis	Gumuhit ng parisukat na hugis.
sheet	sapin	Ilagay ang sapin sa kama.
ship	barko	Umalis ang barko ngayon.
shoulder	balikat	Masakit ang balikat ko.
shout	sumigaw	Huwag sumigaw sa klase.
shut	isara	Isara ang bintana, pakiusap.
side	gilid	Umupo sa gilid na ito.
sign	karatula	Basahin nang maingat ang karatula.
silver	pilak	Ang pilak ay makinang na metal.
simple	simple	Simple ang ehersisyong ito.
since	mula	Naghintay ako mula tanghali.
singing	pagkanta	Nakakatulong sa akin ang pagkanta.
single	isa; pang-isahan	Bumili ako ng pang-isahang tiket.
sir	ginoo	Ginoo, handa na ang bag ninyo.
site	site	Ligtas ang site na ito.
size	sukat	Anong sukat ang kailangan mo?
ski	mag-ski	Nag-i-ski kami sa taglamig.
skiing	pag-ski	Masaya ang pag-ski sa taglamig.
skin	balat	Tila tuyo ang balat niya.
sky	langit	Maaliwalas ang langit.
slowly	dahan-dahan	Maglakad nang dahan-dahan sa yelo.
smartphone	smartphone	Bago ang smartphone ko.
smell	amoy	Mabango ang amoy ng sopas.
smile	ngiti; ngumiti	Ngumiti para sa kamera.
smoke	usok	Pinuno ng usok ang silid.
smoking	paninigarilyo	Hindi pinapayagan ang paninigarilyo.
soap	sabon	Gumamit ng sabon at tubig.
soccer	soccer; football	Sikat dito ang soccer.
