source_headword	NE	example_NE
abolish	खारेज गर्नु	कानुनले पुरानो शुल्क खारेज गर्नेछ।
abortion	गर्भपतन	गर्भपतन एक संवेदनशील चिकित्सा मुद्दा बनेको छ।
absence	अनुपस्थिति	उनको अनुपस्थितिले अन्तिम निर्णयमा ढिलाइ गर्यो।
absent	अनुपस्थित	कक्षामा दुईजना सदस्य अनुपस्थित थिए।
absurd	बेतुका	त्यो दाबी सबैलाई बेतुका लाग्यो।
abundance	प्रचुरता	उपत्यकामा प्रशस्त पानी छ।
abuse	दुर्व्यवहार	प्रतिवेदनले कार्यस्थलमा हुने दुर्व्यवहारको वर्णन गरेको छ।
academy	एकेडेमी	एकेडेमीले युवा संगीतकारहरूलाई तालिम दिन्छ।
accelerate	गति बढाउनु	नयाँ कोषले अनुसन्धानलाई गति दिनेछ।
acceptance	स्वीकृति	उनको आलोचनाको स्वीकृतिले मलाई प्रभावित गर्‍यो।
accessible	पहुँचयोग्य	संग्रहालय ह्वीलचेयर प्रयोगकर्ताहरूको लागि पहुँचयोग्य छ।
accomplishment	उपलब्धि	पुस्तक समाप्त गर्नु एक वास्तविक उपलब्धि थियो।
accordance	अनुसार	काम नीति अनुसार गरिएको थियो।
accordingly	सोही अनुसार	प्रमाण परिवर्तन भयो, र हामीले सोही अनुसार काम गर्यौं।
accountability	जवाफदेहिता	नीतिले प्रबन्धकहरूको लागि जवाफदेहिता बढाउँछ।
accountable	जवाफदेही	प्रबन्धकहरू सुरक्षाको लागि जवाफदेही हुन्छन्।
accumulate	जम्मा गर्नु	पर्दाको पछाडि धुलो जम्मा हुन सक्छ।
accumulation	सञ्चय	डाटा सञ्चय गर्न महिनौं लाग्यो।
accusation	आरोप	आरोपले समितिलाई चकित पार्यो।
accused	आरोपी	आरोपी अदालतमा उपस्थित भए।
acquisition	अधिग्रहण	अधिग्रहणले कम्पनीलाई द्रुत रूपमा विस्तार गर्यो।
acre	एकड	खेत एक एकडमा फैलिएको छ।
activation	सक्रियकरण	कार्ड सक्रिय गर्न केही मिनेट लाग्छ।
activist	कार्यकर्ता	कार्यकर्ताले र्‍यालीमा भाषण दिए।
acute	तीव्र	दौडेपछि उनलाई तीव्र पीडा भयो।
adaptation	रूपान्तरण	रूपान्तरणले उपन्यासको अन्त्य परिवर्तन गर्यो।
adhere	पालना गर्नु	कर्मचारीहरूले सुरक्षा नियमहरूको पालना गर्नुपर्छ।
adjacent	नजिकैको	होटल स्टेशनको छेउमा छ।
adjustment	समायोजन	सानो समायोजनले समस्या समाधान गर्यो।
administer	व्यवस्थापन गर्नु	नर्सहरूले होसियारीसाथ खोप दिन्छन्।
administrative	प्रशासनिक	प्रशासनिक कर्मचारीहरूले फारमहरू ह्यान्डल गर्छन्।
administrator	प्रशासक	प्रशासकले मेरो पासवर्ड रिसेट गरे।
admission	प्रवेश	संग्रहालयमा प्रवेश निःशुल्क छ।
adolescent	किशोर	किशोरलाई अतिरिक्त समर्थनको आवश्यकता थियो।
adoption	धर्मपुत्र ग्रहण	धर्मपुत्र ग्रहणले बच्चालाई स्थिर घर दियो।
adverse	प्रतिकूल	औषधिले प्रतिकूल असर गर्यो।
advocate	वकिल	वकिलले भाडामा बस्नेहरूको अधिकारको रक्षा गरे।
aesthetic	सौन्दर्यात्मक	कोठामा शान्त सौन्दर्य शैली छ।
affection	स्नेह	उनले आफ्नो परिवारप्रति स्नेह देखाइन्।
aftermath	परिणाम	आँधीको परिणाम कठिन थियो।
aggression	आक्रामकता	शिक्षकले छुट्टीको समयमा आक्रामकता देखे।
agricultural	कृषि सम्बन्धी	यस वर्ष कृषि निर्यात बढ्यो।
aide	सहयोगी	सहयोगीले मन्त्रीको कार्यतालिका मिलाए।
albeit	यद्यपि	योजनाले काम गर्यो, यद्यपि बिस्तारै।
alert	सचेत गराउनु	कृपया कर्मचारीहरूलाई तुरुन्त सचेत गराउनुहोस्।
align	पङ्क्तिबद्ध गर्नु	तीरहरू सडकसँग पङ्क्तिबद्ध छन्।
alignment	पङ्क्तिबद्धता	पाङ्ग्राको पङ्क्तिबद्धताले कारको ह्यान्डलिङमा सुधार ल्यायो।
alike	उस्तै	जुम्ल्याहा बच्चाहरू सप्ताहन्तमा उस्तै लुगा लगाउँछन्।
