simplified	KA	example_KA	HY	example_HY
爱情	სიყვარული; რომანტიკული სიყვარული	ეს გულისამაჩუყებელი სიყვარულის ისტორიაა.	սեր; ռոմանտիկ սեր	Սա հուզիչ սիրո պատմություն է։
安排	დაგეგმვა; მოწყობა	ამ შაბათ-კვირისთვის რა გეგმები გაქვთ?	պլանավորել; կազմակերպել	Այս հանգստյան օրերի համար ի՞նչ պլաններ ունեք։
安全	უსაფრთხო; უსაფრთხოება	გთხოვთ, ფრთხილად იყავით.	անվտանգ; անվտանգություն	Խնդրում եմ, զգույշ եղեք։
按时	დროულად; ზუსტად დროზე	დავალება დროულად შევასრულე.	ժամանակին; ըստ ժամանակացույցի	Ես առաջադրանքը ժամանակին ավարտեցի։
按照	მიხედვით; შესაბამისად	ეს გეგმა ძალიან კარგია, უბრალოდ მას მიჰყევით.	ըստ; համաձայն	Այս պլանը շատ լավն է, պարզապես հետևեք դրան։
百分之	პროცენტი	დავალების ოთხმოცი პროცენტი შესრულებულია.	տոկոս	Առաջադրանքի ութսուն տոկոսը ավարտված է։
棒	შესანიშნავი; ძალიან კარგი	თქვენი ხელწერა შესანიშნავია!	հիանալի; գերազանց	Ձեր ձեռագիրը հիանալի է։
包子	ორთქლზე მომზადებული შიგთავსიანი ფუნთუშა; ბაოძი	ამ რესტორნის ბაოძი ძალიან გემრიელია.	շոգեխաշած միջուկով բուլկի; բաոձի	Այս ռեստորանի բաոձիները շատ համեղ են։
保护	დაცვა; გაფრთხილება	ადამიანებმა გარემო უნდა დაიცვან.	պաշտպանել; պահպանել	Մարդիկ պետք է պաշտպանեն շրջակա միջավայրը։
保证	გარანტია; გარანტირება; პირობის მიცემა	გპირდებით, აღარ დავიგვიანებ.	երաշխիք; երաշխավորել; խոստանալ	Խոստանում եմ՝ այլևս չեմ ուշանա։
报名	რეგისტრაცია; ჩაწერა; განაცხადის შეტანა	რეგისტრაციისთვის რა მასალებია საჭირო?	գրանցվել; դիմում տալ	Գրանցման համար ի՞նչ նյութեր են անհրաժեշտ։
抱	ჩახუტება; ხელში აყვანა	მან ბავშვი ხელში აიყვანა.	գրկել; ձեռքերի վրա վերցնել	Նա երեխային գրկեց։
抱歉	ბოდიში; სინანული	ძალიან ვწუხვარ, რომ ამდენ ხანს გალოდინეთ.	ներողություն; զղջալ	Շատ ներողություն, որ ձեզ այսքան երկար սպասեցրի։
倍	ჯერ; -ჯერადი	ჩვენს სკოლაში უცხოელი სტუდენტების რაოდენობა შარშანდელთან შედარებით ორჯერ გაიზარდა.	անգամ; բազմապատիկ	Մեր դպրոցում օտարերկրյա ուսանողների թիվը անցյալ տարվա համեմատ կրկնապատկվել է։
本来	თავდაპირველად; თავიდან	თავდაპირველად წარმოდგენის სანახავად წასვლას ვაპირებდი, მაგრამ უცებ საქმე გამომიჩნდა.	սկզբում; ի սկզբանե	Ես սկզբում ներկայացում դիտելու էի գնալու, բայց հանկարծ գործ առաջացավ։
笨	სულელი; მოუხერხებელი	სულელი არ ხართ, უბრალოდ მეტი შრომა გჭირდებათ.	հիմար; անճարակ	Դուք հիմար չեք, պարզապես պետք է ավելի շատ աշխատեք։
比如	მაგალითად; მაგალითად რომ	ბევრი ჰობი მაქვს, მაგალითად ცურვა და კითხვა.	օրինակ; ինչպես օրինակ	Ես շատ հոբբիներ ունեմ, օրինակ՝ լողն ու ընթերցանությունը։
毕业	დამთავრება; კურსის დასრულება	ამ წელს მესამე კურსზე ვარ და მომავალ წელს დავამთავრებ.	ավարտել; ավարտական լինել	Այս տարի ես երրորդ կուրսում եմ և հաջորդ տարի ավարտելու եմ։
遍	ერთხელ; ერთი ჯერი	მან ეს ამბავი კიდევ ერთხელ გაიმეორა.	մեկ անգամ; հերթ	Նա այդ հարցը ևս մեկ անգամ կրկնեց։
标准	სტანდარტი; ნორმა	თქვენი პუტუნხუას გამოთქმა ძალიან სტანდარტულია.	ստանդարտ; չափանիշ	Ձեր փութունհուայի արտասանությունը շատ ստանդարտ է։
表格	ფორმა; ცხრილი	გთხოვთ, ფორმაში თქვენი სახელი ჩაწერეთ.	ձևաթուղթ; աղյուսակ	Խնդրում եմ, ձևաթղթում գրեք ձեր անունը։
表示	გამოხატვა; ჩვენება; თქმა	გთხოვთ, მას მადლობა გადაუხადეთ.	արտահայտել; ցույց տալ; ասել	Խնդրում եմ, նրան շնորհակալություն հայտնեք։
表演	შესრულება; წარმოდგენა	რა ნომრის შესრულებას აპირებთ?	կատարել; ներկայացում	Ի՞նչ համար եք պատրաստվում ներկայացնել։
表扬	შექება; ქება	მას დირექტორი ხშირად აქებს.	գովել; գովասանք	Տնօրենը նրան հաճախ է գովում։
饼干	ორცხობილა; კრეკერი	ორცხობილა ვიყიდე, მოდი ცოტა ვჭამოთ.	թխվածքաբլիթ; կրեկեր	Ես թխվածքաբլիթ եմ գնել, եկեք մի քիչ ուտենք։
并且	გარდა ამისა; თანაც	ის ძალიან ჭკვიანია და ძალიან ბევრსაც შრომობს.	ավելին; ինչպես նաև	Նա շատ խելացի է և նաև շատ աշխատասեր։
博士	დოქტორი; მეცნიერებათა დოქტორი	ნება მომეცით გაგაცნოთ, ეს დოქტორი ლია.	դոկտոր; գիտությունների դոկտոր	Թույլ տվեք ներկայացնել՝ սա դոկտոր Լին է։
不过	მაგრამ; თუმცა	ის შესანიშნავია, მაგრამ კომპანიის დასაქმების მოთხოვნებს არ შეესაბამება.	բայց; սակայն	Նա գերազանց է, բայց չի համապատասխանում ընկերության աշխատանքի ընդունման պահանջներին։
不得不	იძულებული ყოფნა; სხვა გზა არ ჰქონდეს	გარეთ ძლიერად წვიმს, ამიტომ სახლში დარჩენა მიწევს.	ստիպված լինել; այլ ելք չունենալ	Դրսում ուժեղ անձրև է գալիս, ուստի ստիպված եմ տանը մնալ։
