source_headword	SW	example_SW
absolutely	kabisa	Nakubaliana nawe kabisa.
academic	kitaaluma	Mwaka wa kitaaluma huanza Septemba.
access	ufikiaji	Wanafunzi wanahitaji ufikiaji wa maktaba.
accommodation	malazi	Tulipanga malazi karibu na kituo.
account	akaunti ya benki	Alifungua akaunti mpya ya benki.
achievement	mafanikio	Kumaliza kozi ilikuwa mafanikio makubwa.
ad	tangazo	Tangazo lilionyesha simu mpya.
addition	nyongeza	Chumba kipya kilikuwa nyongeza muhimu.
admire	kuvutiwa	Ninavutiwa na mtazamo wake mtulivu.
admit	kukubali	Alikubali kosa lake.
advanced	ya juu	Hili ni darasa la Kiingereza cha juu.
advise	kushauri	Madaktari hushauri mazoezi ya mara kwa mara.
afford	kumudu	Hatuwezi kumudu teksi.
aged	wenye umri	Kozi ni kwa watoto wenye umri wa miaka kumi.
agent	wakala	Wakala wa safari alibadilisha tiketi zetu.
agreement	makubaliano	Walifikia makubaliano leo.
ahead	mbele	Barabara mbele iko wazi.
aim	kulenga	Tunalenga kumaliza mapema.
alarm	kengele	Kengele ililia saa sita.
album	albamu	Albamu hii ina nyimbo kumi.
alcohol	pombe	Hoteli haiuzi pombe.
alcoholic	chenye pombe	Kinywaji hiki si chenye pombe.
amazed	aliyestaajabu	Alistaajabu sana kwa matokeo.
ambition	azma	Azma yake ni kuwa rubani.
ambitious	mwenye malengo makubwa	Ana mpango wenye malengo makubwa.
analyse	kuchambua	Tunahitaji kuchambua matokeo.
analysis	uchambuzi	Uchambuzi wake ulikuwa wazi.
announce	kutangaza	Watautangaza mshindi kesho.
announcement	tangazo	Tangazo liliwashangaza wote.
annoy	kuudhi	Kelele hii inawaudhi majirani.
annoyed	aliyeudhika	Aliudhika kwa sababu ya foleni ndefu.
annoying	ya kuudhi	Sauti hii ni ya kuudhi sana.
apart	mbali	Nyumba mbili zimesimama mbali.
apologize	kuomba msamaha	Aliomba msamaha kwa kuchelewa.
application	maombi	Tuma maombi leo.
appointment	miadi	Miadi ya daktari ni mchana.
appreciate	kuthamini	Tunathamini sana msaada wako.
approximately	takriban	Safari huchukua takriban saa mbili.
arrest	kukamata	Polisi walimkamata mtuhumiwa.
arrival	kuwasili	Kuwasili kwao kulichelewa.
assignment	kazi ya darasani	Kazi ya darasani inapaswa kuwasilishwa kesho.
assist	kusaidia	Mfanyakazi aliwasaidia wageni kupata viti.
atmosphere	mazingira	Mkahawani kulikuwa na mazingira mazuri.
attach	kuambatisha	Tafadhali ambatisha hati kwenye barua pepe.
attitude	mtazamo	Mtazamo wake chanya uliisaidia timu.
attract	kuvutia	Alama angavu ilivutia wateja.
attraction	kivutio	Ngome ni kivutio maarufu.
authority	mamlaka	Mamlaka ya eneo ilitoa kanuni mpya.
aware	kufahamu	Nilifahamu mabadiliko hayo.
backwards	nyuma	Alitembea nyuma polepole.
bake	kuoka	Tulioka mkate jana.
balance	usawa	Mtoto alipoteza usawa.
ban	marufuku	Jiji liliweka marufuku mpya.
bank (river)	ukingo	Tulitembea kando ya ukingo wa mto.
base	msingi	Wazo hili ni msingi wa mpango.
basic	msingi	Hii ni kanuni ya msingi.
basis	msingi	Uamuzi ulifanywa kwa msingi wa ukweli.
battery	betri	Betri ya simu imeisha.
battle	vita	Vita hivyo vilidumu muda mrefu.
beauty	uzuri	Uzuri wa ziwa ulitushangaza.
bee	nyuki	Nyuki aliruka juu ya ua.
belief	imani	Imani yake ilikuwa imara.
bell	kengele	Kengele ililia kabla ya somo.
bend	kupinda	Pinda goti lako kidogo.
bite	kuuma	Mbwa alijaribu kuuma mpira.
block	mtaa	Tunaishi katika mtaa unaofuata.
bomb	bomu	Habari ya bomu iliwaogopesha watu.
border	mpaka	Mto unatengeneza mpaka.
bother	kusumbua	Kelele hiyo hainisumbui.
branch	tawi	Tawi lilivunjika kwa upepo.
brand	chapa	Chapa hii inajulikana.
brave	shujaa	Alifanya uamuzi wa kishujaa.
breath	pumzi	Vuta pumzi ndefu.
breathe	kupumua	Pumua polepole na utulie.
breathing	kupumua	Kupumua kwake kulikuwa kwa haraka.
bride	bibi harusi	Bibi harusi alikuja akitabasamu.
bubble	puto	Puto la sabuni lilipasuka.
bury	kuzika	Walizika mfupa bustanini.
calm	mtulivu	Alibaki mtulivu chini ya shinikizo.
campaign	kampeni	Kampeni ya uchaguzi ilianza leo.
campus	kampasi	Kampasi ni kubwa.
candidate	mgombea	Mgombea alijibu maswali.
cap	kofia	Alivaa kofia ya bluu.
captain	kapteni	Kapteni wa timu alizungumza kwanza.
careless	asiyejali	Kosa la kutojali lilisababisha tatizo.
category	kategoria	Chagua kategoria sahihi.
ceiling	dari	Dari ni ndefu sana.
celebration	sherehe	Sherehe ilianza jioni.
central	ya kati	Ofisi iko katika barabara ya kati.
ceremony	hafla	Hafla ilianza saa tano.
chain	mnyororo	Mnyororo wa baiskeli ulitoka.
challenge	changamoto	Mtihani huu ni changamoto kubwa.
champion	bingwa	Alikuwa bingwa wa kitaifa.
channel	kanali	Badilisha kanali ya televisheni.
chapter	sura	Soma sura inayofuata.
charge	ada	Kuna ada ndogo kwa huduma hii.
cheat	kudanganya	Huwezi kudanganya kwenye mtihani.
cheerful	mchangamfu	Huzungumza kwa sauti ya uchangamfu.
chemical	kemikali	Kuna kemikali maabara.
chest	kifua	Kifua chake kilikuwa kinauma.
childhood	utoto	Mara nyingi hukumbuka utoto wake.
claim	dai	Dai lake linahitaji ushahidi.
clause	kifungu	Kifungu hiki cha mkataba ni muhimu.
click	kubofya	Bofya kitufe cha buluu.
client	mteja	Mteja anasubiri ofisini.
cloth	kitambaa	Funika meza kwa kitambaa safi.
clue	dokezo	Dokezo hili lilisaidia kutatua tatizo.
coal	makaa	Kiwanda kilitumia makaa.
coin	sarafu	Aliweka sarafu ndani ya sanduku.
collection	mkusanyiko	Mkusanyiko wake una kadi za zamani.
coloured	ya rangi	Mtoto alileta penseli za rangi.
combine	kuunganisha	Tunaweza kuunganisha mawazo mawili.
commercial	kibiashara	Hili ni jengo la kibiashara.
commit	kufanya	Alifanya kosa kubwa.
communication	mawasiliano	Mawasiliano mazuri husaidia timu.
comparison	ulinganisho	Ulinganisho huu ni muhimu.
competitive	shindani	Soko ni shindani sana.
competitor	mshindani	Mshindani wetu alifungua duka jipya.
complaint	malalamiko	Aliandika malalamiko kuhusu huduma.
complex	tata	Hili ni tatizo tata.
concentrate	kuzingatia	Zingatia wakati wa somo.
conclude	kuhitimisha	Tunaweza kuhitimisha kuwa mpango unafanya kazi.
conclusion	hitimisho	Hitimisho lake lilikuwa wazi.
confident	mwenye kujiamini	Alikuwa mwenye kujiamini kabla ya mahojiano.
confirm	kuthibitisha	Tafadhali thibitisha muda wa mkutano.
confuse	kuchanganya	Jibu lake lilinichanganya.
confused	aliyechanganyikiwa	Nilichanganyikiwa kwa muda.
connection	muunganisho	Muunganisho wa intaneti ulikuwa polepole.
consequence	matokeo	Uamuzi huo ulikuwa na matokeo makubwa.
consist	kuundwa	Timu huundwa na watu watano.
consume	kutumia	Gari hili hutumia mafuta kidogo.
consumer	mtumiaji	Mtumiaji hutafuta bei nzuri.
contact	mawasiliano	Endelea kuwasiliana nasi.
container	chombo	Mimina maji kwenye chombo hicho.
content1	maudhui	Maudhui ya tovuti ni mapya.
continuous	endelevu	Mvua endelevu ilifunga barabara.
contrast	utofauti	Utofauti wa rangi ni mkubwa.
convenient	rahisi	Wakati huu ni rahisi kwangu.
convince	kushawishi	Alijaribu kuishawishi timu.
costume	vazi	Alivaa vazi kwa ajili ya sikukuu.
cottage	nyumba ya mashambani	Tulikodi nyumba ya mashambani wikendi.
cotton	pamba	Shati hili limetengenezwa kwa pamba.
countryside	vijijini	Napenda maeneo ya vijijini.
court	mahakama	Kesi ilienda mahakamani.
covered	iliyofunikwa	Meza ilikuwa imefunikwa na vitabu.
cruel	katili	Huo ulikuwa utani wa kikatili.
cultural	kitamaduni	Jiji ni kituo cha kitamaduni.
currency	sarafu	Badilisha sarafu ya eneo kwenye uwanja wa ndege.
current	ya sasa	Bei ya sasa iko juu.
currently	kwa sasa	Kwa sasa anafanya kazi nyumbani.
curtain	pazia	Fungua pazia.
custom	desturi	Hii ni desturi ya zamani ya familia.
damage	uharibifu	Dhoruba ilisababisha uharibifu mkubwa.
decade	muongo	Aliishi huko kwa muongo mmoja.
decorate	kupamba	Tulipamba chumba kwa maua.
define	kufafanua	Tafadhali fafanua neno hili.
definite	hakika	Tunahitaji jibu la hakika.
definition	ufafanuzi	Ufafanuzi wa neno hili ni rahisi.
deliver	kufikisha	Walifikisha kifurushi asubuhi.
departure	kuondoka	Kuondoka kuliahirishwa.
despite	licha ya	Licha ya mvua, tulitoka nje.
destination	marudio	Marudio yetu ni kijiji kidogo.
determine	kuamua	Jaribio litasaidia kuamua kiwango.
determined	aliyedhamiria	Alidhamiria kushinda.
development	maendeleo	Maendeleo ya jiji ni ya haraka.
diagram	mchoro	Mchoro unaeleza mchakato.
diamond	almasi	Alivaa pete yenye almasi.
difficulty	ugumu	Nilipata ugumu na swali hilo.
directly	moja kwa moja	Zungumza naye moja kwa moja.
