simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
爱	szeretni; kedvelni	Szeretem anyukámat.	a iubi; a plăcea	O iubesc pe mama.	обичам; харесвам	Обичам мама.	voljeti; sviđati se	Volim mamu.
八	nyolc	Nyolc könyvem van.	opt	Am opt cărți.	осем	Имам осем книги.	osam	Imam osam knjiga.
爸爸	apa; apuka	Apa otthon van.	un tată; tata	Tata este acasă.	татко; баща	Татко е вкъщи.	tata; otac	Tata je kod kuće.
杯子	csésze; pohár	Ez a csésze nagy.	o cană; un pahar	Cana aceasta este mare.	чаша	Тази чаша е голяма.	šalica; čaša	Ova šalica je velika.
北京	Peking	Pekingben dolgozom.	Beijing	Lucrez la Beijing.	Пекин	Работя в Пекин.	Peking	Radim u Pekingu.
本	könyvek mértékszava; kötet	Van egy könyvem.	un clasificator pentru cărți; un volum	Am o carte.	мерна дума за книги; том	Имам една книга.	mjerna riječ za knjige; svezak	Imam jednu knjigu.
不	nem	Nem eszem rizst.	nu	Nu mănânc orez.	не	Не ям ориз.	ne	Ne jedem rižu.
不客气	szívesen; nincs mit	Köszönöm. Szívesen.	cu plăcere	Mulțumesc. Cu plăcere.	няма защо	Благодаря. Няма защо.	nema na čemu	Hvala. Nema na čemu.
菜	étel; fogás	Ez az étel finom.	un fel de mâncare; mâncare	Felul acesta de mâncare este gustos.	ястие; храна	Това ястие е вкусно.	jelo; hrana	Ovo jelo je ukusno.
茶	tea	Teát iszom.	ceai	Beau ceai.	чай	Пия чай.	čaj	Pijem čaj.
吃	enni	Almát eszem.	a mânca	Mănânc un măr.	ям	Ям ябълка.	jesti	Jedem jabuku.
出租车	taxi	Taxival megyek iskolába.	un taxi	Merg la școală cu taxiul.	такси	Отивам на училище с такси.	taksi	Idem u školu taksijem.
打电话	telefonálni	Telefonálok.	a da un telefon; a telefona	Dau un telefon.	обаждам се по телефона	Обаждам се по телефона.	telefonirati; nazvati	Telefoniram.
大	nagy	Ez az iskola nagy.	mare	Școala aceasta este mare.	голям	Това училище е голямо.	velik	Ova škola je velika.
的	birtokos partikula	Ez az én könyvem.	o particulă posesivă	Aceasta este cartea mea.	притежателна частица	Това е моята книга.	posvojna čestica	Ovo je moja knjiga.
点	óra; pont; egy kicsit	Most nyolc óra van.	ora; un punct; puțin	Acum este ora opt.	час; точка; малко	Сега е осем часът.	sat; točka; malo	Sada je osam sati.
电脑	számítógép	A számítógépem az asztalon van.	un computer	Computerul meu este pe masă.	компютър	Компютърът ми е на масата.	računalo	Moje računalo je na stolu.
电视	televízió; tévé	Tévét nézek.	un televizor; televiziune	Mă uit la televizor.	телевизия; телевизор	Гледам телевизия.	televizija; TV	Gledam televiziju.
电影	film	Szeretem a filmeket.	un film	Îmi plac filmele.	филм	Харесвам филми.	film	Volim filmove.
东西	dolog; holmi	Mi ez a dolog?	un lucru; un obiect	Ce este lucrul acesta?	нещо; предмет	Какво е това нещо?	stvar; predmet	Što je ova stvar?
都	mind; mindannyian	Mindannyian diákok vagyunk.	toți; amândoi	Toți suntem elevi.	всички; и двамата	Всички сме ученици.	svi; oboje	Svi smo učenici.
读	olvasni; tanulni	Könyvet olvasok.	a citi; a studia	Citesc o carte.	чета; уча	Чета книга.	čitati; učiti	Čitam knjigu.
